Year,Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
2000,Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2000,Chris Webber,F-C,6-9,245,Sacramento Kings,Western All-Star Fan Vote Selection,1993 Rnd 1 Pick 1,United States
2000,Michael Finley,G-F,6-7,225,Dallas Mavericks,Western All-Star Coaches Selection,1995 Rnd 1 Pick 21,United States
2000,Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States
2000,Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
2000,Antonio McDyess,F,6-9,245,Denver Nuggets,Western All-Star Coaches Selection,1995 Rnd 1 Pick 2,United States
2000,Gary Payton,G,6-4,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
2000,Rasheed Wallace,FC,6-11,230,Portland Trail Blazers,Western All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States
2000,David Robinson,C,7-1,250,San Antonio Spurs,Western All-Star Coaches Selection,1987 Rnd 1 Pick 1,United States
2000,Vlade Divac,C,7-1,260,Sacramento Kings,Western All-Star Replacement Selection,1989 Rnd 1 Pick 26,Serbia
