ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT
Paige Hadley,Australia,Netball,Netball,G,Australia& Oceania
Sarah Klau,Australia,Netball,Netball,G,Australia& Oceania
Cara Koenen,Australia,Netball,Netball,G,Australia& Oceania
Kate Moloney,Australia,Netball,Netball,G,Australia& Oceania
Liz Watson,Australia,Netball,Netball,G,Australia& Oceania
Joanna Weston,Australia,Netball,Netball,G,Australia& Oceania
Steph Wood,Australia,Netball,Netball,G,Australia& Oceania
Hani Watson,Australia,Para Powerlifting,Women's Heavyweight,G,Australia& Oceania
Hani Watson,Australia,Para Powerlifting,Women's Heavyweight,B,Australia& Oceania
Madison Ashby,Australia,Rugby Sevens,Women,G,Australia& Oceania
Charlotte Caslick,Australia,Rugby Sevens,Women,G,Australia& Oceania
Lily Dick,Australia,Rugby Sevens,Women,G,Australia& Oceania
Dominique du Toit,Australia,Rugby Sevens,Women,G,Australia& Oceania
Demi Hayes,Australia,Rugby Sevens,Women,G,Australia& Oceania
Tia Hinds,Australia,Rugby Sevens,Women,G,Australia& Oceania
Alysia Lefau-Fakaosilea,Australia,Rugby Sevens,Women,G,Australia& Oceania
Maddison Levi,Australia,Rugby Sevens,Women,G,Australia& Oceania
Teagan Levi,Australia,Rugby Sevens,Women,G,Australia& Oceania
Faith Nathan,Australia,Rugby Sevens,Women,G,Australia& Oceania
Sariah Paki,Australia,Rugby Sevens,Women,G,Australia& Oceania
Jesse Southwell,Australia,Rugby Sevens,Women,G,Australia& Oceania
Sharni Williams,Australia,Rugby Sevens,Women,G,Australia& Oceania
Chunyi Feng,Australia,Table Tennis and Para Table Tennis,Women's Team,B,Australia& Oceania
Minhyung Jee,Australia,Table Tennis and Para Table Tennis,Women's Doubles,S,Australia& Oceania
Minhyung Jee,Australia,Table Tennis and Para Table Tennis,Women's Team,B,Australia& Oceania
Jian Fang Lay,Australia,Table Tennis and Para Table Tennis,Women's Team,B,Australia& Oceania
Jian Fang Lay,Australia,Table Tennis and Para Table Tennis,Women's Doubles,S,Australia& Oceania
Li Na Lei,Australia,Table Tennis and Para Table Tennis,Women's Singles Classes 6-10,S,Australia& Oceania
Yangzi Liu,Australia,Table Tennis and Para Table Tennis,Women's Team,B,Australia& Oceania
Yangzi Liu,Australia,Table Tennis and Para Table Tennis,Women's Singles,B,Australia& Oceania
Lin Ma,Australia,Table Tennis and Para Table Tennis,Men's Singles Classes 8-10,S,Australia& Oceania
Qian Yang,Australia,Table Tennis and Para Table Tennis,Women's Singles Classes 6-10,G,Australia& Oceania
Jacob Birtwhistle,Australia,Triathlon and Para Triathlon,Mixed Team Relay,B,Australia& Oceania
Jonathan Goerlach,Australia,Triathlon and Para Triathlon,Men's PTVI,B,Australia& Oceania
Sam Harding,Australia,Triathlon and Para Triathlon,Men's PTVI,S,Australia& Oceania
Matthew Hauser,Australia,Triathlon and Para Triathlon,Men's Individual (Sprint Distance),B,Australia& Oceania
Matthew Hauser,Australia,Triathlon and Para Triathlon,Mixed Team Relay,B,Australia& Oceania
Sophie Linn,Australia,Triathlon and Para Triathlon,Mixed Team Relay,B,Australia& Oceania
Natalie van Coevorden,Australia,Triathlon and Para Triathlon,Mixed Team Relay,B,Australia& Oceania
Charisma Amoe Tarrant,Australia,Weightlifting,Women's 87+kg,B,Australia& Oceania
Kyle Bruce,Australia,Weightlifting,Men's 81kg,S,Australia& Oceania
Eileen Cikamatana,Australia,Weightlifting,Women's 87kg,G,Australia& Oceania
Sarah Maureen Cochrane,Australia,Weightlifting,Women's 64kg,S,Australia& Oceania
Thomas Barns,Australia,Wrestling,Men's Freestyle 97 kg,B,Australia& Oceania
Jayden Lawrence,Australia,Wrestling,Men's Freestyle 86 kg,B,Australia& Oceania
Shane Brathwaite,Barbados,Athletics and Para Athletics,Men's 110m Hurdles,S,Caribbean & Americans
Jonathan Jones,Barbados,Athletics and Para Athletics,Men's 400m,B,Caribbean & Americans
Sada Williams,Barbados,Athletics and Para Athletics,Women's 400m,G,Caribbean & Americans
Jah-Nhai Perinchief,Bermuda,Athletics and Para Athletics,Men's Triple Jump,B,Caribbean & Americans
Flora Duffy,Bermuda,Triathlon and Para Triathlon,Women's Individual (Sprint Distance),G,Caribbean & Americans
Keitumetse Maitseo,Botswana,Athletics and Para Athletics,Men's 4 x 400m Relay,S,Africa
Bayapo Ndori,Botswana,Athletics and Para Athletics,Men's 4 x 400m Relay,S,Africa
Zibane Ngozi,Botswana,Athletics and Para Athletics,Men's 4 x 400m Relay,S,Africa
Anthony Pesela,Botswana,Athletics and Para Athletics,Men's 4 x 400m Relay,S,Africa
Leungo Scotch,Botswana,Athletics and Para Athletics,Men's 4 x 400m Relay,S,Africa
Lethabo Bokamoso Modukanele,Botswana,Boxing,Women’s Over 45kg-48kg (Minimumweight),B,Africa
Kyron McMaster,British Virgin Is.,Athletics and Para Athletics,Men's 400m Hurdles,G,Caribbean & Americans
Arlette Mawe Fokoa,Cameroon,Athletics and Para Athletics,Women's F55-57 Shot Put,S,Africa
Thamar Gisele Mengue,Cameroon,Para Powerlifting,Women's Heavyweight,S,Africa
Junior Periclex Ngadja Nyabeyeu,Cameroon,Weightlifting,Men's 109kg,G,Africa
Berthe Emilienne Etane Ngolle,Cameroon,Wrestling,Women's Freestyle 62 kg,B,Africa
Bikramjit Gill,Canada,3x3 Basketball,Men,B,Caribbean & Americans
Taya Hanson,Canada,3x3 Basketball,Women,G,Caribbean & Americans
Jordan Zaki Jensen-Whyte,Canada,3x3 Basketball,Men,B,Caribbean & Americans
Alex Dean Johnson,Canada,3x3 Basketball,Men,B,Caribbean & Americans
Rosalie Mercille,Canada,3x3 Basketball,Women,G,Caribbean & Americans
Adam Paige,Canada,3x3 Basketball,Men,B,Caribbean & Americans
Sarah Te-Biasu,Canada,3x3 Basketball,Women,G,Caribbean & Americans
Tara Wallack,Canada,3x3 Basketball,Women,G,Caribbean & Americans
Vincent Dallaire,Canada,3x3 Wheelchair Basketball,Men,S,Caribbean & Americans
Kady Dandeneau,Canada,3x3 Wheelchair Basketball,Women,G,Caribbean & Americans
Robert Hedges,Canada,3x3 Wheelchair Basketball,Men,S,Caribbean & Americans
Colin Higgins,Canada,3x3 Wheelchair Basketball,Men,S,Caribbean & Americans
Tara Llanes,Canada,3x3 Wheelchair Basketball,Women,G,Caribbean & Americans
Tamara Steeves,Canada,3x3 Wheelchair Basketball,Women,G,Caribbean & Americans
Elodie Tessier,Canada,3x3 Wheelchair Basketball,Women,G,Caribbean & Americans
Margo Claire Erlam,Canada,Aquatics - Diving,Women's Synchronised 3m Springboard,B,Caribbean & Americans
Caeli Sierra McKay,Canada,Aquatics - Diving,Women's 10m Platform,B,Caribbean & Americans
Mia Jolie Doucet Vallee,Canada,Aquatics - Diving,Women's 3m Springboard,B,Caribbean & Americans
Mia Jolie Doucet Vallee,Canada,Aquatics - Diving,Women's Synchronised 3m Springboard,B,Caribbean & Americans
Mia Jolie Doucet Vallee,Canada,Aquatics - Diving,Women's 1m Springboard,G,Caribbean & Americans
Rylan Mackenzie Wiens,Canada,Aquatics - Diving,Men's Synchronised 10m Platform,S,Caribbean & Americans
Rylan Mackenzie Wiens,Canada,Aquatics - Diving,Men's 10m Platform,S,Caribbean & Americans
Nathan Milner Zsombor-Murray,Canada,Aquatics - Diving,Men's Synchronised 10m Platform,S,Caribbean & Americans
Javier Acevedo,Canada,Aquatics - Swimming and Para Swimming,Men's 50m Backstroke,B,Caribbean & Americans
Javier Acevedo,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Javier Acevedo,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Javier Acevedo,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Sophie Angus,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Sophie Angus,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,S,Caribbean & Americans
Jeremy Bagshaw,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Nicholas Bennett,Canada,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle S14,G,Caribbean & Americans
Camille Berube,Canada,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke SB6,B,Caribbean & Americans
Eric Georges Brown,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Stephen Calkins,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Stephen Calkins,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans
James Dergousoff,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Ruslan Gaziev,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Ruslan Gaziev,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Ruslan Gaziev,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Mary-Sophie Harvey,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,S,Caribbean & Americans
Mary-Sophie Harvey,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Patrick Hussey,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Ella Jansen,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Ella Jansen,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,S,Caribbean & Americans
Finlay Knox,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Joshua Liendo Edwards,Canada,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Joshua Liendo Edwards,Canada,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle,B,Caribbean & Americans
Joshua Liendo Edwards,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Joshua Liendo Edwards,Canada,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly,G,Caribbean & Americans
Margaret Macneil,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Margaret Macneil,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,S,Caribbean & Americans
Margaret Macneil,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Margaret Macneil,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Margaret Macneil,Canada,Aquatics - Swimming and Para Swimming,Women's 100m Butterfly,G,Caribbean & Americans
Kylie Masse,Canada,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke,S,Caribbean & Americans
Kylie Masse,Canada,Aquatics - Swimming and Para Swimming,Women's 50m Backstroke,G,Caribbean & Americans
Kylie Masse,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Kylie Masse,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,S,Caribbean & Americans
Kylie Masse,Canada,Aquatics - Swimming and Para Swimming,Women's 200m Backstroke,S,Caribbean & Americans
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 400m Freestyle,S,Caribbean & Americans
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley,G,Caribbean & Americans
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,S,Caribbean & Americans
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,S,Caribbean & Americans
Summer McIntosh,Canada,Aquatics - Swimming and Para Swimming,Women's 400m Individual Medley,G,Caribbean & Americans
Aurelie Rivard,Canada,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley SM10,S,Caribbean & Americans
Katerine Savard,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Katerine Savard,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,S,Caribbean & Americans
Rebecca Smith,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,B,Caribbean & Americans
Rebecca Smith,Canada,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,B,Caribbean & Americans
Rebecca Smith,Canada,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,S,Caribbean & Americans
Nicolas Guy Turbide,Canada,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S13,G,Caribbean & Americans
Kyra Constantine,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Kyra Constantine,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,G,Caribbean & Americans
Evan Dunfee,Canada,Athletics and Para Athletics,"Men's 10,000m Race Walk",G,Caribbean & Americans
Zachary Gingras,Canada,Athletics and Para Athletics,Men's T37/38 100m,B,Caribbean & Americans
Ethan Katzberg,Canada,Athletics and Para Athletics,Men's Hammer Throw,S,Caribbean & Americans
Natassha McDonald,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,G,Caribbean & Americans
Natassha McDonald,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Sarah Mitton,Canada,Athletics and Para Athletics,Women's Shot Put,G,Caribbean & Americans
Micha Powell,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Micha Powell,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,G,Caribbean & Americans
Camryn Rogers,Canada,Athletics and Para Athletics,Women's Hammer Throw,G,Caribbean & Americans
Aiyanna Stiverne,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,S,Caribbean & Americans
Aiyanna Stiverne,Canada,Athletics and Para Athletics,Women's 4 x 400m Relay,G,Caribbean & Americans
Jillian Weir,Canada,Athletics and Para Athletics,Women's Hammer Throw,B,Caribbean & Americans
Michelle Li,Canada,Badminton,Women's Singles,S,Caribbean & Americans
Daniel Dearing,Canada,Beach Volleyball,Men,S,Caribbean & Americans
Melissa Humana-Paredes,Canada,Beach Volleyball,Women,G,Caribbean & Americans
Sarah Pavan,Canada,Beach Volleyball,Women,G,Caribbean & Americans
Sam Schachter,Canada,Beach Volleyball,Men,S,Caribbean & Americans
Keoma-Ali Al-Ahmadieh,Canada,Boxing,Men’s Over 54kg- 57kg (Featherweight),B,Caribbean & Americans
Priyanka Dhillon,Canada,Boxing,Women’s Over 45kg-48kg (Minimumweight),B,Caribbean & Americans
Wyatt Sanford,Canada,Boxing,Men’s Over 60kg-63.5kg (Light Welterweight),B,Caribbean & Americans
Tammara Thibeault,Canada,Boxing,Women’s Over 70kg-75kg (Middleweight),G,Caribbean & Americans
Maggie Coles-Lyster,Canada,Cycling - Track and Para Track,Women's 10km Scratch Race,B,Caribbean & Americans
Lauriane Genest,Canada,Cycling - Track and Para Track,Women's Team Sprint,S,Caribbean & Americans
Kelsey Mitchell,Canada,Cycling - Track and Para Track,Women's 500m Time Trial,S,Caribbean & Americans
Kelsey Mitchell,Canada,Cycling - Track and Para Track,Women's Keirin,B,Caribbean & Americans
Kelsey Mitchell,Canada,Cycling - Track and Para Track,Women's Sprint,S,Caribbean & Americans
Kelsey Mitchell,Canada,Cycling - Track and Para Track,Women's Team Sprint,S,Caribbean & Americans
Sarah Orban,Canada,Cycling - Track and Para Track,Women's Team Sprint,S,Caribbean & Americans
Laurie Denommee,Canada,Gymnastics - Artistic,Women's Vault,S,Caribbean & Americans
Laurie Denommee,Canada,Gymnastics - Artistic,Women's Team,B,Caribbean & Americans
Felix Dolci,Canada,Gymnastics - Artistic,Men's Floor Exercise,S,Caribbean & Americans
Felix Dolci,Canada,Gymnastics - Artistic,Men's Team,S,Caribbean & Americans
Mathys Jalbert,Canada,Gymnastics - Artistic,Men's Team,S,Caribbean & Americans
Chris Kaji,Canada,Gymnastics - Artistic,Men's Team,S,Caribbean & Americans
Chris Kaji,Canada,Gymnastics - Artistic,Men's Rings,B,Caribbean & Americans
Jenna Lalonde,Canada,Gymnastics - Artistic,Women's Team,B,Caribbean & Americans
Cassandra Lee,Canada,Gymnastics - Artistic,Women's Team,B,Caribbean & Americans
Jayson Rampersad,Canada,Gymnastics - Artistic,Men's Team,S,Caribbean & Americans
Jayson Rampersad,Canada,Gymnastics - Artistic,Men's Pommel Horse,B,Caribbean & Americans
Emma Spence,Canada,Gymnastics - Artistic,Women's Team,B,Caribbean & Americans
Emma Spence,Canada,Gymnastics - Artistic,Women's All-Around,B,Caribbean & Americans
Emma Spence,Canada,Gymnastics - Artistic,Women's Balance Beam,B,Caribbean & Americans
Kenji Tamane,Canada,Gymnastics - Artistic,Men's Team,S,Caribbean & Americans
Maya Zonneveld,Canada,Gymnastics - Artistic,Women's Team,B,Caribbean & Americans
Tatiana Cocsanova,Canada,Gymnastics - Rhythmic,Team,G,Caribbean & Americans
Carmel Kallemaa,Canada,Gymnastics - Rhythmic,Team,G,Caribbean & Americans
Carmel Kallemaa,Canada,Gymnastics - Rhythmic,Clubs,S,Caribbean & Americans
Carmel Kallemaa,Canada,Gymnastics - Rhythmic,Ribbon,B,Caribbean & Americans
Carmel Kallemaa,Canada,Gymnastics - Rhythmic,Hoop,B,Caribbean & Americans
Suzanna Shahbazian,Canada,Gymnastics - Rhythmic,Team,G,Caribbean & Americans
Suzanna Shahbazian,Canada,Gymnastics - Rhythmic,Ball,S,Caribbean & Americans
Catherine Beauchemin-Pinard,Canada,Judo,Women -63 kg,G,Caribbean & Americans
Kelly Deguchi,Canada,Judo,Women -52 kg,S,Caribbean & Americans
Christa Deguchi,Canada,Judo,Women -57 kg,G,Caribbean & Americans
Marc Deschenes,Canada,Judo,Men +100 kg,G,Caribbean & Americans
Shady Elnahas,Canada,Judo,Men -100 kg,G,Caribbean & Americans
Mohab Elnahas,Canada,Judo,Men -81 kg,B,Caribbean & Americans
Francois Gauthier Drapeau,Canada,Judo,Men -81 kg,S,Caribbean & Americans
Kyle Reyes,Canada,Judo,Men -100 kg,S,Caribbean & Americans
Hollie Naughton,Canada,Squash,Women's Singles,S,Caribbean & Americans
Jessica Tuomela,Canada,Triathlon and Para Triathlon,Women's PTVI,B,Caribbean & Americans
Alexis Ashworth,Canada,Weightlifting,Women's 71kg,S,Caribbean & Americans
Maude G Charron,Canada,Weightlifting,Women's 64kg,G,Caribbean & Americans
Shad Darsigny,Canada,Weightlifting,Men's 73kg,B,Caribbean & Americans
Tali Darsigny,Canada,Weightlifting,Women's 59kg,B,Caribbean & Americans
Hannah Kaminski,Canada,Weightlifting,Women's 49kg,B,Caribbean & Americans
Maya Laylor,Canada,Weightlifting,Women's 76kg,G,Caribbean & Americans
Kristel Ngarlem,Canada,Weightlifting,Women's 87kg,S,Caribbean & Americans
Nicolas Vachon,Canada,Weightlifting,Men's 81kg,B,Caribbean & Americans
Darthe Capellan,Canada,Wrestling,Men's Freestyle 57 kg,B,Caribbean & Americans
Amarveer Dhesi,Canada,Wrestling,Men's Freestyle 125 kg,G,Caribbean & Americans
Justina di Stasio,Canada,Wrestling,Women's Freestyle 76 kg,G,Caribbean & Americans
Ana Godinez Gonzalez,Canada,Wrestling,Women's Freestyle 62 kg,S,Caribbean & Americans
Lachlan McNeil,Canada,Wrestling,Men's Freestyle 65 kg,S,Caribbean & Americans
Alexander Moore,Canada,Wrestling,Men's Freestyle 86 kg,B,Caribbean & Americans
Linda Morais,Canada,Wrestling,Women's Freestyle 68 kg,S,Caribbean & Americans
Madison Parks,Canada,Wrestling,Women's Freestyle 50 kg,S,Caribbean & Americans
Jasmit Singh Phulka,Canada,Wrestling,Men's Freestyle 74 kg,B,Caribbean & Americans
Nishan Randhawa,Canada,Wrestling,Men's Freestyle 97 kg,G,Caribbean & Americans
Samantha Stewart,Canada,Wrestling,Women's Freestyle 53 kg,S,Caribbean & Americans
Hannah Taylor,Canada,Wrestling,Women's Freestyle 57 kg,B,Caribbean & Americans
Alexandros Poursanidis,Cyprus,Athletics and Para Athletics,Men's Hammer Throw,B,Europe
Georgios Angonas,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe
Michalis Chari,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe
Ilias Georgiou,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe
Ilias Georgiou,Cyprus,Gymnastics - Artistic,Men's Horizontal Bar,G,Europe
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's Horizontal Bar,B,Europe
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's All-Around,B,Europe
Marios Georgiou,Cyprus,Gymnastics - Artistic,Men's Parallel Bars,B,Europe
Sokratis Pilakouris,Cyprus,Gymnastics - Artistic,Men's Team,B,Europe
Sokratis Pilakouris,Cyprus,Gymnastics - Artistic,Men's Rings,S,Europe
Anna Sokolova,Cyprus,Gymnastics - Rhythmic,Individual All-Around,S,Europe
Anna Sokolova,Cyprus,Gymnastics - Rhythmic,Ball,B,Europe
Anna Sokolova,Cyprus,Gymnastics - Rhythmic,Hoop,S,Europe
Georgios Balarjishvili,Cyprus,Judo,Men -66 kg,G,Europe
Thea Lafond,Dominica,Athletics and Para Athletics,Women's Triple Jump,S,Caribbean & Americans
Jamell Anderson,England,3x3 Basketball,Men,G,Europe
Shanice Brandi Beckford-Norton,England,3x3 Basketball,Women,S,Europe
Cheridene Green,England,3x3 Basketball,Women,S,Europe
Chantelle Handy,England,3x3 Basketball,Women,S,Europe
Jaydon Kayne Henry-Mccalla,England,3x3 Basketball,Men,G,Europe
Myles Edward Sinclair Hesson,England,3x3 Basketball,Men,G,Europe
Orlan Jackman,England,3x3 Basketball,Men,G,Europe
Hannah Jump,England,3x3 Basketball,Women,S,Europe
Jade Atkin,England,3x3 Wheelchair Basketball,Women,B,Europe
Tyler Baines,England,3x3 Wheelchair Basketball,Men,B,Europe
Amy Conroy,England,3x3 Wheelchair Basketball,Women,B,Europe
Joy Haizelden,England,3x3 Wheelchair Basketball,Women,B,Europe
Lee Manning,England,3x3 Wheelchair Basketball,Men,B,Europe
Charlie McIntyre,England,3x3 Wheelchair Basketball,Men,B,Europe
Charlotte Moore,England,3x3 Wheelchair Basketball,Women,B,Europe
Abderrahim Taghrest,England,3x3 Wheelchair Basketball,Men,B,Europe
Robyn Birch,England,Aquatics - Diving,Women's Synchronised 10m Platform,B,Europe
Eden Cheng,England,Aquatics - Diving,Women's Synchronised 10m Platform,S,Europe
Daniel Goodfellow,England,Aquatics - Diving,Men's 3m Springboard,G,Europe
Anthony Harding,England,Aquatics - Diving,Men's Synchronised 3m Springboard,G,Europe
Jordan Houlden,England,Aquatics - Diving,Men's 1m Springboard,B,Europe
Jordan Houlden,England,Aquatics - Diving,Men's 3m Springboard,S,Europe
Kyle Kothari,England,Aquatics - Diving,Mixed Synchronised 10m Platform,S,Europe
Jack David Laugher,England,Aquatics - Diving,Men's 3m Springboard,B,Europe
Jack David Laugher,England,Aquatics - Diving,Men's 1m Springboard,G,Europe
Jack David Laugher,England,Aquatics - Diving,Men's Synchronised 3m Springboard,G,Europe
Matthew Lee,England,Aquatics - Diving,Men's 10m Platform,B,Europe
Matthew Lee,England,Aquatics - Diving,Men's Synchronised 10m Platform,G,Europe
Emily Martin,England,Aquatics - Diving,Women's Synchronised 10m Platform,B,Europe
Amy Elisabeth Rollinson,England,Aquatics - Diving,Women's 1m Springboard,B,Europe
Andrea Spendolini Sirieix,England,Aquatics - Diving,Women's 10m Platform,G,Europe
Andrea Spendolini Sirieix,England,Aquatics - Diving,Women's Synchronised 10m Platform,S,Europe
Andrea Spendolini Sirieix,England,Aquatics - Diving,Mixed Synchronised 10m Platform,G,Europe
Lois Mae Toulson,England,Aquatics - Diving,Mixed Synchronised 10m Platform,S,Europe
Lois Mae Toulson,England,Aquatics - Diving,Women's 10m Platform,S,Europe
Noah Oliver Williams,England,Aquatics - Diving,Mixed Synchronised 10m Platform,G,Europe
Noah Oliver Williams,England,Aquatics - Diving,Men's Synchronised 10m Platform,G,Europe
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,B,Europe
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Freestyle Relay,S,Europe
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe
Freya Anderson,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe
Jessica-Jane Applegate,England,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle S14,S,Europe
Lewis Edward Burras,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe
Lewis Edward Burras,England,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle,S,Europe
Lewis Edward Burras,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe
Greg Butler,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe
Greg Butler,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe
Imogen Louise Clark,England,Aquatics - Swimming and Para Swimming,Women's 50m Breaststroke,S,Europe
Freya Colbert,England,Aquatics - Swimming and Para Swimming,Women's 4 x 200m Freestyle Relay,B,Europe
Lauren Cox,England,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,B,Europe
Lauren Cox,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe
Tom Dean,England,Aquatics - Swimming and Para Swimming,Men's 200m Individual Medley,S,Europe
Tom Dean,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe
Tom Dean,England,Aquatics - Swimming and Para Swimming,Men's 100m Freestyle,S,Europe
Tom Dean,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,S,Europe
Tom Dean,England,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,S,Europe
Tom Dean,England,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle,S,Europe
Tom Dean,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe
Louise Fiddes,England,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle S14,B,Europe
Luke Greenbank,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 200m Butterfly,B,Europe
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 100m Butterfly,S,Europe
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,S,Europe
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,G,Europe
James Guy,England,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,S,Europe
James Guy,England,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Medley Relay,B,Europe
