Name,Position,Team,Age,Height,Height_i,Weight,College,Salary,Points,Rebounds,Assists
Ignas Brazdeikis,SF,Orlando Magic,22,"6' 6""",6.6,221,Michigan,,7.0,3.5,1.3
Wendell Carter Jr.,C,Orlando Magic,22,"6' 10""",6.1,270,Duke,6920027.0,11.2,8.2,1.9
Michael Carter-Williams,PG,Orlando Magic,29,"6' 5""",6.5,190,Syracuse,3300000.0,8.8,4.5,4.2
Jeff Dowtin,G,Orlando Magic,24,"6' 3""",6.3,185,Rhode Island,,,,
James Ennis III,SF,Orlando Magic,31,"6' 6""",6.6,215,Long Beach State,,8.4,4.0,1.5
Markelle Fultz,PG,Orlando Magic,23,"6' 3""",6.3,209,Washington,16500000.0,12.9,3.1,5.4
Hassani Gravett,G,Orlando Magic,25,"6' 2""",6.2,188,South Carolina,,,,
R.J. Hampton,PG,Orlando Magic,20,"6' 4""",6.4,175,,2303040.0,6.9,3.5,1.7
Gary Harris,SG,Orlando Magic,26,"6' 4""",6.4,210,Michigan State,20482143.0,9.9,2.0,2.0
Jonathan Isaac,PF,Orlando Magic,23,"6' 11""",6.11,230,Florida State,17400000.0,,,
Robin Lopez,C,Orlando Magic,33,"7' 0""",7.0,281,Stanford,5000000.0,9.0,3.8,0.8
Chuma Okeke,PF,Orlando Magic,23,"6' 6""",6.6,229,Auburn,3277080.0,7.8,4.0,2.2
Chasson Randle,PG,Orlando Magic,28,"6' 2""",6.2,185,Stanford,,6.5,2.0,1.8
Terrence Ross,SG,Orlando Magic,30,"6' 6""",6.6,206,Washington,12500000.0,15.6,3.4,2.3
Jalen Suggs,SG,Orlando Magic,20,"6' 4""",6.4,205,Gonzaga,6593040.0,,,
Jon Teske,C,Orlando Magic,24,"7' 1""",7.1,265,Michigan,,,,
Sindarius Thornwell,SG,Orlando Magic,26,"6' 4""",6.4,215,South Carolina,,2.0,0.9,1.0
Franz Wagner,SF,Orlando Magic,20,"6' 9""",6.9,220,Michigan,5007840.0,,,
Moritz Wagner,C,Orlando Magic,24,"6' 11""",6.11,245,Michigan,1669178.0,6.9,3.2,1.1
Deni Avdija,SF,Washington Wizards,20,"6' 9""",6.9,210,,4692840.0,6.3,4.9,1.2
Bradley Beal,SG,Washington Wizards,28,"6' 3""",6.3,207,Florida,33724200.0,31.3,4.7,4.4
Davis Bertans,SF,Washington Wizards,28,"6' 10""",6.1,225,,16000000.0,11.5,2.9,0.9
Thomas Bryant,C,Washington Wizards,24,"6' 10""",6.1,248,Indiana,8666667.0,14.3,6.1,1.5
Kentavious Caldwell-Pope,SG,Washington Wizards,28,"6' 5""",6.5,204,Georgia,13038862.0,9.7,2.7,1.9
Spencer Dinwiddie,PG,Washington Wizards,28,"6' 5""",6.5,215,Colorado,17142857.0,6.7,4.3,3.0
Daniel Gafford,C,Washington Wizards,22,"6' 10""",6.1,234,Arkansas,1782621.0,7.0,4.3,0.5
Anthony Gill,PF,Washington Wizards,28,"6' 7""",6.7,230,Virginia,1517981.0,3.1,2.0,0.4
Rui Hachimura,PF,Washington Wizards,23,"6' 8""",6.8,230,Gonzaga,4916160.0,13.8,5.5,1.4
Montrezl Harrell,C,Washington Wizards,27,"6' 7""",6.7,240,Louisville,9720900.0,13.5,6.2,1.1
Aaron Holiday,PG,Washington Wizards,24,"6' 0""",6.0,185,UCLA,3980551.0,7.2,1.3,1.9
Caleb Homesley,SG,Washington Wizards,24,"6' 6""",6.6,205,Liberty,1517981.0,,,
Corey Kispert,SF,Washington Wizards,22,"6' 7""",6.7,220,Gonzaga,3383640.0,,,
Kyle Kuzma,SF,Washington Wizards,26,"6' 10""",6.1,221,Utah,13000000.0,12.9,6.1,1.9
Garrison Mathews,SG,Washington Wizards,24,"6' 5""",6.5,215,David Lipscomb University,,5.5,1.4,0.4
Raul Neto,PG,Washington Wizards,29,"6' 1""",6.1,180,,1669178.0,8.7,2.4,2.3
Isaiah Todd,PF,Washington Wizards,19,"6' 10""",6.1,210,,1500000.0,,,
Cassius Winston,PG,Washington Wizards,23,"6' 1""",6.1,185,Michigan State,,1.9,0.4,0.5
Jordan Bell,F,Golden State Warriors,26,"6' 8""",6.8,216,Oregon,,2.5,4.0,1.2
Nemanja Bjelica,PF,Golden State Warriors,33,"6' 10""",6.1,234,,1669178.0,6.5,3.4,1.9
Chris Chiozza,F,Golden State Warriors,25,"5' 11""",5.11,175,Florida,,4.0,1.1,3.0
Stephen Curry,PG,Golden State Warriors,33,"6' 3""",6.3,185,Davidson,45780966.0,32.0,5.5,5.8
Draymond Green,PF,Golden State Warriors,31,"6' 6""",6.6,230,Michigan State,24026712.0,7.0,7.1,8.9
Andre Iguodala,F,Golden State Warriors,37,"6' 6""",6.6,215,Arizona,1669178.0,4.4,3.5,2.3
Jonathan Kuminga,PF,Golden State Warriors,18,"6' 7""",6.7,225,,5466360.0,,,
Damion Lee,SG,Golden State Warriors,28,"6' 5""",6.5,210,Drexel,1910860.0,6.5,3.2,1.3
Kevon Looney,C,Golden State Warriors,25,"6' 9""",6.9,222,UCLA,5178572.0,4.1,5.3,2.0
Nico Mannion,PG,Golden State Warriors,20,"6' 2""",6.2,190,Arizona,,4.1,1.5,2.3
Moses Moody,SG,Golden State Warriors,19,"6' 5""",6.5,211,Arkansas,3562200.0,,,
Mychal Mulder,SG,Golden State Warriors,27,"6' 3""",6.3,184,Kentucky,1782621.0,5.6,1.0,0.4
Gary Payton II,PG,Golden State Warriors,28,"6' 3""",6.3,195,Salt Lake CC UT,1977011.0,2.5,1.1,0.1
Jordan Poole,SG,Golden State Warriors,22,"6' 4""",6.4,194,Michigan,2161440.0,12.0,1.8,1.9
Otto Porter Jr.,SF,Golden State Warriors,28,"6' 8""",6.8,198,Georgetown,1669178.0,9.7,5.4,2.0
Klay Thompson,SG,Golden State Warriors,31,"6' 6""",6.6,215,Washington State,37980720.0,,,
Juan Toscano-Anderson,SF,Golden State Warriors,28,"6' 6""",6.6,209,Marquette,1701593.0,5.7,4.4,2.8
Andrew Wiggins,SF,Golden State Warriors,26,"6' 7""",6.7,197,Kansas,31579390.0,18.6,4.9,2.4
James Wiseman,C,Golden State Warriors,20,"7' 0""",7.0,240,Memphis,9166800.0,11.5,5.8,0.7
Nicolas Batum,PF,Los Angeles Clippers,32,"6' 8""",6.8,230,,3170029.0,8.1,4.7,2.2
Eric Bledsoe,SG,Los Angeles Clippers,31,"6' 1""",6.1,214,Kentucky,18125000.0,12.2,3.4,3.8
Amir Coffey,SG,Los Angeles Clippers,24,"6' 7""",6.7,210,Minnesota,,3.2,1.0,0.5
DeMarcus Cousins,C,Los Angeles Clippers,31,"6' 10""",6.1,270,Kentucky,,8.9,6.4,1.9
Yogi Ferrell,PG,Los Angeles Clippers,28,"6' 0""",6.0,178,Indiana,1782621.0,5.6,1.9,2.2
Paul George,SG,Los Angeles Clippers,31,"6' 8""",6.8,220,Fresno State,39344900.0,23.3,6.6,5.2
Serge Ibaka,C,Los Angeles Clippers,31,"6' 10""",6.1,235,,9720900.0,11.1,6.7,1.8
Reggie Jackson,PG,Los Angeles Clippers,31,"6' 2""",6.2,208,Boston College,10384500.0,10.7,2.9,3.1
Keon Johnson,SG,Los Angeles Clippers,19,"6' 5""",6.5,186,Tennessee,2553120.0,,,
Luke Kennard,SG,Los Angeles Clippers,25,"6' 5""",6.5,206,Duke,13347727.0,8.3,2.6,1.7
Kawhi Leonard,SF,Los Angeles Clippers,30,"6' 7""",6.7,225,San Diego State,36016200.0,24.8,6.5,5.2
Terance Mann,SG,Los Angeles Clippers,24,"6' 5""",6.5,215,Florida State,1782621.0,7.0,3.6,1.6
Marcus Morris Sr.,SF,Los Angeles Clippers,32,"6' 8""",6.8,218,Kansas,15627907.0,13.4,4.1,1.0
Patrick Patterson,PF,Los Angeles Clippers,32,"6' 8""",6.8,235,Kentucky,,5.2,2.0,0.8
Jason Preston,PG,Los Angeles Clippers,22,"6' 4""",6.4,187,Ohio,1062303.0,,,
Jay Scrubb,SG,Los Angeles Clippers,21,"6' 5""",6.5,220,John A. Logan College,,8.8,3.5,0.3
Justise Winslow,PF,Los Angeles Clippers,25,"6' 6""",6.6,222,Duke,3902439.0,6.8,4.5,1.9
Ivica Zubac,C,Los Angeles Clippers,24,"7' 0""",7.0,240,,7518518.0,9.0,7.2,1.3
Kostas Antetokounmpo,PF,Los Angeles Lakers,23,"6' 10""",6.1,200,Dayton,,0.8,1.3,0.1
Carmelo Anthony,PF,Los Angeles Lakers,37,"6' 7""",6.7,238,Syracuse,1669178.0,13.4,3.1,1.5
Trevor Ariza,SF,Los Angeles Lakers,36,"6' 8""",6.8,215,UCLA,1669178.0,9.4,4.8,1.8
Kent Bazemore,SF,Los Angeles Lakers,32,"6' 4""",6.4,195,Old Dominion,1669178.0,7.2,3.4,1.6
Devontae Cacok,PF,Los Angeles Lakers,24,"6' 7""",6.7,240,North Carolina-Wilmington,,2.0,1.6,0.1
Anthony Davis,PF,Los Angeles Lakers,28,"6' 10""",6.1,253,Kentucky,35361360.0,21.8,7.9,3.1
Wayne Ellington,SG,Los Angeles Lakers,33,"6' 4""",6.4,207,North Carolina,1669178.0,9.6,1.8,1.5
Marc Gasol,C,Los Angeles Lakers,36,"6' 11""",6.11,255,,2692991.0,5.0,4.1,2.1
Talen Horton-Tucker,SG,Los Angeles Lakers,20,"6' 4""",6.4,234,Iowa State,9500000.0,9.0,2.6,2.8
Dwight Howard,C,Los Angeles Lakers,35,"6' 10""",6.1,265,,1669178.0,7.0,8.4,0.9
LeBron James,SF,Los Angeles Lakers,36,"6' 9""",6.9,250,,41180544.0,25.0,7.7,7.8
Wesley Matthews,SG,Los Angeles Lakers,34,"6' 4""",6.4,220,Marquette,,4.8,1.6,0.9
Malik Monk,SG,Los Angeles Lakers,23,"6' 3""",6.3,200,Kentucky,1669178.0,11.7,2.4,2.1
Kendrick Nunn,G,Los Angeles Lakers,26,"6' 2""",6.2,190,Illinois,5000000.0,14.6,3.2,2.6
Rajon Rondo,PG,Los Angeles Lakers,35,"6' 1""",6.1,180,Kentucky,1669178.0,5.4,2.4,4.4
Russell Westbrook,PG,Los Angeles Lakers,32,"6' 3""",6.3,200,UCLA,44211146.0,22.2,11.5,11.7
Deandre Ayton,C,Phoenix Suns,23,"6' 11""",6.11,250,Arizona,12632950.0,14.4,10.5,1.4
Devin Booker,SG,Phoenix Suns,24,"6' 5""",6.5,206,Kentucky,31650600.0,25.6,4.2,4.3
Mikal Bridges,SF,Phoenix Suns,25,"6' 6""",6.6,209,Villanova,5557725.0,13.5,4.3,2.1
Jae Crowder,PF,Phoenix Suns,31,"6' 6""",6.6,235,Marquette,9720900.0,10.1,4.7,2.1
Langston Galloway,SG,Phoenix Suns,29,"6' 1""",6.1,200,Saint Joseph's,,4.8,1.1,0.7
Chandler Hutchison,SF,Phoenix Suns,25,"6' 6""",6.6,210,Boise State,4019459.0,4.3,3.1,0.7
Cameron Johnson,SF,Phoenix Suns,25,"6' 8""",6.8,210,North Carolina,4437000.0,9.6,3.3,1.4
Frank Kaminsky,PF,Phoenix Suns,28,"7' 0""",7.0,240,Wisconsin,1669178.0,6.6,4.0,1.7
JaVale McGee,C,Phoenix Suns,33,"7' 0""",7.0,270,Nevada,5000000.0,7.3,5.2,0.8
E'Twaun Moore,SG,Phoenix Suns,32,"6' 3""",6.3,191,Purdue,,4.9,1.7,1.5
Abdel Nader,SF,Phoenix Suns,27,"6' 5""",6.5,225,Iowa State,2000000.0,6.7,2.6,0.8
Chris Paul,PG,Phoenix Suns,36,"6' 0""",6.0,175,Wake Forest,30000000.0,16.4,4.5,8.9
Cameron Payne,PG,Phoenix Suns,27,"6' 1""",6.1,183,Murray State,6500000.0,8.4,2.4,3.6
Elfrid Payton,PG,Phoenix Suns,27,"6' 3""",6.3,195,Louisiana-Lafayette,1669178.0,10.1,3.4,3.2
Dario Saric,PF,Phoenix Suns,27,"6' 10""",6.1,225,,8510000.0,8.7,3.8,1.3
Landry Shamet,SG,Phoenix Suns,24,"6' 4""",6.4,190,Wichita State,3768342.0,9.3,1.8,1.6
Jalen Smith,PF,Phoenix Suns,21,"6' 10""",6.1,215,Maryland,4458000.0,2.0,1.4,0.1
Marvin Bagley III,PF,Sacremento Kings,22,"6' 11""",6.11,235,Duke,11312114.0,14.1,7.4,1.0
Harrison Barnes,SF,Sacremento Kings,29,"6' 8""",6.8,225,North Carolina,20284091.0,16.1,6.6,3.5
Terence Davis,SG,Sacremento Kings,24,"6' 4""",6.4,201,Ole Miss,4000000.0,8.7,2.5,1.4
De'Aaron Fox,PG,Sacremento Kings,23,"6' 3""",6.3,185,Kentucky,28103550.0,25.2,3.5,7.2
Tyrese Haliburton,PG,Sacremento Kings,21,"6' 5""",6.5,185,Iowa State,4023600.0,13.0,3.0,5.3
Maurice Harkless,SF,Sacremento Kings,28,"6' 7""",6.7,220,St. John's,4347600.0,5.2,2.4,1.2
Buddy Hield,SG,Sacremento Kings,28,"6' 4""",6.4,220,Oklahoma,22768890.0,16.6,4.7,3.6
Richaun Holmes,C,Sacremento Kings,27,"6' 10""",6.1,235,Bowling Green,10384500.0,14.2,8.3,1.7
Justin James,SG,Sacremento Kings,24,"6' 7""",6.7,190,Wyoming,1782621.0,3.9,0.8,0.6
Damian Jones,C,Sacremento Kings,26,"6' 11""",6.11,245,Vanderbilt,1977011.0,4.7,3.1,0.7
Louis King,PF,Sacremento Kings,22,"6' 7""",6.7,205,Oregon,,7.3,3.0,1.5
Alex Len,C,Sacremento Kings,28,"7' 0""",7.0,250,Maryland,3732000.0,6.6,4.1,0.8
Chimezie Metu,PF,Sacremento Kings,24,"6' 9""",6.9,225,USC,1762796.0,6.3,3.1,0.8
Davion Mitchell,PG,Sacremento Kings,23,"6' 2""",6.2,205,Baylor,4603320.0,,,
Neemias Queta,C,Sacremento Kings,22,"7' 0""",7.0,245,Utah State,,,,
Jahmi'us Ramsey,SG,Sacremento Kings,20,"6' 3""",6.3,190,Texas Tech,1517981.0,3.1,0.8,0.5
Tristan Thompson,C,Sacremento Kings,30,"6' 9""",6.9,254,Texas,9720900.0,7.6,8.1,1.2
Robert Woodard II,SF,Sacremento Kings,21,"6' 6""",6.6,235,Mississippi State,1517981.0,1.5,1.2,0.2
Moses Brown,C,Dallas Mavericks,21,"7' 2""",7.2,245,UCLA,1701593.0,8.6,8.9,0.2
Sterling Brown,SF,Dallas Mavericks,26,"6' 5""",6.5,219,SMU,3000000.0,8.2,4.4,1.4
Jalen Brunson,PG,Dallas Mavericks,25,"6' 1""",6.1,190,Villanova,1802057.0,12.6,3.4,3.5
Reggie Bullock,SF,Dallas Mavericks,30,"6' 6""",6.6,205,North Carolina,9536000.0,10.9,3.4,1.5
Trey Burke,PG,Dallas Mavericks,28,"6' 0""",6.0,185,Michigan,3150000.0,6.6,0.9,1.3
Willie Cauley-Stein,C,Dallas Mavericks,28,"7' 0""",7.0,240,Kentucky,4100000.0,5.3,4.5,0.7
Luka Doncic,PG,Dallas Mavericks,22,"6' 7""",6.7,230,,10174391.0,27.7,8.0,8.6
Dorian Finney-Smith,PF,Dallas Mavericks,28,"6' 7""",6.7,220,Florida,4000000.0,9.8,5.4,1.7
Josh Green,SG,Dallas Mavericks,20,"6' 5""",6.5,200,Arizona,2957520.0,2.6,2.0,0.7
Tim Hardaway Jr.,SF,Dallas Mavericks,29,"6' 5""",6.5,205,Michigan,21308816.0,16.6,3.3,1.8
Maxi Kleber,PF,Dallas Mavericks,29,"6' 10""",6.1,240,,8975000.0,7.1,5.2,1.4
Boban Marjanovic,C,Dallas Mavericks,33,"7' 4""",7.4,290,,3500000.0,4.7,3.9,0.3
JaQuori McLaughlin,G,Dallas Mavericks,23,"6' 4""",6.4,190,UC Santa Barbara,,,,
Eugene Omoruyi,F,Dallas Mavericks,24,"6' 6""",6.6,235,Oregon,,,,
Kristaps Porzingis,C,Dallas Mavericks,26,"7' 3""",7.3,240,,31650600.0,20.1,8.9,1.6
Dwight Powell,C,Dallas Mavericks,30,"6' 10""",6.1,240,Stanford,11080125.0,5.9,4.0,1.1
JJ Redick,SG,Dallas Mavericks,37,"6' 3""",6.3,200,Duke,,7.4,1.5,1.2
Tyrell Terry,PG,Dallas Mavericks,20,"6' 2""",6.2,160,Stanford,1517981.0,1.0,0.5,0.5
D.J. Augustin,PG,Houston Rockets,33,"5' 11""",5.11,183,Texas,7000000.0,7.7,1.6,3.3
Avery Bradley,PG,Houston Rockets,30,"6' 3""",6.3,180,Texas,,6.4,2.1,1.7
Armoni Brooks,SG,Houston Rockets,23,"6' 3""",6.3,195,Houston,,11.2,3.4,1.5
Josh Christopher,SG,Houston Rockets,19,"6' 5""",6.5,215,Arizona State,2259240.0,,,
Dante Exum,PG,Houston Rockets,26,"6' 5""",6.5,214,,,3.8,2.8,2.2
Usman Garuba,PF,Houston Rockets,19,"6' 8""",6.8,230,,2353320.0,,,
Eric Gordon,SG,Houston Rockets,32,"6' 3""",6.3,215,Indiana,18218818.0,17.8,2.1,2.6
Jalen Green,SG,Houston Rockets,19,"6' 6""",6.6,178,,8992200.0,,,
Danuel House Jr.,SF,Houston Rockets,28,"6' 6""",6.6,220,Texas A&M,3894000.0,8.8,3.7,1.9
Matthew Hurt,F,Houston Rockets,21,"6' 9""",6.9,235,Duke,,,,
Anthony Lamb,SF,Houston Rockets,23,"6' 6""",6.6,227,Vermont,,5.5,2.9,1.0
Kenyon Martin Jr.,SF,Houston Rockets,20,"6' 6""",6.6,215,,1517981.0,9.3,5.4,1.1
David Nwaba,SF,Houston Rockets,28,"6' 5""",6.5,219,Cal Poly,4650000.0,9.2,3.9,1.0
Kevin Porter Jr.,SG,Houston Rockets,21,"6' 4""",6.4,203,USC,1782621.0,16.6,3.8,6.3
Alperen Sengun,C,Houston Rockets,19,"6' 9""",6.9,235,,3214680.0,,,
Jae'Sean Tate,SF,Houston Rockets,25,"6' 4""",6.4,230,Ohio State,1517981.0,11.3,5.3,2.5
Daniel Theis,C,Houston Rockets,29,"6' 8""",6.8,245,,8280351.0,9.6,5.5,1.7
Khyri Thomas,SG,Houston Rockets,25,"6' 3""",6.3,210,Creighton,1762796.0,16.4,3.6,5.0
John Wall,PG,Houston Rockets,31,"6' 3""",6.3,210,Kentucky,44310840.0,20.6,3.2,6.9
D.J. Wilson,PF,Houston Rockets,25,"6' 10""",6.1,231,Michigan,,5.2,3.2,0.7
Christian Wood,C,Houston Rockets,25,"6' 10""",6.1,214,UNLV,13666667.0,21.0,9.6,1.7
Steven Adams,C,Memphis Grizzlies,28,"6' 11""",6.11,265,Pittsburgh,17073171.0,7.6,8.9,1.9
Santi Aldama,PF,Memphis Grizzlies,20,"6' 11""",6.11,215,Loyola (MD),1994520.0,,,
Kyle Anderson,SF,Memphis Grizzlies,27,"6' 9""",6.9,230,UCLA,9937150.0,12.4,5.7,3.6
Desmond Bane,SG,Memphis Grizzlies,23,"6' 5""",6.5,215,TCU,2033160.0,9.2,3.1,1.7
Dillon Brooks,SF,Memphis Grizzlies,25,"6' 7""",6.7,225,Oregon,12200000.0,17.2,2.9,2.3
Brandon Clarke,PF,Memphis Grizzlies,24,"6' 8""",6.8,215,Gonzaga,2726880.0,10.3,5.6,1.6
Jarrett Culver,G,Memphis Grizzlies,22,"6' 6""",6.6,195,Texas Tech,6395160.0,5.3,3.1,0.7
Tim Frazier,PG,Memphis Grizzlies,30,"6' 0""",6.0,170,Penn State,,1.6,1.6,3.2
Juancho Hernangomez,F,Memphis Grizzlies,25,"6' 9""",6.9,214,,6907815.0,7.2,3.9,0.7
Jaren Jackson Jr.,PF,Memphis Grizzlies,21,"6' 11""",6.11,242,Michigan State,9180560.0,14.4,5.6,1.1
Tyus Jones,PG,Memphis Grizzlies,25,"6' 0""",6.0,196,Duke,8376286.0,6.3,2.0,3.7
John Konchar,SG,Memphis Grizzlies,25,"6' 5""",6.5,210,,2200000.0,4.3,3.0,1.1
Sean McDermott,SG,Memphis Grizzlies,24,"6' 6""",6.6,195,Butler,,2.2,1.1,0.2
De'Anthony Melton,SG,Memphis Grizzlies,23,"6' 2""",6.2,200,USC,8805976.0,9.1,3.1,2.5
Sam Merrill,SG,Memphis Grizzlies,25,"6' 4""",6.4,205,Utah State,1517981.0,3.0,1.0,0.7
Ja Morant,PG,Memphis Grizzlies,22,"6' 3""",6.3,174,Murray State,9603360.0,19.1,4.0,7.4
Daniel Oturu,C,Memphis Grizzlies,21,"6' 8""",6.8,240,Minnesota,1517981.0,1.8,1.6,0.3
Yves Pons,G,Memphis Grizzlies,22,"6' 6""",6.6,215,Tennessee,,,,
Jontay Porter,PF,Memphis Grizzlies,21,"6' 11""",6.11,240,Missouri,1950000.0,2.0,1.3,0.1
Killian Tillie,C,Memphis Grizzlies,23,"6' 9""",6.9,220,Gonzaga,,3.2,1.3,0.4
Xavier Tillman,C,Memphis Grizzlies,22,"6' 8""",6.8,245,Michigan State,1517981.0,6.6,4.3,1.3
Ziaire Williams,SG,Memphis Grizzlies,19,"6' 8""",6.8,185,Stanford,4373040.0,,,
Nickeil Alexander-Walker,SG,New Orleans Pelicans,23,"6' 6""",6.6,205,Virginia Tech,3261480.0,11.0,3.1,2.2
Wenyen Gabriel,PF,New Orleans Pelicans,24,"6' 9""",6.9,205,Kentucky,1762796.0,3.4,2.6,0.5
Devonte' Graham,G,New Orleans Pelicans,26,"6' 1""",6.1,195,Kansas,11000000.0,14.8,2.7,5.4
Josh Hart,SG,New Orleans Pelicans,26,"6' 5""",6.5,215,Villanova,12000000.0,9.2,8.0,2.3
Jaxson Hayes,C,New Orleans Pelicans,21,"6' 11""",6.11,220,Texas,5348280.0,7.5,4.3,0.6
Willy Hernangomez,C,New Orleans Pelicans,27,"6' 11""",6.11,250,,2327220.0,7.8,7.1,1.1
Brandon Ingram,SF,New Orleans Pelicans,24,"6' 8""",6.8,190,Duke,29467800.0,23.8,4.9,4.9
Herbert Jones,SF,New Orleans Pelicans,22,"6' 8""",6.8,210,Alabama,1700000.0,,,
Kira Lewis Jr.,PG,New Orleans Pelicans,20,"6' 1""",6.1,170,Alabama,3822240.0,6.4,1.3,2.3
Didi Louzada,SF,New Orleans Pelicans,22,"6' 5""",6.5,185,,1786878.0,2.7,1.0,1.0
Naji Marshall,SF,New Orleans Pelicans,23,"6' 7""",6.7,220,Xavier,1517981.0,7.7,4.6,2.8
Trey Murphy III,SG,New Orleans Pelicans,21,"6' 9""",6.9,206,Virginia,3053760.0,,,
James Nunnally,SF,New Orleans Pelicans,31,"6' 7""",6.7,205,UC Santa Barbara,,1.7,1.0,0.3
Tomas Satoransky,SG,New Orleans Pelicans,29,"6' 7""",6.7,210,,10000000.0,7.7,2.4,4.7
Garrett Temple,SF,New Orleans Pelicans,35,"6' 5""",6.5,195,LSU,4910000.0,7.6,2.9,2.2
Jonas Valanciunas,C,New Orleans Pelicans,29,"6' 11""",6.11,265,,14000000.0,17.1,12.5,1.8
Zion Williamson,PF,New Orleans Pelicans,21,"6' 7""",6.7,284,Duke,10733400.0,27.0,7.2,3.7
Al-Farouq Aminu,PF,San Antonio Spurs,30,"6' 8""",6.8,220,Wake Forest,10183800.0,4.4,4.8,1.3
Keita Bates-Diop,SF,San Antonio Spurs,25,"6' 8""",6.8,229,Ohio State,,2.6,1.6,0.4
Zach Collins,PF,San Antonio Spurs,23,"6' 11""",6.11,250,Gonzaga,7000000.0,,,
Drew Eubanks,PF,San Antonio Spurs,24,"6' 9""",6.9,245,Oregon State,1762796.0,5.8,4.5,0.8
Bryn Forbes,SG,San Antonio Spurs,28,"6' 2""",6.2,205,Cleveland State,4500000.0,10.0,1.6,0.6
DaQuan Jeffries,SG,San Antonio Spurs,24,"6' 5""",6.5,225,Western Texas Coll. (J.C.),1701593.0,4.1,2.3,0.7
Keldon Johnson,SF,San Antonio Spurs,21,"6' 5""",6.5,220,Kentucky,2145720.0,12.8,6.0,1.8
Tre Jones,PG,San Antonio Spurs,21,"6' 1""",6.1,185,Duke,1517981.0,2.5,0.6,1.1
Jock Landale,C,San Antonio Spurs,25,"6' 11""",6.11,255,Saint Mary's,925258.0,,,
Doug McDermott,SF,San Antonio Spurs,29,"6' 7""",6.7,225,Creighton,13750000.0,13.6,3.3,1.3
Dejounte Murray,PG,San Antonio Spurs,24,"6' 4""",6.4,180,Washington,15428880.0,15.7,7.1,5.4
Jakob Poeltl,C,San Antonio Spurs,25,"7' 1""",7.1,245,Utah,8750000.0,8.6,7.9,1.9
Joshua Primo,SG,San Antonio Spurs,18,"6' 6""",6.6,190,Alabama,3946800.0,,,
Luka Samanic,PF,San Antonio Spurs,21,"6' 10""",6.1,227,,2959080.0,3.7,2.1,0.5
Devin Vassell,SG,San Antonio Spurs,21,"6' 5""",6.5,200,Florida State,4235160.0,5.5,2.8,0.9
Lonnie Walker IV,SG,San Antonio Spurs,22,"6' 4""",6.4,204,Miami (FL),4447896.0,11.2,2.6,1.7
Derrick White,PG,San Antonio Spurs,27,"6' 4""",6.4,190,Colorado,15178571.0,15.4,3.0,3.5
Joe Wieskamp,SF,San Antonio Spurs,22,"6' 6""",6.6,210,Iowa,,,,
Thaddeus Young,PF,San Antonio Spurs,33,"6' 8""",6.8,235,Georgia Tech,14190000.0,12.1,6.2,4.3
Will Barton,SF,Denver Nuggets,30,"6' 6""",6.6,181,Memphis,15625000.0,12.7,4.0,3.2
Bol Bol,C,Denver Nuggets,21,"7' 2""",7.2,220,Oregon,2161152.0,2.2,0.8,0.2
Facundo Campazzo,PG,Denver Nuggets,30,"5' 10""",5.1,195,,3200000.0,6.1,2.1,3.6
Vlatko Cancar,SF,Denver Nuggets,24,"6' 8""",6.8,236,,1782621.0,2.1,1.2,0.3
PJ Dozier,SG,Denver Nuggets,24,"6' 6""",6.6,205,South Carolina,1910860.0,7.7,3.6,1.8
Aaron Gordon,PF,Denver Nuggets,25,"6' 8""",6.8,235,Arizona,16409091.0,12.4,5.7,3.2
JaMychal Green,PF,Denver Nuggets,31,"6' 8""",6.8,227,Alabama,8200000.0,8.1,4.8,0.9
Jeff Green,PF,Denver Nuggets,35,"6' 8""",6.8,235,Georgetown,4500000.0,11.0,3.9,1.6
Shaquille Harrison,SG,Denver Nuggets,27,"6' 7""",6.7,190,Tulsa,,2.1,1.4,0.7
Markus Howard,PG,Denver Nuggets,22,"5' 10""",5.1,175,Marquette,,2.8,0.6,0.5
Nah'Shon Hyland,PG,Denver Nuggets,20,"6' 3""",6.3,165,Virginia Commonwealth,2096880.0,,,
Nikola Jokic,C,Denver Nuggets,26,"6' 11""",6.11,284,,31579390.0,26.4,10.8,8.3
Monte Morris,PG,Denver Nuggets,26,"6' 2""",6.2,183,Iowa State,8449074.0,10.2,2.0,3.2
Jamal Murray,PG,Denver Nuggets,24,"6' 3""",6.3,215,Kentucky,29467800.0,21.2,4.0,4.8
Zeke Nnaji,PF,Denver Nuggets,20,"6' 9""",6.9,240,Arizona,2498760.0,3.2,1.5,0.2
Michael Porter Jr.,SF,Denver Nuggets,23,"6' 10""",6.1,218,Missouri,5258735.0,19.0,7.3,1.1
Austin Rivers,SG,Denver Nuggets,29,"6' 4""",6.4,200,Duke,1669178.0,7.9,2.3,2.3
Malik Beasley,SG,Minnesota Timberwolves,24,"6' 4""",6.4,187,Florida State,14491964.0,19.6,4.4,2.4
Patrick Beverley,PG,Minnesota Timberwolves,33,"6' 1""",6.1,180,Arkansas,14320988.0,7.5,3.2,2.1
Ed Davis,C,Minnesota Timberwolves,32,"6' 9""",6.9,218,North Carolina,,2.1,5.0,0.9
Anthony Edwards,SF,Minnesota Timberwolves,20,"6' 4""",6.4,225,Georgia,10245480.0,19.3,4.7,2.9
Nathan Knight,F,Minnesota Timberwolves,23,"6' 10""",6.1,253,William & Mary,,3.8,2.2,0.2
