Date,Team,Acquired,Relinquished,Notes
2012-12-23,Mavericks,,Bernard James,placed on IL
2012-12-23,Mavericks,Dirk Nowitzki,,activated from IL
2012-12-23,Nets,,Mirza Teletovic,placed on IL
2012-12-23,Nets,Jerry Stackhouse,,activated from IL
2012-12-23,Nets,Josh Childress,,activated from IL
2012-12-23,Suns,,Michael Beasley,placed on IL with illness
2012-12-23,Suns,Diante Garrett,,activated from IL
2012-12-23,Timberwolves,,Kevin Love,left eye injury (DNP)
2012-12-23,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2012-12-25,Heat,Chris Bosh,,activated from IL
2012-12-25,Knicks,,Rasheed Wallace,sore left foot (DNP)
2012-12-25,Nets,,Kris Humphries,placed on IL with abdominal injury
2012-12-25,Nets,Mirza Teletovic,,activated from IL
2012-12-25,Thunder,,Daniel Orton,placed on IL
2012-12-25,Thunder,DeAndre Liggins,,activated from IL
2012-12-25,Thunder,Perry Jones III,,activated from IL
2012-12-26,76ers,,Jason Richardson,strained lower back (DNP)
2012-12-26,Blazers,,Wes Matthews Jr.,placed on IL with left hip injury
2012-12-26,Blazers,Nolan Smith,,activated from IL
2012-12-26,Bobcats,,B.J. Mullens,placed on IL
2012-12-26,Bucks,,Joel Przybilla,placed on IL
2012-12-26,Bucks,Beno Udrih,,activated from IL
2012-12-26,Cavaliers,,Samardo Samuels,placed on IL
2012-12-26,Heat,,Ray Allen,placed on IL with sore right shoulder
2012-12-26,Heat,Josh Harrellson,,activated from IL
2012-12-26,Heat,Terrel Harris,,activated from IL
2012-12-26,Jazz,,Mo Williams,sprained right thumb (DNP)
2012-12-26,Knicks,,Carmelo Anthony,hyperextended left knee (DNP)
2012-12-26,Knicks,,Rasheed Wallace,sore left foot (DNP)
2012-12-26,Knicks,,Raymond Felton,fractured right pinky finger (DNP)
2012-12-26,Magic,,Glen Davis,sprained left shoulder (DNP)
2012-12-26,Nets,,Deron Williams,bruised right wrist (DNP)
2012-12-26,Pistons,,Viacheslav Kravstov ,placed on IL
2012-12-26,Pistons,Corey Maggette,,activated from IL
2012-12-26,Raptors,,Jonas Valanciunas,placed on IL with fractured right ring finger
2012-12-26,Raptors,Landry Fields,,activated from IL
2012-12-26,Spurs,,Gary Neal,strained right calf (DNP)
2012-12-26,Suns,,Diante Garrett,placed on IL
2012-12-26,Suns,Michael Beasley,,activated from IL
2012-12-26,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2012-12-26,Warriors,Jeremy Tyler,,activated from IL
2012-12-26,Warriors,Kent Bazemore,,activated from IL
2012-12-26,Grizzlies,,Tony Wroten Jr.,placed on IL
2012-12-26,Heat,,Dexter Pittman,placed on IL
2012-12-27,Celtics,,Chris Wilcox,sprained right thumb (DNP)
2012-12-27,Mavericks,,Rodrigue Beaubois,placed on IL with flu
2012-12-27,Mavericks,Bernard James,,activated from IL
2012-12-27,Thunder,,DeAndre Liggins,placed on IL
2012-12-27,Thunder,,Perry Jones III,placed on IL
2012-12-28,Hawks,,DeShawn Stevenson,knee injury (DNP)
2012-12-28,Hawks,,Ivan Johnson,illness (DNP)
2012-12-28,Heat,,Josh Harrellson,placed on IL
2012-12-28,Heat,Ray Allen,,activated from IL
2012-12-28,Hornets,Jason Smith,,activated from IL
2012-12-28,Jazz,,Mo Williams,sprained right thumb (DNP)
2012-12-28,Knicks,,Carmelo Anthony,hyperextended left knee (DNP)
2012-12-28,Knicks,,Rasheed Wallace,sore left foot (DNP)
2012-12-28,Knicks,,Raymond Felton,fractured right pinky finger (DNP)
2012-12-28,Magic,,Glen Davis,sprained left shoulder (DNP)
2012-12-28,Mavericks,,Bernard James,placed on IL
2012-12-28,Mavericks,Rodrigue Beaubois,,activated from IL
2012-12-28,Nets,,Tornike Shengelia,placed on IL with flu
2012-12-28,Nets,Josh Childress,,activated from IL (P)
2012-12-28,Nuggets,,Quincy Miller,placed on IL
2012-12-28,Nuggets,Julyan Stone,,activated from IL
2012-12-28,Pacers,,Orlando Johnson,placed on IL
2012-12-28,Pacers,,Sam Young,flu (DNP)
2012-12-28,Pacers,Gerald Green ,,activated from IL
2012-12-28,Pistons,,Rodney Stuckey,placed on IL with sprained left ankle
2012-12-28,Pistons,Khris Middleton,,activated from IL
2012-12-28,Raptors,Kyle Lowry,,activated from IL
2012-12-28,Rockets,,Carlos Delfino,illness (DNP)
2012-12-28,Spurs,,Gary Neal,strained right calf (DNP)
2012-12-28,Suns,,Goran Dragic,placed on IL with bruised/sore left hip
2012-12-28,Suns,Diante Garrett,,activated from IL
2012-12-28,Wizards,,A.J. Price,fractured right hand (DNP)
2012-12-28,Wizards,,Trevor Ariza,strained left calf (DNP)
2012-12-29,Bucks,,Doron Lamb,placed on IL
2012-12-29,Bucks,Tobias Harris,,activated from IL
2012-12-29,Bulls,Richard Hamilton,,activated from IL
2012-12-29,Cavaliers,,Daniel Gibson,placed on IL with concussion
2012-12-29,Celtics,,Rajon Rondo,hip injury (DNP)
2012-12-29,Hawks,,Anthony Morrow,strained right hip (DTD)
2012-12-29,Hawks,,Josh Smith,hip flexor injury (DNP)
2012-12-29,Heat,,Udonis Haslem,placed on IL with shoulder injury
2012-12-29,Heat,Josh Harrellson,,activated from IL
2012-12-29,Hornets,,Darius Miller,placed on IL
2012-12-29,Hornets,Eric Gordon,,activated from IL
2012-12-29,Magic,,E'Twaun Moore,sprained left elbow (DNP)
2012-12-29,Magic,,Glen Davis,placed on IL with sprained left shoulder
2012-12-29,Magic,,Jameer Nelson,sore left hip (DNP)
2012-12-29,Magic,Hedo Turkoglu,,activated from IL
2012-12-29,Nets,Tornike Shengelia,,activated from IL
2012-12-29,Pacers,,Sam Young,flu (DNP)
2012-12-29,Rockets,,Carlos Delfino,illness (DNP)
2012-12-29,Rockets,,Terrence Jones,placed on IL
2012-12-29,Rockets,Patrick Patterson,,activated from IL
2012-12-29,Suns,,Jermaine O'Neal,placed on IL
2012-12-29,Suns,Goran Dragic,,activated from IL
2012-12-29,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2012-12-29,Timberwolves,,Ricky Rubio,back spasms (DNP)
2012-12-29,Wizards,,A.J. Price,fractured right hand (DNP)
2012-12-29,Wizards,,Jordan Crawford,sore left ankle (DNP)
2012-12-29,Wizards,,Trevor Ariza,strained left calf (DNP)
2012-12-30,Celtics,,Chris Wilcox,sprained right thumb (DNP)
2012-12-30,Jazz,,Marvin Williams,right knee inflammation (DNP)
2012-12-30,Jazz,,Mo Williams,sprained right thumb (DNP)
2012-12-30,Kings,,Aaron Brooks,sore left ankle (DNP)
2012-12-30,Spurs,,Gary Neal,strained right calf (DNP)
2012-12-31,Bobcats,,Michael Kidd-Gilchrist,scratched cornea (DNP)
2012-12-31,Bulls,,Kirk Hinrich,left knee injury (DNP)
2012-12-31,Grizzlies,,Quincy Pondexter,placed on IL with sprained MCL in left knee
2012-12-31,Heat,,Terrel Harris,placed on IL
2012-12-31,Heat,Udonis Haslem,,activated from IL
2012-12-31,Magic,,E'Twaun Moore,sprained left elbow (DNP)
2012-12-31,Magic,,Gustavo Ayon,bruised right thigh (DNP)
2012-12-31,Magic,,Jameer Nelson,sore left hip (DNP)
2012-12-31,Nets,,Gerald Wallace,placed on IL with sore/bruised left knee
2012-12-31,Nets,Kris Humphries,,activated from IL
2012-12-31,Pacers,,George Hill,strained right groin (DNP)
2012-12-31,Spurs,,Gary Neal,strained right calf (DNP)
2012-12-31,Suns,,Diante Garrett,placed on IL
2012-12-31,Suns,Jermaine O'Neal,,activated from IL
2012-12-31,Grizzlies,Tony Wroten Jr.,,activated from IL
2012-12-31,Thunder,DeAndre Liggins,,activated from IL
2012-12-31,Thunder,Perry Jones III,,activated from IL
2013-01-01,Blazers,,Meyers Leonard,placed on IL with sprained right ankle
2013-01-01,Blazers,Wes Matthews Jr.,,activated from IL
2013-01-01,Hawks,,Anthony Morrow,strained right hip (DNP)
2013-01-01,Kings,,Marcus Thornton ,sprained left ankle (DNP)
2013-01-01,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-01,Knicks,,Raymond Felton,placed on IL with fractured right pinky finger
2013-01-01,Knicks,Amar'e Stoudemire,,activated from IL
2013-01-01,Lakers,,Chris Duhon,back spasms (DNP)
2013-01-01,Mavericks,,Brandan Wright,placed on IL with strained left quadricep
2013-01-01,Mavericks,Bernard James,,activated from IL
2013-01-01,Nuggets,,Ty Lawson,strained left Achilles tendon (DNP)
2013-01-01,Wizards,,A.J. Price,fractured right hand (DNP)
2013-01-01,Wizards,,Trevor Ariza,strained left calf (DNP)
2013-01-02,Bucks,,Beno Udrih,placed on IL with right ankle injury
2013-01-02,Bucks,Doron Lamb,,activated from IL
2013-01-02,Bulls,,Joakim Noah,flu (DNP)
2013-01-02,Bulls,,Vladimir Radmanovic,flu (DNP)
2013-01-02,Celtics,,Chris Wilcox,placed on IL sprained right thumb
2013-01-02,Celtics,,Kris Joseph,sprained right ankle (DNP)
2013-01-02,Celtics,Avery Bradley,,activated from IL
2013-01-02,Hornets,,Eric Gordon,right knee injury (DNP)
2013-01-02,Jazz,,Mo Williams,surgery on right thumb (out indefinitely)
2013-01-02,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
2013-01-02,Kings,,Marcus Thornton ,sprained left ankle (DNP)
2013-01-02,Magic,,E'Twaun Moore,sprained left elbow (DNP)
2013-01-02,Nets,,C.J. Watson,right knee injury (DTD)
2013-01-02,Nets,,Jerry Stackhouse,placed on IL with hamstring injury
2013-01-02,Nets,Gerald Wallace,,activated from IL
2013-01-02,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-02,Rockets,,Cole Aldrich,flu (DNP)
2013-01-02,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2013-01-02,Timberwolves,,Ricky Rubio,back spasms (DNP)
2013-01-02,Wizards,,A.J. Price,fractured right hand (DNP)
2013-01-02,Wizards,,Trevor Ariza,strained left calf (DNP)
2013-01-02,Celtics,,Fab Melo,concussion (DTD)
2013-01-03,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-03,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2013-01-03,Timberwolves,,Ricky Rubio,back spasms (DNP)
2013-01-04,Bobcats,Tyrus Thomas,,activated from IL
2013-01-04,Bucks,,Doron Lamb,placed on IL
2013-01-04,Bucks,Beno Udrih,,activated from IL
2013-01-04,Cavaliers,,Jon Leuer,placed on IL
2013-01-04,Cavaliers,Samardo Samuels,,activated from IL
2013-01-04,Clippers,,Jamal Crawford,sore left foot (DNP)
2013-01-04,Grizzlies,,Zach Randolph,flu (DNP)
2013-01-04,Hawks,,Anthony Morrow,strained right hip (DNP)
2013-01-04,Hawks,,Johan Petro,sore back / flu (DNP)
2013-01-04,Jazz,,Enes Kanter,sprained right ankle (DNP)
2013-01-04,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
2013-01-04,Kings,,Marcus Thornton ,sprained left ankle (DNP)
2013-01-04,Nets,,Kris Humphries,placed on IL with sprained left ankle
2013-01-04,Nets,Jerry Stackhouse,,activated from IL
2013-01-04,Pacers,,Miles Plumlee,placed on IL
2013-01-04,Pacers,,Sam Young,sprained left ankle (DNP)
2013-01-04,Pistons,,Khris Middleton,placed on IL
2013-01-04,Pistons,Rodney Stuckey,,activated from IL
2013-01-04,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-04,Wizards,,A.J. Price,fractured right hand (DNP)
2013-01-04,Wizards,,Trevor Ariza,strained left calf (DNP)
2013-01-04,Pacers,Orlando Johnson,,activated from IL
2013-01-05,Bucks,,Ersan Ilyasova,placed on IL with sprained right ankle
2013-01-05,Bucks,,Sam Young,sprained left ankle (DNP)
2013-01-05,Bucks,Doron Lamb,,activated from IL
2013-01-05,Cavaliers,,Samardo Samuels,illness (DNP)
2013-01-05,Clippers,,Jamal Crawford,sore left foot (DNP)
2013-01-05,Hawks,,Anthony Morrow,strained right hip (DNP)
2013-01-05,Jazz,,Enes Kanter,sprained right ankle (DNP)
2013-01-05,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
2013-01-05,Kings,,Marcus Thornton ,sprained left ankle (DNP)
2013-01-05,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-05,Magic,,E'Twaun Moore,sprained left elbow (DNP)
2013-01-05,Magic,,Gustavo Ayon,bruised right thigh (DNP)
2013-01-05,Spurs,,Stephen Jackson,sprained right ankle (DNP)
2013-01-05,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
2013-01-05,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2013-01-05,Timberwolves,,Ricky Rubio,back spasms (DNP)
2013-01-06,Bobcats,,Hakim Warrick,placed on IL with illness
2013-01-06,Pistons,,Corey Maggette,placed on IL with flu
2013-01-06,Pistons,Khris Middleton,,activated from IL
2013-01-06,Raptors,,Aaron Gray,flu (DNP)
2013-01-06,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-06,Wizards,,A.J. Price,fractured right hand (DNP)
2013-01-06,Wizards,,Trevor Ariza,strained left calf (DNP)
2013-01-07,Blazers,,Will Barton,placed on IL
2013-01-07,Jazz,,Mo Williams,recovering from surgery on right thumb (DNP)
2013-01-07,Kings,,Marcus Thornton ,placed on IL with sprained left ankle
2013-01-07,Kings,Tyreke Evans,,activated from IL
2013-01-07,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-07,Magic,,E'Twaun Moore,strained left elbow (DNP)
2013-01-07,Magic,,Gustavo Ayon,bruised right thigh (DNP)
2013-01-07,Mavericks,Jared Cunningham,,activated from IL
2013-01-07,Wizards,,Cartier Martin,hyperextended left knee (DNP)
2013-01-07,Wizards,,Jordan Crawford,sore left ankle (DNP)
2013-01-07,Wizards,,Nene Hilario ,right knee tendinitis (DNP)
2013-01-07,Cavaliers,Jon Leuer,,activated from IL
2013-01-08,76ers,Arnett Moultrie,,activated from IL
2013-01-08,Bucks,,Doron Lamb,placed on IL
2013-01-08,Bucks,Ersan Ilyasova,,activated from IL
2013-01-08,Hawks,,Johan Petro,sore back (DNP)
2013-01-08,Lakers,,Dwight Howard,right shoulder injury (DNP)
2013-01-08,Lakers,,Jordan Hill,right hip injury (DNP)
2013-01-08,Lakers,,Pau Gasol,concussion (DNP)
2013-01-08,Nets,Kris Humphries,,activated from IL
2013-01-08,Rockets,,Patrick Beverley,placed on IL
2013-01-08,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
2013-01-08,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2013-01-09,Bulls,,Kirk Hinrich,right elbow injury (DNP)
2013-01-09,Cavaliers,,C.J. Miles,back spasms (DNP)
2013-01-09,Hawks,,Anthony Morrow,strained right hip (DNP)
2013-01-09,Hawks,,DeShawn Stevenson,placed on IL with knee injury
2013-01-09,Hawks,Devin Harris,,activated from IL
2013-01-09,Jazz,,Marvin Williams,right knee inflammation (DNP)
2013-01-09,Jazz,,Mo Williams,placed on IL recovering from surgery on right thumb
2013-01-09,Jazz,Kevin Murphy,,activated from IL
2013-01-09,Lakers,,Dwight Howard,right shoulder injury (DNP)
2013-01-09,Lakers,,Jordan Hill,left hip injury (DNP)
2013-01-09,Lakers,,Pau Gasol,concussion (DNP)
2013-01-09,Magic,,E'Twaun Moore,sprained left elbow (DNP)
2013-01-09,Magic,,Gustavo Ayon,bruised right thigh (DNP)
2013-01-09,Magic,,Hedo Turkoglu,left hand injury (DTD)
2013-01-09,Mavericks,,Bernard James,placed on IL
2013-01-09,Mavericks,,Jared Cunningham,placed on IL
2013-01-09,Mavericks,Brandan Wright,,activated from IL
2013-01-09,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-09,Raptors,,Terrence Ross,sprained left ankle (DNP)
2013-01-09,Timberwolves,,Jose Barea ,back spasms (DNP)
2013-01-09,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
2013-01-09,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2013-01-10,Blazers,Will Barton,,activated from IL
2013-01-10,Cavaliers,,Anderson Varejao,surgery on right knee to repair torn muscle
2013-01-10,Heat,,Shane Battier,placed on IL with right hamstring injury
2013-01-10,Kings,,Tyler Honeycutt,placed on IL
2013-01-10,Kings,Marcus Thornton ,,activated from IL
2013-01-10,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-10,Mavericks,,Dominique Jones,placed on IL
2013-01-10,Mavericks,Bernard James,,activated from IL
2013-01-11,Bobcats,Hakim Warrick,,activated from IL
2013-01-11,Grizzlies,Quincy Pondexter,,activated from IL
2013-01-11,Hawks,,Anthony Morrow,placed on IL
2013-01-11,Hawks,DeShawn Stevenson,,activated from IL
2013-01-11,Jazz,,Marvin Williams,right knee inflammation (DNP)
2013-01-11,Knicks,,Marcus Camby,strained left foot (DNP)
2013-01-11,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-11,Lakers,,Dwight Howard,right shoulder injury (DNP)
2013-01-11,Lakers,,Jordan Hill,left hip injury (DNP)
2013-01-11,Lakers,,Pau Gasol,concussion (DNP)
2013-01-11,Nets,,Kris Humphries,sore left ankle (DNP)
2013-01-11,Nets,,Mirza Teletovic,illness (DNP)
2013-01-11,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-11,Timberwolves,,Jose Barea ,back spasms (DNP)
2013-01-11,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
2013-01-11,Timberwolves,,Lazar Hayward,illness (DNP)
2013-01-11,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2013-01-11,Warriors,,Andris Biedrins,strained right groin (DNP)
2013-01-11,Grizzlies,,Tony Wroten Jr.,placed on IL
2013-01-12,Clippers,Grant Hill,,activated from IL
2013-01-12,Grizzlies,,Quincy Pondexter,sprained MCL in left knee (DNP)
2013-01-12,Jazz,,Marvin Williams,right knee inflammation (DNP)
2013-01-12,Kings,,Aaron Brooks,placed on IL with flu
2013-01-12,Kings,Tyler Honeycutt,,activated from IL
2013-01-12,Magic,,Gustavo Ayon,bruised right thigh (DNP)
2013-01-12,Pacers,,Paul George,placed on IL with illness
2013-01-12,Pacers,Miles Plumlee,,activated from IL
2013-01-12,Suns,,Jared Dudley,right wrist injury (DTD)
2013-01-12,Timberwolves,,Malcom Lee,surgery on right knee and right hip (out for season) (date approximate)
2013-01-12,Wizards,,Cartier Martin,placed on IL with hyperextended left knee
2013-01-12,Wizards,,Jordan Crawford,sore left ankle (DNP)
2013-01-12,Wizards,John Wall ,,activated from IL
2013-01-12,Wizards,Trevor Booker,,activated from IL
2013-01-13,Cavaliers,Daniel Gibson,,activated from IL
2013-01-13,Knicks,,Marcus Camby,strained plantar fascia in left foot (DNP)
2013-01-13,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-13,Lakers,,Jordan Hill,placed on IL with left hip injury
2013-01-13,Lakers,,Pau Gasol,concussion (DNP)
2013-01-13,Nets,,Gerald Wallace,bruised ribs (DTD)
2013-01-13,Nuggets,,Julyan Stone,placed on IL
2013-01-13,Nuggets,Wilson Chandler,,activated from IL
2013-01-13,Pacers,,Miles Plumlee,placed on IL
2013-01-13,Pacers,Paul George,,activated from IL
2013-01-13,Thunder,,Serge Ibaka,placed on IL with bruised chest
2013-01-13,Thunder,,Thabo Sefolosha,strained neck (DNP)
2013-01-13,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
2013-01-13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
2013-01-13,Warriors,,Andris Biedrins,strained right groin (DNP)
2013-01-13,Thunder,Daniel Orton,,activated from IL
2013-01-14,Clippers,,Chris Paul,bruised right knee (DNP)
2013-01-14,Grizzlies,Quincy Pondexter,,activated from IL
2013-01-14,Hawks,,DeShawn Stevenson,sore right knee (DNP)
2013-01-14,Kings,,Tyler Honeycutt,placed on IL
2013-01-14,Kings,Aaron Brooks,,activated from IL
2013-01-14,Magic,,Gustavo Ayon,placed on IL with bruised right thigh
2013-01-14,Magic,Glen Davis,,activated from IL
2013-01-14,Spurs,,Manu Ginobili,strained left hamstring (out indefinitely)
2013-01-14,Suns,,Jared Dudley,strained right wrist (DNP)
2013-01-14,Suns,,Jermaine O'Neal,back spasms (DNP)
2013-01-14,Wizards,,Jordan Crawford,sore left ankle (DNP)
2013-01-14,Wizards,,Trevor Booker,sprained left ankle (DNP)
2013-01-15,Clippers,,Chris Paul,bruised right knee (DNP)
2013-01-15,Nets,,Gerald Wallace,placed on IL with bruised ribs
2013-01-15,Nets,,Tornike Shengelia,placed on IL
2013-01-15,Rockets,Patrick Beverley,,activated from IL
2013-01-15,Timberwolves,,Kevin Love,surgery to repair fractured right hand/finger
2013-01-16,Celtics,Chris Wilcox,,activated from IL
2013-01-16,Heat,,Josh Harrellson,placed on IL
2013-01-16,Heat,Shane Battier,,activated from IL
2013-01-16,Hornets,,Eric Gordon,sore right knee / rest (DNP)
2013-01-16,Mavericks,,Dominique Jones,placed on IL (P)
2013-01-16,Mavericks,Bernard James,,activated from IL (P)
2013-01-16,Nets,Gerald Wallace,,activated from IL
2013-01-16,Nuggets,,Wilson Chandler,placed on IL
2013-01-16,Nuggets,Julyan Stone,,activated from IL
2013-01-16,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-16,Spurs,,Manu Ginobili,placed on IL with strained left hamstring
2013-01-16,Spurs,Cory Joseph,,activated from IL
2013-01-16,Thunder,,Daniel Orton,placed on IL
2013-01-16,Thunder,Serge Ibaka,,activated from IL
2013-01-16,Warriors,,Stephen Curry,sprained right ankle (DNP)
2013-01-16,Wizards,,Jordan Crawford,sore left ankle (DNP)
2013-01-16,Wizards,,Trevor Booker,sprained left ankle (DNP)
2013-01-17,Clippers,,Chris Paul,bruised right knee (DNP)
2013-01-17,Heat,,Jarvis Varnado,placed on IL
2013-01-17,Heat,Dexter Pittman,,activated from IL
2013-01-17,Knicks,,Marcus Camby,placed on IL with strained plantar fascia in left foot
2013-01-17,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-17,Knicks,Iman Shumpert,,activated from IL
2013-01-17,Pistons,,Khris Middleton,placed on IL
2013-01-17,Pistons,,Kim English,placed on IL
2013-01-17,Pistons,Corey Maggette,,activated from IL
2013-01-17,Pistons,Viacheslav Kravstov ,,activated from IL
2013-01-17,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-01-17,Timberwolves,,Malcom Lee,recovering from surgery on right knee and right hip
2013-01-18,76ers,,Kwame Brown,sinus infection (DTD)
2013-01-18,Celtics,,Avery Bradley,bruised ribs (DNP)
2013-01-18,Grizzlies,,Zach Randolph,strained lower back (DNP)
2013-01-18,Hawks,,Al Horford,left hamstring injury (DNP)
2013-01-18,Hawks,,DeShawn Stevenson,sore right knee (DNP)
2013-01-18,Pacers,,Gerald Green ,illness (DNP)
2013-01-19,Blazers,,Sasha Pavlovic,placed on IL
2013-01-19,Blazers,Meyers Leonard,,activated from IL
2013-01-19,Bulls,,Luol Deng,strained right hamstring (DNP)
2013-01-19,Hawks,,Lou Williams,placed on IL with torn ACL in right knee (out for season)
2013-01-19,Hawks,Anthony Morrow,,activated from IL
2013-01-19,Hornets,,Brian Roberts,sprained left ankle (DNP)
2013-01-19,Spurs,,Tim Duncan,rest (DNP)
2013-01-19,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
2013-01-19,Timberwolves,,Dante Cunningham,illness (DNP)
2013-01-19,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-01-19,Timberwolves,,Malcom Lee,placed on IL recovering from surgery on right knee and right hip (out for season)
2013-01-19,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
2013-01-19,Warriors,,David Lee,sprained left ankle (DNP)
2013-01-20,Mavericks,,Rodrigue Beaubois,placed on IL
2013-01-20,Mavericks,Dominique Jones,,activated from IL
2013-01-20,Pistons,,Viacheslav Kravstov ,placed on IL
2013-01-20,Pistons,Kim English,,activated from IL
2013-01-20,Raptors,,Linas Kleiza,sore right knee (DNP)
2013-01-21,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-21,Bulls,,Luol Deng,strained right hamstring (DNP)
2013-01-21,Cavaliers,,Anderson Varejao,blood clot in right lung (out for season)
2013-01-21,Hawks,,Anthony Morrow,placed on IL
2013-01-21,Hawks,,Devin Harris,sprained left ankle (DNP)
2013-01-21,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-21,Nets,,Tyshawn Taylor,placed on IL
2013-01-21,Nets,Jerry Stackhouse,,activated from IL (P)
2013-01-21,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
2013-01-21,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-01-21,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
2013-01-22,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-22,Bucks,,Doron Lamb,ankle injury (DTD)
2013-01-22,Bucks,,Marquis Daniels,placed on IL with illness
2013-01-22,Bucks,Joel Przybilla,,activated from IL
2013-01-22,Cavaliers,,C.J. Miles,illness (DNP)
2013-01-22,Clippers,,Chris Paul,bruised right kneecap (DNP)
2013-01-22,Magic,,Hedo Turkoglu,placed on IL
2013-01-22,Magic,Gustavo Ayon,,activated from IL
2013-01-22,Thunder,,Jeremy Lamb,placed on IL with back injury
2013-01-23,Grizzlies,,Jon Leuer,placed on IL
2013-01-23,Grizzlies,Quincy Pondexter,,activated from IL (P)
2013-01-23,Hawks,,Al Horford,sore left calf (P) / hamstring (CBC) (DNP)
2013-01-23,Hawks,,Devin Harris,sprained left ankle (DNP)
2013-01-23,Hawks,,Zaza Pachulia,sore right Achilles tendon (DNP)
2013-01-23,Lakers,,Jordan Hill,"surgery on left hip to remove loose fragments, repair a torn labrum, and microfracture to repair damaged cartilage (out indefinitely)"
2013-01-23,Spurs,,Kawhi Leonard,placed on IL with left knee injury
2013-01-23,Spurs,,Tim Duncan,rest (DTD)
2013-01-23,Spurs,Manu Ginobili,,activated from IL
2013-01-23,Suns,,Jermaine O'Neal,placed on IL
2013-01-23,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
2013-01-23,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-01-23,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
2013-01-24,Clippers,,Chris Paul,bruised right kneecap (DNP)
2013-01-24,Knicks,,Rasheed Wallace,sore left foot (DNP)
2013-01-25,Bulls,,Luol Deng,strained right hamstring (DNP)
2013-01-25,Grizzlies,,Quincy Pondexter,sprained MCL in left knee (DNP)
2013-01-25,Grizzlies,Jon Leuer,,activated from IL
2013-01-25,Mavericks,,Dominique Jones,placed on IL
2013-01-25,Mavericks,Rodrigue Beaubois,,activated from IL
2013-01-25,Spurs,Kawhi Leonard,,activated from IL
2013-01-25,Timberwolves,,Alexey Shved,sprained left ankle (DNP)
2013-01-25,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2013-01-25,Timberwolves,,Nikola Pekovic,bruised right quadricep (DNP)
2013-01-26,76ers,,Jason Richardson,left knee synovitis (DNP)
2013-01-26,Bucks,,Joel Przybilla,placed on IL
2013-01-26,Bucks,Marquis Daniels,,activated from IL
2013-01-26,Bulls,,Luol Deng,strained right hamstring (DNP)
2013-01-26,Cavaliers,,Luke Walton,sore left foot/ankle (DNP)
2013-01-26,Clippers,,Chris Paul,bruised right kneecap (DNP)
2013-01-26,Knicks,,Rasheed Wallace,placed on IL with fractured left foot
2013-01-26,Knicks,Raymond Felton,,activated from IL
2013-01-26,Pacers,,Gerald Green ,placed on IL with illness
2013-01-26,Pacers,Miles Plumlee,,activated from IL
2013-01-26,Raptors,,Linas Kleiza,sore right knee (DNP)
