Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Turnkey,Fredrick Pfliiger,Gunfire,"Sunday, November 11, 1928",1928,November,Sunday,"Massachusetts Department of Correction, MA",Massachusetts,0
Police Officer,Joseph P. McGovern,Vehicular assault,"Sunday, November 11, 1928",1928,November,Sunday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Officer,John DeLisle,Gunfire,"Monday, November 12, 1928",1928,November,Monday,"Schofield Police Department, WI",Wisconsin,0
Patrolman,George A. Walls,Motorcycle crash,"Sunday, November 18, 1928",1928,November,Sunday,"Long Beach Police Department, CA",California,0
Special Police Officer,John Patrick Murphy,Automobile crash,"Sunday, November 18, 1928",1928,November,Sunday,"Westchester County Parkway Police Department, NY",New York,0
Sergeant,John Joseph Shanahan,Struck by vehicle,"Monday, November 19, 1928",1928,November,Monday,"Revere Police Department, MA",Massachusetts,0
Sergeant,Joseph F. Carroll,Gunfire,"Monday, November 19, 1928",1928,November,Monday,"Baltimore City Police Department, MD",Maryland,0
Constable,Arvid Lundgren,Gunfire,"Wednesday, November 21, 1928",1928,November,Wednesday,"Koochiching County Sheriff's Department, MN",Minnesota,0
Patrolman,Harry R. Ohle,Gunfire,"Thursday, November 22, 1928",1928,November,Thursday,"Denver Police Department, CO",Colorado,0
Night Police Chief,Albert J. DuFriend,Duty related illness,"Thursday, November 22, 1928",1928,November,Thursday,"Newton Police Department, KS",Kansas,0
Justice of the Peace,Andrew Jackson AJ Thornsberry,Gunfire,"Thursday, November 22, 1928",1928,November,Thursday,"Knott County Fiscal Court, KY",Kentucky,0
Constable,Will Thornsberry,Gunfire,"Thursday, November 22, 1928",1928,November,Thursday,"Knott County Constable's Office, KY",Kentucky,0
Officer,Frederick N. Spooncer,Automobile crash,"Saturday, November 24, 1928",1928,November,Saturday,"San Francisco Police Department, CA",California,0
Police Officer,Ralph Wayne Pogue,Gunfire,"Sunday, November 25, 1928",1928,November,Sunday,"Bloomington Police Department, IN",Indiana,0
Patrolman,John Shepela,Gunfire (Inadvertent),"Sunday, November 25, 1928",1928,November,Sunday,"Newport Township Police Department, PA",Pennsylvania,0
Captain,William H. Poore,Fall,"Thursday, November 29, 1928",1928,November,Thursday,"Paducah Police Department, KY",Kentucky,0
Detective,James R. Mescall,Automobile crash,"Monday, December 3, 1928",1928,December,Monday,"Chicago Police Department, IL",Illinois,0
Federal Prohibition Agent,Patrick Cleburne Sharp,Exposure to toxins,"Wednesday, December 5, 1928",1928,December,Wednesday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Chief of Police,Leroy Gilbert,Gunfire,"Thursday, December 6, 1928",1928,December,Thursday,"South Chicago Heights Police Department, IL",Illinois,0
Officer,Daniel A. Weisbrod,Gunfire,"Thursday, December 6, 1928",1928,December,Thursday,"Norfolk Police Department, VA",Virginia,0
Patrolman,Michael J. Lynch,Gunfire,"Saturday, December 8, 1928",1928,December,Saturday,"Chicago Police Department, IL",Illinois,0
Policeman,Charles J. Sheer,Struck by streetcar,"Monday, December 10, 1928",1928,December,Monday,"Philadelphia Police Department, PA",Pennsylvania,0
Deputy Sheriff,James Crawford Drake,Gunfire,"Tuesday, December 11, 1928",1928,December,Tuesday,"Madison County Sheriff's Office, AL",Alabama,0
Deputy Sheriff,James H. Jenkins,Gunfire,"Tuesday, December 11, 1928",1928,December,Tuesday,"Craighead County Sheriff's Department, AR",Arkansas,0
Chief Deputy Sheriff,Herbert E. Locke,Gunfire,"Tuesday, December 11, 1928",1928,December,Tuesday,"Cascade County Sheriff's Office, MT",Montana,0
Game Warden,James Edward Morton,Gunfire,"Thursday, December 13, 1928",1928,December,Thursday,"Georgia Department of Natural Resources, GA",Georgia,0
Deputy Sheriff,W. R. Richardson,Motorcycle crash,"Friday, December 14, 1928",1928,December,Friday,"Collier County Sheriff's Office, FL",Florida,0
Patrolman,Joseph Asbury Case,Motorcycle crash,"Monday, December 17, 1928",1928,December,Monday,"Montgomery County Police Department, MD",Maryland,0
Detective,Alex Brown,Gunfire,"Tuesday, December 18, 1928",1928,December,Tuesday,"Joplin Police Department, MO",Missouri,0
Patrolman,Peter A. Reddy,Gunfire,"Thursday, December 20, 1928",1928,December,Thursday,"Martins Ferry Police Department, OH",Ohio,0
Patrolman,Charles Faust,Struck by vehicle,"Friday, December 21, 1928",1928,December,Friday,"Passaic Police Department, NJ",New Jersey,0
Patrolman,John Joseph Schemm,Fall,"Friday, December 21, 1928",1928,December,Friday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Deputy Sheriff,Mack Summers,Gunfire,"Sunday, December 23, 1928",1928,December,Sunday,"Perry County Sheriff's Office, KY",Kentucky,0
Town Marshal,Mat Holland,Gunfire,"Sunday, December 23, 1928",1928,December,Sunday,"Combs Police Department, KY",Kentucky,0
Patrolman,Harold Haltam,Gunfire,"Sunday, December 23, 1928",1928,December,Sunday,"Buffalo Police Department, NY",New York,0
Patrolman,Gerald M. Tracey,Vehicle pursuit,"Sunday, December 23, 1928",1928,December,Sunday,"Binghamton Police Department, NY",New York,0
Inspector,Thomas Sampson Morriss,Gunfire,"Sunday, December 23, 1928",1928,December,Sunday,"United States Department of the Treasury - United States Customs Service, US",United States,0
Deputy Sheriff,John Perry Hood,Gunfire,"Monday, December 24, 1928",1928,December,Monday,"Greene County Sheriff's Office, AL",Alabama,0
Chief of Police,Samuel Perry Cardwell,Struck by vehicle,"Monday, December 24, 1928",1928,December,Monday,"Bloomington Police Department, IN",Indiana,0
Sergeant,Francis Cyril Guest,Vehicular assault,"Tuesday, December 25, 1928",1928,December,Tuesday,"Coral Gables Police Department, FL",Florida,0
Patrol Inspector,Robert H. Lobdell,Gunfire,"Tuesday, December 25, 1928",1928,December,Tuesday,"United States Department of Labor - Immigration Service - United States Border Patrol, US",United States,0
Sergeant,John D. Duvall,Stabbed,"Thursday, December 27, 1928",1928,December,Thursday,"Mississippi Department of Corrections, MS",Mississippi,0
Narcotics Agent,James Raphael Kerrigan,Fall,"Thursday, December 27, 1928",1928,December,Thursday,"United States Department of the Treasury - Bureau of Prohibition, US",United States,0
Trooper,Peter Gladys,Stabbed,"Friday, December 28, 1928",1928,December,Friday,"New Jersey State Police, NJ",New Jersey,0
Officer,Harris Milner,Vehicle pursuit,"Tuesday, January 1, 1929",1929,January,Tuesday,"Northport Police Department, AL",Alabama,0
Federal Prohibition Agent,Charles F. Alexander,Heart attack,"Wednesday, January 2, 1929",1929,January,Wednesday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Patrolman,James L. Lindesmith,Struck by vehicle,"Wednesday, January 2, 1929",1929,January,Wednesday,"Canton Police Department, OH",Ohio,0
Patrolman,Henry J. Lange,Animal related,"Thursday, January 3, 1929",1929,January,Thursday,"Chicago Police Department, IL",Illinois,0
Policeman,Grant Smith,Gunfire,"Friday, January 4, 1929",1929,January,Friday,"Evarts Police Department, KY",Kentucky,0
Police Officer,John Bauer,Vehicular assault,"Friday, January 4, 1929",1929,January,Friday,"Cheektowaga Police Department, NY",New York,0
Deputy Sheriff,Earl R. Haslam,Motorcycle crash,"Friday, January 4, 1929",1929,January,Friday,"Milwaukee County Sheriff's Office, WI",Wisconsin,0
Policeman,Pablo Cordero-Rosa,Stabbed,"Monday, January 7, 1929",1929,January,Monday,"Puerto Rico Police Department, PR",Puerto Rico,0
Constable,David Thomas Bud Palmer,Gunfire,"Tuesday, January 8, 1929",1929,January,Tuesday,"Pumpkin Center Police Department, OK",Oklahoma,0
Police Officer,John J. Walsh,Vehicular assault,"Wednesday, January 9, 1929",1929,January,Wednesday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Chief Deputy Sheriff,James Franklin Barbaree,Gunfire,"Thursday, January 10, 1929",1929,January,Thursday,"Bullock County Sheriff's Office, AL",Alabama,0
Night Policeman,William Lee Johnson,Gunfire,"Friday, January 11, 1929",1929,January,Friday,"Walton Police Department, KY",Kentucky,0
Deputy Sheriff,George W. Clemons,Gunfire,"Friday, January 11, 1929",1929,January,Friday,"Breathitt County Sheriff's Office, KY",Kentucky,0
Patrolman,Albert Bruder,Vehicle pursuit,"Friday, January 11, 1929",1929,January,Friday,"New York City Police Department, NY",New York,0
Inspector,Phillip C. Via,Motorcycle crash,"Friday, January 11, 1929",1929,January,Friday,"Virginia Division of Motor Vehicles - Enforcement Division, VA",Virginia,0
Patrolman,Frederick Conrad Secker,Struck by vehicle,"Saturday, January 12, 1929",1929,January,Saturday,"Lynbrook Police Department, NY",New York,0
Night Marshal,David Lee,Assault,"Sunday, January 13, 1929",1929,January,Sunday,"McGrew Police Department, NE",Nebraska,0
Patrolman,Thomas Joseph Clossey,Vehicular assault,"Sunday, January 13, 1929",1929,January,Sunday,"Hudson County Police Department, NJ",New Jersey,0
City Marshal,Albert R. Gooch,Gunfire,"Sunday, January 13, 1929",1929,January,Sunday,"Nocona Police Department, TX",Texas,0
Customs Agent,Clarence Neal Titcomb,Vehicle pursuit,"Tuesday, January 15, 1929",1929,January,Tuesday,"United States Department of the Treasury - United States Customs Service, US",United States,0
Patrolman,Thomas J. Durkin,Struck by vehicle,"Thursday, January 17, 1929",1929,January,Thursday,"Denver Police Department, CO",Colorado,0
Inspector,John W. Blackburn,Gunfire,"Thursday, January 17, 1929",1929,January,Thursday,"Philadelphia Police Department, PA",Pennsylvania,0
Special Agent,George Durst Farmer,Assault,"Saturday, January 19, 1929",1929,January,Saturday,"Southern Pacific Railroad Police Department, RR",United States,0
Deputy Sheriff,William Irwin,Motorcycle crash,"Sunday, January 20, 1929",1929,January,Sunday,"Collier County Sheriff's Office, FL",Florida,0
Sergeant,Walter Awe,Gunfire,"Sunday, January 20, 1929",1929,January,Sunday,"Grand Trunk Railroad Police Department, RR",United States,0
Patrolman,Eugene Garland Jones,Gunfire,"Sunday, January 20, 1929",1929,January,Sunday,"Bethel Police Department, NC",North Carolina,0
Assistant Chief of Police,Conrad Cecil Wren,Stabbed,"Sunday, January 20, 1929",1929,January,Sunday,"McCamey Police Department, TX",Texas,0
Officer,John Francis McAuliffe,Gunfire,"Monday, January 21, 1929",1929,January,Monday,"Metropolitan Police Department, DC",District of Columbia,0
Detective,Harvey Edgar Correll,Gunfire,"Tuesday, January 22, 1929",1929,January,Tuesday,"Charlotte Police Department, NC",North Carolina,0
Police Officer,Roy E. Berry,Vehicle pursuit,"Thursday, January 31, 1929",1929,January,Thursday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Patrolman,Alfred Thiele,Struck by streetcar,"Wednesday, February 6, 1929",1929,February,Wednesday,"Newark Police Department, NJ",New Jersey,0
Special Deputy Sheriff,Walter Ernest Carter,Assault,"Friday, February 8, 1929",1929,February,Friday,"Pike County Sheriff's Office, GA",Georgia,0
Chief of Police,Patrick H. White,Gunfire,"Sunday, February 10, 1929",1929,February,Sunday,"Windsor Police Department, NC",North Carolina,0
Chief of Police,Joseph Theophelus Joe Hutson,Gunfire (Inadvertent),"Sunday, February 10, 1929",1929,February,Sunday,"Borger Police Department, TX",Texas,0
Police Officer,Ernest H. Philbrick,Vehicle pursuit,"Monday, February 11, 1929",1929,February,Monday,"Oakland Police Department, CA",California,0
Sergeant,David V. Gemmill,Struck by train,"Monday, February 11, 1929",1929,February,Monday,"Alliance Police Department, OH",Ohio,0
City Marshal,Frank Lacost Abell,Gunfire,"Saturday, February 16, 1929",1929,February,Saturday,"Uniontown Police Department, KY",Kentucky,0
Detective,Clarence L. Stadler,Gunfire,"Saturday, February 16, 1929",1929,February,Saturday,"Detroit Police Department, MI",Michigan,0
Deputy Sheriff,W. H. Carter,Gunfire,"Sunday, February 17, 1929",1929,February,Sunday,"Letcher County Sheriff's Office, KY",Kentucky,0
Detective Lieutenant,Benjamin F. Smith,Gunfire,"Sunday, February 17, 1929",1929,February,Sunday,"Detroit Police Department, MI",Michigan,0
Sergeant,Timothy Francis Murphy,Vehicular assault,"Sunday, February 17, 1929",1929,February,Sunday,"Port Chester Police Department, NY",New York,0
Park Ranger,Fred Johnson,Drowned,"Wednesday, February 20, 1929",1929,February,Wednesday,"United States Department of the Interior - National Park Service, US",United States,0
Park Ranger,Glen Sturdevant,Drowned,"Wednesday, February 20, 1929",1929,February,Wednesday,"United States Department of the Interior - National Park Service, US",United States,0
Patrolman,Arthur Vollmar,Gunfire,"Friday, February 22, 1929",1929,February,Friday,"Chicago Police Department, IL",Illinois,0
Deputy Sheriff,Linder Newsome,Vehicle pursuit,"Saturday, February 23, 1929",1929,February,Saturday,"Forsyth County Sheriff's Office, NC",North Carolina,0
County Policeman,Bettiel L. Hughes,Gunfire,"Monday, February 25, 1929",1929,February,Monday,"Fulton County Police Department, GA",Georgia,0
Traffic Officer,Luther W. Pat Hogan,Motorcycle crash,"Tuesday, February 26, 1929",1929,February,Tuesday,"Kern County State Traffic Force, CA",California,0
Sheriff,Charles J. Taylor,Automobile crash,"Tuesday, February 26, 1929",1929,February,Tuesday,"San Luis Obispo County Sheriff's Office, CA",California,0
Special Officer,William Arthur Brown,Gunfire,"Wednesday, February 27, 1929",1929,February,Wednesday,"Southern Railway Police Department, RR",United States,0
Policeman,William H. Marple,Automobile crash,"Wednesday, February 27, 1929",1929,February,Wednesday,"Los Angeles Police Department, CA",California,0
Policeman,John M. Schomaker,Automobile crash,"Wednesday, February 27, 1929",1929,February,Wednesday,"Los Angeles Police Department, CA",California,0
Sheriff,Allen Thomas Murray,Gunfire,"Thursday, February 28, 1929",1929,February,Thursday,"Mason County Sheriff's Office, TX",Texas,0
Deputy Sheriff,Walter Eldridge,Gunfire,"Friday, March 1, 1929",1929,March,Friday,"Harlan County Sheriff's Office, KY",Kentucky,0
Policeman,James M. Justice,Struck by vehicle,"Friday, March 1, 1929",1929,March,Friday,"Philadelphia Police Department, PA",Pennsylvania,0
Patrolman,Walter O'Neill,Gunfire (Inadvertent),"Saturday, March 2, 1929",1929,March,Saturday,"Jersey City Police Department, NJ",New Jersey,0
Patrolman,John J. Shanahan,Gunfire (Inadvertent),"Saturday, March 2, 1929",1929,March,Saturday,"Jersey City Police Department, NJ",New Jersey,0
Trooper,John Madden,Motorcycle crash,"Sunday, March 3, 1929",1929,March,Sunday,"New Jersey State Police, NJ",New Jersey,0
Patrolman,George E. Duggan,Gunfire,"Sunday, March 3, 1929",1929,March,Sunday,"Irvington Police Department, NY",New York,0
Constable,Thaddeus Alonzo Norris,Gunfire,"Sunday, March 3, 1929",1929,March,Sunday,"Rutherford County Constable's Office, TN",Tennessee,0
Patrolman,Carl H. Sherman,Gunfire,"Wednesday, March 6, 1929",1929,March,Wednesday,"Cleveland Division of Police, OH",Ohio,0
Patrolman,Carl J. Carlson,Accidental,"Saturday, March 9, 1929",1929,March,Saturday,"Salt Lake City Police Department, UT",Utah,0
Inspector,Curtis Lee Wood,Vehicle pursuit,"Monday, March 11, 1929",1929,March,Monday,"Virginia Division of Motor Vehicles - Enforcement Division, VA",Virginia,0
Patrolman,James J. McVerry,Automobile crash,"Friday, March 15, 1929",1929,March,Friday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Deputy Sheriff,Leonard Frazier,Gunfire,"Friday, March 15, 1929",1929,March,Friday,"Cocke County Sheriff's Office, TN",Tennessee,0
Patrolman,Charles A. Robbins,Motorcycle crash,"Monday, March 18, 1929",1929,March,Monday,"Newark Police Department, NJ",New Jersey,0
Deputy Marshal,Benjamin Thacker,Motorcycle crash,"Tuesday, March 19, 1929",1929,March,Tuesday,"Coal Grove Police Department, OH",Ohio,0
Deputy Sheriff,Louis H. Dayton,Assault,"Wednesday, March 20, 1929",1929,March,Wednesday,"Clay County Sheriff's Office, IA",Iowa,0
Deputy Sheriff,"Charles E. Gibbs, Sr.",Weather/Natural disaster,"Thursday, March 21, 1929",1929,March,Thursday,"Routt County Sheriff's Office, CO",Colorado,0
Chief of Police,Joseph C. Kelly,Gunfire,"Thursday, March 21, 1929",1929,March,Thursday,"Southern Pines Police Department, NC",North Carolina,0
Chief of Police,W. L. Echols,Gunfire,"Thursday, March 21, 1929",1929,March,Thursday,"Van Alstyne Police Department, TX",Texas,0
Patrolman,Clarence W. Alston,Gunfire,"Sunday, March 24, 1929",1929,March,Sunday,"Denver Police Department, CO",Colorado,0
Patrol Inspector,Earl A. Roberts,Gunfire,"Sunday, March 24, 1929",1929,March,Sunday,"United States Department of Labor - Immigration Service - United States Border Patrol, US",United States,0
Patrolman,Conard C. Tolson,Motorcycle crash,"Sunday, March 24, 1929",1929,March,Sunday,"Washington State Patrol, WA",Washington,0
Constable,Crockett Mullins,Gunfire,"Thursday, March 28, 1929",1929,March,Thursday,"Buchanan County Constable's Office, VA",Virginia,0
Police Officer,W. Frank Godbold,Motorcycle crash,"Friday, March 29, 1929",1929,March,Friday,"Chatham County Police Department, GA",Georgia,0
Deputy Sheriff,Borkan Jones,Gunfire,"Friday, March 29, 1929",1929,March,Friday,"Perry County Sheriff's Office, KY",Kentucky,0
Town Marshal,Robert L. Smithwick,Gunfire,"Tuesday, April 2, 1929",1929,April,Tuesday,"Groveland Police Department, FL",Florida,0
Police Officer,Joseph F. Meier,Struck by vehicle,"Sunday, April 7, 1929",1929,April,Sunday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Chief of Police,Frederick Plumstead,Motorcycle crash,"Friday, April 12, 1929",1929,April,Friday,"Roxbury Township Police Department, NJ",New Jersey,0
Patrolman,Andrew McLean Wood,Vehicular assault,"Friday, April 12, 1929",1929,April,Friday,"New York City Police Department, NY",New York,0
Policeman,Michael Donnelly,Gunfire,"Friday, April 12, 1929",1929,April,Friday,"Philadelphia Police Department, PA",Pennsylvania,0
Patrolman,Samuel Webb,Automobile crash,"Saturday, April 13, 1929",1929,April,Saturday,"Savannah Police Department, GA",Georgia,0
Patrolman,William Schmelter,Automobile crash,"Sunday, April 14, 1929",1929,April,Sunday,"New York City Police Department, NY",New York,0
Sheriff,John A. Cline,Gunfire,"Monday, April 15, 1929",1929,April,Monday,"Grundy County Sheriff's Department, TN",Tennessee,0
Deputy Sheriff,Edward Sylvester Kinsey,Gunfire,"Tuesday, April 16, 1929",1929,April,Tuesday,"Monroe County Sheriff's Office, MI",Michigan,0
Night Policeman,Jason F. Rosenberger,Gunfire (Inadvertent),"Wednesday, April 17, 1929",1929,April,Wednesday,"Sauk Centre Police Department, MN",Minnesota,0
Policeman,Lewis Long,Struck by vehicle,"Thursday, April 18, 1929",1929,April,Thursday,"Los Angeles Police Department, CA",California,0
Officer,William S. Buchanan,Motorcycle crash,"Thursday, April 18, 1929",1929,April,Thursday,"Metropolitan Police Department, DC",District of Columbia,0
Patrolman,Russell Theodore Swanson,Gunfire,"Friday, April 19, 1929",1929,April,Friday,"Pennsylvania State Highway Patrol, PA",Pennsylvania,0
Patrolman,W. R. Bridges,Gunfire,"Saturday, April 20, 1929",1929,April,Saturday,"Memphis Police Department, TN",Tennessee,0
Deputy Constable,Robert D. Brown,Gunfire,"Saturday, April 20, 1929",1929,April,Saturday,"Cameron County Constable's Office - Precinct 2, TX",Texas,0
Patrolman,"Richard H. Fletcher, Jr.",Fall,"Sunday, April 21, 1929",1929,April,Sunday,"Jersey City Police Department, NJ",New Jersey,0
Policeman,William Tillman Page,Gunfire,"Sunday, April 21, 1929",1929,April,Sunday,"Philadelphia Police Department, PA",Pennsylvania,0
Chief of Police,John Hunley,Gunfire,"Monday, April 22, 1929",1929,April,Monday,"Prestonsburg Police Department, KY",Kentucky,0
Trooper,Robert L. Fisher,Motorcycle crash,"Wednesday, April 24, 1929",1929,April,Wednesday,"Illinois State Police, IL",Illinois,0
Officer,Sidney Clarence Crews,Gunfire,"Thursday, April 25, 1929",1929,April,Thursday,"Miami Police Department, FL",Florida,0
Deputy Constable,Charles Franklin Stanner,Gunfire,"Thursday, April 25, 1929",1929,April,Thursday,"Cameron County Constable's Office - Precinct 2, TX",Texas,0
City Marshal,Jefferson Davis J.D. Graham,Gunfire,"Saturday, April 27, 1929",1929,April,Saturday,"Temple Police Department, OK",Oklahoma,0
Game Warden,Frank Hatchett Gilliam,Gunfire,"Sunday, April 28, 1929",1929,April,Sunday,"Virginia Department of Wildlife Resources, VA",Virginia,0
Special Agent,"Joseph J. Kucera, Jr.",Assault,"Monday, April 29, 1929",1929,April,Monday,"Illinois Central Railroad Police Department, RR",United States,0
Lieutenant,John P. Dowd,Automobile crash,"Tuesday, April 30, 1929",1929,April,Tuesday,"Nassau County Police Department, NY",New York,0
Special Deputy Sheriff,Samuel William Pinnell,Gunfire,"Friday, May 3, 1929",1929,May,Friday,"Warren County Sheriff's Office, NC",North Carolina,0
Policeman,George W. Horn,Gunfire,"Saturday, May 4, 1929",1929,May,Saturday,"Prestonsburg Police Department, KY",Kentucky,0
Patrolman,Clayton J. Seawell,Motorcycle crash,"Saturday, May 4, 1929",1929,May,Saturday,"Minneapolis Police Department, MN",Minnesota,0
Deputy Sheriff,Elihu L. Simpson,Gunfire,"Sunday, May 5, 1929",1929,May,Sunday,"Bell County Sheriff's Department, KY",Kentucky,0
Patrolman,Willard R. Dahle,Gunfire,"Sunday, May 5, 1929",1929,May,Sunday,"Logan City Police Department, UT",Utah,0
Officer,William H. Grubbs,Gunfire,"Friday, May 10, 1929",1929,May,Friday,"Akron Police Department, OH",Ohio,0
Federal Prohibition Agent,Dano M. Jackley,Vehicle pursuit,"Tuesday, May 14, 1929",1929,May,Tuesday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Railroad Detective,Bruce A. Palmer,Gunfire,"Tuesday, May 14, 1929",1929,May,Tuesday,"Duluth, Missabe, and Northern Railroad Police Department, RR",United States,0
Deputy Sheriff,Pete Pescatore,Gunfire,"Tuesday, May 14, 1929",1929,May,Tuesday,"McDowell County Sheriff's Department, WV",West Virginia,0
Detective,Raymond E. Martin,Gunfire,"Wednesday, May 15, 1929",1929,May,Wednesday,"Chicago Police Department, IL",Illinois,0
Policeman,Alonzo Lon Robinson,Gunfire,"Thursday, May 16, 1929",1929,May,Thursday,"Pikeville Police Department, KY",Kentucky,0
Police Officer,William J. Robbins,Motorcycle crash,"Friday, May 17, 1929",1929,May,Friday,"Greenwich Police Department, CT",Connecticut,0
Patrolman,Ralph Hinds,Gunfire,"Friday, May 17, 1929",1929,May,Friday,"Kansas City Police Department, MO",Missouri,0
Conservation Warden,Einar Johnson,Gunfire,"Friday, May 17, 1929",1929,May,Friday,"Wisconsin Department of Natural Resources, WI",Wisconsin,0
Patrol Officer,Leroy Davis,Gunfire,"Saturday, May 18, 1929",1929,May,Saturday,"Dodge City Police Department, KS",Kansas,0
Night Policeman,Stuart McClay Stoves,Gunfire,"Monday, May 20, 1929",1929,May,Monday,"Tennessee Coal, Iron and Railroad Company Police Department, RR",United States,0
Detective,Jesse J. Barber,Gunfire,"Monday, May 20, 1929",1929,May,Monday,"Jacksonville Police Department, FL",Florida,0
Patrolman,Curtis D. Sowers,Gunfire,"Tuesday, May 21, 1929",1929,May,Tuesday,"North York Borough Police Department, PA",Pennsylvania,0
Patrolman,Joseph J. Sullivan,Gunfire,"Wednesday, May 22, 1929",1929,May,Wednesday,"Chicago Police Department, IL",Illinois,0
Detective,Wayne M. Barry,Gunfire,"Thursday, May 23, 1929",1929,May,Thursday,"St. Petersburg Police Department, FL",Florida,0
Constable,L. M. Dyer,Gunfire,"Thursday, May 23, 1929",1929,May,Thursday,"Jacksonville Police Department, FL",Florida,0
Sergeant,John Franklin Montague,Duty related illness,"Friday, May 24, 1929",1929,May,Friday,"Boston Police Department, MA",Massachusetts,0
Chief of Police,Charles Levy,Gunfire,"Tuesday, May 28, 1929",1929,May,Tuesday,"Berwyn Police Department, IL",Illinois,0
Patrol Inspector,Benjamin Thomas Hill,Gunfire,"Thursday, May 30, 1929",1929,May,Thursday,"United States Department of Labor - Immigration Service - United States Border Patrol, US",United States,0
Patrolman,Herbert N. Hagberg,Gunfire,"Friday, May 31, 1929",1929,May,Friday,"Chicago Police Department, IL",Illinois,0
Patrolman,John L. Conley,Gunfire,"Friday, May 31, 1929",1929,May,Friday,"Chicago Police Department, IL",Illinois,0
Trooper,Stanley C. Hellberg,Motorcycle crash,"Saturday, June 1, 1929",1929,June,Saturday,"Connecticut State Police, CT",Connecticut,0
Chief of Police,Rufus Nicholson Gilbreath,Gunfire (Inadvertent),"Saturday, June 1, 1929",1929,June,Saturday,"Wink Police Department, TX",Texas,0
Town Marshal,Mark Seworth Noe,Gunfire,"Sunday, June 2, 1929",1929,June,Sunday,"Republic Police Department, MO",Missouri,0
Marshal,Andrew A. Bastendorff,Gunfire,"Wednesday, June 5, 1929",1929,June,Wednesday,"Utica Police Department, MI",Michigan,0
Chief of Police,Orville Frank Aderholt,Gunfire,"Saturday, June 8, 1929",1929,June,Saturday,"Gastonia Police Department, NC",North Carolina,0
Patrolman,Earl K. Leonard,Gunfire,"Sunday, June 9, 1929",1929,June,Sunday,"Chicago Police Department, IL",Illinois,0
Marshal,James A. Houser,Gunfire,"Tuesday, June 11, 1929",1929,June,Tuesday,"North Chattanooga Police Department, TN",Tennessee,0
Deputy Sheriff,Hugh Craft,Gunfire,"Wednesday, June 12, 1929",1929,June,Wednesday,"Madison County Sheriff's Office, AL",Alabama,0
Traffic Officer,Leland Stanford Bond,Motorcycle crash,"Wednesday, June 12, 1929",1929,June,Wednesday,"San Mateo County State Traffic Force, CA",California,0
Constable,William David Smith,Gunfire,"Wednesday, June 12, 1929",1929,June,Wednesday,"Marks Creek Township Constable's Office, NC",North Carolina,0
Police Officer,James Hannon,Gunfire,"Thursday, June 13, 1929",1929,June,Thursday,"Syracuse Police Department, NY",New York,0
Assistant Fire Marshal,William F. Emerson,Heatstroke,"Wednesday, June 19, 1929",1929,June,Wednesday,"New York City Fire Department - Bureau of Fire Investigation, NY",New York,0
Deputy Sheriff,John Ulysses Swafford,Gunfire,"Wednesday, June 19, 1929",1929,June,Wednesday,"Bledsoe County Sheriff's Office, TN",Tennessee,0
Constable,John M. Weaver,Gunfire,"Wednesday, June 19, 1929",1929,June,Wednesday,"Harris County Constable's Office - Precinct 8, TX",Texas,0
Corrections Employee,Robert George Warnke,Assault,"Thursday, June 20, 1929",1929,June,Thursday,"United States Department of Justice - Federal Bureau of Prisons, US",United States,0
Sergeant,Charles R. McClary,Gunfire,"Thursday, June 20, 1929",1929,June,Thursday,"Alexandria Police Department, VA",Virginia,0
Police Officer,William Henry Rich,Struck by vehicle,"Friday, June 21, 1929",1929,June,Friday,"Pratt Police Department, KS",Kansas,0
Captain,Hugh Blaine Davis,Vehicular assault,"Friday, June 21, 1929",1929,June,Friday,"Tulsa County Highway Patrol, OK",Oklahoma,0
Police Officer,Eldridge C. Cornelius,Gunfire,"Friday, June 21, 1929",1929,June,Friday,"Simonton Police Department, TX",Texas,0
Detective,Oscar Emmett Hope,Gunfire,"Saturday, June 22, 1929",1929,June,Saturday,"Houston Police Department, TX",Texas,0
Police Officer,Hans C. Jess,Heart attack,"Sunday, June 23, 1929",1929,June,Sunday,"Mandan Police Department, ND",North Dakota,0
Police Officer,William M. McCormack,Gunfire,"Tuesday, June 25, 1929",1929,June,Tuesday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Federal Prohibition Agent,Lawrence A. Mommer,Vehicle pursuit,"Thursday, June 27, 1929",1929,June,Thursday,"United States Department of the Treasury - Internal Revenue Service - Bureau of Prohibition, US",United States,0
Town Sergeant,Harry Valentine Smeeman,Gunfire,"Saturday, June 29, 1929",1929,June,Saturday,"Ashland Police Department, VA",Virginia,0
Trooper,Delos A. Williams,Motorcycle crash,"Sunday, June 30, 1929",1929,June,Sunday,"Michigan State Police, MI",Michigan,0
