Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
,,,I.S. 119 THE GLENDALE,3.42E+11,24Q119,24,40.705198,-73.875033,"74-01 78TH AVE GLENDALE, NY 11385",GLENDALE,11385,"06,07,08",6,8,No,0.44,57397.18,0.04,0.25,0.01,0.3,0.32,0.42,0.95,0.13,0.89,Exceeding Target,0.87,Exceeding Target,0.84,Meeting Target,0.83,Meeting Target,0.75,Not Meeting Target,0.87,Meeting Target,Exceeding Target,3.13,3.38,93,32,0,0,0,14,11,0,0,19,93,55,0,0,0,26,20,0,0,33,56,11,0,0,2,5,4,0,0,7,58,19,0,0,5,8,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,94,0,0,12,0,31,0,0,60,219,107,0,0,16,0,39,0,0,71,227,83,0,0,0,40,36,0,0,50,229,110,0,0,0,49,48,0,1,67,235,93,0,0,21,0,45,0,0,56,115,13,0,0,4,3,6,0,2,8
,,,I.S. 125 THOM J. MCCANN WOODSIDE,3.42E+11,24Q125,24,40.741091,-73.918649,"46-02 47TH AVE WOODSIDE, NY 11377",WOODSIDE,11377,"06,07,08",6,8,No,0.62,N/A,0.15,0.4,0.01,0.53,0.54,0.05,0.96,0.1,0.9,Exceeding Target,0.91,Exceeding Target,0.88,Exceeding Target,0.84,Meeting Target,0.73,Approaching Target,0.93,Meeting Target,Exceeding Target,2.65,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,30,0,0,7,22,0,0,1,18,351,78,0,0,16,60,0,0,0,35,499,62,0,0,13,47,2,0,0,29,509,68,0,0,16,51,1,0,0,41,483,48,0,0,11,30,6,0,0,19,347,7,0,0,3,4,0,0,1,1
,,,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",3.42E+11,24Q128,24,40.715009,-73.886225,"69-10 65TH DR MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.18,71378.48,0.04,0.03,0.01,0.2,0.21,0.76,0.96,0.04,0.94,Meeting Target,0.9,Meeting Target,0.86,Meeting Target,0.83,Meeting Target,0.86,Meeting Target,0.92,Meeting Target,Meeting Target,3.08,3.23,113,23,0,0,0,0,20,0,0,5,115,36,0,0,0,0,32,0,0,5,119,51,0,0,0,0,38,0,0,14,119,45,0,0,0,0,38,0,0,12,95,22,0,0,3,0,16,0,0,9,94,22,0,0,1,0,19,0,0,7,103,42,0,0,4,0,36,0,0,11,104,29,0,0,2,0,25,0,0,9,87,27,0,0,0,0,19,0,0,8,85,25,0,0,0,0,20,0,0,6,91,26,0,0,0,0,19,0,0,3,57,3,0,0,0,0,3,0,0,0
,,,P.S. 143 LOUIS ARMSTRONG,3.42E+11,24Q143,24,40.755182,-73.855476,"34-74 113TH ST CORONA, NY 11368",CORONA,11368,"0K,01,02,03,04,05",0K,5,No,0.82,47813.37,0.48,0.05,0.02,0.93,0.94,0.01,0.95,0.15,0.83,Approaching Target,0.77,Approaching Target,0.87,Meeting Target,0.61,Not Meeting Target,0.81,Approaching Target,0.86,Meeting Target,Meeting Target,2.16,2.42,336,3,0,0,3,0,0,0,0,3,345,18,0,0,16,2,0,0,0,17,317,8,0,0,6,2,0,0,0,7,326,29,0,0,21,7,0,0,1,26,252,3,0,0,2,0,0,0,0,2,261,8,0,0,8,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 153 MASPETH ELEM,3.42E+11,24Q153,24,40.716288,-73.904467,"60-02 60TH LN MASPETH, NY 11378",MASPETH,11378,"PK,0K,01,02,03,04,05,06",PK,6,No,0.49,55585.29,0.1,0.07,0.01,0.45,0.46,0.46,0.95,0.14,0.91,Meeting Target,0.92,Meeting Target,0.93,Meeting Target,0.87,Meeting Target,0.83,Approaching Target,0.94,Exceeding Target,Exceeding Target,2.87,3.13,194,28,0,0,6,0,14,0,0,15,195,69,0,0,18,0,35,0,1,41,190,56,0,0,15,0,32,0,0,31,190,75,0,0,17,0,46,0,0,37,190,40,0,0,14,0,23,0,0,17,193,46,0,0,13,0,29,0,0,21,140,33,0,0,13,0,15,0,0,22,141,37,0,0,9,0,24,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 199 MAURICE A. FITZGERALD,3.42E+11,24Q199,24,40.739982,-73.926377,"39-20 48TH AVE LONG ISLAND CITY, NY 11104",LONG ISLAND CITY,11104,"0K,01,02,03,04,05",0K,5,No,0.65,54053.95,0.37,0.32,0.01,0.59,0.6,0.07,0.95,0.12,0.85,Exceeding Target,0.84,Meeting Target,0.92,Meeting Target,0.77,Meeting Target,0.78,Approaching Target,0.91,Meeting Target,Meeting Target,2.63,2.78,185,23,0,0,6,14,0,0,1,9,198,38,0,0,12,22,3,0,1,19,193,22,0,0,9,10,0,0,0,8,195,32,0,0,13,16,0,0,2,14,177,23,0,0,9,13,0,0,0,12,183,25,0,0,8,15,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 229 EMANUEL KAPLAN,3.42E+11,24Q229,24,40.734493,-73.897209,"67-25 51ST RD WOODSIDE, NY 11377",WOODSIDE,11377,"0K,01,02,03,04,05",0K,5,No,0.49,58328.09,0.08,0.35,0.02,0.39,0.41,0.23,0.96,0.1,0.87,Exceeding Target,0.93,Exceeding Target,0.95,Exceeding Target,0.87,Exceeding Target,0.82,Approaching Target,0.97,Exceeding Target,Exceeding Target,2.99,3.18,211,28,0,0,4,20,0,0,0,13,213,75,0,0,13,46,0,0,1,46,210,77,0,0,20,36,19,0,0,42,215,102,0,0,23,44,31,0,0,54,194,34,0,0,5,21,0,0,0,23,200,61,0,0,8,36,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 239,3.42E+11,24Q239,24,40.69943,-73.903833,"17-15 WEIRFIELD ST RIDGEWOOD, NY 11385",RIDGEWOOD,11385,"PK,0K,01,02,03,04,05",PK,5,No,0.8,41384.9,0.27,0.13,0.02,0.75,0.78,0.09,0.94,0.19,0.83,Approaching Target,0.86,Meeting Target,0.87,Meeting Target,0.79,Meeting Target,0.79,Approaching Target,0.94,Meeting Target,Meeting Target,2.37,2.53,84,3,0,0,2,1,0,0,0,3,87,7,0,0,5,2,0,0,1,7,102,13,0,0,6,5,0,0,0,0,105,13,0,0,5,7,0,0,0,0,102,5,0,0,3,0,2,0,0,3,103,9,0,0,3,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,3.42E+11,24Q290,24,40.712656,-73.908184,"55-20 METROPOLITAN AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,"0K,01,02,03,04,05",0K,5,No,0.49,53809.35,0.08,0.2,0.03,0.47,0.5,0.27,0.95,0.11,0.9,Exceeding Target,0.88,Exceeding Target,0.94,Exceeding Target,0.75,Approaching Target,0.83,Approaching Target,0.89,Meeting Target,N/A,2.95,3.22,57,15,0,0,4,7,0,0,0,8,59,27,0,0,6,11,0,0,0,13,78,23,0,0,4,0,8,0,0,9,80,39,0,0,10,0,16,0,0,20,68,14,0,0,6,5,0,0,0,5,69,15,0,0,6,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,LEARNERS AND LEADERS,3.42E+11,24Q305,24,40.706955,-73.914959,"378 SENECA AVE GLENDALE, NY 11385",GLENDALE,11385,"PK,0K,01,02,03",PK,3,No,0.74,50347.75,0.23,0.07,0.02,0.78,0.81,0.12,0.94,0.19,0.92,N/A,0.94,N/A,0.95,N/A,0.91,N/A,0.89,N/A,0.97,N/A,N/A,N/A,N/A,64,1,0,0,1,0,0,0,0,1,64,11,0,0,5,0,3,0,0,10,67,8,0,0,6,0,0,0,0,4,68,14,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,PIONEER ACADEMY,3.42E+11,24Q307,24,40.749323,-73.865657,"40-20 100TH ST CORONA, NY 11368",CORONA,11368,"PK,0K,01,02,03,04,05",PK,5,No,0.79,41632.62,0.4,0.03,0.01,0.94,0.96,0.01,0.97,0.04,0.89,Meeting Target,0.86,Exceeding Target,0.93,Meeting Target,0.78,Approaching Target,0.83,Approaching Target,0.88,Meeting Target,Meeting Target,2.42,2.61,164,2,0,0,2,0,0,0,0,0,163,19,0,0,16,0,0,0,1,0,165,8,0,0,6,0,0,0,0,8,169,16,0,0,13,0,0,0,1,16,160,13,0,0,10,3,0,0,0,0,164,13,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,CORONA ARTS AND SCIENCES ACADEMY,3.42E+11,24Q311,24,40.743204,-73.871482,"45-10 94TH ST ELMHURST, NY 11373",ELMHURST,11373,"06,07,08",6,8,No,0.79,N/A,0.18,0.04,0.01,0.94,0.95,0.01,0.98,0.01,0.98,Meeting Target,0.98,Meeting Target,0.89,Exceeding Target,0.96,Exceeding Target,0.8,Meeting Target,0.96,Exceeding Target,Meeting Target,2.47,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,5,0,0,5,0,0,0,0,0,92,6,0,0,6,0,0,0,0,0,117,7,0,0,6,0,0,0,0,0,119,4,0,0,3,0,0,0,0,0,87,5,0,0,5,0,0,0,0,0,90,4,0,0,2,0,0,0,0,0
,,,P.S. 330,3.42E+11,24Q330,24,40.757821,-73.859123,"110-08 NORTHERN BLVD CORONA, NY 11368",CORONA,11368,"0K,01,02,03,04,05",0K,5,No,0.79,49555.19,0.27,0.09,0.02,0.87,0.89,0.01,0.95,0.12,0.89,Meeting Target,0.87,Meeting Target,0.92,Exceeding Target,0.81,Meeting Target,0.82,Approaching Target,0.9,Meeting Target,N/A,2.3,2.62,93,10,0,0,2,0,0,0,0,7,94,37,0,0,12,0,0,0,1,29,70,5,0,0,0,0,0,0,0,0,71,10,0,0,0,0,0,0,0,0,119,2,0,0,2,0,0,0,0,0,121,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",3.42E+11,24Q560,24,40.742708,-73.936328,"47-07 30TH PL LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,"07,08,09,10,11,12",7,12,No,0.51,N/A,0.04,0.22,0.05,0.61,0.65,0.12,0.96,0.04,0.91,Meeting Target,0.9,Meeting Target,0.87,Meeting Target,0.86,Meeting Target,0.68,Not Meeting Target,0.91,Meeting Target,Exceeding Target,3.21,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,0,0,6,5,0,0,0,7,42,16,0,0,5,10,0,0,0,9,28,4,0,0,2,2,0,0,0,2,28,8,0,0,2,4,0,0,0,4,39,7,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
,,,THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),3.42E+11,24Q877,24,40.737207,-73.887005,"76-05 51ST AVE ELMHURST, NY 11373",ELMHURST,11373,"04,05",4,5,No,0.64,47662.76,0.27,0.6,0.01,0.38,0.39,0.02,0.98,0.03,0.91,Exceeding Target,0.91,Exceeding Target,0.97,Exceeding Target,0.83,Meeting Target,0.76,Approaching Target,0.93,Meeting Target,Exceeding Target,2.84,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,38,0,0,0,29,0,0,2,29,229,71,0,0,0,59,0,0,9,58,246,45,0,0,8,34,2,0,0,39,253,89,0,0,15,69,5,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 020 JOHN BOWNE,3.43E+11,25Q020,25,40.758365,-73.824407,"142-30 BARCLAY AVE FLUSHING, NY 11355",FLUSHING,11355,"PK,0K,01,02,03,04,05",PK,5,No,0.68,38731.69,0.31,0.75,0.03,0.19,0.23,0.01,0.97,0.07,0.89,Meeting Target,0.89,Meeting Target,0.91,Exceeding Target,0.83,Meeting Target,0.81,Approaching Target,0.93,Meeting Target,Meeting Target,2.66,3.28,202,20,0,0,1,18,0,0,0,20,213,67,0,0,2,63,0,0,13,66,235,41,0,0,5,36,0,0,0,39,244,95,0,0,3,89,0,0,6,90,218,37,0,0,5,31,0,0,0,32,231,94,0,1,3,89,0,0,13,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 021 EDWARD HART,3.43E+11,25Q021,25,40.774168,-73.818543,"147-36 26TH AVE FLUSHING, NY 11354",FLUSHING,11354,"PK,0K,01,02,03,04,05",PK,5,No,0.48,56414.94,0.19,0.62,0.01,0.29,0.3,0.07,0.96,0.08,0.9,Exceeding Target,0.94,Exceeding Target,0.94,Exceeding Target,0.87,Exceeding Target,0.82,Meeting Target,0.95,Exceeding Target,Exceeding Target,2.96,3.28,214,34,0,0,3,31,0,0,1,21,222,94,0,0,8,81,4,0,4,66,199,59,0,0,10,46,2,0,0,40,206,74,0,0,4,66,3,0,2,50,205,53,0,0,5,46,0,0,0,38,209,75,0,0,5,67,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 022 THOMAS JEFFERSON,3.43E+11,25Q022,25,40.761748,-73.811379,"153-33 SANFORD AVE FLUSHING, NY 11355",FLUSHING,11355,"PK,0K,01,02,03,04,05",PK,5,No,0.61,49884.66,0.45,0.6,0,0.36,0.36,0.03,0.97,0.09,0.93,Exceeding Target,0.91,Exceeding Target,0.94,Exceeding Target,0.87,Meeting Target,0.84,Meeting Target,0.93,Meeting Target,Exceeding Target,2.83,3.34,129,9,0,0,0,7,0,0,0,8,135,50,0,0,0,44,0,0,19,45,130,30,0,0,8,20,2,0,1,25,145,63,0,0,20,41,2,0,10,58,123,31,0,0,6,23,2,0,1,26,132,46,0,0,5,39,2,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 024 ANDREW JACKSON,3.43E+11,25Q024,25,40.751762,-73.81778,"141-11 HOLLY AVE FLUSHING, NY 11355",FLUSHING,11355,"PK,0K,01,02,03,04,05",PK,5,No,0.54,40033.97,0.4,0.85,0.03,0.1,0.13,0.01,0.97,0.07,0.89,Exceeding Target,0.87,Meeting Target,0.93,Exceeding Target,0.75,Approaching Target,0.82,Approaching Target,0.87,Meeting Target,Exceeding Target,2.83,3.41,170,23,0,0,0,22,0,0,1,8,187,72,0,0,0,72,0,0,21,31,183,35,0,0,2,33,0,0,0,15,193,78,0,0,6,70,0,0,9,41,181,36,0,0,5,29,0,0,0,17,188,86,0,0,5,79,0,0,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,I.S. 025 ADRIEN BLOCK,3.43E+11,25Q025,25,40.765017,-73.789689,"34-65 192ND ST FLUSHING, NY 11358",FLUSHING,11358,"06,07,08",6,8,No,0.34,N/A,0.1,0.5,0.01,0.24,0.25,0.24,0.97,0.06,0.87,Approaching Target,0.85,Meeting Target,0.85,Meeting Target,0.75,Approaching Target,0.69,Not Meeting Target,0.87,Meeting Target,Meeting Target,2.95,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,75,0,0,10,52,13,0,0,34,289,117,0,0,12,84,20,0,9,64,257,50,0,0,6,24,18,0,0,22,266,83,0,0,5,57,18,0,7,47,242,68,0,0,0,43,19,0,0,34,251,90,0,0,0,69,16,0,8,52
,,,P.S. 029 QUEENS,3.43E+11,25Q029,25,40.777987,-73.842975,"125-10 23RD AVE COLLEGE POINT, NY 11356",COLLEGE POINT,11356,"PK,0K,01,02,03,04,05",PK,5,No,0.58,54307.52,0.26,0.29,0.02,0.57,0.59,0.12,0.95,0.16,0.95,Meeting Target,0.92,Exceeding Target,0.97,Meeting Target,0.83,Meeting Target,0.82,Approaching Target,0.94,Exceeding Target,Meeting Target,2.55,2.81,113,4,0,0,0,3,0,0,0,4,115,17,0,0,4,9,0,0,1,16,110,22,0,2,11,7,2,0,0,17,114,28,0,1,11,13,3,0,1,22,118,14,0,0,6,7,0,0,0,11,122,16,0,0,2,12,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 032 STATE STREET,3.43E+11,25Q032,25,40.76501,-73.794319,"171-11 35TH AVE FLUSHING, NY 11358",FLUSHING,11358,"PK,0K,01,02,03,04,05",PK,5,No,0.41,58764.47,0.13,0.66,0.01,0.19,0.2,0.12,0.97,0.07,0.94,Exceeding Target,0.97,Exceeding Target,0.95,Exceeding Target,0.94,Exceeding Target,0.88,Meeting Target,0.98,Exceeding Target,Meeting Target,3.08,3.58,142,33,0,0,3,24,0,0,1,15,146,73,0,0,3,64,0,0,4,45,154,47,0,0,6,34,0,0,1,28,157,84,0,0,8,69,0,0,2,50,155,46,0,0,1,38,0,0,0,25,159,80,0,0,2,71,0,0,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 079 FRANCIS LEWIS,3.43E+11,25Q079,25,40.785959,-73.817349,"147-27 15TH DR WHITESTONE, NY 11357",WHITESTONE,11357,"PK,0K,01,02,03,04,05",PK,5,No,0.27,69293.52,0.07,0.44,0.01,0.2,0.21,0.33,0.96,0.09,0.96,Meeting Target,0.97,Meeting Target,0.99,Meeting Target,0.91,Exceeding Target,0.85,Meeting Target,0.97,Exceeding Target,Meeting Target,3,3.4,169,37,0,0,0,28,5,0,0,23,171,67,0,0,0,57,5,0,0,43,169,59,0,0,5,36,16,0,0,29,175,78,0,0,4,55,17,0,3,39,143,33,0,0,3,17,11,0,0,11,143,46,0,0,4,29,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
