Date,Team,Time,Opponent,Rank,Site,TV,Result,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,Year,Month,Day
9/26/2009,Iowa State,6:00 PM,Army*,NR,"Jack Trice StadiumAmes, IA",CYtv,W 31–10,50532,2,1,55000,0.918763636,TRUE,FALSE,0.08,0,0,72,53,NR,Big-12,2009,9,26
10/17/2009,Iowa State,6:00 PM,Baylor,NR,"Jack Trice StadiumAmes, IA",Not on TV,W 24–10,42253,3,3,55000,0.768236364,TRUE,FALSE,0,0,0,47,30,NR,Big-12,2009,10,17
11/7/2009,Iowa State,2:30 PM,No. 19 Oklahoma State,NR,"Jack Trice StadiumAmes, IA",ABC,L 8–34,40540,5,4,55000,0.737090909,TRUE,FALSE,0,0,0,71,43,19,Big-12,2009,11,7
11/14/2009,Iowa State,1:00 PM,Colorado,NR,"Jack Trice StadiumAmes, IA",Not on TV,W 17–10,43208,5,5,55000,0.7856,TRUE,FALSE,0,0,0,53,37,NR,Big-12,2009,11,14
9/2/2010,Iowa State,7:00 PM,Northern Illinois*,NR,"Jack Trice StadiumAmes, IA",FSN,W 27–10,43116,0,0,55000,0.783927273,FALSE,FALSE,0.07,0,0,78,58,NR,Big-12,2010,9,2
9/25/2010,Iowa State,6:00 PM,Northern Iowa*,NR,"Jack Trice StadiumAmes, IA",MC22,W 27–0,48874,1,2,55000,0.888618182,FALSE,FALSE,0.69,0,0,54,44,NR,Big-12,2010,9,25
10/2/2010,Iowa State,6:00 PM,Texas Tech,NR,"Jack Trice StadiumAmes, IA",FCS Central,W 52–38,43162,2,2,55000,0.784763636,FALSE,FALSE,0,0,0,58,35,NR,Big-12,2010,10,2
10/9/2010,Iowa State,6:00 PM,No. 10 Utah*,NR,"Jack Trice StadiumAmes, IA",FCS Central,L 27–68,43195,3,2,55000,0.785363636,FALSE,FALSE,0,0,0,85,49,10,Big-12,2010,10,9
10/30/2010,Iowa State,1:00 PM,Kansas,NR,"Jack Trice StadiumAmes, IA",Not on TV,W 28–16,46485,4,4,55000,0.845181818,FALSE,FALSE,0,0,0,67,37,NR,Big-12,2010,10,30
11/6/2010,Iowa State,2:30 PM,No. 9 Nebraska,NR,"Jack Trice StadiumAmes, IA",ABC,L 30–31 OT,51159,5,4,55000,0.930163636,FALSE,FALSE,0,0,0,57,22,9,Big-12,2010,11,6
11/20/2010,Iowa State,6:00 PM,No. 15 Missouri,NR,"Jack Trice StadiumAmes, IA (Battle for the Telephone Trophy)",FSN,L 0–14,41776,5,6,55000,0.759563636,FALSE,FALSE,0,0,0,38,24,15,Big-12,2010,11,20
9/3/2011,Iowa State,6:00 PM,No. 7 (FCS) Northern Iowa*,NR,"Jack Trice StadiumAmes, IA",CYtv,W 20–19,54672,0,0,55000,0.994036364,FALSE,FALSE,0.76,0,0,74,57,NR,Big-12,2011,9,3
9/10/2011,Iowa State,11:00 AM,Iowa*,NR,"Jack Trice StadiumAmes, IA (Battle for the Cy-Hawk Trophy)",FSN,W 44–41 3OT,56085,1,0,55000,1.019727273,FALSE,FALSE,0,0,0,82,52,NR,Big-12,2011,9,10
10/1/2011,Iowa State,6:00 PM,No. 17 Texas,NR,"Jack Trice StadiumAmes, IA",FX,L 14–37,56390,3,0,55000,1.025272727,FALSE,FALSE,0,0,0,65,32,17,Big-12,2011,10,1
10/22/2011,Iowa State,2:30 PM,No. 18 Texas A&M,NR,"Jack Trice StadiumAmes, IA",ABC,L 17–33,51131,3,3,55000,0.929654545,FALSE,FALSE,0,0,0,67,38,18,Big-12,2011,10,22
11/5/2011,Iowa State,11:30 AM,Kansas,NR,"Jack Trice StadiumAmes, IA",FCS Central,W 13–10,51575,4,4,55000,0.937727273,FALSE,FALSE,0,0,0,53,35,NR,Big-12,2011,11,5
11/18/2011,Iowa State,7:00 PM,No. 2 Oklahoma State,NR,"Jack Trice StadiumAmes, IA",ESPN,W 37–31 2OT,52027,5,4,55000,0.945945455,FALSE,FALSE,0,0,0,56,32,2,Big-12,2011,11,18
9/1/2012,Iowa State,2:30 PM,Tulsa*,NR,"Jack Trice StadiumAmes, IA",FSN,W 38–23,54931,0,0,55000,0.998745455,FALSE,FALSE,0,0,0,85,67,NR,Big-12,2012,9,1
9/15/2012,Iowa State,7:00 PM,Western Illinois*,NR,"Jack Trice StadiumAmes, IA",CYtv,W 37–3,55783,2,0,55000,1.014236364,FALSE,FALSE,0,0,0,77,42,NR,Big-12,2012,9,15
9/29/2012,Iowa State,6:00 PM,Texas Tech,NR,"Jack Trice StadiumAmes, IA",FCS Central,L 13–24,54149,3,0,55000,0.984527273,FALSE,FALSE,0,0,0,82,39,NR,Big-12,2012,9,29
10/13/2012,Iowa State,11:00 AM,No. 5 Kansas State,NR,"Jack Trice StadiumAmes, IA (rivalry)",FX,L 21–27,56800,4,1,55000,1.032727273,FALSE,FALSE,0.73,0,0,75,50,5,Big-12,2012,10,13
10/27/2012,Iowa State,6:00 PM,Baylor,NR,"Jack Trice StadiumAmes, IA",FSN,W 35–21,54877,4,3,55000,0.997763636,FALSE,FALSE,0,0,0,45,29,NR,Big-12,2012,10,27
11/3/2012,Iowa State,11:00 AM,No. 12 Oklahoma,NR,"Jack Trice StadiumAmes, IA",ABC,L 20–35,56585,5,3,55000,1.028818182,FALSE,FALSE,0,0,0,52,34,12,Big-12,2012,11,3
11/23/2012,Iowa State,2:30 PM,West Virginia,NR,"Jack Trice StadiumAmes, IA",ABC,L 24–31,53792,6,5,55000,0.978036364,FALSE,FALSE,0,0,0,36,18,NR,Big-12,2012,11,23
8/31/2013,Iowa State,7:00 PM,No. 17 (FCS) Northern Iowa*,NR,"Jack Trice StadiumAmes, IA",Cyclones.tv,L 20–28,56800,0,0,56800,1,FALSE,FALSE,0,0,0,90,67,1,Big-12,2013,8,31
9/14/2013,Iowa State,5:00 PM,Iowa*,NR,"Jack Trice StadiumAmes, IA (Battle for the Cy-Hawk Trophy)",FS1,L 21–27,56800,0,1,56800,1,FALSE,FALSE,0,0,0,76,40,NR,Big-12,2013,9,14
10/3/2013,Iowa State,6:30 PM,Texas,NR,"Jack Trice StadiumAmes, IA",ESPN,L 30–31,52762,1,2,56800,0.928908451,FALSE,FALSE,0.18,0,0,80,63,NR,Big-12,2013,10,3
10/26/2013,Iowa State,11:00 AM,No. 13 Oklahoma State,NR,"Jack Trice StadiumAmes, IA",FSN,L 27–58,56800,1,5,56800,1,FALSE,FALSE,0,0,0,52,26,13,Big-12,2013,10,26
11/9/2013,Iowa State,11:00 AM,TCU,NR,"Jack Trice StadiumAmes, IA",FSN,L 17–21,54922,1,7,56800,0.96693662,FALSE,FALSE,0,0,0,56,36,NR,Big-12,2013,11,9
11/23/2013,Iowa State,7:00 PM,Kansas,NR,"Jack Trice StadiumAmes, IA",FS1,W 34–0,54081,1,9,56800,0.952130282,FALSE,FALSE,0,0,0,19,0,NR,Big-12,2013,11,23
8/30/2014,Iowa State,11:00 AM,No. 2 (FCS) North Dakota State*,NR,"Jack Trice StadiumAmes, IA",FS1,L 14–34,54800,0,0,54800,1,FALSE,FALSE,0.01,0,0,80,59,NR,Big-12,2014,8,30
9/6/2014,Iowa State,11:00 AM,No. 20 Kansas State,NR,"Jack Trice StadiumAmes, IA (Farmageddon)",FS1,L 28–32,54800,0,1,54800,1,FALSE,FALSE,0,0,0,75,49,20,Big-12,2014,9,6
9/27/2014,Iowa State,7:00 PM,No. 7 Baylor,NR,"Jack Trice StadiumAmes, IA",FOX,L 28–49,51776,1,2,54800,0.944817518,FALSE,FALSE,0.05,0,0,81,56,7,Big-12,2014,9,27
10/11/2014,Iowa State,2:30 PM,Toledo*,NR,"Jack Trice StadiumAmes, IA",Cyclones.tv,W 37–30,52281,1,4,54800,0.954032847,FALSE,FALSE,0,0,0,60,31,NR,Big-12,2014,10,11
11/1/2014,Iowa State,11:00 AM,No. 19 Oklahoma,NR,"Jack Trice StadiumAmes, IA",FS1,L 14–59,50784,2,5,54800,0.926715328,FALSE,FALSE,0,0,0,46,18,19,Big-12,2014,11,1
11/22/2014,Iowa State,2:30 PM,Texas Tech,NR,"Jack Trice StadiumAmes, IA",FSN,L 31–34,50877,2,7,54800,0.928412409,FALSE,FALSE,0,0,0,55,35,NR,Big-12,2014,11,22
11/29/2014,Iowa State,11:00 AM,West Virginia,NR,"Jack Trice StadiumAmes, IA",FS1,L 24–37,50059,2,8,54800,0.913485401,FALSE,FALSE,0,0,0,47,23,NR,Big-12,2014,11,29
9/5/2015,Iowa State,7:00 PM,No. 10 (FCS) Northern Iowa*,NR,"Jack Trice StadiumAmes, IA",Cyclones.tv,W 31–7,61500,0,0,61500,1,FALSE,FALSE,0,0,0,90,69,1,Big-12,2015,9,5
9/12/2015,Iowa State,3:45 PM,Iowa*,NR,"Jack Trice StadiumAmes, IA (Battle for the Cy-Hawk Trophy)",FOX,L 17–31,61500,1,0,61500,1,FALSE,FALSE,0,0,0,69,45,NR,Big-12,2015,9,12
10/3/2015,Iowa State,11:00 AM,Kansas,NR,"Jack Trice StadiumAmes, IA",FSN,W 38–13,55837,1,2,61500,0.907918699,FALSE,FALSE,0,0,0,64,41,NR,Big-12,2015,10,3
10/17/2015,Iowa State,6:00 PM,No. 3 TCU,NR,"Jack Trice StadiumAmes, IA",ESPN2,L 21–45,52480,2,3,61500,0.853333333,FALSE,FALSE,0,0,0,55,31,3,Big-12,2015,10,17
10/31/2015,Iowa State,6:00 PM,Texas,NR,"Jack Trice StadiumAmes, IA",FS1,W 24–0,53616,2,5,61500,0.871804878,FALSE,FALSE,0.11,0,0,52,45,NR,Big-12,2015,10,31
11/14/2015,Iowa State,2:30 PM,No. 5 Oklahoma State,NR,"Jack Trice StadiumAmes, IA",ESPN,L 31–35,54180,3,6,61500,0.88097561,FALSE,FALSE,0,0,0,60,27,5,Big-12,2015,11,14
9/3/2016,Iowa State,7:00 PM,No. 5 (FCS) Northern Iowa*,NR,"Jack Trice StadiumAmes, IA",Cyclones.tv,L 20–25,60629,0,0,61500,0.985837398,TRUE,FALSE,0,0,0,76,54,NR,Big-12,2016,9,3
9/24/2016,Iowa State,11:00 AM,San Jose State*,NR,"Jack Trice StadiumAmes, IA",FSN,W 44–10,50851,0,3,61500,0.826845528,TRUE,FALSE,0.33,0,0,85,66,NR,Big-12,2016,9,24
10/1/2016,Iowa State,11:00 AM,No. 13 Baylor,NR,"Jack Trice StadiumAmes, IA",FS1,L 42–45,50842,1,3,61500,0.826699187,TRUE,FALSE,0,0,0,69,58,13,Big-12,2016,10,1
10/29/2016,Iowa State,11:00 AM,Kansas State,NR,"Jack Trice StadiumAmes, IA (Farmageddon)",FSN,L 26–31,52763,1,6,61500,0.857934959,TRUE,FALSE,0,0,0,73,52,NR,Big-12,2016,10,29
11/3/2016,Iowa State,6:30 PM,No. 12 Oklahoma,NR,"Jack Trice StadiumAmes, IA",ESPN,L 24–34,50662,1,7,61500,0.823772358,TRUE,FALSE,0,0,0,71,38,12,Big-12,2016,11,3
11/19/2016,Iowa State,2:30 PM,Texas Tech,NR,"Jack Trice StadiumAmes, IA",FS1,W 66–10,50787,2,8,61500,0.825804878,TRUE,FALSE,0,0,0,39,19,NR,Big-12,2016,11,19
11/26/2016,Iowa State,2:30 PM,No. 19 West Virginia,NR,"Jack Trice StadiumAmes, IA",FS1,L 19–49,51365,3,8,61500,0.835203252,TRUE,FALSE,0,0,0,55,26,19,Big-12,2016,11,26
9/2/2017,Iowa State,6:00 PM,No. 18 (FCS) Northern Iowa*,NR,"Jack Trice StadiumAmes, IA",Cyclones.tv,W 42–24,61500,0,0,61500,1,FALSE,FALSE,0,0,0,81,56,1,Big-12,2017,9,2
9/9/2017,Iowa State,11:00 AM,Iowa*,NR,"Jack Trice StadiumAmes, IA (Battle for the Cy-Hawk Trophy)",ESPN2,L 41–44 OT,61500,1,0,61500,1,FALSE,FALSE,0,0,0,81,54,NR,Big-12,2017,9,9
9/28/2017,Iowa State,7:00 PM,Texas,NR,"Jack Trice StadiumAmes, IA",ESPN,L 7–17,51234,2,1,61500,0.833073171,FALSE,FALSE,0,0,0,78,44,NR,Big-12,2017,9,28
10/14/2017,Iowa State,11:00 AM,Kansas,NR,"Jack Trice StadiumAmes, IA",FSN,W 45–0,55593,3,2,61500,0.90395122,FALSE,FALSE,1.09,0,0,63,50,NR,Big-12,2017,10,14
10/28/2017,Iowa State,2:30 PM,No. 4 TCU,25,"Jack Trice StadiumAmes, IA",ABC/ESPN2,W 14–7,56259,5,2,61500,0.914780488,FALSE,FALSE,0,0,0,45,23,4,Big-12,2017,10,28
11/11/2017,Iowa State,11:00 AM,No. 12 Oklahoma State,24,"Jack Trice StadiumAmes, IA",ABC/ESPN2,L 42–49,61500,6,3,61500,1,FALSE,FALSE,0,0,0,45,33,12,Big-12,2017,11,11
9/15/2018,Iowa State,11:00 AM,No. 5 Oklahoma,NR,"Jack Trice StadiumAmes, IA",ABC,L 27–37,58479,0,1,61500,0.950878049,FALSE,FALSE,0,0,0,91,63,5,Big-12,2018,9,15
9/22/2018,Iowa State,11:00 AM,Akron*,NR,"Jack Trice StadiumAmes, IA",FSN,W 26–13,54028,0,2,61500,0.878504065,FALSE,FALSE,0,0,0,68,43,NR,Big-12,2018,9,22
10/13/2018,Iowa State,6:00 PM,No. 6 West Virginia,NR,"Jack Trice StadiumAmes, IA",FS1,W 30–14,56629,2,3,61500,0.920796748,FALSE,FALSE,0,0,0,54,42,6,Big-12,2018,10,13
10/27/2018,Iowa State,11:00 AM,Texas Tech,NR,"Jack Trice StadiumAmes, IA",ESPN2,W 40–31,57908,3,3,61500,0.941593496,FALSE,FALSE,0.04,0,0,69,34,NR,Big-12,2018,10,27
11/10/2018,Iowa State,2:30 PM,Baylor,23,"Jack Trice StadiumAmes, IA",FS1,W 28–14,53860,5,3,61500,0.875772358,FALSE,FALSE,0,0,0,29,11,NR,Big-12,2018,11,10
11/24/2018,Iowa State,6:00 PM,Kansas State,25,"Jack Trice StadiumAmes, IA (Farmageddon)",FS1,W 42–38,54430,6,4,61500,0.88504065,FALSE,FALSE,0,0,0,51,33,NR,Big-12,2018,11,24
12/1/2018,Iowa State,11:00 AM,Drake*,24,"Jack Trice StadiumAmes, IA",Cyclones.tv,W 27–24,56738,7,4,61500,0.922569106,FALSE,FALSE,0.94,0,0,38,33,NR,Big-12,2018,12,1
9/2/2000,Kansas State,6:00 PM,Louisiana Tech*,8,"KSU StadiumManhattan, KS",FSN,W 54–10,48902,1,0,50300,0.972206759,FALSE,FALSE,0,0,0,111,71,NR,Big-12,2000,9,2
9/16/2000,Kansas State,6:00 PM,Ball State*,7,"KSU StadiumManhattan, KS",Not on TV,W 76–0,46916,2,0,50300,0.932723658,FALSE,FALSE,0,0,0,89,47,NR,Big-12,2000,9,16
9/23/2000,Kansas State,1:00 PM,North Texas*,4,"KSU StadiumManhattan, KS",Not on TV,W 55–10,47926,3,0,50300,0.952803181,FALSE,FALSE,0.01,0,0,80,48,NR,Big-12,2000,9,23
10/14/2000,Kansas State,2:30 PM,No. 8 Oklahoma,2,"KSU StadiumManhattan, KS (College GameDay)",ABC,L 31–41,53011,6,0,50300,1.05389662,FALSE,FALSE,0.02,0,0,72,50,8,Big-12,2000,10,14
10/21/2000,Kansas State,6:00 PM,Texas Tech,10,"KSU StadiumManhattan, KS",FSN,W 28–23,51140,6,1,50300,1.016699801,FALSE,FALSE,0,0,0,70,53,NR,Big-12,2000,10,21
11/4/2000,Kansas State,11:30 AM,Iowa State,19,"KSU StadiumManhattan, KS (rivalry)",FSN,W 56–10,50114,7,2,50300,0.996302187,FALSE,FALSE,0,0,0,67,32,NR,Big-12,2000,11,4
11/11/2000,Kansas State,6:00 PM,No. 4 Nebraska,16,"KSU StadiumManhattan, KS (rivalry)",FSN,W 29–28,53811,8,2,50300,1.069801193,FALSE,FALSE,0,0,0,37,23,4,Big-12,2000,11,11
9/22/2001,Kansas State,1:10 PM,New Mexico State*,12,"KSU StadiumManhattan, KS",Not on TV,W 64–0,49229,1,0,50300,0.978707753,FALSE,FALSE,0,0,0,83,53,NR,Big-12,2001,9,22
10/6/2001,Kansas State,11:30 AM,Colorado,12,"KSU StadiumManhattan, KS",FSN,L 6–16,51101,2,1,50300,1.015924453,FALSE,FALSE,0,0,0,67,31,NR,Big-12,2001,10,6
10/20/2001,Kansas State,11:30 AM,Texas A&M,NR,"KSU StadiumManhattan, KS",FSN,L 24–31,49935,2,3,50300,0.992743539,FALSE,FALSE,0,0,0,80,37,NR,Big-12,2001,10,20
10/27/2001,Kansas State,2:30 PM,Kansas,NR,"KSU StadiumManhattan, KS (rivalry)",PPV,W 40–6,50101,2,4,50300,0.996043738,FALSE,FALSE,0,0,0,64,26,NR,Big-12,2001,10,27
11/17/2001,Kansas State,1:10 PM,Louisiana Tech*,NR,"KSU StadiumManhattan, KS",Not on TV,W 40–7,47069,4,5,50300,0.935765408,FALSE,FALSE,0,0,0,72,44,NR,Big-12,2001,11,17
11/24/2001,Kansas State,11:00 AM,Missouri,NR,"KSU StadiumManhattan, KS",FSN,W 24–3,43810,5,5,50300,0.870974155,FALSE,FALSE,0.27,0,0,60,45,NR,Big-12,2001,11,24
8/31/2002,Kansas State,6:10 PM,No. 18 (I-AA) Western Kentucky*,NR,"KSU StadiumManhattan, KS",Not on TV,W 48–3,45844,0,0,50300,0.911411531,FALSE,FALSE,0,0,0,91,60,18,Big-12,2002,8,31
9/7/2002,Kansas State,6:10 PM,Louisiana–Monroe*,NR,"KSU StadiumManhattan, KS",Not on TV,W 68–0,43104,1,0,50300,0.85693837,FALSE,FALSE,0,0,0,98,69,NR,Big-12,2002,9,7
9/14/2002,Kansas State,1:10 PM,Eastern Illinois*,NR,"KSU StadiumManhattan, KS",Not on TV,W 63–13,45642,2,0,50300,0.907395626,FALSE,FALSE,0.39,0,0,69,63,NR,Big-12,2002,9,14
9/21/2002,Kansas State,6:00 PM,No. 11 USC*,25,"KSU StadiumManhattan, KS",TBS,W 27–20,49276,3,0,50300,0.979642147,FALSE,FALSE,0,0,0,75,50,11,Big-12,2002,9,21
10/12/2002,Kansas State,1:10 PM,Oklahoma State,19,"KSU StadiumManhattan, KS",Not on TV,W 44–9,48404,4,1,50300,0.962306163,FALSE,FALSE,0.03,0,0,63,49,NR,Big-12,2002,10,12
10/19/2002,Kansas State,6:00 PM,No. 8 Texas,17,"KSU StadiumManhattan, KS",FSN,L 14–17,50659,5,1,50300,1.007137177,FALSE,FALSE,0,0,0,60,36,8,Big-12,2002,10,19
11/9/2002,Kansas State,6:00 PM,No. 21 Iowa State,12,"KSU StadiumManhattan, KS (rivalry)",TBS,W 58–7,49504,7,2,50300,0.98417495,FALSE,FALSE,0,0,0,70,45,21,Big-12,2002,11,9
11/16/2002,Kansas State,11:30 AM,Nebraska,11,"KSU StadiumManhattan, KS (rivalry)",FSN,W 49–13,52221,8,2,50300,1.038190855,FALSE,FALSE,0,0,0,55,25,NR,Big-12,2002,11,16
8/30/2003,Kansas State,6:10 PM,Troy State*,7,"KSU StadiumManhattan, KS",Not on TV,W 41–5,41812,1,0,50300,0.831252485,FALSE,FALSE,0.01,0,0,74,63,NR,Big-12,2003,8,30
9/6/2003,Kansas State,6:10 PM,McNeese State*,7,"KSU StadiumManhattan, KS",Not on TV,W 55–14,44544,2,0,50300,0.8855666,FALSE,FALSE,0,0,0,86,54,NR,Big-12,2003,9,6
9/13/2003,Kansas State,1:10 PM,UMass*,7,"KSU StadiumManhattan, KS",Not on TV,W 38–7,46102,3,0,50300,0.916540755,FALSE,FALSE,0,0,0,69,49,NR,Big-12,2003,9,13
9/20/2003,Kansas State,11:40 AM,Marshall*,6,"KSU StadiumManhattan, KS",FSN,L 20–27,46700,4,0,50300,0.928429423,FALSE,FALSE,0,0,0,74,38,NR,Big-12,2003,9,20
10/18/2003,Kansas State,1:10 PM,Colorado,NR,"KSU StadiumManhattan, KS",Not on TV,W 49–20,51536,4,3,50300,1.024572565,FALSE,FALSE,0,0,0,85,39,NR,Big-12,2003,10,18
10/25/2003,Kansas State,1:10 PM,Kansas,NR,"KSU StadiumManhattan, KS (rivalry)",Not on TV,W 42–6,51614,5,3,50300,1.02612326,FALSE,FALSE,0,0,0,60,40,NR,Big-12,2003,10,25
11/1/2003,Kansas State,1:10 PM,Baylor,NR,"KSU StadiumManhattan, KS",Not on TV,W 38–10,44885,6,3,50300,0.892345924,FALSE,FALSE,0,0,0,46,33,NR,Big-12,2003,11,1
11/22/2003,Kansas State,6:10 PM,Missouri,19,"KSU StadiumManhattan, KS",TBS,W 24–14,49685,9,3,50300,0.98777336,FALSE,FALSE,0,0,0,45,30,NR,Big-12,2003,11,22
9/4/2004,Kansas State,6:10 PM,Western Kentucky*,13,"KSU StadiumManhattan, KS",Not on TV,W 27–13,46740,0,0,50300,0.929224652,FALSE,FALSE,0,0,0,90,65,NR,Big-12,2004,9,4
9/11/2004,Kansas State,11:10 AM,Fresno State*,13,"KSU StadiumManhattan, KS",FSN,L 21–45,46468,1,0,50300,0.923817097,FALSE,FALSE,0,0,0,88,62,NR,Big-12,2004,9,11
9/18/2004,Kansas State,1:10 PM,Louisiana–Lafayette*,NR,"KSU StadiumManhattan, KS",Not on TV,W 40–20,46514,1,1,50300,0.92473161,FALSE,FALSE,0.08,0,0,95,60,NR,Big-12,2004,9,18
10/16/2004,Kansas State,11:00 AM,No. 2 Oklahoma,NR,"KSU StadiumManhattan, KS",ABC,L 21–31,52310,2,3,50300,1.039960239,FALSE,FALSE,0,0,0,64,32,2,Big-12,2004,10,16
10/23/2004,Kansas State,1:10 PM,Nebraska,NR,"KSU StadiumManhattan, KS (rivalry)",Not on TV,W 45–21,52234,2,4,50300,1.038449304,FALSE,FALSE,0,0,0,72,46,NR,Big-12,2004,10,23
10/30/2004,Kansas State,1:10 PM,Texas Tech,NR,"KSU StadiumManhattan, KS",FSN,L 25–35,48338,3,4,50300,0.960994036,FALSE,FALSE,0,0,0,68,48,NR,Big-12,2004,10,30
11/20/2004,Kansas State,11:10 AM,Iowa State,NR,"KSU StadiumManhattan, KS (rivalry)",FSN,L 23–37,44829,4,6,50300,0.891232604,FALSE,FALSE,0,0,0,54,38,NR,Big-12,2004,11,20
9/3/2005,Kansas State,1:10 PM,FIU*,NR,"KSU StadiumManhattan, KS",Not on TV,W 35–21,43611,0,0,50300,0.867017893,FALSE,FALSE,0,0,0,93,66,NR,Big-12,2005,9,3
9/16/2005,Kansas State,1:10 PM,North Texas*,NR,"KSU StadiumManhattan, KS",Not on TV,W 54–7,46514,2,0,50300,0.92473161,FALSE,FALSE,0.04,0,0,79,45,NR,Big-12,2005,9,16
10/8/2005,Kansas State,11:10 AM,Kansas,NR,"KSU StadiumManhattan, KS (rivalry)",FSN,W 12–3,49798,3,1,50300,0.990019881,FALSE,FALSE,0,0,0,65,34,NR,Big-12,2005,10,8
10/22/2005,Kansas State,1:10 PM,Texas A&M,NR,"KSU StadiumManhattan, KS",Not on TV,L 28–30,45915,4,2,50300,0.912823062,FALSE,FALSE,0,0,0,54,34,NR,Big-12,2005,10,22
10/29/2005,Kansas State,1:10 PM,Colorado,NR,"KSU StadiumManhattan, KS",Not on TV,L 20–23,43890,4,3,50300,0.872564612,FALSE,FALSE,0,0,0,74,55,NR,Big-12,2005,10,29
11/19/2005,Kansas State,1:10 PM,Missouri,NR,"KSU StadiumManhattan, KS",Not on TV,W 36–28,46039,4,6,50300,0.91528827,FALSE,FALSE,0,0,0,53,34,NR,Big-12,2005,11,19
9/2/2006,Kansas State,6:10 PM,Illinois State*,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 24–23,47250,0,0,50300,0.939363817,TRUE,FALSE,0,0,0,70,54,NR,Big-12,2006,9,2
9/9/2006,Kansas State,6:10 PM,Florida Atlantic*,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 45–0,43953,1,0,50000,0.87906,TRUE,FALSE,0.08,0,0,78,52,NR,Big-12,2006,9,9
9/16/2006,Kansas State,11:40 AM,Marshall*,NR,"Bill Snyder Family Football StadiumManhattan, KS",FSN,W 23–7,46488,2,0,50000,0.92976,TRUE,FALSE,0.02,0,0,95,66,NR,Big-12,2006,9,16
9/23/2006,Kansas State,11:00 AM,No. 8 Louisville*,NR,"Bill Snyder Family Football StadiumManhattan, KS",FSN,L 6–24,45855,3,0,50000,0.9171,TRUE,FALSE,0.07,0,0,78,52,8,Big-12,2006,9,23
10/7/2006,Kansas State,2:35 PM,Oklahoma State,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 31–27,46616,3,2,50000,0.93232,TRUE,FALSE,0,0,0,81,58,NR,Big-12,2006,10,7
10/14/2006,Kansas State,6:10 PM,No. 21 Nebraska,NR,"Bill Snyder Family Football StadiumManhattan, KS (rivalry)",FSN,L 3–21,50723,4,2,50000,1.01446,TRUE,FALSE,0,0,0,67,29,21,Big-12,2006,10,14
10/28/2006,Kansas State,2:35 PM,Iowa State,NR,"Bill Snyder Family Football StadiumManhattan, KS (rivalry)",Not on TV,W 31–10,44729,4,4,50000,0.89458,TRUE,FALSE,0,0,0,71,57,NR,Big-12,2006,10,28
11/11/2006,Kansas State,7:00 PM,No. 4 Texas,NR,"Bill Snyder Family Football StadiumManhattan, KS",ABC,W 45–42,47933,6,4,50000,0.95866,TRUE,FALSE,0,0,0,60,22,4,Big-12,2006,11,11
9/8/2007,Kansas State,6:00 PM,San Jose State*,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 34–14,45545,0,1,50000,0.9109,FALSE,FALSE,0,0,0,96,58,NR,Big-12,2007,9,8
9/15/2007,Kansas State,6:00 PM,Missouri State*,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 61–10,46825,1,1,50000,0.9365,FALSE,FALSE,0,0,0,66,45,NR,Big-12,2007,9,15
10/6/2007,Kansas State,11:00 AM,Kansas,24,"Bill Snyder Family Football StadiumManhattan, KS (rivalry)",FSN,L 24–30,50924,3,1,50000,1.01848,FALSE,FALSE,0,0,0,87,56,NR,Big-12,2007,10,6
10/13/2007,Kansas State,8:00 PM,Colorado,NR,"Bill Snyder Family Football StadiumManhattan, KS",ESPN2,W 47–20,46637,3,2,50000,0.93274,FALSE,FALSE,0.34,0,0,69,56,NR,Big-12,2007,10,13
10/27/2007,Kansas State,1:00 PM,Baylor,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 51–13,45959,4,3,50000,0.91918,FALSE,FALSE,0,0,0,64,37,NR,Big-12,2007,10,27
11/17/2007,Kansas State,11:30 AM,No. 6 Missouri,NR,"Bill Snyder Family Football StadiumManhattan, KS",FSN,L 32–49,48406,5,5,50000,0.96812,FALSE,FALSE,0,0,0,78,30,6,Big-12,2007,11,17
8/30/2008,Kansas State,6:05 PM,North Texas*,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 45–6,45150,0,0,50000,0.903,FALSE,FALSE,0,0,0,87,55,NR,Big-12,2008,8,30
9/6/2008,Kansas State,6:05 PM,Montana State*,NR,"Bill Snyder Family Football StadiumManhattan, KS",FCS,W 69–10,45241,1,0,50000,0.90482,FALSE,FALSE,0.06,0,0,72,46,NR,Big-12,2008,9,6
9/27/2008,Kansas State,2:35 PM,Louisiana–Lafayette*,NR,"Bill Snyder Family Football StadiumManhattan, KS",Not on TV,W 45–37,45558,2,1,50000,0.91116,FALSE,FALSE,0,0,0,86,54,NR,Big-12,2008,9,27
10/4/2008,Kansas State,2:30 PM,No. 7 Texas Tech,NR,"Bill Snyder Family Football StadiumManhattan, KS",ABC,L 28–58,43614,3,1,50000,0.87228,FALSE,FALSE,0,0,0,78,44,7,Big-12,2008,10,4
