Rank,Year,Country,Golds,Silvers,Bronzes,Medals
58,2004,Latvia,0,4,0,4
30,1952,Iran,0,3,4,7
15,1900,Austria,0,3,3,6
20,1932,Denmark,0,3,3,6
22,1936,Poland,0,3,3,6
24,1960,Switzerland,0,3,3,6
27,1984,Denmark,0,3,3,6
28,1976,Belgium,0,3,3,6
26,1980,North Korea,0,3,2,5
55,2008,Lithuania,0,3,2,5
20,1924,Austria,0,3,1,4
20,1924,Canada,0,3,1,4
38,1992,Jamaica,0,3,1,4
38,1992,Nigeria,0,3,1,4
56,2008,Nigeria,0,3,1,4
56,2012,Egypt,0,3,1,4
59,2004,Mexico,0,3,1,4
15,1908,Greece,0,3,0,3
26,1956,Yugoslavia,0,3,0,3
26,1972,Switzerland,0,3,0,3
54,2000,Nigeria,0,3,0,3
57,2012,India,0,2,4,6
16,1900,Norway,0,2,3,5
16,1908,Denmark,0,2,3,5
16,1912,Former Soviet Union / Russian Empire,0,2,3,5
23,1936,Denmark,0,2,3,5
25,1960,France,0,2,3,5
27,1972,Canada,0,2,3,5
29,1976,Netherlands,0,2,3,5
55,2000,Belgium,0,2,3,5
55,2000,South Africa,0,2,3,5
57,2008,Croatia,0,2,3,5
57,2008,Uzbekistan,0,2,3,5
58,2012,Mongolia,0,2,3,5
17,1912,Austria,0,2,2,4
26,1960,Belgium,0,2,2,4
27,1956,Chile,0,2,2,4
27,1980,Mongolia,0,2,2,4
32,1968,Austria,0,2,2,4
33,1988,Switzerland,0,2,2,4
57,2000,Argentina,0,2,2,4
59,2012,Thailand,0,2,2,4
16,1920,Australia,0,2,1,3
27,1964,South Korea,0,2,1,3
28,1972,Iran,0,2,1,3
40,1992,Latvia,0,2,1,3
54,1996,Argentina,0,2,1,3
59,2008,Colombia,0,2,1,3
59,2008,Greece,0,2,1,3
60,2004,Portugal,0,2,1,3
60,2012,Bulgaria,0,2,1,3
60,2012,Finland,0,2,1,3
60,2012,Indonesia,0,2,1,3
17,1900,India,0,2,0,2
17,1920,Japan,0,2,0,2
17,1920,Spain,0,2,0,2
21,1932,Mexico,0,2,0,2
24,1948,Yugoslavia,0,2,0,2
28,1956,Belgium,0,2,0,2
28,1980,Tanzania,0,2,0,2
29,1972,Belgium,0,2,0,2
29,1972,Greece,0,2,0,2
30,1976,Portugal,0,2,0,2
30,1976,Spain,0,2,0,2
31,1952,Chile,0,2,0,2
34,1988,Jamaica,0,2,0,2
41,1992,Austria,0,2,0,2
41,1992,Namibia,0,2,0,2
41,1992,South Africa,0,2,0,2
55,1996,Namibia,0,2,0,2
55,1996,Slovenia,0,2,0,2
61,2004,NULL,0,2,0,2
61,2004,Finland,0,2,0,2
61,2008,Trinidad and Tobago,0,2,0,2
32,1976,Australia,0,1,4,5
33,1968,Switzerland,0,1,4,5
58,2000,Morocco,0,1,4,5
58,2000,Taiwan (ROC),0,1,4,5
18,1900,Netherlands,0,1,3,4
27,1960,Iran,0,1,3,4
29,1980,Mexico,0,1,3,4
34,1968,Mongolia,0,1,3,4
60,2000,North Korea,0,1,3,4
63,2004,Slovenia,0,1,3,4
63,2012,Slovakia,0,1,3,4
25,1948,Canada,0,1,2,3
28,1960,Netherlands,0,1,2,3
28,1960,South Africa,0,1,2,3
28,1964,Trinidad and Tobago,0,1,2,3
28,1984,Jamaica,0,1,2,3
28,1984,Norway,0,1,2,3
29,1928,Belgium,0,1,2,3
30,1980,Netherlands,0,1,2,3
31,1972,Austria,0,1,2,3
31,1972,Colombia,0,1,2,3
35,1968,Brazil,0,1,2,3
44,1992,NULL,0,1,2,3
44,1992,Belgium,0,1,2,3
44,1992,Croatia,0,1,2,3
44,1992,Iran,0,1,2,3
57,1996,Austria,0,1,2,3
62,2008,Austria,0,1,2,3
62,2008,Ireland,0,1,2,3
62,2008,Serbia,0,1,2,3
64,2004,Estonia,0,1,2,3
64,2012,Belgium,0,1,2,3
19,1900,NULL,0,1,1,2
22,1924,Poland,0,1,1,2
24,1936,Latvia,0,1,1,2
26,1948,Portugal,0,1,1,2
26,1948,Uruguay,0,1,1,2
29,1956,Argentina,0,1,1,2
29,1956,South Korea,0,1,1,2
29,1964,Tunisia,0,1,1,2
30,1960,Argentina,0,1,1,2
30,1960,Egypt,0,1,1,2
30,1984,Greece,0,1,1,2
30,1984,Nigeria,0,1,1,2
30,1984,Puerto Rico,0,1,1,2
31,1980,Ireland,0,1,1,2
32,1952,Austria,0,1,1,2
32,1952,Lebanon,0,1,1,2
33,1976,Iran,0,1,1,2
35,1988,Argentina,0,1,1,2
36,1968,Belgium,0,1,1,2
36,1968,South Korea,0,1,1,2
36,1968,Uganda,0,1,1,2
48,1992,Israel,0,1,1,2
58,1996,Malaysia,0,1,1,2
58,1996,Moldova,0,1,1,2
58,1996,Uzbekistan,0,1,1,2
61,2000,Moldova,0,1,1,2
61,2000,Saudi Arabia,0,1,1,2
61,2000,Trinidad and Tobago,0,1,1,2
65,2008,Algeria,0,1,1,2
65,2008,Bahamas,0,1,1,2
65,2008,Kyrgyzstan,0,1,1,2
65,2008,Morocco,0,1,1,2
65,2008,Tajikistan,0,1,1,2
65,2012,Armenia,0,1,1,2
65,2012,Estonia,0,1,1,2
65,2012,Malaysia,0,1,1,2
65,2012,Puerto Rico,0,1,1,2
65,2012,Qatar,0,1,1,2
19,1920,Greece,0,1,0,1
19,1920,Luxembourg,0,1,0,1
22,1932,Latvia,0,1,0,1
22,1932,New Zealand,0,1,0,1
22,1932,Switzerland,0,1,0,1
25,1936,Romania,0,1,0,1
25,1936,South Africa,0,1,0,1
25,1936,Yugoslavia,0,1,0,1
28,1948,Cuba,0,1,0,1
28,1948,Spain,0,1,0,1
28,1948,Sri Lanka,0,1,0,1
28,1948,Trinidad and Tobago,0,1,0,1
30,1928,Chile,0,1,0,1
30,1928,Haiti,0,1,0,1
30,1964,Argentina,0,1,0,1
30,1964,Cuba,0,1,0,1
30,1964,Pakistan,0,1,0,1
30,1964,Philippines,0,1,0,1
31,1956,Iceland,0,1,0,1
31,1956,Pakistan,0,1,0,1
32,1960,Canada,0,1,0,1
32,1960,Ghana,0,1,0,1
32,1960,India,0,1,0,1
32,1960,Morocco,0,1,0,1
32,1960,Portugal,0,1,0,1
32,1960,Singapore,0,1,0,1
32,1960,Taiwan (ROC),0,1,0,1
32,1980,Uganda,0,1,0,1
32,1980,Venezuela,0,1,0,1
33,1972,Argentina,0,1,0,1
33,1972,Lebanon,0,1,0,1
33,1972,Mexico,0,1,0,1
33,1972,Mongolia,0,1,0,1
33,1972,Pakistan,0,1,0,1
33,1972,South Korea,0,1,0,1
33,1972,Tunisia,0,1,0,1
33,1972,Turkey,0,1,0,1
33,1984,Colombia,0,1,0,1
33,1984,Cote d'Ivoire,0,1,0,1
33,1984,Egypt,0,1,0,1
33,1984,Ireland,0,1,0,1
33,1984,Peru,0,1,0,1
33,1984,Syria,0,1,0,1
33,1984,Thailand,0,1,0,1
34,1952,Ireland,0,1,0,1
34,1952,Mexico,0,1,0,1
34,1952,Spain,0,1,0,1
34,1976,Mongolia,0,1,0,1
34,1976,Venezuela,0,1,0,1
36,1988,NULL,0,1,0,1
36,1988,Chile,0,1,0,1
36,1988,Costa Rica,0,1,0,1
36,1988,Indonesia,0,1,0,1
36,1988,Iran,0,1,0,1
36,1988,Peru,0,1,0,1
36,1988,Senegal,0,1,0,1
36,1988,"Virgin Islands, U.S.",0,1,0,1
39,1968,Cameroon,0,1,0,1
39,1968,Jamaica,0,1,0,1
49,1992,Mexico,0,1,0,1
49,1992,Peru,0,1,0,1
49,1992,Taiwan (ROC),0,1,0,1
61,1996,Azerbaijan,0,1,0,1
61,1996,Bahamas,0,1,0,1
61,1996,Latvia,0,1,0,1
61,1996,Philippines,0,1,0,1
61,1996,Taiwan (ROC),0,1,0,1
61,1996,Tonga,0,1,0,1
61,1996,Zambia,0,1,0,1
64,2000,Ireland,0,1,0,1
64,2000,Sri Lanka,0,1,0,1
64,2000,Uruguay,0,1,0,1
64,2000,Vietnam,0,1,0,1
65,2004,Hong Kong,0,1,0,1
65,2004,India,0,1,0,1
65,2004,Paraguay,0,1,0,1
70,2008,Chile,0,1,0,1
70,2008,Ecuador,0,1,0,1
70,2008,Iceland,0,1,0,1
70,2008,Malaysia,0,1,0,1
70,2008,Singapore,0,1,0,1
70,2008,South Africa,0,1,0,1
70,2008,Sudan,0,1,0,1
70,2008,Vietnam,0,1,0,1
70,2012,Botswana,0,1,0,1
70,2012,Cyprus,0,1,0,1
70,2012,Gabon,0,1,0,1
70,2012,Guatemala,0,1,0,1
70,2012,Montenegro,0,1,0,1
70,2012,Portugal,0,1,0,1
68,2000,Georgia,0,0,6,6
78,2008,Armenia,0,0,6,6
33,1956,South Africa,0,0,4,4
79,2008,Taiwan (ROC),0,0,4,4
18,1912,Netherlands,0,0,3,3
25,1932,Philippines,0,0,3,3
28,1936,Mexico,0,0,3,3
34,1980,Jamaica,0,0,3,3
40,1984,Turkey,0,0,3,3
40,1984,Venezuela,0,0,3,3
17,1908,NULL,0,0,2,2
21,1920,Czechoslovakia,0,0,2,2
29,1936,Belgium,0,0,2,2
32,1948,Panama,0,0,2,2
32,1948,South Korea,0,0,2,2
34,1956,Austria,0,0,2,2
34,1964,Iran,0,0,2,2
36,1976,Brazil,0,0,2,2
37,1952,South Korea,0,0,2,2
37,1952,Trinidad and Tobago,0,0,2,2
37,1952,Uruguay,0,0,2,2
39,1960,NULL,0,0,2,2
39,1960,Brazil,0,0,2,2
41,1968,Argentina,0,0,2,2
41,1972,Brazil,0,0,2,2
41,1972,Ethiopia,0,0,2,2
42,1984,Algeria,0,0,2,2
44,1988,Belgium,0,0,2,2
44,1988,Mexico,0,0,2,2
52,1992,Mongolia,0,0,2,2
52,1992,Slovenia,0,0,2,2
68,1996,Georgia,0,0,2,2
68,1996,Morocco,0,0,2,2
68,1996,Trinidad and Tobago,0,0,2,2
68,2004,Colombia,0,0,2,2
68,2004,Nigeria,0,0,2,2
68,2004,Venezuela,0,0,2,2
69,2000,Costa Rica,0,0,2,2
69,2000,Portugal,0,0,2,2
76,2012,Greece,0,0,2,2
76,2012,Singapore,0,0,2,2
76,2012,Uzbekistan,0,0,2,2
80,2008,Egypt,0,0,2,2
10,1904,Austria,0,0,1,1
18,1908,Austria,0,0,1,1
18,1908,Netherlands,0,0,1,1
20,1900,Sweden,0,0,1,1
22,1920,New Zealand,0,0,1,1
23,1924,Haiti,0,0,1,1
23,1924,Japan,0,0,1,1
23,1924,New Zealand,0,0,1,1
23,1924,Portugal,0,0,1,1
23,1924,Romania,0,0,1,1
26,1932,Spain,0,0,1,1
26,1932,Uruguay,0,0,1,1
30,1936,Australia,0,0,1,1
30,1936,Philippines,0,0,1,1
30,1936,Portugal,0,0,1,1
32,1928,Philippines,0,0,1,1
34,1948,Brazil,0,0,1,1
34,1948,Iran,0,0,1,1
34,1948,Poland,0,0,1,1
34,1948,Puerto Rico,0,0,1,1
35,1956,Bahamas,0,0,1,1
35,1956,Greece,0,0,1,1
35,1956,Switzerland,0,0,1,1
35,1956,Uruguay,0,0,1,1
35,1964,Brazil,0,0,1,1
35,1964,Ghana,0,0,1,1
35,1964,Ireland,0,0,1,1
35,1964,Kenya,0,0,1,1
35,1964,Mexico,0,0,1,1
35,1964,Nigeria,0,0,1,1
35,1964,Uruguay,0,0,1,1
35,1980,Guyana,0,0,1,1
35,1980,Lebanon,0,0,1,1
37,1976,Austria,0,0,1,1
37,1976,Bermuda,0,0,1,1
37,1976,Pakistan,0,0,1,1
37,1976,Puerto Rico,0,0,1,1
37,1976,Thailand,0,0,1,1
40,1952,Bulgaria,0,0,1,1
40,1952,Egypt,0,0,1,1
40,1952,Portugal,0,0,1,1
40,1952,Venezuela,0,0,1,1
41,1960,Iraq,0,0,1,1
41,1960,Mexico,0,0,1,1
41,1960,Spain,0,0,1,1
41,1960,Venezuela,0,0,1,1
42,1968,Greece,0,0,1,1
42,1968,India,0,0,1,1
42,1968,Taiwan (ROC),0,0,1,1
43,1972,Ghana,0,0,1,1
43,1972,India,0,0,1,1
43,1972,Jamaica,0,0,1,1
43,1972,Niger,0,0,1,1
43,1972,Nigeria,0,0,1,1
43,1972,Spain,0,0,1,1
43,1984,Cameroon,0,0,1,1
43,1984,Dominican Republic,0,0,1,1
43,1984,Iceland,0,0,1,1
43,1984,Taiwan (ROC),0,0,1,1
43,1984,Zambia,0,0,1,1
46,1988,Colombia,0,0,1,1
46,1988,Djibouti,0,0,1,1
46,1988,Greece,0,0,1,1
46,1988,Mongolia,0,0,1,1
46,1988,Pakistan,0,0,1,1
46,1988,Philippines,0,0,1,1
46,1988,Thailand,0,0,1,1
54,1992,Argentina,0,0,1,1
54,1992,Bahamas,0,0,1,1
54,1992,Colombia,0,0,1,1
54,1992,Ghana,0,0,1,1
54,1992,Malaysia,0,0,1,1
54,1992,Pakistan,0,0,1,1
54,1992,Philippines,0,0,1,1
54,1992,Puerto Rico,0,0,1,1
54,1992,Qatar,0,0,1,1
54,1992,Suriname,0,0,1,1
54,1992,Thailand,0,0,1,1
71,1996,India,0,0,1,1
71,1996,Israel,0,0,1,1
71,1996,Lithuania,0,0,1,1
71,1996,Mexico,0,0,1,1
71,1996,Mongolia,0,0,1,1
71,1996,Mozambique,0,0,1,1
71,1996,Puerto Rico,0,0,1,1
71,1996,Tunisia,0,0,1,1
71,1996,Uganda,0,0,1,1
71,2000,Armenia,0,0,1,1
71,2000,Barbados,0,0,1,1
71,2000,Chile,0,0,1,1
71,2000,Iceland,0,0,1,1
71,2000,India,0,0,1,1
71,2000,Israel,0,0,1,1
71,2000,Kuwait,0,0,1,1
71,2000,Kyrgyzstan,0,0,1,1
71,2000,Macedonia,0,0,1,1
71,2000,Qatar,0,0,1,1
71,2004,Eritrea,0,0,1,1
71,2004,Mongolia,0,0,1,1
71,2004,Syria,0,0,1,1
71,2004,Trinidad and Tobago,0,0,1,1
79,2012,Afghanistan,0,0,1,1
79,2012,Cameroon,0,0,1,1
79,2012,Hong Kong,0,0,1,1
79,2012,Kuwait,0,0,1,1
79,2012,Morocco,0,0,1,1
79,2012,Saudi Arabia,0,0,1,1
79,2012,Tajikistan,0,0,1,1
81,2008,Afghanistan,0,0,1,1
81,2008,Israel,0,0,1,1
81,2008,Mauritius,0,0,1,1
81,2008,Moldova,0,0,1,1
81,2008,Togo,0,0,1,1
81,2008,Venezuela,0,0,1,1
