,Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
288, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","When Daisy gets a horrifying glimpse of the future, S.H.I.E.L.D. races to prove that fate is not fixed.",8.7,,"2,364",,Marvel
289, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,WendeyStanzler,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",The team hunts for information on a new enemy; Malick's secret from his past threatens to destroy his Hydra legacy.,8.2,,"2,104",,Marvel
290, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,ElodieKeene,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Agent Daisy Johnson must call upon the Secret Warriors for an inaugural mission that will leave no member unscathed, and S.H.I.E.L.D. learns more about Hive's powers, forcing them to question everyone they trust.",9.0,,"2,503",,Marvel
291, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",The S.H.I.E.L.D. team is left reeling and decimated as Hive continues to sway Inhumans to his side. But there is a sliver of hope as Agents Fitz and Simmons follow a lead that may be able to stop the maniacal Inhuman once and for all.,8.3,,"2,152",,Marvel
292, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,TV-PG,WendeyStanzler,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","As the threat of Hive looms, loyalties are put to the test and the team must come up with a decisive resolution.",8.2,,"2,082",,Marvel
293, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","In the aftermath of the events of Captain America: Civil War (2016), S.H.I.E.L.D feels pressure to reveal their involvement with Inhumans. But with the stakes higher than ever and Hive ...                See full summary »",8.6,,"2,164",,Marvel
294, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","It's a showdown a season in the making as S.H.I.E.L.D. takes on Hive, and when his master plan is finally revealed, the team must spring into action.",8.6,,"2,229",,Marvel
295, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","In the conclusion to ""Absolution,"" S.H.I.E.L.D. must spring into action to combat Hive.",9.1,,"2,681",,Marvel
296, Jessica Jones,(2015–2019),"Action,Crime,Drama",54 min,TV-MA,AnnaFoerster,"KrystenRitter,RachaelTaylor,EkaDarville,J.R.Ramirez","While Jessica deals with a rival PI and a paranoid would-be client, Trish digs up a medical file that could unlock the mystery of Jessica's powers.",7.6,,"2,930",,Marvel
297, Jessica Jones,(2015–2019),"Action,Crime,Drama",56 min,TV-MA,MinkieSpiro,"KrystenRitter,RachaelTaylor,EkaDarville,J.R.Ramirez",Jessica sets out to find Dr. Kozlov and makes a startling discovery. Trish recruits Malcolm for backup as she visits a figure from her past.,7.5,,"2,629",,Marvel
298, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Daisy has left S.H.I.E.L.D. and is trying to solve the mystery of a bunch of serial killings in the Los Angeles area. At the same time her old friends suspect her for the killings and are following her trail in an attempt to find her.,8.4,,"2,752",,Marvel
299, The Punisher,(2017–2019),"Action,Crime,Drama",51 min,TV-MA,TomShankland,"JonBernthal,EbonMoss-Bachrach,AmberRoseRevah,DanielWebber",Former Marine Frank Castle takes the law into his own hands while struggling to come to terms with his traumatic past.,8.6,,"7,334",,Marvel
300, The Punisher,(2017–2019),"Action,Crime,Drama",57 min,TV-MA,TomShankland,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","A mysterious phone call forces Frank's hand. Meanwhile, Madani goes digging for suspects and Curtis delivers a message.",8.3,,"6,253",,Marvel
301, The Punisher,(2017–2019),"Action,Crime,Drama",58 min,TV-MA,AndyGoddard,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah",Frank skips the subtlety while interrogating Micro. Brutal memories of top-secret missions shed light on Frank's past.,8.5,,"6,003",,Marvel
302, The Punisher,(2017–2019),"Action,Crime,Drama",49 min,TV-MA,KariSkogland,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Madani and Sam plan a delicate operation, Curtis tries to connect with Lewis, and Frank encourages Micro to get his hands dirty.",8.4,,"5,665",,Marvel
303, The Punisher,(2017–2019),"Action,Crime,Drama",55 min,TV-MA,DearbhlaWalsh,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah",Frank and Micro go looking for answers from a reluctant witness. Madani and Sam learn of a looming investigation. Rawlins sees a ghost.,8.7,,"5,654",,Marvel
304, The Punisher,(2017–2019),"Action,Crime,Drama",55 min,TV-MA,JeremyWebb,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","With Frank in bad shape, Micro calls on Curtis for help. Madani and Russo continue to mix business with pleasure. Lewis stands up for his rights.",8.3,,"5,396",,Marvel
305, The Punisher,(2017–2019),"Action,Crime,Drama",49 min,TV-MA,AndyGoddard,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah",Lewis struggles with the ramifications of his actions. Frank and Micro pursue another face from the past. Madani and Sam go bug hunting.,8.7,,"5,407",,Marvel
306, The Punisher,(2017–2019),"Action,Crime,Drama",53 min,TV-MA,AntonioCampos,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Russo opens up to Madani about his past, Sarah shares her concerns about her son with Frank, and a decoy operation takes a turn.",8.8,,"5,488",,Marvel
307, The Punisher,(2017–2019),"Action,Crime,Drama",54 min,TV-MA,MarcJobst,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Following a deadly explosion, Karen lands in a bomber's crosshairs -- and Frank isn't happy about it. Meanwhile, Curtis makes a grisly discovery.",9.0,,"5,600",,Marvel
308, The Punisher,(2017–2019),"Action,Crime,Drama",49 min,TV-MA,JimO'Hanlon,"JonBernthal,BenBarnes,AmberRoseRevah,DanielWebber",An attack on a high-profile politician is examined (and reexamined) through different perspectives. Madani faces a painful truth.,9.2,,"6,391",,Marvel
309, The Punisher,(2017–2019),"Action,Crime,Drama",52 min,TV-MA,KevinHooks,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","As danger knocks on Sarah's door, Frank takes his quest for vengeance to the next level with some help from an unexpected ally.",9.3,,"6,751",,Marvel
310, The Punisher,(2017–2019),"Action,Crime,Drama",51 min,TV-MA,JetWilkinson,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Frank makes a damning confession. A shootout leaves Sarah wondering what to believe. Rawlins goes in for the kill, once and for all.",9.5,,"8,511",,Marvel
311, The Punisher,(2017–2019),"Action,Crime,Drama",55 min,TV-MA,StephenSurjik,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","As the authorities close in, an exhausted but unbroken Frank vows to put an end to the war that has consumed his life.",9.2,,"6,877",,Marvel
312, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Daisy goes to battle Ghost Rider at a terrible cost, and Coulson faces the new director, whose bold agenda surprises them all.",8.1,,"2,321",,Marvel
313, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,MagnusMartens,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson, Mack and Fitz try to locate and neutralize a rogue group looking to stop Inhuman registration worldwide; Simmons and Dr. Radcliffe have only a short time to save May before she succumbs to her illness.",8.3,,"2,230",,Marvel
314, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,BradTurner,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Ghost Rider's quest for vengeance brings him into an explosive confrontation with S.H.I.E.L.D., Coulson and Mack must rely on an unlikely ally in their time of desperate need; and Daisy ...                See full summary »",8.5,,"2,218",,Marvel
315, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,KateWoods,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Robbie Reyes struggles to control The Ghost Rider, S.H.I.E.L.D. infiltrates a high-security prison to unravel the secrets that haunt them all.",8.3,,"2,100",,Marvel
316, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The shocking origin story of Robbie's transition into Ghost Rider is revealed as the lives of Coulson and the team hang in the balance.,8.9,,"2,399",,Marvel
317, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the loss of half the team, the remaining members search for answers as the clock counts down for Ghost Rider.",8.9,,"2,242",,Marvel
318, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the lives of everyone in Los Angeles hanging in the balance, S.H.I.E.L.D. and Ghost Rider find themselves working together.",8.7,,"2,128",,Marvel
319, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Though Coulson and May are growing closer, Coulson remains unaware of the dark secret May is hiding beneath the surface. Meanwhile, Aida is unrelenting in her search for the Darkhold.",8.4,,"2,008",,Marvel
320, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Separated from their team, Coulson and Mack discover a shocking secret about Mace, leaving all of S.H.I.E.L.D. in a precarious position.",8.2,,"1,968",,Marvel
321, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",May works to uncover the truth about what happened to her; Aida's next move puts everyone's life at risk.,8.5,,"1,964",,Marvel
322, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Dr. Radcliffe goes after the Koenig family to find the location of the Darkhold. The Superior reveals his plans to Radcliffe.,8.2,,"1,960",,Marvel
323, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",An explosive Inhuman surfaces and the team are tasked with containing it. Elsewhere: Coulson and Mack encounter Radcliffe's inspiration for Aida.,8.1,,"1,939",,Marvel
324, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,WendeyStanzler,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team engage in a deadly cat-and-mouse game as they work to rescue Director Mace, who is fighting for his life.",8.3,,"1,990",,Marvel
325, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,JedWhedon,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Radcliffe and Aida's plan goes into action, Fitz and Simmons are trapped in the Playground unsure of which of their friends are real and which ones have been replaced by LMDs.",9.5,,"4,213",,Marvel
326, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,OzScott,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Daisy and Simmons uncover secrets and lies in a world gone mad. With Hydra in control, they are our only hope to save everyone.",9.2,,"2,684",,Marvel
327, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Daisy and Simmons struggle to discover an escape route to the real world, the identity of the Inhuman leader of the Resistance is revealed.",8.9,,"2,300",,Marvel
328, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,EricLaneuville,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The truth behind Fitz's turn threatens to bring down all of S.H.I.E.L.D.,9.1,,"2,380",,Marvel
329, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Daisy teams up with an unlikely partner; Aida prepares to put her endgame into effect.,8.7,,"2,146",,Marvel
330, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","The clock is ticking for Daisy and Simmons to get the team out of the Framework, but not everyone is ready and willing to leave.",9.1,,"2,329",,Marvel
331, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team's victory in the Framework is short-lived, as an even deadlier enemy looms against them all.",9.2,,"2,374",,Marvel
332, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the surprising emergence of Ghost Rider, Coulson and the team attempt to stop Aida from ending the world.",9.2,,"2,594",,Marvel
333, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team find themselves trapped on a mysterious ship in outer space, and that's just the beginning of the nightmare to come.",9.0,,"2,814",,Marvel
334, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,DavidSolomon,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team find themselves stranded on a mysterious ship in outer space, and that's just the beginning of the nightmare to come.",8.8,,"2,528",,Marvel
335, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,KevinHooks,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Daisy decides she will rescue Simmons, even though she must risk everything.",8.3,,"2,176",,Marvel
336, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-PG,StanleyM.Brooks,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson and the team discover their captors' true intentions.,8.4,,"2,114",,Marvel
337, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the help of Lance Hunter, nothing will stop Fitz from finding his lost team as his secret journey is revealed.",9.2,,"2,782",,Marvel
338, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-PG,ClarkGregg,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With Daisy's life on the line, an unexpected friend attempts to rescue her.",9.0,,"2,328",,Marvel
339, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",40 min,TV-14,BradTurner,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Just as the team reunites, they become prey to an undefeated Kree warrior bent on killing them all.",8.4,,"1,991",,Marvel
340, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson and the team discover that the most unexpected person from S.H.I.E.L.D.'s past may hold the key to stopping Earth's destruction.,8.4,,"2,015",,Marvel
341, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Mack, Yo-Yo and Flint fight to keep everyone alive by starting a revolution against the Kree.",8.4,,"1,881",,Marvel
342, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,EricLaneuville,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","The team has one final chance to return to their timeline, but their actions may have deadly consequences.",8.7,,"2,034",,Marvel
343, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,KateWoods,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson and his team are out to rewrite the fate of humanity but they are unaware how the changes will affect one S.H.I.E.L.D. agent's life.,8.6,,"1,939",,Marvel
344, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson finally reveals the mysterious deal he made with Ghost Rider, which will impact everyone on the team.",9.2,,"2,689",,Marvel
345, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,BradTurner,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team goes in search of Gravitonium in order to save the world.,8.2,,"1,815",,Marvel
346, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Fitz and Simmons are faced with one of their greatest fears as they search for a way to seal the rift.,9.1,,"2,453",,Marvel
347, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson uncovers General Hale's real agenda and it could be the end of the world if S.H.I.E.L.D. can't help her.,8.6,,"1,845",,Marvel
348, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,SalliRichardson-Whitfield,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson is forced to team up with unlikely allies to save the world, while his team try to track him down and rescue him.",8.4,,"1,728",,Marvel
349, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","When an agents life hangs in the balance, Fitz, Simmons and Yo-Yo attempt to neutralise a weapon that could play a role in Earth's destruction.",8.2,,"1,695",,Marvel
350, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,TV-14,JenniferLynch,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team must find a way to stop Ruby before the prophesied chain reaction that can destroy the earth is put into motion.,8.4,,"1,677",,Marvel
351, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team finds themselves trapped and under siege at the Lighthouse.,8.7,,"1,759",,Marvel
352, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,CherieGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",A newly determined Talbot takes Coulson to meet the enemy and attempts to avert Earth's destruction.,8.4,,"1,696",,Marvel
353, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Daisy's future as the destroyer of worlds could take a critical change.,8.6,,"1,723",,Marvel
354, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,JedWhedon,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team must choose between Coulson's life or death; the wrong decision will cause the destruction of Earth.,9.3,,"2,675",,Marvel
355, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,ClarkGregg,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Scattered across the galaxy, the team works to find their footing in the wake of losing Coulson.",8.1,,"1,916",,Marvel
356, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","While Fitz and Enoch struggle in space, Sarge and his team move forward with their mysterious mission on Earth.",8.1,,"1,592",,Marvel
357, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","While Fitz and Enoch try their luck at the casino, Daisy and Simmons find themselves in a much more exciting situation.",8.5,,"1,887",,Marvel
358, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,TV-14,MarkKolpack,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Yo-Yo and Keller take things public; parasitic aliens threaten the human race; and someone really needs boba.,7.9,,"1,600",,Marvel
359, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,LouDiamondPhillips,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Sarge has May; Altarah has Daisy, Enoch and Simmons; and now, there are two planets that need saving.",8.1,,"1,445",,Marvel
360, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Fitz and Simmons have fought through space, time and alternate realities to find each other, and now, closer than ever, only their own demons can stop their mission.",9.0,,"2,200",,Marvel
361, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,KeithPotter,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","After finding themselves in yet another gambling dilemma, a mysterious stranger offers Enoch and FitzSimmons a ride home.",8.0,,"1,371",,Marvel
362, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,KristinWindell,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","To face The Galaxy-Hopping Hate-Beast That Eats Planets, the team on Earth asks for help in all the wrong places; while back on the Lazy Comet, something weird goes on with Izel's crew.",8.5,,"1,372",,Marvel
363, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,SarahBoyd,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",There's no time for the team to play catch-up when there's a planet to save.,8.6,,"1,395",,Marvel
364, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team must trust each other in order to face impending doom and an enemy that's closer than they think.,8.6,,"1,394",,Marvel
365, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,JenniferPhang,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Out of answers and running out of time, the agents must face the ghosts of their past to move forward.",8.2,,"1,261",,Marvel
366, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With time running short, the team has to go to hell to stop the end of everything.",8.5,,"1,289",,Marvel
367, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With time running short, the team has to go to hell to stop the end of everything.",8.7,,"1,509",,Marvel
368, The Falcon and the Winter Soldier,(2021),"Action,Adventure,Drama",47 min,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,WyattRussell,DonCheadle",Sam Wilson and Bucky Barnes realize that their futures are anything but normal.,7.8,,"14,662",,Marvel
369, The Falcon and the Winter Soldier,(2021),"Action,Adventure,Drama",47 min,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,WyattRussell,CléBennett","John Walker is named Captain America, and Sam Wilson and Bucky Barnes team up against the rebel group the Flag Smashers.",7.9,,"12,611",,Marvel
370, The Falcon and the Winter Soldier,(2021),"Action,Adventure,Drama",51 min,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,DanielBrühl,EmilyVanCamp","To find the source of the Super Soldier Serum, Sam and Bucky must scale a ladder of low-lifes starting in Madripoor with Zemo.",8.0,,"11,623",,Marvel
371, The Falcon and the Winter Soldier,(2021),"Action,Adventure,Drama",53 min,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,DanielBrühl,EmilyVanCamp",John Walker loses patience with Sam and Bucky as they learn more about Karli Morgenthau.,8.8,,"13,150",,Marvel
372, The Falcon and the Winter Soldier,(2021),"Action,Adventure,Drama",57 min,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,DanielBrühl,EmilyVanCamp","Sam Wilson, Bucky Barnes, Baron Zemo, John Walker, and Karli Morgenthau must all deal with the fall out from their actions.",8.0,,"10,736",,Marvel
373, The Falcon and the Winter Soldier,(2021),"Action,Adventure,Drama",49 min,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,EmilyVanCamp,DanielBrühl","As the Flag Smashers escalate their efforts, Sam and Bucky take action.",7.9,,"10,805",,Marvel
374, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","Coulson and the agents are thrust backwards in time and stranded in 1931 New York City; with an all-new Zephyr set to time-jump at any moment, the team must hurry to find out exactly what happened.",8.4,,"1,645",,Marvel
375, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,EricLaneuville,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","With the identity of the timeline-unraveling ""thread"" revealed, the team's mission to protect him at all costs leads each agent to question their own values.",8.2,,"1,445",,Marvel
376, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","A surprise leap forward in time strands Enoch in 1931 and lands the team in another unfamiliar decade; in order to stop the chronicoms from launching their future-dismantling plan, the ...                See full summary »",8.6,,"1,487",,Marvel
377, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,TV-14,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","Agent Phil Coulson comes to a realization about the importance of July 22, 1955, in the S.H.I.E.L.D. history books.",8.8,,"1,576",,Marvel
378, Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,TV-14,StanleyM.Brooks,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge",The team - Daniel Sousa in tow - reunites with more than one familiar face at the S.H.I.E.L.D. hangout and discovers exactly how to dismantle the Chronicoms' latest plan; the Zephyr unexpectedly leaps forward again.,8.5,,"1,364",,Marvel
