teamstatspk,team,games_played,wins,losses,win_percentage,minutes,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,blocks_attempted,personal_fouls,personal_fouls_drawn,plus_minus,season
118,Portland Trail Blazers,11,5,6,0.455,49.4,104.3,38.4,87.7,43.7,7.9,22.8,34.7,19.6,24.6,79.7,11.7,32.5,44.2,17.5,13.8,5.9,6.0,4.3,22.5,23.3,-6.3,2013-14
119,Atlanta Hawks,7,3,4,0.429,48.0,92.4,30.3,78.7,38.5,11.3,32.9,34.3,20.6,24.9,82.8,9.1,30.1,39.3,16.9,13.6,6.6,4.6,6.3,20.9,22.6,-1.0,2013-14
120,Dallas Mavericks,7,3,4,0.429,48.0,101.1,39.1,86.7,45.1,8.4,22.4,37.6,14.4,18.9,76.5,11.7,29.0,40.7,19.1,11.4,6.6,4.1,3.6,20.3,19.6,-2.0,2013-14
121,Golden State Warriors,7,3,4,0.429,48.0,106.4,38.3,83.1,46.0,9.6,26.3,36.4,20.3,27.9,72.8,13.1,29.6,42.7,24.4,17.3,7.0,4.6,5.1,25.3,23.0,-4.4,2013-14
122,Memphis Grizzlies,7,3,4,0.429,50.9,96.7,36.7,88.1,41.7,4.4,15.3,29.0,18.9,25.9,72.9,12.9,29.9,42.7,21.7,11.1,9.0,2.4,7.6,20.9,23.0,-5.4,2013-14
123,Toronto Raptors,7,3,4,0.429,48.0,96.1,32.7,74.1,44.1,6.6,21.0,31.3,24.1,29.0,83.3,10.1,31.6,41.7,17.7,15.3,5.6,3.0,3.6,25.9,24.1,-1.6,2013-14
124,Brooklyn Nets,12,5,7,0.417,48.0,95.5,34.8,75.1,46.3,7.8,22.7,34.2,18.3,24.8,73.7,10.0,27.8,37.8,18.3,12.3,6.9,2.8,4.0,22.3,22.6,-1.3,2013-14
125,Houston Rockets,6,2,4,0.333,50.5,112.0,40.8,91.7,44.5,8.2,25.7,31.8,22.2,29.8,74.3,16.7,32.5,49.2,18.3,13.8,6.0,5.0,9.2,26.0,24.8,0.3,2013-14
126,Chicago Bulls,5,1,4,0.2,49.0,90.0,33.2,78.6,42.2,6.4,19.2,33.3,17.2,22.8,75.4,12.2,29.6,41.8,20.2,13.2,5.0,4.4,6.6,22.0,22.2,-4.6,2013-14
127,Charlotte Bobcats,4,0,4,0.0,48.0,92.0,33.8,75.3,44.9,7.8,21.3,36.5,16.8,23.5,71.3,8.3,31.5,39.8,19.8,15.0,4.3,4.5,4.5,20.3,19.8,-9.8,2013-14
128,San Antonio Spurs,21,15,6,0.714,49.4,100.3,38.0,82.2,46.3,7.9,20.8,37.8,16.4,21.5,76.3,9.7,32.9,42.6,21.9,12.9,7.9,5.0,4.7,19.1,21.1,7.0,2012-13
129,Miami Heat,23,16,7,0.696,48.4,97.1,35.8,76.6,46.8,7.7,20.2,38.1,17.8,23.2,76.6,9.7,28.4,38.1,20.6,13.1,8.3,5.4,3.4,22.2,21.0,6.4,2012-13
130,Indiana Pacers,19,11,8,0.579,48.3,91.8,32.2,74.4,43.3,6.3,19.2,32.7,21.1,28.5,74.0,12.7,32.9,45.6,17.5,16.4,5.4,4.5,4.7,22.4,24.8,0.2,2012-13
131,Memphis Grizzlies,15,8,7,0.533,49.0,94.7,34.1,81.5,41.8,4.8,14.8,32.4,21.7,29.1,74.8,11.7,30.0,41.7,19.3,10.7,7.3,4.6,6.5,22.1,25.3,0.6,2012-13
132,Golden State Warriors,12,6,6,0.5,49.3,102.7,39.0,84.4,46.2,8.7,22.3,38.8,16.0,21.8,73.6,11.5,34.6,46.1,21.7,16.5,6.4,4.9,3.5,23.8,21.9,0.2,2012-13
133,New York Knicks,12,6,6,0.5,48.4,88.6,33.3,81.0,41.0,8.0,23.3,34.3,14.1,18.0,78.2,10.7,28.8,39.5,15.1,11.6,8.8,4.3,4.2,23.8,18.9,2.7,2012-13
134,Oklahoma City Thunder,11,5,6,0.455,48.5,98.5,34.8,81.6,42.7,8.6,24.7,34.9,20.2,24.1,83.8,9.8,33.1,42.9,18.1,13.6,6.0,7.0,4.9,24.9,22.1,1.4,2012-13
135,Brooklyn Nets,7,3,4,0.429,50.1,99.4,37.0,83.7,44.2,6.1,19.4,31.6,19.3,25.4,75.8,11.7,30.4,42.1,19.9,11.6,6.3,5.6,5.7,19.9,21.7,2.0,2012-13
136,Chicago Bulls,12,5,7,0.417,49.3,91.9,35.0,79.9,43.8,5.4,17.0,31.9,16.5,22.9,72.0,11.8,29.0,40.8,19.5,14.3,6.4,4.6,5.8,22.4,21.2,-6.7,2012-13
137,Atlanta Hawks,6,2,4,0.333,48.0,89.3,32.7,77.3,42.2,6.2,18.7,33.0,17.8,26.2,68.2,8.3,30.0,38.3,19.2,12.2,7.3,3.8,4.8,24.2,23.8,-5.2,2012-13
138,Boston Celtics,6,2,4,0.333,48.8,82.3,28.5,69.0,41.3,6.8,20.7,33.1,18.5,21.5,86.0,5.2,33.8,39.0,16.8,17.3,5.5,3.0,4.3,18.8,21.3,-5.3,2012-13
139,Denver Nuggets,6,2,4,0.333,48.0,103.0,37.2,84.8,43.8,7.0,22.5,31.1,21.7,29.7,73.0,11.8,26.8,38.7,21.2,14.5,9.0,2.8,6.7,23.2,23.5,-4.2,2012-13
140,Houston Rockets,6,2,4,0.333,48.0,100.0,34.3,81.0,42.4,11.7,33.7,34.7,19.7,27.7,71.1,10.8,32.7,43.5,18.0,15.8,5.8,5.5,7.3,23.2,24.7,-5.8,2012-13
141,Los Angeles Clippers,6,2,4,0.333,48.0,94.7,35.2,75.3,46.7,5.8,19.2,30.4,18.5,23.7,78.2,8.8,28.3,37.2,18.0,13.3,5.2,5.7,4.2,27.8,23.8,-5.5,2012-13
142,Los Angeles Lakers,4,0,4,0.0,48.0,85.3,34.5,78.0,44.2,5.0,18.5,27.0,11.3,18.5,60.8,8.5,31.5,40.0,18.5,16.5,5.8,5.3,5.0,17.5,18.0,-18.8,2012-13
143,Milwaukee Bucks,4,0,4,0.0,48.0,85.3,33.3,76.8,43.3,6.0,23.0,26.1,12.8,20.3,63.0,8.8,26.0,34.8,19.8,16.3,10.0,2.5,4.3,19.8,20.3,-14.8,2012-13
144,San Antonio Spurs,14,10,4,0.714,48.0,102.0,37.9,78.9,48.1,9.4,22.6,41.6,16.7,22.9,73.1,8.6,32.0,40.6,22.9,14.3,6.5,4.6,7.0,20.4,20.9,5.9,2011-12
145,Miami Heat,23,16,7,0.696,48.4,97.3,35.0,76.0,46.0,6.8,19.7,34.7,20.6,27.7,74.4,10.2,30.3,40.4,17.5,13.0,7.3,5.0,3.8,20.6,23.9,7.1,2011-12
146,Oklahoma City Thunder,20,13,7,0.65,48.0,101.3,37.2,80.0,46.5,6.8,19.2,35.5,20.1,24.5,82.0,9.3,30.5,39.8,18.0,11.6,8.7,6.9,4.1,22.4,20.9,4.0,2011-12
147,Boston Celtics,20,11,9,0.55,48.8,89.5,33.8,77.2,43.8,4.7,16.3,28.5,17.3,21.6,79.9,8.0,31.9,39.9,19.8,13.0,8.2,4.9,4.4,21.7,19.8,1.0,2011-12
148,Indiana Pacers,11,6,5,0.545,48.5,90.9,33.7,79.5,42.4,5.7,17.9,32.0,17.7,23.0,77.1,12.4,31.6,44.0,16.3,15.1,6.9,5.5,5.5,22.0,20.4,1.4,2011-12
149,Philadelphia 76ers,13,7,6,0.538,48.0,85.7,32.1,78.1,41.1,4.0,13.2,30.4,17.5,24.4,71.9,10.8,31.0,41.8,18.2,11.5,7.6,5.3,6.0,18.7,21.0,-1.2,2011-12
150,Denver Nuggets,7,3,4,0.429,48.0,96.7,38.4,89.3,43.0,5.3,19.0,27.8,14.6,20.3,71.8,15.4,32.3,47.7,20.9,11.1,7.0,6.9,9.4,21.0,18.7,0.4,2011-12
151,Memphis Grizzlies,7,3,4,0.429,48.7,91.4,32.6,76.3,42.7,3.4,11.9,28.9,22.9,30.7,74.4,13.4,29.3,42.7,16.3,15.4,7.1,4.9,6.1,23.3,25.6,0.7,2011-12
152,Los Angeles Lakers,12,5,7,0.417,48.0,94.0,35.2,83.2,42.3,5.3,17.3,30.4,18.4,23.7,77.8,14.2,30.7,44.8,18.8,12.5,5.8,7.8,7.4,19.7,21.7,-4.2,2011-12
153,Los Angeles Clippers,11,4,7,0.364,48.5,90.9,34.5,75.3,45.8,6.2,16.4,37.8,15.8,23.7,66.7,8.7,28.1,36.8,17.3,14.7,9.5,6.5,5.0,24.1,21.5,-4.6,2011-12
154,Atlanta Hawks,6,2,4,0.333,48.8,82.2,31.8,79.3,40.1,5.8,18.8,31.0,12.7,16.2,78.4,10.0,32.5,42.5,17.5,15.3,5.5,3.3,6.2,19.8,18.8,-4.7,2011-12
155,Chicago Bulls,6,2,4,0.333,48.0,84.3,34.0,80.7,42.1,4.3,12.7,34.2,12.0,18.5,64.9,11.5,35.3,46.8,22.5,14.3,5.2,6.7,6.3,20.5,18.8,-1.7,2011-12
156,New York Knicks,5,1,4,0.2,48.0,82.8,30.6,73.4,41.7,5.0,18.2,27.5,16.6,21.8,76.1,12.4,28.0,40.4,12.6,18.4,6.0,2.2,3.8,24.2,19.8,-14.0,2011-12
157,Orlando Magic,5,1,4,0.2,49.0,83.8,31.0,77.8,39.8,8.4,24.6,34.1,13.4,19.0,70.5,9.8,28.6,38.4,17.2,14.0,6.0,4.4,6.2,19.0,19.0,-10.8,2011-12
158,Dallas Mavericks,4,0,4,0.0,48.0,93.3,31.5,78.0,40.4,8.0,21.5,37.2,22.3,26.8,83.2,10.5,30.0,40.5,15.5,14.5,8.0,3.5,7.3,20.8,24.3,-6.5,2011-12
159,Utah Jazz,4,0,4,0.0,48.0,86.3,32.8,85.8,38.2,2.3,11.3,20.0,18.5,26.3,70.5,16.0,32.5,48.5,16.8,13.5,6.5,6.8,5.5,20.3,19.8,-16.0,2011-12
160,Dallas Mavericks,21,16,5,0.762,48.2,98.2,34.5,74.9,46.1,8.8,22.2,39.4,20.5,25.4,80.9,9.7,28.7,38.4,20.1,12.9,7.1,4.1,5.1,20.1,21.6,5.8,2010-11
161,Miami Heat,21,14,7,0.667,48.5,92.8,32.6,73.3,44.5,5.9,17.9,33.1,21.6,27.8,77.7,10.1,30.9,41.0,16.5,13.9,7.3,6.0,4.2,19.2,21.5,2.7,2010-11
162,Chicago Bulls,16,9,7,0.563,48.3,92.5,34.0,80.6,42.2,6.3,19.2,32.9,18.2,23.2,78.4,13.4,30.2,43.6,20.1,13.6,7.3,6.6,6.4,21.3,19.6,4.3,2010-11
163,Boston Celtics,9,5,4,0.556,48.6,94.7,35.8,76.9,46.5,7.4,16.0,46.5,15.7,20.1,77.9,8.9,30.1,39.0,21.0,15.7,7.3,4.2,6.4,21.9,19.7,1.3,2010-11
164,Memphis Grizzlies,13,7,6,0.538,49.9,98.6,36.7,84.0,43.7,3.8,12.1,31.8,21.4,28.2,76.0,12.5,30.6,43.1,18.8,13.1,8.0,6.0,6.8,23.6,23.7,-0.7,2010-11
165,Oklahoma City Thunder,17,9,8,0.529,49.5,102.5,35.3,79.7,44.3,6.3,19.9,31.6,25.6,31.4,81.6,13.1,32.9,45.9,17.6,15.4,6.8,7.6,5.2,25.0,23.1,1.9,2010-11
166,Atlanta Hawks,12,6,6,0.5,48.0,86.3,32.9,75.8,43.4,4.5,13.9,32.3,15.9,21.9,72.6,9.0,28.2,37.2,18.1,12.4,6.3,5.0,5.3,20.3,20.0,-4.4,2010-11
167,Los Angeles Lakers,10,4,6,0.4,48.0,93.2,34.7,77.8,44.6,4.8,16.6,28.9,19.0,24.5,77.6,12.6,28.3,40.9,18.9,12.5,6.9,5.1,3.7,20.6,21.6,-1.3,2010-11
168,New Orleans Hornets,6,2,4,0.333,48.0,89.3,32.8,71.8,45.7,4.5,14.0,32.1,19.2,25.8,74.2,7.7,25.8,33.5,20.2,12.8,7.2,3.0,5.8,23.7,21.2,-7.2,2010-11
169,Orlando Magic,6,2,4,0.333,48.0,88.7,31.0,75.8,40.9,6.2,23.5,26.2,20.5,27.8,73.7,11.8,30.5,42.3,14.5,12.8,6.5,4.0,3.8,21.5,24.2,1.8,2010-11
170,Portland Trail Blazers,6,2,4,0.333,48.0,88.2,33.2,73.2,45.3,5.0,16.7,30.0,16.8,21.5,78.3,9.2,28.5,37.7,17.0,11.5,5.7,5.2,3.7,20.8,19.5,-5.2,2010-11
171,San Antonio Spurs,6,2,4,0.333,48.8,94.3,33.7,77.2,43.6,5.3,18.2,29.4,21.7,28.5,76.0,10.2,31.5,41.7,17.8,14.3,7.3,5.8,4.8,21.5,24.5,-3.2,2010-11
172,Denver Nuggets,5,1,4,0.2,48.0,97.4,32.6,77.0,42.3,6.8,18.4,37.0,25.4,36.0,70.6,7.4,30.6,38.0,17.6,12.2,6.6,3.6,8.6,23.8,25.0,-4.8,2010-11
173,Indiana Pacers,5,1,4,0.2,48.0,90.2,32.8,80.2,40.9,5.8,15.4,37.7,18.8,24.4,77.0,13.0,25.4,38.4,16.0,15.2,8.2,5.6,7.6,23.0,22.2,-7.4,2010-11
174,Philadelphia 76ers,5,1,4,0.2,48.0,86.6,33.8,81.6,41.4,6.4,16.4,39.0,12.6,17.4,72.4,10.6,30.0,40.6,20.4,10.6,6.4,3.6,6.2,20.4,14.8,-7.4,2010-11
175,New York Knicks,4,0,4,0.0,48.0,90.8,32.0,83.0,38.6,8.3,23.8,34.7,18.5,24.8,74.7,14.5,26.0,40.5,16.8,15.3,6.5,6.8,5.0,18.8,21.0,-8.5,2010-11
176,Orlando Magic,14,10,4,0.714,48.4,96.6,32.8,70.8,46.3,9.9,26.9,36.6,21.1,30.1,70.1,9.3,31.1,40.4,16.9,13.7,6.4,5.5,3.8,22.4,26.1,8.6,2009-10
177,Los Angeles Lakers,23,16,7,0.696,48.0,101.1,37.3,81.2,46.0,6.8,20.7,33.0,19.6,26.0,75.4,12.8,30.1,42.9,19.7,12.5,6.7,6.2,4.8,23.2,23.3,3.8,2009-10
178,Boston Celtics,24,15,9,0.625,48.2,93.9,34.3,75.7,45.3,5.8,16.0,36.3,19.5,25.8,75.5,8.8,30.3,39.1,21.1,13.9,8.0,4.6,5.4,24.6,22.7,2.8,2009-10
179,Phoenix Suns,16,10,6,0.625,48.0,107.1,38.0,79.6,47.7,9.4,24.4,38.4,21.8,28.1,77.3,10.7,29.4,40.1,20.8,12.6,5.9,4.1,5.2,22.4,23.3,4.6,2009-10
180,Cleveland Cavaliers,11,6,5,0.545,48.0,100.2,34.9,74.5,46.9,7.2,20.6,34.8,23.2,31.3,74.1,8.6,31.1,39.7,21.1,14.9,6.1,6.6,4.2,21.9,24.5,1.3,2009-10
181,Milwaukee Bucks,7,3,4,0.429,48.0,90.0,33.7,79.6,42.4,6.6,21.3,30.9,16.0,19.9,80.6,11.1,28.0,39.1,16.3,12.4,6.3,3.3,6.9,21.0,19.1,-3.7,2009-10
182,San Antonio Spurs,10,4,6,0.4,48.0,96.1,36.4,78.5,46.4,4.8,14.2,33.8,18.5,26.6,69.5,10.1,31.0,41.1,19.2,12.7,6.8,4.3,4.5,21.0,22.6,-3.4,2009-10
183,Utah Jazz,10,4,6,0.4,48.0,107.1,38.1,79.5,47.9,6.5,17.4,37.4,24.4,33.5,72.8,10.9,28.7,39.6,23.8,13.2,5.9,4.4,5.8,27.0,27.2,-2.2,2009-10
184,Atlanta Hawks,11,4,7,0.364,48.0,89.5,33.8,79.6,42.5,4.5,13.6,33.3,17.3,22.0,78.5,13.0,26.9,39.9,16.4,11.7,6.4,5.1,4.0,21.2,20.6,-6.8,2009-10
185,Dallas Mavericks,6,2,4,0.333,48.0,92.8,34.0,79.3,42.9,6.3,19.3,32.8,18.5,23.3,79.3,12.0,31.8,43.8,18.5,13.0,7.5,5.0,3.2,22.5,19.8,-0.5,2009-10
186,Denver Nuggets,6,2,4,0.333,48.0,109.3,37.3,78.5,47.6,6.5,18.2,35.8,28.2,36.8,76.5,10.3,29.3,39.7,19.2,13.7,8.2,4.7,4.3,30.8,27.8,-1.2,2009-10
187,Oklahoma City Thunder,6,2,4,0.333,48.0,93.8,30.7,78.5,39.1,5.5,18.5,29.7,27.0,32.3,83.5,11.7,31.7,43.3,16.2,12.5,6.5,6.2,6.2,22.8,24.8,-1.7,2009-10
188,Portland Trail Blazers,6,2,4,0.333,48.0,93.0,33.0,76.8,43.0,6.3,16.7,38.0,20.7,28.0,73.8,10.8,26.5,37.3,19.5,11.0,6.0,4.3,4.2,23.2,24.2,-10.3,2009-10
189,Chicago Bulls,5,1,4,0.2,48.0,97.0,37.8,86.2,43.9,3.2,10.8,29.6,18.2,22.8,79.8,10.8,30.2,41.0,19.0,10.0,5.8,3.0,8.2,21.4,21.0,-9.2,2009-10
190,Miami Heat,5,1,4,0.2,48.0,87.6,33.6,77.2,43.5,6.8,18.2,37.4,13.6,18.6,73.1,9.4,28.2,37.6,17.6,17.8,7.0,5.0,4.4,22.8,18.8,-8.2,2009-10
191,Charlotte Bobcats,4,0,4,0.0,48.0,85.5,31.3,70.5,44.3,4.8,17.0,27.9,18.3,25.5,71.6,8.5,28.0,36.5,20.3,15.5,5.5,4.5,6.5,26.8,23.5,-9.3,2009-10
192,Cleveland Cavaliers,14,10,4,0.714,48.4,97.6,34.8,75.1,46.3,6.6,19.8,33.6,21.4,28.8,74.2,10.1,30.2,40.3,19.1,12.4,6.6,4.6,3.3,20.6,22.6,8.5,2008-09
193,Los Angeles Lakers,23,16,7,0.696,48.4,102.4,37.4,80.5,46.5,7.0,18.4,37.7,20.6,27.5,74.7,11.1,30.9,42.0,19.4,13.0,7.9,6.3,4.3,23.5,23.1,7.2,2008-09
194,Denver Nuggets,16,10,6,0.625,48.0,107.9,37.3,78.4,47.5,8.1,21.1,38.3,25.4,33.4,75.9,10.7,29.6,40.3,22.6,12.1,9.2,5.2,4.4,25.8,25.5,8.6,2008-09
195,Orlando Magic,24,13,11,0.542,48.6,97.0,34.5,75.4,45.7,8.4,23.3,36.0,19.6,27.1,72.2,8.3,30.0,38.4,18.9,13.2,6.8,4.8,3.8,21.4,24.3,1.8,2008-09
196,Houston Rockets,13,7,6,0.538,48.0,91.5,34.0,76.1,44.7,6.6,20.2,32.8,16.8,21.9,76.8,9.7,30.8,40.5,17.0,14.2,6.2,3.2,7.1,20.1,21.4,-1.5,2008-09
197,Boston Celtics,14,7,7,0.5,50.5,102.1,37.4,84.1,44.5,6.7,18.6,36.0,20.6,26.0,79.1,10.9,32.4,43.2,22.9,13.6,7.8,4.9,6.5,24.3,22.7,0.0,2008-09
198,Dallas Mavericks,10,5,5,0.5,48.0,101.6,35.6,75.7,47.0,7.3,20.6,35.4,23.1,28.4,81.3,9.2,31.5,40.7,18.1,13.0,6.5,3.8,4.1,22.8,23.7,-0.9,2008-09
199,Chicago Bulls,7,3,4,0.429,53.0,108.3,38.4,87.1,44.1,7.3,19.3,37.8,24.1,29.9,80.9,10.4,35.1,45.6,19.9,16.1,6.7,8.1,6.7,24.6,23.6,-4.3,2008-09
200,Miami Heat,7,3,4,0.429,48.0,88.1,31.3,69.6,45.0,7.1,20.0,35.7,18.4,22.6,81.6,8.9,29.9,38.7,15.0,13.4,6.1,5.7,3.6,22.1,21.3,0.9,2008-09
201,Atlanta Hawks,11,4,7,0.364,48.0,84.0,30.1,73.6,40.9,6.1,17.5,34.7,17.7,23.8,74.4,10.7,24.2,34.9,16.9,12.1,6.9,3.4,5.5,21.4,21.1,-7.1,2008-09
202,Philadelphia 76ers,6,2,4,0.333,48.0,88.5,34.0,75.0,45.3,5.8,15.8,36.8,14.7,20.7,71.0,8.0,28.8,36.8,17.8,14.7,6.2,3.0,5.0,23.0,20.2,-7.7,2008-09
203,Portland Trail Blazers,6,2,4,0.333,48.0,87.2,33.3,74.5,44.7,5.5,14.2,38.8,15.0,19.7,76.3,9.8,26.5,36.3,14.7,11.3,6.0,7.5,3.3,21.7,20.0,-5.3,2008-09
204,New Orleans Hornets,5,1,4,0.2,48.0,84.2,27.8,70.2,39.6,6.0,18.4,32.6,22.6,28.0,80.7,9.2,27.8,37.0,15.8,18.4,6.6,2.6,5.2,24.8,24.8,-24.2,2008-09
205,San Antonio Spurs,5,1,4,0.2,48.0,90.4,35.0,76.6,45.7,5.8,17.6,33.0,14.6,20.6,70.9,8.8,28.8,37.6,16.0,11.0,5.6,3.0,4.6,22.0,18.6,-6.0,2008-09
206,Utah Jazz,5,1,4,0.2,48.0,97.4,35.0,81.0,43.2,5.0,14.6,34.2,22.4,30.2,74.2,13.2,29.4,42.6,25.4,14.6,9.8,3.4,5.6,23.8,24.4,-9.2,2008-09
207,Detroit Pistons,4,0,4,0.0,48.0,78.0,31.5,77.0,40.9,3.0,12.3,24.5,12.0,14.5,82.8,7.5,26.0,33.5,16.5,11.3,4.3,3.0,4.5,23.8,15.8,-15.5,2008-09
208,Los Angeles Lakers,21,14,7,0.667,48.2,102.4,36.8,78.6,46.8,7.0,19.0,36.7,22.0,29.1,75.3,8.8,30.8,39.6,20.8,13.3,7.2,5.3,4.4,23.3,25.0,2.2,2007-08
209,Boston Celtics,26,16,10,0.615,48.0,94.0,33.6,75.1,44.7,6.0,16.8,35.9,20.8,26.6,78.3,11.1,28.9,40.0,21.5,12.8,7.6,4.3,5.0,24.3,22.8,5.2,2007-08
210,Detroit Pistons,17,10,7,0.588,48.0,91.4,33.9,74.5,45.5,4.5,13.3,34.1,19.1,23.8,80.2,10.6,25.6,36.2,20.5,12.9,7.4,5.8,3.9,23.3,21.8,2.3,2007-08
211,New Orleans Hornets,12,7,5,0.583,48.0,96.6,37.6,81.0,46.4,5.8,14.0,41.1,15.7,20.3,77.4,10.3,31.8,42.1,19.3,8.8,7.3,5.1,4.0,20.7,20.7,3.7,2007-08
212,Cleveland Cavaliers,13,7,6,0.538,48.0,89.9,31.1,74.1,42.0,6.7,19.4,34.5,21.1,29.2,72.1,11.8,29.2,40.9,20.2,13.8,6.0,4.8,4.2,22.1,23.5,2.2,2007-08
213,San Antonio Spurs,17,9,8,0.529,48.6,94.1,35.5,79.7,44.6,7.5,20.1,37.5,15.5,20.8,74.5,9.0,32.8,41.8,20.4,12.8,5.3,4.1,5.3,22.5,20.3,-0.9,2007-08
214,Orlando Magic,10,5,5,0.5,48.0,97.1,35.4,75.4,46.9,9.0,25.3,35.6,17.3,24.3,71.2,11.7,31.2,42.9,17.4,14.5,4.8,4.9,3.4,20.5,22.0,1.6,2007-08
215,Utah Jazz,12,6,6,0.5,48.4,98.9,36.4,81.8,44.5,5.8,16.7,35.0,20.3,27.0,75.0,14.5,29.8,44.3,21.4,12.9,6.5,5.8,6.5,25.5,22.8,-0.3,2007-08
216,Atlanta Hawks,7,3,4,0.429,48.0,87.1,29.3,71.3,41.1,4.0,12.4,32.2,24.6,31.4,78.2,11.6,26.7,38.3,17.4,15.9,4.3,5.7,5.7,20.1,25.0,-12.0,2007-08
217,Houston Rockets,6,2,4,0.333,48.0,88.0,32.2,78.7,40.9,5.8,20.0,29.2,17.8,26.2,68.2,13.0,29.0,42.0,15.5,10.8,6.8,5.5,6.2,21.2,21.8,-2.5,2007-08
218,Philadelphia 76ers,6,2,4,0.333,48.0,85.8,31.2,74.7,41.7,1.8,7.8,23.4,21.7,30.0,72.2,13.5,24.7,38.2,15.8,14.8,8.8,3.7,6.8,19.2,23.7,-7.0,2007-08
219,Washington Wizards,6,2,4,0.333,48.0,92.2,32.0,75.2,42.6,6.0,19.7,30.5,22.2,29.0,76.4,9.7,27.7,37.3,15.7,12.3,7.2,4.8,4.8,22.8,23.2,-3.3,2007-08
220,Dallas Mavericks,5,1,4,0.2,48.0,94.0,31.6,78.8,40.1,7.2,20.8,34.6,23.6,30.0,78.7,14.4,30.8,45.2,19.4,11.6,4.0,4.0,5.6,20.6,22.4,-8.8,2007-08
221,Phoenix Suns,5,1,4,0.2,50.0,100.4,38.0,82.4,46.1,5.0,14.8,33.8,19.4,30.4,63.8,9.4,32.2,41.6,18.8,12.4,5.2,7.0,5.0,22.6,27.6,-2.0,2007-08
222,Toronto Raptors,5,1,4,0.2,48.0,99.4,37.2,85.6,43.5,8.4,24.0,35.0,16.6,19.2,86.5,9.8,29.4,39.2,24.0,10.0,7.2,2.4,5.2,22.8,18.0,-4.6,2007-08
223,Denver Nuggets,4,0,4,0.0,48.0,101.5,37.8,88.5,42.7,4.5,18.0,25.0,21.5,29.0,74.1,16.5,32.3,48.8,18.5,14.5,6.3,4.8,6.3,25.5,22.5,-13.3,2007-08
224,San Antonio Spurs,20,16,4,0.8,48.0,95.7,35.3,76.8,45.9,7.6,19.7,38.4,17.6,24.3,72.4,10.5,30.1,40.6,19.9,13.9,7.1,5.5,4.6,20.5,20.8,4.0,2006-07
225,Detroit Pistons,16,10,6,0.625,48.6,91.4,32.7,76.0,43.0,5.8,16.6,35.0,20.2,26.3,76.7,11.8,28.8,40.6,20.1,13.3,7.1,4.7,3.7,23.9,22.3,2.9,2006-07
226,Chicago Bulls,10,6,4,0.6,48.0,92.4,32.5,75.6,43.0,5.9,16.6,35.5,21.5,29.5,72.9,11.6,30.3,41.9,20.6,15.3,7.0,4.2,4.4,22.1,25.5,1.1,2006-07
227,Cleveland Cavaliers,20,12,8,0.6,48.5,88.8,32.1,76.3,42.1,5.4,16.6,32.6,19.2,26.1,73.7,11.9,31.4,43.3,17.5,13.0,7.2,3.5,3.8,20.7,21.0,2.2,2006-07
228,Phoenix Suns,11,6,5,0.545,48.0,104.1,39.0,81.8,47.7,7.1,18.7,37.9,19.0,24.4,78.0,9.2,31.2,40.4,23.4,13.8,6.4,5.2,5.3,19.6,22.5,5.0,2006-07
229,Utah Jazz,17,9,8,0.529,48.3,97.9,36.4,79.4,45.9,4.3,12.6,34.1,20.8,27.7,74.9,13.0,31.2,44.2,22.2,16.0,7.4,4.8,5.5,24.6,23.2,0.9,2006-07
230,New Jersey Nets,12,6,6,0.5,48.0,90.2,32.6,73.3,44.4,7.7,20.8,36.8,17.3,23.3,74.3,8.6,31.3,39.8,23.0,16.1,6.3,2.9,4.0,21.2,21.4,1.8,2006-07
231,Golden State Warriors,11,5,6,0.455,48.5,106.6,36.5,81.2,45.0,11.1,31.0,35.8,22.5,30.5,73.5,11.5,26.8,38.3,17.2,14.9,10.3,5.5,4.9,26.6,25.1,1.7,2006-07
232,Houston Rockets,7,3,4,0.429,48.0,87.3,29.7,72.4,41.0,7.1,22.3,32.1,20.7,26.3,78.8,9.9,31.7,41.6,18.1,14.9,7.0,4.1,4.9,19.3,22.9,-3.1,2006-07
233,Dallas Mavericks,6,2,4,0.333,48.0,98.5,34.2,80.8,42.3,7.0,22.2,31.6,23.2,30.0,77.2,14.0,30.3,44.3,17.8,16.3,8.3,5.0,4.3,23.8,24.8,-6.7,2006-07
234,Toronto Raptors,6,2,4,0.333,48.0,90.8,32.5,73.5,44.2,5.3,14.5,36.8,20.5,25.5,80.4,7.3,30.5,37.8,16.2,14.7,7.7,4.0,3.5,21.3,21.3,-5.3,2006-07
235,Denver Nuggets,5,1,4,0.2,48.0,88.2,33.6,79.4,42.3,4.6,14.4,31.9,16.4,21.0,78.1,13.0,30.4,43.4,17.6,15.2,5.6,4.2,5.2,18.0,17.8,-6.0,2006-07
236,Los Angeles Lakers,5,1,4,0.2,48.0,98.0,38.0,86.0,44.2,6.4,19.8,32.3,15.6,21.6,72.2,14.2,29.2,43.4,14.4,15.2,5.8,4.0,4.0,23.0,18.6,-10.4,2006-07
237,Miami Heat,4,0,4,0.0,48.0,88.8,33.3,74.8,44.5,5.5,17.0,32.4,16.8,27.3,61.5,8.0,28.3,36.3,17.8,14.8,6.3,5.3,4.3,25.3,23.5,-11.0,2006-07
