location,date,vaccine,total_vaccinations
Chile,2021-12-11,Oxford/AstraZeneca,543911
Chile,2021-12-11,Pfizer/BioNTech,7578032
Chile,2021-12-11,Sinovac,24066757
Chile,2021-12-12,CanSino,573381
Chile,2021-12-12,Oxford/AstraZeneca,543918
Chile,2021-12-12,Pfizer/BioNTech,7578217
Chile,2021-12-12,Sinovac,24067250
Chile,2021-12-13,CanSino,573407
Chile,2021-12-13,Oxford/AstraZeneca,544185
Chile,2021-12-13,Pfizer/BioNTech,7585177
Chile,2021-12-13,Sinovac,24116178
Chile,2021-12-14,CanSino,573455
Chile,2021-12-14,Oxford/AstraZeneca,544417
Chile,2021-12-14,Pfizer/BioNTech,7591598
Chile,2021-12-14,Sinovac,24161031
Chile,2021-12-15,CanSino,573514
Chile,2021-12-15,Oxford/AstraZeneca,544610
Chile,2021-12-15,Pfizer/BioNTech,7597505
Chile,2021-12-15,Sinovac,24201196
Chile,2021-12-16,CanSino,573544
Chile,2021-12-16,Oxford/AstraZeneca,544795
Chile,2021-12-16,Pfizer/BioNTech,7602946
Chile,2021-12-16,Sinovac,24237250
Chile,2021-12-17,CanSino,573562
Chile,2021-12-17,Oxford/AstraZeneca,544934
Chile,2021-12-17,Pfizer/BioNTech,7607734
Chile,2021-12-17,Sinovac,24268238
Chile,2021-12-18,CanSino,573565
Chile,2021-12-18,Oxford/AstraZeneca,544953
Chile,2021-12-18,Pfizer/BioNTech,7608438
Chile,2021-12-18,Sinovac,24272119
Chile,2021-12-19,CanSino,573568
Chile,2021-12-19,Oxford/AstraZeneca,544959
Chile,2021-12-19,Pfizer/BioNTech,7608532
Chile,2021-12-19,Sinovac,24272393
Chile,2021-12-20,CanSino,573589
Chile,2021-12-20,Oxford/AstraZeneca,545176
Chile,2021-12-20,Pfizer/BioNTech,7613941
Chile,2021-12-20,Sinovac,24301931
Chile,2021-12-21,CanSino,573602
Chile,2021-12-21,Oxford/AstraZeneca,545345
Chile,2021-12-21,Pfizer/BioNTech,7619201
Chile,2021-12-21,Sinovac,24328605
Chile,2021-12-22,CanSino,573609
Chile,2021-12-22,Oxford/AstraZeneca,545440
Chile,2021-12-22,Pfizer/BioNTech,7622175
Chile,2021-12-22,Sinovac,24342820
Croatia,2021-01-01,Pfizer/BioNTech,2083
Croatia,2021-01-08,Moderna,18
Croatia,2021-01-08,Pfizer/BioNTech,31723
Croatia,2021-01-15,Moderna,1508
Croatia,2021-01-15,Oxford/AstraZeneca,3
Croatia,2021-01-15,Pfizer/BioNTech,48946
Croatia,2021-01-22,Moderna,2732
Croatia,2021-01-22,Pfizer/BioNTech,71942
Croatia,2021-01-29,Moderna,2827
Croatia,2021-01-29,Pfizer/BioNTech,88603
Croatia,2021-02-05,Johnson&Johnson,2
Croatia,2021-02-05,Moderna,3326
Croatia,2021-02-05,Oxford/AstraZeneca,9
Croatia,2021-02-05,Pfizer/BioNTech,105850
Croatia,2021-02-12,Moderna,8421
Croatia,2021-02-12,Oxford/AstraZeneca,3209
Croatia,2021-02-12,Pfizer/BioNTech,126857
Croatia,2021-02-19,Johnson&Johnson,3
Croatia,2021-02-19,Moderna,13592
Croatia,2021-02-19,Oxford/AstraZeneca,19200
Croatia,2021-02-19,Pfizer/BioNTech,147100
Croatia,2021-02-26,Moderna,14774
Croatia,2021-02-26,Oxford/AstraZeneca,60682
Croatia,2021-02-26,Pfizer/BioNTech,167417
Croatia,2021-03-05,Johnson&Johnson,6
Croatia,2021-03-05,Moderna,23329
Croatia,2021-03-05,Oxford/AstraZeneca,85339
Croatia,2021-03-05,Pfizer/BioNTech,191869
Croatia,2021-03-12,Johnson&Johnson,22
Croatia,2021-03-12,Moderna,30126
Croatia,2021-03-12,Oxford/AstraZeneca,118995
Croatia,2021-03-12,Pfizer/BioNTech,215771
Croatia,2021-03-19,Johnson&Johnson,34
Croatia,2021-03-19,Moderna,45543
Croatia,2021-03-19,Oxford/AstraZeneca,139864
Croatia,2021-03-19,Pfizer/BioNTech,247210
Croatia,2021-03-26,Johnson&Johnson,43
Croatia,2021-03-26,Moderna,53487
Croatia,2021-03-26,Oxford/AstraZeneca,160973
Croatia,2021-03-26,Pfizer/BioNTech,281364
Croatia,2021-04-02,Johnson&Johnson,56
Croatia,2021-04-02,Moderna,72926
Croatia,2021-04-02,Oxford/AstraZeneca,176908
Croatia,2021-04-02,Pfizer/BioNTech,314394
Croatia,2021-04-09,Johnson&Johnson,94
Croatia,2021-04-09,Moderna,85266
Croatia,2021-04-09,Oxford/AstraZeneca,206016
Croatia,2021-04-09,Pfizer/BioNTech,342868
Croatia,2021-04-16,Johnson&Johnson,101
Croatia,2021-04-16,Moderna,105805
Croatia,2021-04-16,Oxford/AstraZeneca,237974
Croatia,2021-04-16,Pfizer/BioNTech,403900
Croatia,2021-04-23,Johnson&Johnson,101
Croatia,2021-04-23,Moderna,116850
Croatia,2021-04-23,Oxford/AstraZeneca,252954
Croatia,2021-04-23,Pfizer/BioNTech,482600
Croatia,2021-04-30,Johnson&Johnson,819
Croatia,2021-04-30,Moderna,131842
Croatia,2021-04-30,Oxford/AstraZeneca,273169
Croatia,2021-04-30,Pfizer/BioNTech,570451
Croatia,2021-05-07,Johnson&Johnson,3610
Croatia,2021-05-07,Moderna,149334
Croatia,2021-05-07,Oxford/AstraZeneca,314448
Croatia,2021-05-07,Pfizer/BioNTech,746485
Croatia,2021-05-14,Johnson&Johnson,6210
Croatia,2021-05-14,Moderna,174708
Croatia,2021-05-14,Oxford/AstraZeneca,354064
Croatia,2021-05-14,Pfizer/BioNTech,923634
Croatia,2021-05-21,Johnson&Johnson,9606
Croatia,2021-05-21,Moderna,198515
Croatia,2021-05-21,Oxford/AstraZeneca,387562
Croatia,2021-05-21,Pfizer/BioNTech,1079615
Croatia,2021-05-28,Johnson&Johnson,12883
Croatia,2021-05-28,Moderna,214551
Croatia,2021-05-28,Oxford/AstraZeneca,418057
Croatia,2021-05-28,Pfizer/BioNTech,1219216
Croatia,2021-06-04,Johnson&Johnson,15136
Croatia,2021-06-04,Moderna,225713
Croatia,2021-06-04,Oxford/AstraZeneca,436728
Croatia,2021-06-04,Pfizer/BioNTech,1324254
Croatia,2021-06-11,Johnson&Johnson,18059
Croatia,2021-06-11,Moderna,244185
Croatia,2021-06-11,Oxford/AstraZeneca,458272
Croatia,2021-06-11,Pfizer/BioNTech,1490177
Croatia,2021-06-18,Johnson&Johnson,20535
Croatia,2021-06-18,Moderna,262397
Croatia,2021-06-18,Oxford/AstraZeneca,475489
Croatia,2021-06-18,Pfizer/BioNTech,1658049
Croatia,2021-06-25,Johnson&Johnson,22642
Croatia,2021-06-25,Moderna,273460
Croatia,2021-06-25,Oxford/AstraZeneca,485698
Croatia,2021-06-25,Pfizer/BioNTech,1786193
Croatia,2021-07-02,Johnson&Johnson,25640
Croatia,2021-07-02,Moderna,284546
Croatia,2021-07-02,Oxford/AstraZeneca,505519
Croatia,2021-07-02,Pfizer/BioNTech,1920059
Croatia,2021-07-09,Johnson&Johnson,31239
Croatia,2021-07-09,Moderna,292007
Croatia,2021-07-09,Oxford/AstraZeneca,524803
Croatia,2021-07-09,Pfizer/BioNTech,2028827
Croatia,2021-07-16,Johnson&Johnson,38824
Croatia,2021-07-16,Moderna,298418
Croatia,2021-07-16,Oxford/AstraZeneca,531215
Croatia,2021-07-16,Pfizer/BioNTech,2100168
Croatia,2021-07-23,Johnson&Johnson,46334
Croatia,2021-07-23,Moderna,302107
Croatia,2021-07-23,Oxford/AstraZeneca,538507
Croatia,2021-07-23,Pfizer/BioNTech,2171333
Croatia,2021-07-30,Johnson&Johnson,53606
Croatia,2021-07-30,Moderna,306286
Croatia,2021-07-30,Oxford/AstraZeneca,548793
Croatia,2021-07-30,Pfizer/BioNTech,2218649
Croatia,2021-08-06,Johnson&Johnson,57369
Croatia,2021-08-06,Moderna,310085
Croatia,2021-08-06,Oxford/AstraZeneca,553262
Croatia,2021-08-06,Pfizer/BioNTech,2249730
Croatia,2021-08-13,Johnson&Johnson,61292
Croatia,2021-08-13,Moderna,313887
Croatia,2021-08-13,Oxford/AstraZeneca,554766
Croatia,2021-08-13,Pfizer/BioNTech,2281327
Croatia,2021-08-20,Johnson&Johnson,65677
Croatia,2021-08-20,Moderna,316465
Croatia,2021-08-20,Oxford/AstraZeneca,555660
Croatia,2021-08-20,Pfizer/BioNTech,2313788
Croatia,2021-08-27,Johnson&Johnson,70739
Croatia,2021-08-27,Moderna,319488
Croatia,2021-08-27,Oxford/AstraZeneca,557250
Croatia,2021-08-27,Pfizer/BioNTech,2346107
Croatia,2021-09-03,Johnson&Johnson,76309
Croatia,2021-09-03,Moderna,321296
Croatia,2021-09-03,Oxford/AstraZeneca,558005
Croatia,2021-09-03,Pfizer/BioNTech,2372919
Croatia,2021-09-10,Johnson&Johnson,80602
Croatia,2021-09-10,Moderna,323461
Croatia,2021-09-10,Oxford/AstraZeneca,558675
Croatia,2021-09-10,Pfizer/BioNTech,2396464
Croatia,2021-09-17,Johnson&Johnson,86950
Croatia,2021-09-17,Moderna,325579
Croatia,2021-09-17,Oxford/AstraZeneca,559471
Croatia,2021-09-17,Pfizer/BioNTech,2422054
Croatia,2021-09-24,Johnson&Johnson,93425
Croatia,2021-09-24,Moderna,328220
Croatia,2021-09-24,Oxford/AstraZeneca,560168
Croatia,2021-09-24,Pfizer/BioNTech,2448268
Croatia,2021-10-01,Johnson&Johnson,99478
Croatia,2021-10-01,Moderna,330126
Croatia,2021-10-01,Oxford/AstraZeneca,560761
Croatia,2021-10-01,Pfizer/BioNTech,2475489
Croatia,2021-10-08,Johnson&Johnson,105270
Croatia,2021-10-08,Moderna,332496
Croatia,2021-10-08,Oxford/AstraZeneca,561366
Croatia,2021-10-08,Pfizer/BioNTech,2500770
Croatia,2021-10-15,Johnson&Johnson,109165
Croatia,2021-10-15,Moderna,333844
Croatia,2021-10-15,Oxford/AstraZeneca,561834
Croatia,2021-10-15,Pfizer/BioNTech,2524244
Croatia,2021-10-22,Johnson&Johnson,112686
Croatia,2021-10-22,Moderna,336034
Croatia,2021-10-22,Oxford/AstraZeneca,562191
Croatia,2021-10-22,Pfizer/BioNTech,2553410
Croatia,2021-10-29,Johnson&Johnson,118364
Croatia,2021-10-29,Moderna,339202
Croatia,2021-10-29,Oxford/AstraZeneca,562616
Croatia,2021-10-29,Pfizer/BioNTech,2600559
Croatia,2021-11-05,Johnson&Johnson,126076
Croatia,2021-11-05,Moderna,346102
Croatia,2021-11-05,Oxford/AstraZeneca,562970
Croatia,2021-11-05,Pfizer/BioNTech,2660784
Croatia,2021-11-12,Johnson&Johnson,144541
Croatia,2021-11-12,Moderna,358359
Croatia,2021-11-12,Oxford/AstraZeneca,563446
Croatia,2021-11-12,Pfizer/BioNTech,2785436
Croatia,2021-11-19,Johnson&Johnson,162715
Croatia,2021-11-19,Moderna,370712
Croatia,2021-11-19,Oxford/AstraZeneca,563768
Croatia,2021-11-19,Pfizer/BioNTech,2880771
Croatia,2021-11-26,Johnson&Johnson,174192
Croatia,2021-11-26,Moderna,386007
Croatia,2021-11-26,Oxford/AstraZeneca,564025
Croatia,2021-11-26,Pfizer/BioNTech,2969112
Croatia,2021-12-03,Johnson&Johnson,179411
Croatia,2021-12-03,Moderna,400377
Croatia,2021-12-03,Oxford/AstraZeneca,564206
Croatia,2021-12-03,Pfizer/BioNTech,3071232
Croatia,2021-12-10,Johnson&Johnson,182653
Croatia,2021-12-10,Moderna,413639
Croatia,2021-12-10,Oxford/AstraZeneca,564340
Croatia,2021-12-10,Pfizer/BioNTech,3183275
Croatia,2021-12-17,Johnson&Johnson,185100
Croatia,2021-12-17,Moderna,429884
Croatia,2021-12-17,Oxford/AstraZeneca,564447
Croatia,2021-12-17,Pfizer/BioNTech,3312350
Croatia,2021-12-24,Johnson&Johnson,185428
Croatia,2021-12-24,Moderna,431923
Croatia,2021-12-24,Oxford/AstraZeneca,564465
Croatia,2021-12-24,Pfizer/BioNTech,3327115
Cyprus,2021-01-01,Pfizer/BioNTech,369
Cyprus,2021-01-08,Pfizer/BioNTech,6086
Cyprus,2021-01-15,Moderna,0
Cyprus,2021-01-15,Pfizer/BioNTech,10833
Cyprus,2021-01-22,Moderna,210
Cyprus,2021-01-22,Pfizer/BioNTech,17881
Cyprus,2021-01-29,Moderna,420
Cyprus,2021-01-29,Pfizer/BioNTech,24952
Cyprus,2021-02-05,Pfizer/BioNTech,32720
Cyprus,2021-02-12,Moderna,421
Cyprus,2021-02-12,Oxford/AstraZeneca,584
Cyprus,2021-02-12,Pfizer/BioNTech,43384
Cyprus,2021-02-19,Moderna,741
Cyprus,2021-02-19,Oxford/AstraZeneca,6126
Cyprus,2021-02-19,Pfizer/BioNTech,51652
Cyprus,2021-02-26,Moderna,951
Cyprus,2021-02-26,Oxford/AstraZeneca,18136
Cyprus,2021-02-26,Pfizer/BioNTech,59380
Cyprus,2021-03-05,Moderna,1301
Cyprus,2021-03-05,Oxford/AstraZeneca,28650
Cyprus,2021-03-05,Pfizer/BioNTech,69327
Cyprus,2021-03-12,Moderna,4195
Cyprus,2021-03-12,Oxford/AstraZeneca,40827
Cyprus,2021-03-12,Pfizer/BioNTech,78860
Cyprus,2021-03-19,Moderna,4304
Cyprus,2021-03-19,Oxford/AstraZeneca,41719
Cyprus,2021-03-19,Pfizer/BioNTech,85728
Cyprus,2021-03-26,Moderna,4304
Cyprus,2021-03-26,Oxford/AstraZeneca,48256
Cyprus,2021-03-26,Pfizer/BioNTech,95339
Cyprus,2021-04-02,Moderna,6547
Cyprus,2021-04-02,Oxford/AstraZeneca,52195
Cyprus,2021-04-02,Pfizer/BioNTech,103028
Cyprus,2021-04-09,Moderna,12456
Cyprus,2021-04-09,Oxford/AstraZeneca,60123
Cyprus,2021-04-09,Pfizer/BioNTech,113013
Cyprus,2021-04-16,Johnson&Johnson,0
Cyprus,2021-04-16,Moderna,13236
Cyprus,2021-04-16,Oxford/AstraZeneca,66995
Cyprus,2021-04-16,Pfizer/BioNTech,130595
Cyprus,2021-04-23,Oxford/AstraZeneca,77988
Cyprus,2021-04-23,Pfizer/BioNTech,150831
Cyprus,2021-04-30,Johnson&Johnson,1188
Cyprus,2021-04-30,Moderna,15635
Cyprus,2021-04-30,Oxford/AstraZeneca,84554
Cyprus,2021-04-30,Pfizer/BioNTech,193053
Cyprus,2021-05-07,Johnson&Johnson,2249
Cyprus,2021-05-07,Moderna,21442
Cyprus,2021-05-07,Oxford/AstraZeneca,95843
Cyprus,2021-05-07,Pfizer/BioNTech,238781
Cyprus,2021-05-14,Johnson&Johnson,5662
Cyprus,2021-05-14,Moderna,28322
Cyprus,2021-05-14,Oxford/AstraZeneca,121922
Cyprus,2021-05-14,Pfizer/BioNTech,280960
Cyprus,2021-05-21,Moderna,37412
Cyprus,2021-05-21,Oxford/AstraZeneca,146980
Cyprus,2021-05-21,Pfizer/BioNTech,329189
Cyprus,2021-05-28,Johnson&Johnson,5662
Cyprus,2021-05-28,Moderna,44461
Cyprus,2021-05-28,Oxford/AstraZeneca,164905
Cyprus,2021-05-28,Pfizer/BioNTech,375387
Cyprus,2021-06-04,Moderna,48348
Cyprus,2021-06-04,Oxford/AstraZeneca,175900
Cyprus,2021-06-04,Pfizer/BioNTech,413040
Cyprus,2021-06-11,Johnson&Johnson,6062
Cyprus,2021-06-11,Moderna,54602
Cyprus,2021-06-11,Oxford/AstraZeneca,187096
Cyprus,2021-06-11,Pfizer/BioNTech,448451
Cyprus,2021-06-18,Johnson&Johnson,12893
Cyprus,2021-06-18,Moderna,63102
Cyprus,2021-06-18,Oxford/AstraZeneca,197068
Cyprus,2021-06-18,Pfizer/BioNTech,481629
Cyprus,2021-06-25,Johnson&Johnson,14120
Cyprus,2021-06-25,Moderna,70093
Cyprus,2021-06-25,Oxford/AstraZeneca,204489
Cyprus,2021-06-25,Pfizer/BioNTech,502801
Cyprus,2021-07-02,Johnson&Johnson,14538
Cyprus,2021-07-02,Moderna,72330
Cyprus,2021-07-02,Oxford/AstraZeneca,218282
Cyprus,2021-07-02,Pfizer/BioNTech,532405
Cyprus,2021-07-09,Johnson&Johnson,14983
Cyprus,2021-07-09,Moderna,73098
Cyprus,2021-07-09,Oxford/AstraZeneca,237295
Cyprus,2021-07-09,Pfizer/BioNTech,562196
Cyprus,2021-07-16,Johnson&Johnson,16069
Cyprus,2021-07-16,Moderna,74634
Cyprus,2021-07-16,Oxford/AstraZeneca,245037
Cyprus,2021-07-16,Pfizer/BioNTech,587728
Cyprus,2021-07-23,Johnson&Johnson,17238
Cyprus,2021-07-23,Moderna,75705
Cyprus,2021-07-23,Oxford/AstraZeneca,248027
Cyprus,2021-07-23,Pfizer/BioNTech,610888
Cyprus,2021-07-30,Johnson&Johnson,17847
Cyprus,2021-07-30,Moderna,77108
Cyprus,2021-07-30,Oxford/AstraZeneca,250656
Cyprus,2021-07-30,Pfizer/BioNTech,631778
Cyprus,2021-08-06,Johnson&Johnson,18319
Cyprus,2021-08-06,Moderna,77977
Cyprus,2021-08-06,Oxford/AstraZeneca,251491
Cyprus,2021-08-06,Pfizer/BioNTech,660192
Cyprus,2021-08-13,Johnson&Johnson,18613
Cyprus,2021-08-13,Moderna,79747
Cyprus,2021-08-13,Oxford/AstraZeneca,251776
Cyprus,2021-08-13,Pfizer/BioNTech,680681
Cyprus,2021-08-20,Johnson&Johnson,19195
Cyprus,2021-08-20,Moderna,80930
Cyprus,2021-08-20,Oxford/AstraZeneca,251996
Cyprus,2021-08-20,Pfizer/BioNTech,697790
Cyprus,2021-08-27,Johnson&Johnson,19515
Cyprus,2021-08-27,Moderna,81764
Cyprus,2021-08-27,Oxford/AstraZeneca,252190
Cyprus,2021-08-27,Pfizer/BioNTech,713596
Cyprus,2021-09-03,Johnson&Johnson,19805
Cyprus,2021-09-03,Moderna,82721
Cyprus,2021-09-03,Oxford/AstraZeneca,252412
Cyprus,2021-09-03,Pfizer/BioNTech,724458
Cyprus,2021-09-10,Johnson&Johnson,20031
Cyprus,2021-09-10,Moderna,83957
Cyprus,2021-09-10,Oxford/AstraZeneca,252639
Cyprus,2021-09-10,Pfizer/BioNTech,736142
Cyprus,2021-09-17,Johnson&Johnson,20302
Cyprus,2021-09-17,Moderna,84677
Cyprus,2021-09-17,Oxford/AstraZeneca,252796
Cyprus,2021-09-17,Pfizer/BioNTech,746035
Cyprus,2021-09-24,Johnson&Johnson,20403
Cyprus,2021-09-24,Moderna,85350
Cyprus,2021-09-24,Oxford/AstraZeneca,253940
Cyprus,2021-09-24,Pfizer/BioNTech,756343
Cyprus,2021-10-01,Johnson&Johnson,20730
Cyprus,2021-10-01,Moderna,85988
Cyprus,2021-10-01,Oxford/AstraZeneca,254041
Cyprus,2021-10-01,Pfizer/BioNTech,767883
Cyprus,2021-10-08,Johnson&Johnson,20760
Cyprus,2021-10-08,Moderna,86772
Cyprus,2021-10-08,Oxford/AstraZeneca,254117
Cyprus,2021-10-08,Pfizer/BioNTech,782584
Cyprus,2021-10-15,Johnson&Johnson,20790
Cyprus,2021-10-15,Moderna,88109
Cyprus,2021-10-15,Oxford/AstraZeneca,254198
Cyprus,2021-10-15,Pfizer/BioNTech,795113
Cyprus,2021-10-22,Johnson&Johnson,20898
Cyprus,2021-10-22,Moderna,88935
Cyprus,2021-10-22,Oxford/AstraZeneca,254272
Cyprus,2021-10-22,Pfizer/BioNTech,804347
Cyprus,2021-10-29,Johnson&Johnson,20988
Cyprus,2021-10-29,Moderna,89426
Cyprus,2021-10-29,Oxford/AstraZeneca,254303
Cyprus,2021-10-29,Pfizer/BioNTech,810636
Cyprus,2021-11-05,Johnson&Johnson,21077
Cyprus,2021-11-05,Moderna,90203
Cyprus,2021-11-05,Oxford/AstraZeneca,254331
Cyprus,2021-11-05,Pfizer/BioNTech,819300
Cyprus,2021-11-12,Johnson&Johnson,21222
Cyprus,2021-11-12,Moderna,91843
Cyprus,2021-11-12,Oxford/AstraZeneca,254353
Cyprus,2021-11-12,Pfizer/BioNTech,831970
Cyprus,2021-11-19,Johnson&Johnson,21427
Cyprus,2021-11-19,Moderna,93787
Cyprus,2021-11-19,Oxford/AstraZeneca,254383
Cyprus,2021-11-19,Pfizer/BioNTech,851486
Cyprus,2021-11-26,Johnson&Johnson,21812
Cyprus,2021-11-26,Moderna,96114
Cyprus,2021-11-26,Oxford/AstraZeneca,254415
Cyprus,2021-11-26,Pfizer/BioNTech,890514
Cyprus,2021-12-03,Johnson&Johnson,22559
Cyprus,2021-12-03,Moderna,99089
Cyprus,2021-12-03,Oxford/AstraZeneca,254428
Cyprus,2021-12-03,Pfizer/BioNTech,935576
Cyprus,2021-12-10,Johnson&Johnson,23466
Cyprus,2021-12-10,Moderna,102363
Cyprus,2021-12-10,Oxford/AstraZeneca,254441
Cyprus,2021-12-10,Pfizer/BioNTech,979820
Cyprus,2021-12-17,Johnson&Johnson,24562
Cyprus,2021-12-17,Moderna,108104
Cyprus,2021-12-17,Oxford/AstraZeneca,254478
Cyprus,2021-12-17,Pfizer/BioNTech,1031518
Czechia,2020-12-27,Pfizer/BioNTech,1283
Czechia,2020-12-28,Pfizer/BioNTech,3589
Czechia,2020-12-29,Pfizer/BioNTech,7057
Czechia,2020-12-30,Pfizer/BioNTech,10575
Czechia,2020-12-31,Pfizer/BioNTech,11887
Czechia,2021-01-01,Moderna,1
Czechia,2021-01-01,Pfizer/BioNTech,12155
Czechia,2021-01-02,Pfizer/BioNTech,13434
Czechia,2021-01-03,Moderna,2
Czechia,2021-01-03,Pfizer/BioNTech,14357
Czechia,2021-01-04,Moderna,9
Czechia,2021-01-04,Pfizer/BioNTech,17962
Czechia,2021-01-05,Moderna,12
Czechia,2021-01-05,Pfizer/BioNTech,22484
Czechia,2021-01-06,Moderna,13
Czechia,2021-01-06,Pfizer/BioNTech,28330
Czechia,2021-01-07,Moderna,14
Czechia,2021-01-07,Pfizer/BioNTech,36325
Czechia,2021-01-08,Moderna,15
Czechia,2021-01-08,Pfizer/BioNTech,46376
Czechia,2021-01-09,Moderna,17
Czechia,2021-01-09,Pfizer/BioNTech,48402
Czechia,2021-01-10,Pfizer/BioNTech,50170
Czechia,2021-01-11,Pfizer/BioNTech,60026
Czechia,2021-01-12,Moderna,20
Czechia,2021-01-12,Pfizer/BioNTech,73478
Czechia,2021-01-13,Pfizer/BioNTech,87017
Czechia,2021-01-14,Moderna,1249
Czechia,2021-01-14,Pfizer/BioNTech,101040
Czechia,2021-01-15,Moderna,2015
Czechia,2021-01-15,Pfizer/BioNTech,114290
Czechia,2021-01-16,Moderna,2343
Czechia,2021-01-16,Pfizer/BioNTech,117369
Czechia,2021-01-17,Moderna,2435
Czechia,2021-01-17,Pfizer/BioNTech,120530
Czechia,2021-01-18,Moderna,2615
Czechia,2021-01-18,Pfizer/BioNTech,134664
Czechia,2021-01-19,Moderna,3396
Czechia,2021-01-19,Pfizer/BioNTech,149212
Czechia,2021-01-20,Moderna,4983
Czechia,2021-01-20,Pfizer/BioNTech,163974
Czechia,2021-01-21,Moderna,5949
Czechia,2021-01-21,Pfizer/BioNTech,180399
Czechia,2021-01-22,Moderna,6152
Czechia,2021-01-22,Pfizer/BioNTech,196126
Czechia,2021-01-23,Moderna,6194
Czechia,2021-01-23,Pfizer/BioNTech,200285
Czechia,2021-01-24,Moderna,6318
Czechia,2021-01-24,Pfizer/BioNTech,203285
Czechia,2021-01-25,Moderna,6517
Czechia,2021-01-25,Pfizer/BioNTech,215704
Czechia,2021-01-26,Moderna,6792
Czechia,2021-01-26,Pfizer/BioNTech,229966
Czechia,2021-01-27,Moderna,7098
Czechia,2021-01-27,Pfizer/BioNTech,243227
Czechia,2021-01-28,Moderna,7222
Czechia,2021-01-28,Pfizer/BioNTech,256336
Czechia,2021-01-29,Moderna,7376
Czechia,2021-01-29,Pfizer/BioNTech,270308
Czechia,2021-01-30,Moderna,7380
Czechia,2021-01-30,Pfizer/BioNTech,272131
Czechia,2021-01-31,Moderna,7385
Czechia,2021-01-31,Pfizer/BioNTech,274023
Czechia,2021-02-01,Moderna,7646
Czechia,2021-02-01,Pfizer/BioNTech,285704
Czechia,2021-02-02,Moderna,7977
Czechia,2021-02-02,Pfizer/BioNTech,299754
Czechia,2021-02-03,Moderna,8719
Czechia,2021-02-03,Pfizer/BioNTech,314450
Czechia,2021-02-04,Moderna,9862
Czechia,2021-02-04,Pfizer/BioNTech,331195
Czechia,2021-02-05,Moderna,11058
Czechia,2021-02-05,Pfizer/BioNTech,346141
Czechia,2021-02-06,Moderna,11322
Czechia,2021-02-06,Oxford/AstraZeneca,2
Czechia,2021-02-06,Pfizer/BioNTech,349093
Czechia,2021-02-07,Moderna,11586
Czechia,2021-02-07,Pfizer/BioNTech,352180
Czechia,2021-02-08,Moderna,12502
Czechia,2021-02-08,Oxford/AstraZeneca,6
Czechia,2021-02-08,Pfizer/BioNTech,366771
Czechia,2021-02-09,Moderna,14164
Czechia,2021-02-09,Oxford/AstraZeneca,8
Czechia,2021-02-09,Pfizer/BioNTech,382117
Czechia,2021-02-10,Moderna,15924
Czechia,2021-02-10,Oxford/AstraZeneca,10
Czechia,2021-02-10,Pfizer/BioNTech,399123
Czechia,2021-02-11,Moderna,19315
Czechia,2021-02-11,Oxford/AstraZeneca,245
Czechia,2021-02-11,Pfizer/BioNTech,418045
Czechia,2021-02-12,Moderna,21621
Czechia,2021-02-12,Oxford/AstraZeneca,654
Czechia,2021-02-12,Pfizer/BioNTech,436888
Czechia,2021-02-13,Moderna,22122
Czechia,2021-02-13,Oxford/AstraZeneca,1096
Czechia,2021-02-13,Pfizer/BioNTech,440545
Czechia,2021-02-14,Moderna,22372
Czechia,2021-02-14,Oxford/AstraZeneca,1301
Czechia,2021-02-14,Pfizer/BioNTech,442476
Czechia,2021-02-15,Moderna,23793
Czechia,2021-02-15,Oxford/AstraZeneca,2053
Czechia,2021-02-15,Pfizer/BioNTech,456066
Czechia,2021-02-16,Moderna,26275
Czechia,2021-02-16,Oxford/AstraZeneca,3230
Czechia,2021-02-16,Pfizer/BioNTech,470208
Czechia,2021-02-17,Moderna,29026
Czechia,2021-02-17,Oxford/AstraZeneca,5282
Czechia,2021-02-17,Pfizer/BioNTech,483410
Czechia,2021-02-18,Moderna,31386
Czechia,2021-02-18,Oxford/AstraZeneca,7288
Czechia,2021-02-18,Pfizer/BioNTech,499443
Czechia,2021-02-19,Moderna,32794
Czechia,2021-02-19,Oxford/AstraZeneca,9031
Czechia,2021-02-19,Pfizer/BioNTech,515521
Czechia,2021-02-20,Moderna,32803
Czechia,2021-02-20,Oxford/AstraZeneca,9714
Czechia,2021-02-20,Pfizer/BioNTech,518015
Czechia,2021-02-21,Moderna,32905
Czechia,2021-02-21,Oxford/AstraZeneca,9980
Czechia,2021-02-21,Pfizer/BioNTech,519804
Czechia,2021-02-22,Moderna,33906
Czechia,2021-02-22,Oxford/AstraZeneca,11594
Czechia,2021-02-22,Pfizer/BioNTech,533343
Czechia,2021-02-23,Moderna,34697
Czechia,2021-02-23,Oxford/AstraZeneca,14339
Czechia,2021-02-23,Pfizer/BioNTech,549744
Czechia,2021-02-24,Moderna,36039
Czechia,2021-02-24,Oxford/AstraZeneca,17278
Czechia,2021-02-24,Pfizer/BioNTech,565373
Czechia,2021-02-25,Moderna,37225
Czechia,2021-02-25,Oxford/AstraZeneca,21641
Czechia,2021-02-25,Pfizer/BioNTech,583345
Czechia,2021-02-26,Moderna,38076
Czechia,2021-02-26,Oxford/AstraZeneca,24996
Czechia,2021-02-26,Pfizer/BioNTech,600661
Czechia,2021-02-27,Moderna,38249
Czechia,2021-02-27,Oxford/AstraZeneca,25620
Czechia,2021-02-27,Pfizer/BioNTech,603430
Czechia,2021-02-28,Moderna,38444
