#,Name,Type,Division,SubDivision,Url,NameLong,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.)
064,Muromets,ASW Corvette,68th Coastal Defense Ship Brigade ,149th Antisubmarine Ship Division,https://www.kchf.ru/eng/ship/aswcorvettes/murometc.htm,"Large 
ASW Corvette Muromets  Project 1124M / Grisha V class",910,1055,"71,07","10,15","3,71","31,67","2727 nmi (14,56 knots), 640 nmi (29 knots)",10,"1x18000 hp M-8 gas turbine, 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels, 3 fixed pitch propellers, 1x500 kW ASDG-500 diesel generator, 1x300 kW diesel generator, 1x200 kW diesel generator","1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds), 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71, TEST-71M, SET-65, SET-53, SET-53M, 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines","MR-320 Topaz-2V air/surface search radar, Vympel-R2 reconnaissance radar, MR-212 Vaygach navigation radar, Nickel IFF , ARP-50R radio direction finder, Spektr-F laser detection warning system, MGK-335 Platina sonar, MG-339T Shelon sonar, MG-26 Khosta underwater communication system, KMG-12 Kassandra sonar, MGS-407K sonar, MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers)",90 (9 officers),,,,,,
464,Georgy Kurbatov,Coastal Minesweeper,68th Coastal Defense Ship Brigade ,150th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/georgy_kurbatov.htm,"Coastal 
Minesweeper Georgy Kurbatov Project 12700 / Aleksandrit Class",720,890,"61,75","10,8","3,68","15,9","2770 nmi (13 kts), 1430 nmi (15,9 kts)",10,"2x2500 hp M-503M1 diesels, 2 fixed pitch propellers, 2 rudder propellers with nozzles, 2 transverse bow propellers, 2x315 kW diesel generators, 2x210 kW diesel generators","1x6 30 mm AK-306 (1500 rounds) - SP-520M-2 opto-electronic control system 1x1 14,5 mm MTPU-1 Zhalo (Ivan Antonov, Vladimir Emelyanov – 2x1 12,7 mm 6P58 Kord) 2 9K38 Igla SAM system launcher (8 9M39 missiles) UDM, UDM-2, UDM-500, MTPK-1, MTPK-2, MRPK-1, PMR-1, PMR-2 minesSkanda unmanned boat (№523) Alexandrit-ISPUM, Diamand, OUKT-B contact sweep, PKT-B contact sweep, Zhelatin sweep, ShAT-U acoustic sweep","PAL-N navigation radar, MTK-201M3.1 optical-television complex, Struktura-35 underwater communication system, Anapa anti-saboteur sonar, Altyn-M GISZ, Ruberoid communication complex",51,,,,,,
466,Vladimir Emelyanov,Coastal Minesweeper,68th Coastal Defense Ship Brigade ,150th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/vladimir_emelyanov.htm,"Coastal 
Minesweeper Vladimir Emelyanov Project 12700 / Aleksandrit Class",720,890,"61,75","10,8","3,68","15,9","2770 nmi (13 kts), 1430 nmi (15,9 kts)",10,"2x2500 hp M-503M1 diesels, 2 fixed pitch propellers, 2 rudder propellers with nozzles, 2 transverse bow propellers, 2x315 kW diesel generators, 2x210 kW diesel generators","1x6 30 mm AK-306 (1500 rounds) - SP-520M-2 opto-electronic control system 1x1 14,5 mm MTPU-1 Zhalo (Ivan Antonov, Vladimir Emelyanov – 2x1 12,7 mm 6P58 Kord) 2 9K38 Igla SAM system launcher (8 9M39 missiles) UDM, UDM-2, UDM-500, MTPK-1, MTPK-2, MRPK-1, PMR-1, PMR-2 minesSkanda unmanned boat (№523) Alexandrit-ISPUM, Diamand, OUKT-B contact sweep, PKT-B contact sweep, Zhelatin sweep, ShAT-U acoustic sweep","PAL-N navigation radar, MTK-201M3.1 optical-television complex, Struktura-35 underwater communication system, Anapa anti-saboteur sonar, Altyn-M GISZ, Ruberoid communication complex",51,,,,,,
460,Ivan Antonov,Coastal Minesweeper,68th Coastal Defense Ship Brigade ,150th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/ivan_antonov.htm,"Coastal 
Minesweeper Ivan Antonov Project 12700 / Aleksandrit Class",720,890,"61,75","10,8","3,68","15,9","2770 nmi (13 kts), 1430 nmi (15,9 kts)",10,"2x2500 hp M-503M1 diesels, 2 fixed pitch propellers, 2 rudder propellers with nozzles, 2 transverse bow propellers, 2x315 kW diesel generators, 2x210 kW diesel generators","1x6 30 mm AK-306 (1500 rounds) - SP-520M-2 opto-electronic control system 1x1 14,5 mm MTPU-1 Zhalo (Ivan Antonov, Vladimir Emelyanov – 2x1 12,7 mm 6P58 Kord) 2 9K38 Igla SAM system launcher (8 9M39 missiles) UDM, UDM-2, UDM-500, MTPK-1, MTPK-2, MRPK-1, PMR-1, PMR-2 minesSkanda unmanned boat (№523) Alexandrit-ISPUM, Diamand, OUKT-B contact sweep, PKT-B contact sweep, Zhelatin sweep, ShAT-U acoustic sweep","PAL-N navigation radar, MTK-201M3.1 optical-television complex, Struktura-35 underwater communication system, Anapa anti-saboteur sonar, Altyn-M GISZ, Ruberoid communication complex",51,,,,,,
911,Ivan Golubets,Seagoing Minesweeper,68th Coastal Defense Ship Brigade ,150th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/ivan_golubets.htm,"Seagoing 
Minesweeper Ivan Golubets Project 266M / Natya Class",745,800,61,"10,2","2,97",17,2700 nmi (12 knots),10,"2x2500 hp M-503B-3 diesels, 2 fixed pitch propellers in nozzles2x200 kW DGRA-200/1500 diesel generators, 1x100 kW DGRA-100/1500 diesel generator","2x2 30 mm AK-230M - 2000 rounds - MR-104 Rys fire control system2x2 25 mm 2M-3M - 2000 rounds 2x5 RBU-1200M Uragan (68 RGB-12) 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep, BKT contact sweep, TEM-4 magnetic sweep, AT-3 acoustic swwp, ShZ-1 or ShZ-2 detonating cord","MR-302 Rubka air/surface search radar, 2 Don-D navigation radars, Nikhrom-R IFF, MG-69 Lan mine search sonar, MG-79 Mezen mine search sonar, MG-26 Khosta underwater communication system",68 (6 officers),,,,,,
913,Kovrovets,Seagoing Minesweeper,68th Coastal Defense Ship Brigade ,150th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/kovrovets.htm,"Seagoing 
Minesweeper Kovrovets Project 266M / Natya Class",745,800,61,"10,2","2,97",17,2700 nmi (12 knots),10,"2x2500 hp M-503B-3 diesels, 2 fixed pitch propellers in nozzles2x200 kW DGRA-200/1500 diesel generators, 1x100 kW DGRA-100/1500 diesel generator","2x2 30 mm AK-230M - 2000 rounds - MR-104 Rys fire control system2x2 25 mm 2M-3M - 2000 rounds 2x5 RBU-1200M Uragan (68 RGB-12) 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep, BKT contact sweep, TEM-4 magnetic sweep, AT-3 acoustic swwp, ShZ-1 or ShZ-2 detonating cord","MR-302 Rubka air/surface search radar, 2 Don-D navigation radars, Nikhrom-R IFF, MG-69 Lan mine search sonar, MG-79 Mezen mine search sonar, MG-26 Khosta underwater communication system",68 (6 officers),,,,,,
912,Turbinist,Seagoing Minesweeper,68th Coastal Defense Ship Brigade ,150th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/turbinist.htm,"Seagoing 
Minesweeper Turbinist Project 266M / Natya Class",745,800,61,"10,2","2,97",17,2700 nmi (12 knots),10,"2x2500 hp M-503B-3 diesels, 2 fixed pitch propellers in nozzles2x200 kW DGRA-200/1500 diesel generators, 1x100 kW DGRA-100/1500 diesel generator","2x2 30 mm AK-230M - 2000 rounds - MR-104 Rys fire control system2x2 25 mm 2M-3M - 2000 rounds 2x5 RBU-1200M Uragan (68 RGB-12) 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep, BKT contact sweep, TEM-4 magnetic sweep, AT-3 acoustic swwp, ShZ-1 or ShZ-2 detonating cord","MR-302 Rubka air/surface search radar, 2 Don-D navigation radars, Nikhrom-R IFF, MG-69 Lan mine search sonar, MG-79 Mezen mine search sonar, MG-26 Khosta underwater communication system",68 (6 officers),,,,,,
831,P-331,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p331.htm,"Anti-Saboteur 
Boat P-331 Project PV1415 / Flamingo Class",,46,"21,2","3,93","1,65",11,"800 nmi (9 knots), 200 nmi (11 knots)",5,"1x300 hp 3D12AA diesel, 1x25 kW DGR-25/1500 25 diesel generator, 1x1,2 kW diesel generator","1x7 55 mm MRG-1 Ogonyokgrenade launcher (35 RG-55 grenades, 7 GRS-55 grenades)","Lotsiya navigation radar, MG-7 Braslet anti-saboteur sonar",5,,,,,,
,P-345 Buyevlyanin,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p345.htm,"Anti-Saboteur 
Boat P-345 Buyevlyanin Project 03160 / Raptor Class",,23,"16,9","4,1","0,85",48,300 mni,1,"2x1150 hp Caterpillar C18 diesels, 2 pump-jets","1x1 14,5 mm 2x1 7,62 mm 6P41 Pecheneg",Nautilus navigation radar,3+20,,,,,,
,P-352,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p352.htm,"Anti-Saboteur 
Boat P-352 Project 03160 / Raptor Class",,23,"16,9","4,1","0,85",48,300 mni,1,"2x1150 hp Caterpillar C18 diesels, 2 pump-jets","1x1 14,5 mm 2x1 7,62 mm 6P41 Pecheneg",Nautilus navigation radar,3+20,,,,,,
836,P-355 Yunarmeets Kryma,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p355.htm,"Anti-Saboteur 
Boat P-355 Yunarmeets Kryma Project 21980 / Grachonok Class","138,69",,"31,04","7,4","1,86",23,,5,"2x1822 hp MTU 12V2000M93 diesels, 2 fixed pitch propellers, 2x100 kW DGA-100-V-A1-MPS diesel-generators","4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M, GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45, SG-45 grenades) 1 diving complex (1 diving chamber), Falcon Underwater Remotely Operated Vehicle","MR-231 navigation radar, MTK-201M3 electronic-optical television system, Filin (P-104) optical system, Kalmar sonar complex, MG-757 Anapa-M anti-saboteur sonar",8,,,,,,
833,P-407,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p407.htm,"Anti-Saboteur 
Boat P-407 Project PV1415 / Flamingo Class",,46,"21,2","3,93","1,65",11,"800 nmi (9 knots), 200 nmi (11 knots)",5,"1x300 hp 3D12AA diesel, 1x25 kW DGR-25/1500 25 diesel generator, 1x1,2 kW diesel generator","1x7 55 mm MRG-1 Ogonyokgrenade launcher (35 RG-55 grenades, 7 GRS-55 grenades)","Lotsiya navigation radar, MG-7 Braslet anti-saboteur sonar",5,,,,,,
837,P-424 Kinel,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p424.htm,"Anti-Saboteur 
Boat P-424 Project 21980 / Grachonok Class","138,69",,"31,04","7,4","1,86",23,,5,"2x1822 hp MTU 12V2000M93 diesels, 2 fixed pitch propellers, 2x100 kW DGA-100-V-A1-MPS diesel-generators","4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M, GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45, SG-45 grenades) 1 diving complex (1 diving chamber), Falcon Underwater Remotely Operated Vehicle","MR-231 navigation radar, MTK-201M3 electronic-optical television system, Filin (P-104) optical system, Kalmar sonar complex, MG-757 Anapa-M anti-saboteur sonar",8,,,,,,
,P-425 Chapaevsk,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p425.htm,"Anti-Saboteur 
Boat P-425 Chapaevsk Project 03160 / Raptor Class",,23,"16,9","4,1","0,85",48,300 mni,1,"2x1150 hp Caterpillar C18 diesels, 2 pump-jets","1x1 14,5 mm 2x1 7,62 mm 6P41 Pecheneg",Nautilus navigation radar,3+20,,,,,,
844,P-433 Pavel Silaev,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p433.htm,"Anti-Saboteur 
Boat P-433 Pavel Silaev Project 21980 / Grachonok Class","138,69",,"31,04","7,4","1,86",23,,5,"2x1822 hp MTU 12V2000M93 diesels, 2 fixed pitch propellers, 2x100 kW DGA-100-V-A1-MPS diesel-generators","4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M, GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45, SG-45 grenades) 1 diving complex (1 diving chamber), Falcon Underwater Remotely Operated Vehicle","MR-231 navigation radar, MTK-201M3 electronic-optical television system, Filin (P-104) optical system, Kalmar sonar complex, MG-757 Anapa-M anti-saboteur sonar",8,,,,,,
834,P-834,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p834.htm,"Anti-Saboteur 
Boat P-834 Type IC16MII",,20,"15,9","3,8","0,9",50,400 nmi,1,"2x1100 hp MAN2842LE410 diesels, 2 pump-jets",,,4+8,,,,,,
835,P-835,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p835.htm,"Anti-Saboteur 
Boat P-835 Type IC16MII",,20,"15,9","3,8","0,9",50,400 nmi,1,"2x1100 hp MAN2842LE410 diesels, 2 pump-jets",,,4+8,,,,,,
,RK-162,Harbor Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/rk162.htm,"Boat 
RK-162 Project BL-820",,4,"8,65","2,25","0,5",35,200 nmi,,360 hp diesel,,,1,,12,,,,
,RK-163,Harbor Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/rk163.htm,"Boat 
RK-163 Project BL-820",,4,"8,65","2,25","0,5",35,200 nmi,,360 hp diesel,,,1,,12,,,,
,RK-179,Harbor Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/rk179.htm,"Boat 
RK-179 Project BL-820",,4,"8,65","2,25","0,5",35,200 nmi,,360 hp diesel,,,1,,12,,,,
,RK-180,Harbor Boat,68th Coastal Defense Ship Brigade ,102th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/rk180.htm,"Boat 
RK-180 Project BL-820",,4,"8,65","2,25","0,5",35,200 nmi,,360 hp diesel,,,1,,12,,,,
842,TL-842,Torpedo Retriever,68th Coastal Defense Ship Brigade ,Coastal base,https://www.kchf.ru/eng/ship/boats/tl842.htm,"Torpedo 
Retriever TL-842 Project T368","84,7","91,4","29,6","5,99","1,5",22,550 nmi,5,"2x1200 hp M-50F-4 diesels, 2 fixed pitch propellers",,Donets-2 navigation radar,15,,,,,,
857,TL-857,Torpedo Retriever,68th Coastal Defense Ship Brigade ,Coastal base,https://www.kchf.ru/eng/ship/boats/tl857.htm,"Torpedo 
Retriever TL-857 Project T368","84,7","91,4","29,6","5,99","1,5",22,550 nmi,5,"2x1200 hp M-50F-4 diesels, 2 fixed pitch propellers",,Donets-2 navigation radar,15,,,,,,
997,TL-997,Torpedo Retriever,68th Coastal Defense Ship Brigade ,Coastal base,https://www.kchf.ru/eng/ship/boats/tl997.htm,"Torpedo 
Retriever TL-997 Project T368","84,7","91,4","29,6","5,99","1,5",22,550 nmi,5,"2x1200 hp M-50F-4 diesels, 2 fixed pitch propellers",,Donets-2 navigation radar,15,,,,,,
1539,TL-1539,Torpedo Retriever,68th Coastal Defense Ship Brigade ,Coastal base,https://www.kchf.ru/eng/ship/boats/tl1539.htm,Torpedo Retriever TL-1539 Project 1388 / Shelon Class,269,310,"48,6",9,"2,22","28,7","1250 nmi (15,5 knots), 1116 nmi (28,7 knots)",8,"2x5000 hp M-504B diesels, 2 fixed propellers, 2 D6-150AF-2 diesel-generators x150 kW",,"Mius navigation radar, MG-329 Sheksna sonar",20,6-8 533 mm torpedoes,,,,,
,RK-516,Harbor Boat,68th Coastal Defense Ship Brigade ,Coastal base,https://www.kchf.ru/eng/ship/rescue/rvk516.htm,"Diving 
Boat RVK-516 (Boat RK-516) Project RV376U / PO-2 Class","31,6","38,2",21,"3,98","1,31","10,4","700 nmi (9 knots), 400 nmi (10,4 knots)",5,"1x150 hp, diesel 3D6S1, 1 fixed pitch propeller",,,13,,,,,,
,RK-518,Harbor Boat,68th Coastal Defense Ship Brigade ,Coastal base,https://www.kchf.ru/eng/ship/rescue/rvk518.htm,"Diving 
Boat RVK-518 (Boat RK-518) Project RV376U / PO-2 Class","31,6","38,2",21,"3,98","1,31","10,4","700 nmi (9 knots), 400 nmi (10,4 knots)",5,"1x150 hp, diesel 3D6S1, 1 fixed pitch propeller",,,13,,,,,,
,RK-399,Harbor Boat,68th Coastal Defense Ship Brigade ,Coastal base,,,,,,,,,,,,,,,,,,,,
615,Bora,Missile Corvette,41th Missile Boat Brigade,166th Novorossiysk Small Missile Ship Division,https://www.kchf.ru/eng/ship/warfarecorvettes/bora.htm,"Missile 
Corvette Bora Project 1239 / Bora class",897,1083,"63,9","17,2","3,57","52,7","2500 nmi (12 knots), 800 nmi (45 knots)",10,"2x20000 hp M-10-1 gas turbines, 2x10000 hp M-511A diesels, 2x3000 hp M-4750 diesels, 4x200 kW DGE2A200/1500 diesel generators","2x4 KT-190 P-100 Moskit anti-ship missiles launchers (3M80) 1x2 ZIF-122 4K33AM Osa-MA2 SAM system launcher (20 9МM33, 9M33M, 9M33M1, 9M33M5 missiles) – 4R-33AM fire control system2x1 9K34 Strela-3 SAM system launchers (8 9M36 missiles) 1x1 76 mm AK-176M (316 rounds) – MR-123-01 Vympel-A fire control system 2x6 30 mm AK-630M (6000 rounds)","34K1 Monolit radar complex (Most, Mayak, Mech, Massiv, 2 MR-144 radars), MR-352 Pozitiv air/surface search radar, MR-244 Ekran navigation radar, Don navigation radar, Vympel-R2 ESM radar system (2 MP-405, 2 MP-405-1 radars), MP-405-1 ESM radar system, Parol IFF, Rumb radio direction finder, Buran-7 communication complex PK-16 decoy RL (2 KL-101 launchers), PK-10 Smely decoy RL (4 KT-216 launchers)",68 (9 officers),,,,,,
616,Samum,Missile Corvette,41th Missile Boat Brigade,166th Novorossiysk Small Missile Ship Division,https://www.kchf.ru/eng/ship/warfarecorvettes/samum.htm,,897,1083,"63,9","17,2","3,57","52,7","2500 nmi (12 knots), 800 nmi (45 knots)",10,"2x20000 hp M-10-1 gas turbines, 2x10000 hp M-511A diesels, 2x3000 hp M-4750 diesels, 4x200 kW DGE2A200/1500 diesel generators","2x4 KT-190 P-100 «Moskit» anti-ship missiles launchers (3M80) 1x2 ZIF-122 4K33AM «Osa-MA2» SAM system launcher (20 9МM33, 9M33M, 9M33M1, 9M33M5 missiles) – 4R-33AM fire control system2x1 9K34 «Strela-3» SAM system launchers (8 9M36 missiles) 1x1 76 mm AK-176M (316 rounds) – MR-123-01 «Vympel-A» fire control system 2x6 30 mm AK-630M (6000 rounds)","34K1 «Monolit» radar complex («Most», «Mayak», «Mech», «Massiv», 2 MR-144 radars), MR-352 «Pozitiv» air/surface search radar, MR-244 «Ekran» navigation radar, «Don» navigation radar, «Vympel-R2» ESM radar system (2 MP-405, 2 MP-405-1 radars), MP-405-1 ESM radar system, «Parol» IFF, «Rumb» radio direction finder, «Buran-7» communication complex PK-16 decoy RL (2 KL-101 launchers), PK-10 «Smely» decoy RL (4 KT-216 launchers)",68 (9 officers),,,,,,
609,Vushniy Volochek,Missile Corvette,41th Missile Boat Brigade,166th Novorossiysk Small Missile Ship Division,https://www.kchf.ru/eng/ship/warfarecorvettes/vyshny_volochyok.htm,"Missile 
Corvette Vyshny Volochyok Project 21631 / Buyan-M Class",,949,"74,1",11,"2,6",25,2500 nmi (12 knots),10,"4x3944 hp CHD622V20 diesels, 2 pump-jets","1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14,5 mm MTPU-1 Zhalo","5P-26 Pozitiv air/surface search radar, MR-231 navigation radar, MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers)",52,,,,,,
626,Orekhovo-Zuyevo,Missile Corvette,41th Missile Boat Brigade,166th Novorossiysk Small Missile Ship Division,https://www.kchf.ru/eng/ship/warfarecorvettes/orekhovo_zuyevo.htm,"Missile 
Corvette Orekhovo-Zuyevo Project 21631 / Buyan-M Class",,949,"74,1",11,"2,6",25,2500 nmi (12 knots),10,"4x3944 hp CHD622V20 diesels, 2 pump-jets","1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14,5 mm MTPU-1 Zhalo","5P-26 Pozitiv» air/surface search radar, MR-231 navigation radar, MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers)",52,,,,,,
630,Ingushetiya,Missile Corvette,41th Missile Boat Brigade,166th Novorossiysk Small Missile Ship Division,https://www.kchf.ru/eng/ship/warfarecorvettes/ingushetiya.htm,"Missile 
Corvette Ingushetiya Project 21631 / Buyan-M Class",,949,"74,1",11,"2,6",25,2500 nmi (12 knots),10,"4x3944 hp CHD622V20 diesels, 2 pump-jets","1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14,5 mm MTPU-1 Zhalo","5P-26 Pozitiv air/surface search radar, MR-231 navigation radar, MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers)",52,,,,,,
600,Grayvoron,Missile Corvette,41th Missile Boat Brigade,166th Novorossiysk Small Missile Ship Division,https://www.kchf.ru/eng/ship/warfarecorvettes/ingushetiya.htm,"Missile 
Corvette Ingushetiya Project 21631 / Buyan-M Class",,949,"74,1",11,"2,6",25,2500 nmi (12 knots),10,"4x3944 hp CHD622V20 diesels, 2 pump-jets","1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14,5 mm MTPU-1 Zhalo","5P-26 Pozitiv air/surface search radar, MR-231 navigation radar, MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers)",52,,,,,,
633,Tsiklon,Missile Corvette - Trials,41th Missile Boat Brigade,166th Novorossiysk Small Missile Ship Division,https://www.kchf.ru/eng/ship/warfarecorvettes/tsiklon.htm,"Missile 
Corvette Tsiklon Project 22800 / Karakurt Class",800,870,67,11,"3,3",30,2500 nmi,12,"3x8000 hp M-507D-1-01-OMZ diesels, 3 fixed pitch propellers, 1 bow thruster, 3 DGAS-315 diesel-generators x315 kW","1x8 UKSK 3K14 VLS (Kalibr-NK missile complex (8 3M14T missiles)) – 3R14N fire control system1x1 76 mm AK-176MA – MR-123-02/3 Bagira fire control system 1 module 3M87-1F Pantcir-M air defense system 1x(8 SAM missiles, 2x6 30 mm (32 57E6 missiles, 1000 rounds)) 2x1 12,7 mm 6P58 Kord1 Orlan-10 unmanned aerial vehicle","KRS-27M Mineral air-surface search radar, MP-405-1 ESM radar system, MTK-201M-S1 multifunctional opto-electronic television complexPK-10 Smely (4 KT-216 launcher)",39,,,,,,
955,R-60,Missile Corvette,41th Missile Boat Brigade,295th Sulinsk Missile Boat Division,https://www.kchf.ru/eng/ship/warfarecorvettes/r60.htm,"Missile 
Corvette R-60 Project 12411 / Tarantul-III Mod class",436,493,"56,1","10,2","2,5",41,"1600 nmi (14 knots), 450 nmi (36 knots)",10,"2x16000 hp DGTA M-15A (4000 hp M-510 diesel, 12000 hp M-70 gas turbine), 2 fixed pitch propellers, 2x200 kW diesel generators, 1x100 kW diesel generator",2x2 KT-152 launchers (4 P-100 «Moskit» anti-ship missiles (3M80)) 1x4 MTU-4US «Strela-3M» or 9K310 «Igla-1» SAM system launcher (9M313 missiles) - 16 missiles 1x1 76 mm AK-176M (314 rounds) - MR-123-1 «Vympel-A» fire control system 2x6 30 mm «Palash» CIWS,"34K1«Monolit» radar complex («Most», «Mayak», «Mech», «Massiv», MR-144 radars), «Don» navigation radar, «Vympel-R2» ESW radar system PK-16 decoy RL (2 KL-101 launchers)",40 (5 officers),,,,,,
953,Naberezhnye Chelny,Missile Corvette,41th Missile Boat Brigade,295th Sulinsk Missile Boat Division,https://www.kchf.ru/eng/ship/warfarecorvettes/r239.htm,"Missile 
Corvette R-239 Naberezhnye Chelny Project 12411 / Tarantul-III class",436,493,"56,1","10,2","2,5",41,"1600 nmi (14 knots), 450 nmi (36 knots)",10,"2x16000 hp DGTA M-15A (4000 hp M-510 diesel, 12000 hp M-70 gas turbine), 2 fixed pitch propellers, 2x200 kW diesel generators, 1x100 kW diesel generator",2x2 KT-152 launchers (4 P-100 Moskit anti-ship missiles (3M80)) 1x4 MTU-4US Strela-3M or 9K310 Igla-1 SAM system launcher (9M313 missiles) - 16 missiles 1x1 76 mm AK-176M (314 rounds) - MR-123-1 «Vympel-A» fire control system 2x6 30 mm AK-630M CIWS,"34K1 Monolit radar complex (Most, Mayak, Mech, Massiv, MR-144 radars), Don navigation radar, Vympel-R2 ESW radar system PK-16 decoy RL (2 KL-101 launchers)",40 (5 officers),,,,,,
