Genre,Rank,RatingTomatometer,Title,No. of Reviews
Action & Adventure,1.0,96%,Black Panther (2018),525
Action & Adventure,2.0,94%,Avengers: Endgame (2019),547
Action & Adventure,3.0,97%,Mission: Impossible - Fallout (2018),437
Action & Adventure,4.0,97%,Mad Max: Fury Road (2015),434
Action & Adventure,5.0,97%,Spider-Man: Into the Spider-Verse (2018),393
Action & Adventure,6.0,93%,Wonder Woman (2017),472
Action & Adventure,7.0,94%,Logan (2017),424
Action & Adventure,8.0,97%,Coco (2017),354
Action & Adventure,9.0,92%,Dunkirk (2017),463
Action & Adventure,10.0,91%,Star Wars: The Last Jedi (2017),483
Action & Adventure,11.0,93%,Thor: Ragnarok (2017),437
Action & Adventure,12.0,100%,Seven Samurai (Shichinin no Samurai) (1956),88
Action & Adventure,13.0,93%,Star Wars: Episode VII - The Force Awakens (2015),446
Action & Adventure,14.0,97%,Metropolis (1927),135
Action & Adventure,15.0,95%,Soul (2020),344
Action & Adventure,16.0,100%,The Adventures of Robin Hood (1938),48
Action & Adventure,17.0,90%,Spider-Man: Far From Home (2019),453
Action & Adventure,18.0,93%,Incredibles 2 (2018),387
Action & Adventure,19.0,98%,Zootopia (2016),298
Action & Adventure,20.0,98%,King Kong (1933),66
Action & Adventure,21.0,94%,War for the Planet of the Apes (2017),361
Action & Adventure,22.0,92%,Baby Driver (2017),396
Action & Adventure,23.0,92%,Spider-Man: Homecoming (2017),395
Action & Adventure,24.0,96%,The Bridge on the River Kwai (1957),93
Action & Adventure,25.0,98%,Jaws (1975),95
Action & Adventure,26.0,98%,Up (2009),298
Action & Adventure,27.0,90%,Shazam! (2019),413
Action & Adventure,28.0,94%,The Dark Knight (2008),345
Action & Adventure,29.0,100%,The Treasure of the Sierra Madre (1948),52
Action & Adventure,30.0,94%,Lawrence of Arabia (1962),124
Action & Adventure,31.0,90%,Captain America: Civil War (2016),427
Action & Adventure,32.0,88%,Blade Runner 2049 (2017),443
Action & Adventure,33.0,92%,Skyfall (2012),384
Action & Adventure,34.0,96%,The 39 Steps (1935),53
Action & Adventure,35.0,94%,The Jungle Book (2016),327
Action & Adventure,36.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Action & Adventure,37.0,94%,Mission: Impossible Rogue Nation (2015),326
Action & Adventure,38.0,97%,The Hurt Locker (2009),289
Action & Adventure,39.0,98%,Apocalypse Now (1979),96
Action & Adventure,40.0,85%,Avengers: Infinity War (2018),485
Action & Adventure,41.0,94%,Star Trek (2009),355
Action & Adventure,42.0,96%,The LEGO Movie (2014),253
Action & Adventure,43.0,87%,Ant-Man and the Wasp (2018),439
Action & Adventure,44.0,95%,Moana (2016),283
Action & Adventure,45.0,90%,Isle of Dogs (2018),367
Action & Adventure,46.0,92%,Guardians of the Galaxy (2014),334
Action & Adventure,47.0,97%,Kubo and the Two Strings (2016),226
Action & Adventure,48.0,99%,Wolfwalkers (2020),162
Action & Adventure,49.0,99%,Goldfinger (1964),69
Action & Adventure,50.0,92%,Star Wars: Episode IV - A New Hope (1977),132
Action & Adventure,51.0,100%,Stagecoach (1939),45
Action & Adventure,52.0,91%,Marvel's The Avengers (2012),362
Action & Adventure,53.0,95%,WALL-E (2008),260
Action & Adventure,54.0,96%,Paths of Glory (1957),68
Action & Adventure,55.0,96%,The French Connection (1971),85
Action & Adventure,56.0,94%,Iron Man (2008),281
Action & Adventure,57.0,100%,The Terminator (1984),65
Action & Adventure,58.0,97%,Hunt for the Wilderpeople (2016),206
Action & Adventure,59.0,89%,Doctor Strange (2016),385
Action & Adventure,60.0,94%,Raya and the Last Dragon (2021),283
Action & Adventure,61.0,98%,The Princess Bride (1987),80
Action & Adventure,62.0,100%,The Taking of Pelham One Two Three (1974),43
Action & Adventure,63.0,89%,John Wick: Chapter 3 - Parabellum (2019),353
Action & Adventure,64.0,95%,The Peanut Butter Falcon (2019),220
Action & Adventure,65.0,97%,Aliens (1986),78
Action & Adventure,66.0,94%,Star Wars: Episode V - The Empire Strikes Back (1980),105
Action & Adventure,67.0,90%,X-Men: Days of Future Past (2014),331
Action & Adventure,68.0,95%,True Grit (2010),275
Action & Adventure,69.0,90%,The Suicide Squad (2021),361
Action & Adventure,70.0,94%,All Is Lost (2013),240
Action & Adventure,71.0,93%,Looper (2012),270
Action & Adventure,72.0,94%,Casino Royale (2006),264
Action & Adventure,73.0,90%,The Lego Batman Movie (2017),313
Action & Adventure,74.0,85%,Guardians of the Galaxy Vol. 2 (2017),423
Action & Adventure,75.0,97%,Badlands (1974),59
Action & Adventure,76.0,97%,Chicken Run (2000),173
Action & Adventure,77.0,100%,Stalker (1979),41
Action & Adventure,78.0,93%,No Country for Old Men (2007),288
Action & Adventure,79.0,90%,Dawn Of The Planet Of The Apes (2014),315
Action & Adventure,80.0,79%,Captain Marvel (2019),543
Action & Adventure,81.0,92%,Sicario (2015),280
Action & Adventure,82.0,88%,Onward (2020),337
Action & Adventure,83.0,96%,The African Queen (1951),46
Action & Adventure,84.0,97%,From Russia With Love (1964),61
Action & Adventure,85.0,96%,Ran (1985),89
Action & Adventure,86.0,92%,Jurassic Park (1993),130
Action & Adventure,87.0,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51
Action & Adventure,88.0,100%,Henry V (1989),40
Action & Adventure,89.0,90%,Captain America: The Winter Soldier (2014),308
Action & Adventure,90.0,95%,The Lord of the Rings: The Two Towers (2002),255
Action & Adventure,91.0,97%,Ghostbusters (1984 Original) (1984),73
Action & Adventure,92.0,98%,Rio Bravo (1959),43
Action & Adventure,93.0,94%,The Seventh Seal (Det Sjunde inseglet) (1957),63
Action & Adventure,94.0,93%,The Lion King (1994),136
Action & Adventure,95.0,84%,Deadpool 2 (2018),420
Action & Adventure,96.0,96%,Back to the Future (1985),83
Action & Adventure,97.0,96%,The Fugitive (1993),80
Action & Adventure,98.0,97%,"Crouching Tiger, Hidden Dragon (2001)",159
Action & Adventure,99.0,96%,The Searchers (1956),50
Action & Adventure,100.0,98%,Bullitt (1968),43
Animation,1.0,97%,Toy Story 4 (2019),453
Animation,2.0,97%,Spider-Man: Into the Spider-Verse (2018),393
Animation,3.0,98%,Inside Out (2015),379
Animation,4.0,97%,Coco (2017),354
Animation,5.0,98%,Snow White and the Seven Dwarfs (1937),54
Animation,6.0,95%,Soul (2020),344
Animation,7.0,93%,Incredibles 2 (2018),387
Animation,8.0,98%,Zootopia (2016),298
Animation,9.0,99%,Paddington 2 (2018),247
Animation,10.0,98%,Up (2009),298
Animation,11.0,98%,Toy Story 3 (2010),309
Animation,12.0,100%,Toy Story 2 (1999),170
Animation,13.0,94%,Finding Dory (2016),338
Animation,14.0,99%,Finding Nemo (2003),269
Animation,15.0,100%,Pinocchio (1940),56
Animation,16.0,96%,The LEGO Movie (2014),253
Animation,17.0,95%,Moana (2016),283
Animation,18.0,100%,Toy Story (1995),92
Animation,19.0,90%,Isle of Dogs (2018),367
Animation,20.0,97%,Kubo and the Two Strings (2016),226
Animation,21.0,99%,Wolfwalkers (2020),162
Animation,22.0,99%,How to Train Your Dragon (2010),212
Animation,23.0,99%,Shaun the Sheep Movie (2015),170
Animation,24.0,95%,WALL-E (2008),260
Animation,25.0,96%,Ratatouille (2007),251
Animation,26.0,98%,Dumbo (1941),43
Animation,27.0,94%,Raya and the Last Dragon (2021),283
Animation,28.0,97%,The Incredibles (2004),249
Animation,29.0,99%,My Life as a Zucchini (Ma vie de courgette) (2017),137
Animation,30.0,100%,Only Yesterday (1991),58
Animation,31.0,90%,The Lego Batman Movie (2017),313
Animation,32.0,97%,Chicken Run (2000),173
Animation,33.0,98%,101 Dalmatians (1961),52
Animation,34.0,94%,Beauty and the Beast (1991),118
Animation,35.0,95%,The Nightmare Before Christmas (1993),100
Animation,36.0,88%,Onward (2020),337
Animation,37.0,96%,"Monsters, Inc. (2001)",199
Animation,38.0,92%,Anomalisa (2015),277
Animation,39.0,97%,Spirited Away (2002),195
Animation,40.0,100%,Grave of the Fireflies (Hotaru no haka) (1988),40
Animation,41.0,93%,The Lion King (1994),136
Animation,42.0,99%,Song Of The Sea (2014),97
Animation,43.0,98%,Your Name. (Kimi No Na Wa.) (2017),116
Animation,44.0,96%,The Iron Giant (1999),142
Animation,45.0,99%,Tower (2016),100
Animation,46.0,95%,Fantasia (1940),56
Animation,47.0,97%,Who Framed Roger Rabbit (1988),67
Animation,48.0,96%,Waltz with Bashir (2008),153
Animation,49.0,90%,How to Train Your Dragon: The Hidden World (2019),272
