"Adjusted Grade","New?","Other Location Code in LCGMS","School Name","SED Code","Location Code","District","Latitude","Longitude","Address (Full)","City","Zip","Grades","Grade Low","Grade High","Community School?","Economic Need Index","School Income Estimate","Percent ELL","Percent Asian","Percent Black","Percent Hispanic","Percent Black / Hispanic","Percent White","Student Attendance Rate","Percent of Students Chronically Absent","Rigorous Instruction %","Rigorous Instruction Rating","Collaborative Teachers %","Collaborative Teachers Rating","Supportive Environment %","Supportive Environment Rating","Effective School Leadership %","Effective School Leadership Rating","Strong Family-Community Ties %","Strong Family-Community Ties Rating","Trust %","Trust Rating","Student Achievement Rating","Average ELA Proficiency","Average Math Proficiency","Grade 3 ELA - All Students Tested","Grade 3 ELA 4s - All Students","Grade 3 ELA 4s - American Indian or Alaska Native","Grade 3 ELA 4s - Black or African American","Grade 3 ELA 4s - Hispanic or Latino","Grade 3 ELA 4s - Asian or Pacific Islander","Grade 3 ELA 4s - White","Grade 3 ELA 4s - Multiracial","Grade 3 ELA 4s - Limited English Proficient","Grade 3 ELA 4s - Economically Disadvantaged","Grade 3 Math - All Students tested","Grade 3 Math 4s - All Students","Grade 3 Math 4s - American Indian or Alaska Native","Grade 3 Math 4s - Black or African American","Grade 3 Math 4s - Hispanic or Latino","Grade 3 Math 4s - Asian or Pacific Islander","Grade 3 Math 4s - White","Grade 3 Math 4s - Multiracial","Grade 3 Math 4s - Limited English Proficient","Grade 3 Math 4s - Economically Disadvantaged","Grade 4 ELA - All Students Tested","Grade 4 ELA 4s - All Students","Grade 4 ELA 4s - American Indian or Alaska Native","Grade 4 ELA 4s - Black or African American","Grade 4 ELA 4s - Hispanic or Latino","Grade 4 ELA 4s - Asian or Pacific Islander","Grade 4 ELA 4s - White","Grade 4 ELA 4s - Multiracial","Grade 4 ELA 4s - Limited English Proficient","Grade 4 ELA 4s - Economically Disadvantaged","Grade 4 Math - All Students Tested","Grade 4 Math 4s - All Students","Grade 4 Math 4s - American Indian or Alaska Native","Grade 4 Math 4s - Black or African American","Grade 4 Math 4s - Hispanic or Latino","Grade 4 Math 4s - Asian or Pacific Islander","Grade 4 Math 4s - White","Grade 4 Math 4s - Multiracial","Grade 4 Math 4s - Limited English Proficient","Grade 4 Math 4s - Economically Disadvantaged","Grade 5 ELA - All Students Tested","Grade 5 ELA 4s - All Students","Grade 5 ELA 4s - American Indian or Alaska Native","Grade 5 ELA 4s - Black or African American","Grade 5 ELA 4s - Hispanic or Latino","Grade 5 ELA 4s - Asian or Pacific Islander","Grade 5 ELA 4s - White","Grade 5 ELA 4s - Multiracial","Grade 5 ELA 4s - Limited English Proficient","Grade 5 ELA 4s - Economically Disadvantaged","Grade 5 Math - All Students Tested","Grade 5 Math 4s - All Students","Grade 5 Math 4s - American Indian or Alaska Native","Grade 5 Math 4s - Black or African American","Grade 5 Math 4s - Hispanic or Latino","Grade 5 Math 4s - Asian or Pacific Islander","Grade 5 Math 4s - White","Grade 5 Math 4s - Multiracial","Grade 5 Math 4s - Limited English Proficient","Grade 5 Math 4s - Economically Disadvantaged","Grade 6 ELA - All Students Tested","Grade 6 ELA 4s - All Students","Grade 6 ELA 4s - American Indian or Alaska Native","Grade 6 ELA 4s - Black or African American","Grade 6 ELA 4s - Hispanic or Latino","Grade 6 ELA 4s - Asian or Pacific Islander","Grade 6 ELA 4s - White","Grade 6 ELA 4s - Multiracial","Grade 6 ELA 4s - Limited English Proficient","Grade 6 ELA 4s - Economically Disadvantaged","Grade 6 Math - All Students Tested","Grade 6 Math 4s - All Students","Grade 6 Math 4s - American Indian or Alaska Native","Grade 6 Math 4s - Black or African American","Grade 6 Math 4s - Hispanic or Latino","Grade 6 Math 4s - Asian or Pacific Islander","Grade 6 Math 4s - White","Grade 6 Math 4s - Multiracial","Grade 6 Math 4s - Limited English Proficient","Grade 6 Math 4s - Economically Disadvantaged","Grade 7 ELA - All Students Tested","Grade 7 ELA 4s - All Students","Grade 7 ELA 4s - American Indian or Alaska Native","Grade 7 ELA 4s - Black or African American","Grade 7 ELA 4s - Hispanic or Latino","Grade 7 ELA 4s - Asian or Pacific Islander","Grade 7 ELA 4s - White","Grade 7 ELA 4s - Multiracial","Grade 7 ELA 4s - Limited English Proficient","Grade 7 ELA 4s - Economically Disadvantaged","Grade 7 Math - All Students Tested","Grade 7 Math 4s - All Students","Grade 7 Math 4s - American Indian or Alaska Native","Grade 7 Math 4s - Black or African American","Grade 7 Math 4s - Hispanic or Latino","Grade 7 Math 4s - Asian or Pacific Islander","Grade 7 Math 4s - White","Grade 7 Math 4s - Multiracial","Grade 7 Math 4s - Limited English Proficient","Grade 7 Math 4s - Economically Disadvantaged","Grade 8 ELA - All Students Tested","Grade 8 ELA 4s - All Students","Grade 8 ELA 4s - American Indian or Alaska Native","Grade 8 ELA 4s - Black or African American","Grade 8 ELA 4s - Hispanic or Latino","Grade 8 ELA 4s - Asian or Pacific Islander","Grade 8 ELA 4s - White","Grade 8 ELA 4s - Multiracial","Grade 8 ELA 4s - Limited English Proficient","Grade 8 ELA 4s - Economically Disadvantaged","Grade 8 Math - All Students Tested","Grade 8 Math 4s - All Students","Grade 8 Math 4s - American Indian or Alaska Native","Grade 8 Math 4s - Black or African American","Grade 8 Math 4s - Hispanic or Latino","Grade 8 Math 4s - Asian or Pacific Islander","Grade 8 Math 4s - White","Grade 8 Math 4s - Multiracial","Grade 8 Math 4s - Limited English Proficient","Grade 8 Math 4s - Economically Disadvantaged"
,,,"M.S. 319 - MARIA TERESA","310600010319","06M319",6,40.839408,-73.935772,"21 JUMEL PL NEW YORK, NY 10032","NEW YORK","10032","06,07,08","06","08","No",0.838,"N/A",31%,0%,5%,93%,98%,1%,94%,18%,94%,"Exceeding Target",92%,"Exceeding Target",92%,"Exceeding Target",88%,"Meeting Target",88%,"Exceeding Target",93%,"Meeting Target","Meeting Target",2.22,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,4,0,0,4,0,0,0,0,4,124,6,0,0,6,0,0,0,0,6,165,7,0,0,7,0,0,0,0,5,165,2,0,0,2,0,0,0,0,1,138,15,0,0,14,0,0,0,0,13,143,2,0,0,2,0,0,0,0,2
,,,"MIDDLE SCHOOL 322","310600010322","06M322",6,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040","NEW YORK","10040","06,07,08,SE","06","08","No",0.861,"N/A",51%,0%,3%,95%,98%,1%,93%,23%,80%,"Meeting Target",83%,"Meeting Target",86%,"Meeting Target",73%,"Approaching Target",90%,"Exceeding Target",89%,"Meeting Target","Meeting Target",2.13,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7,0,0,6,0,0,0,1,7,95,9,0,0,9,0,0,0,1,8,90,2,0,0,0,0,0,0,0,2,96,2,0,0,0,0,0,0,0,2,93,0,0,0,0,0,0,0,0,0,107,5,0,0,0,0,0,0,1,5
,,,"M.S. 324 - PATRIA MIRABAL","310600010324","06M324",6,40.839408,-73.935772,"21 JUMEL PL NEW YORK, NY 10032","NEW YORK","10032","06,07,08","06","08","No",0.779,"N/A",27%,2%,11%,85%,95%,3%,95%,15%,93%,"Exceeding Target",95%,"Exceeding Target",91%,"Exceeding Target",92%,"Exceeding Target",85%,"Meeting Target",94%,"Exceeding Target","Exceeding Target",2.33,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2,0,0,1,0,0,0,0,1,127,14,0,0,12,0,0,0,0,11,136,2,0,1,1,0,0,0,0,2,141,6,0,1,4,0,0,0,0,6,139,9,0,0,7,0,0,0,0,6,108,3,0,0,3,0,0,0,1,3
,,,"P.S. 325","310600010325","06M325",6,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031","NEW YORK","10031","0K,01,02,03,04,05","0K","05","No",0.864,"$40,828.12 ",32%,0%,5%,91%,96%,4%,93%,27%,88%,"Approaching Target",88%,"Meeting Target",93%,"Meeting Target",78%,"Meeting Target",83%,"Approaching Target",91%,"Meeting Target","Approaching Target",2.14,2.19,34,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY","310600010328","06M328",6,40.836912,-73.937412,"401 W 164TH ST NEW YORK, NY 10032","NEW YORK","10032","06,07,08","06","08","No",0.834,"N/A",36%,1%,12%,85%,97%,1%,87%,43%,91%,"Meeting Target",87%,"Meeting Target",88%,"Approaching Target",86%,"Meeting Target",84%,"Meeting Target",90%,"Meeting Target","Approaching Target",1.98,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
,,,"COMMUNITY HEALTH ACADEMY OF THE HEIGHTS","310600011346","06M346",6,40.833487,-73.942446,"504 W 158TH ST NEW YORK, NY 10033","NEW YORK","10033","06,07,08,09,10,11,12","06","12","No",0.85,"N/A",19%,1%,7%,91%,98%,1%,93%,20%,87%,"Meeting Target",95%,"Exceeding Target",89%,"Meeting Target",91%,"Exceeding Target",80%,"Meeting Target",95%,"Exceeding Target","Meeting Target",2.31,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,8,0,0,7,0,0,0,0,0,87,9,0,0,8,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,82,1,0,0,1,0,0,0,0,0,89,4,0,0,3,0,0,0,0,4,90,1,0,0,1,0,0,0,0,1
,,,"WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL","310600011348","06M348",6,40.849099,-73.931106,"511 W 182ND ST NEW YORK, NY 10033","NEW YORK","10033","PK,0K,01,02,03,04,05,06,07,08,09,10,11,12","PK","12","No",0.84,"N/A",17%,1%,3%,94%,97%,2%,94%,18%,83%,"Meeting Target",87%,"Exceeding Target",89%,"Meeting Target",76%,"Approaching Target",79%,"Approaching Target",92%,"Meeting Target","Meeting Target",2.48,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,0,0,0,0,0,0,1,78,0,0,0,0,0,0,0,0,0,78,4,0,0,0,0,0,0,0,3,78,9,0,0,0,0,0,0,0,7,85,1,0,0,0,0,0,0,0,1,85,2,0,0,0,0,0,0,0,2
,,,"HARBOR HEIGHTS","310600010349","06M349",6,40.84562,-73.939738,"306 FORT WASHINGTON AVE-RM  414 NEW YORK, NY 10033","NEW YORK","10033","06,07,08","06","08","No",0.878,"N/A",91%,0%,0%,100%,100%,0%,97%,3%,85%,"Meeting Target",93%,"Meeting Target",89%,"Exceeding Target",88%,"Meeting Target",85%,"Meeting Target",94%,"Meeting Target","Approaching Target",1.81,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
,,,"WASHINGTON HEIGHTS ACADEMY","310600010366","06M366",6,40.865573,-73.921602,"202 SHERMAN AVE NEW YORK, NY 10034","NEW YORK","10034","0K,01,02,03,04,05,06,07,08","0K","08","No",0.777,"$36,559.91 ",17%,2%,1%,94%,95%,2%,94%,13%,95%,"Meeting Target",89%,"Exceeding Target",92%,"Meeting Target",84%,"Meeting Target",88%,"Meeting Target",92%,"Meeting Target","Meeting Target",2.57,2.72,52,7,0,0,7,0,0,0,0,5,53,6,0,0,0,0,0,0,1,5,57,7,0,0,6,0,0,0,0,0,56,7,0,0,6,0,0,0,0,0,43,2,0,0,0,0,0,0,0,0,43,6,0,0,0,0,0,0,0,0,61,8,0,0,0,0,0,0,0,7,61,15,0,0,0,0,0,0,1,14,48,5,0,0,4,0,0,0,0,4,48,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"HAMILTON HEIGHTS SCHOOL","310600010368","06M368",6,40.826477,-73.947458,"1750 AMSTERDAM AVE NEW YORK, NY 10031","NEW YORK","10031","0K,01,02,03,04,05","0K","05","No",0.756,"$38,325.28 ",16%,5%,19%,58%,77%,15%,92%,27%,95%,"Approaching Target",93%,"Meeting Target",85%,"Approaching Target",88%,"Meeting Target",93%,"Exceeding Target",92%,"Meeting Target","Approaching Target",2.22,2.38,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15,2,0,0,2,0,0,0,0,0,26,2,0,0,1,0,0,0,0,2,24,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"x",,"CASTLE BRIDGE SCHOOL","310600010513","06M513",6,40.841047,-73.938751,"560 W 169TH ST NEW YORK, NY 10032","NEW YORK","10032","0K,01,02,03,04,05","0K","05","No",0.615,"$44,717.99 ",16%,2%,11%,64%,75%,21%,95%,10%,95%,"N/A",99%,"N/A",96%,"N/A",97%,"N/A",94%,"N/A",97%,"N/A","N/A","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"I.S. 528 BEA FULLER RODGERS SCHOOL","310600010528","06M528",6,40.850676,-73.934697,"180 WADSWORTH AVE NEW YORK, NY 10033","NEW YORK","10033","06,07,08","06","08","Yes",0.867,"N/A",19%,1%,2%,97%,99%,0%,95%,14%,82%,"Approaching Target",82%,"Approaching Target",91%,"Meeting Target",78%,"Approaching Target",85%,"Meeting Target",91%,"Meeting Target","Meeting Target",2.24,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,57,2,0,0,0,0,0,0,0,0
,,,"P.S. 001 COURTLANDT SCHOOL","320700010001","07X001",7,40.819101,-73.91941,"335 E 152ND ST BRONX, NY 10451","BRONX","10451","PK,0K,01,02,03,04,05","PK","05","No",0.915,"$23,144.32 ",25%,0%,23%,74%,97%,2%,92%,33%,90%,"Meeting Target",89%,"Meeting Target",90%,"Meeting Target",78%,"Approaching Target",83%,"Meeting Target",91%,"Meeting Target","Approaching Target",2.19,2.23,97,0,0,0,0,0,0,0,0,0,97,2,0,0,1,0,0,0,1,2,96,3,0,1,2,0,0,0,0,3,99,2,0,1,1,0,0,0,0,2,108,0,0,0,0,0,0,0,0,0,111,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 5 PORT MORRIS","320700010005","07X005",7,40.813613,-73.908429,"564 JACKSON AVE BRONX, NY 10455","BRONX","10455","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.905,"$22,754.70 ",24%,0%,27%,71%,98%,1%,91%,36%,90%,"Meeting Target",87%,"Meeting Target",81%,"Approaching Target",79%,"Meeting Target",82%,"Approaching Target",85%,"Approaching Target","Approaching Target",2.15,2.11,73,1,0,0,1,0,0,0,1,0,75,5,0,0,4,0,0,0,1,0,73,3,0,0,1,0,0,0,0,0,75,4,0,0,3,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,84,2,0,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,83,2,0,0,1,0,0,0,0,0,87,3,0,0,3,0,0,0,0,0,80,2,0,0,2,0,0,0,0,2,84,0,0,0,0,0,0,0,0,0
,,,"P.S. 018 JOHN PETER ZENGER","320700010018","07X018",7,40.816249,-73.922585,"502 MORRIS AVE BRONX, NY 10451","BRONX","10451","PK,0K,01,02,03,04,05","PK","05","No",0.914,"$22,635.63 ",26%,2%,29%,64%,94%,3%,92%,29%,88%,"Meeting Target",90%,"Meeting Target",90%,"Meeting Target",82%,"Meeting Target",83%,"Meeting Target",93%,"Meeting Target","Meeting Target",2.17,2.39,87,2,0,0,0,0,0,0,0,2,90,10,0,0,5,0,0,0,0,9,84,3,0,0,3,0,0,0,0,0,87,6,0,0,4,0,0,0,0,0,101,5,0,0,2,0,0,0,0,5,104,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 025 BILINGUAL SCHOOL","320700010025","07X025",7,40.812854,-73.905725,"811 E 149TH ST BRONX, NY 10455","BRONX","10455","PK,0K,01,02,03,04,05,SE","PK","05","No",0.863,"$26,194.38 ",14%,1%,11%,87%,97%,1%,93%,23%,93%,"Meeting Target",89%,"Meeting Target",91%,"Meeting Target",80%,"Meeting Target",82%,"Approaching Target",90%,"Meeting Target","Meeting Target",2.37,2.42,54,0,0,0,0,0,0,0,0,0,62,7,0,0,5,0,0,0,0,0,58,9,0,0,9,0,0,0,0,9,58,10,0,0,10,0,0,0,1,10,69,2,0,0,0,0,0,0,0,0,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S./M.S. 029 MELROSE SCHOOL","320700010029","07X029",7,40.821611,-73.916768,"758 COURTLANDT AVE BRONX, NY 10451","BRONX","10451","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.891,"$23,911.23 ",13%,3%,28%,67%,96%,1%,91%,35%,90%,"Exceeding Target",91%,"Exceeding Target",92%,"Meeting Target",81%,"Meeting Target",84%,"Meeting Target",93%,"Meeting Target","Approaching Target",2.12,2.12,74,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,83,2,0,0,1,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,75,1,0,1,0,0,0,0,0,0,74,2,0,0,2,0,0,0,0,0,75,3,0,0,1,0,0,0,0,0,87,1,0,0,1,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,93,2,0,0,2,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
,,,"P.S. 030 WILTON","320700010030","07X030",7,40.809065,-73.91752,"510 E 141ST ST BRONX, NY 10454","BRONX","10454","PK,0K,01,02,03,04,05","PK","05","No",0.923,"$22,281.39 ",17%,2%,21%,75%,96%,2%,90%,40%,87%,"Approaching Target",90%,"Meeting Target",91%,"Meeting Target",84%,"Meeting Target",90%,"Exceeding Target",91%,"Meeting Target","Approaching Target",2.09,2.15,94,0,0,0,0,0,0,0,0,0,96,3,0,0,0,0,0,0,0,3,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,90,1,0,0,1,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S./M.S. 031 THE WILLIAM LLOYD GARRISON","320700010031","07X031",7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451","BRONX","10451","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.878,"$28,918.55 ",13%,2%,27%,69%,96%,1%,90%,39%,86%,"Approaching Target",86%,"Meeting Target",85%,"Approaching Target",79%,"Meeting Target",81%,"Approaching Target",89%,"Meeting Target","Approaching Target",2.09,2.04,55,1,0,0,1,0,0,0,0,0,57,2,0,0,1,0,0,0,0,0,61,2,0,1,1,0,0,0,0,0,60,6,0,0,6,0,0,0,0,0,54,2,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,70,2,0,0,2,0,0,0,0,2,72,0,0,0,0,0,0,0,0,0,79,2,0,0,1,0,0,0,0,1,78,1,0,0,0,0,0,0,0,1,85,2,0,0,1,0,0,0,0,2,70,0,0,0,0,0,0,0,0,0
,,,"P.S. 043 JONAS BRONCK","320700010043","07X043",7,40.806419,-73.921424,"165 BROWN PL BRONX, NY 10454","BRONX","10454","PK,0K,01,02,03,04,05","PK","05","No",0.91,"$20,902.40 ",9%,0%,27%,71%,98%,1%,91%,33%,89%,"Approaching Target",95%,"Meeting Target",90%,"Meeting Target",84%,"Meeting Target",86%,"Meeting Target",96%,"Exceeding Target","Exceeding Target",2.29,2.46,73,3,0,0,2,0,0,0,0,0,75,6,0,0,5,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,71,3,0,0,1,0,0,0,1,0,58,1,0,0,0,0,0,0,0,0,60,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 049 WILLIS AVENUE","320700010049","07X049",7,40.810342,-73.922626,"383 E 139TH ST BRONX, NY 10454","BRONX","10454","PK,0K,01,02,03,04,05","PK","05","No",0.924,"$22,392.38 ",16%,0%,29%,68%,98%,1%,92%,30%,87%,"Approaching Target",83%,"Meeting Target",81%,"Approaching Target",74%,"Approaching Target",83%,"Approaching Target",85%,"Meeting Target","Meeting Target",2.19,2.45,83,1,0,0,0,0,0,0,0,0,84,9,0,0,6,0,0,0,3,0,99,8,0,0,2,0,0,0,0,0,98,13,0,0,9,0,0,0,2,0,105,5,0,0,3,0,0,0,0,0,105,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 065 MOTHER HALE ACADEMY","320700010065","07X065",7,40.807731,-73.912768,"677 E 141ST ST BRONX, NY 10454","BRONX","10454","PK,0K,01,02,03,04,05","PK","05","No",0.957,"$22,507.91 ",12%,3%,32%,64%,96%,1%,89%,48%,92%,"Meeting Target",88%,"Meeting Target",88%,"Approaching Target",82%,"Meeting Target",84%,"Approaching Target",91%,"Meeting Target","Approaching Target",2.06,2.12,60,1,0,0,1,0,0,0,0,0,61,3,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,60,2,0,0,0,0,0,0,0,2,45,2,0,0,2,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"J.H.S. 151 LOU GEHRIG","320700010151","07X151",7,40.822539,-73.921487,"250 E 156TH ST BRONX, NY 10451","BRONX","10451","06,07,08","06","08","No",0.89,"N/A",34%,1%,28%,69%,98%,1%,92%,29%,88%,"Meeting Target",90%,"Meeting Target",85%,"Meeting Target",78%,"Approaching Target",80%,"Meeting Target",90%,"Meeting Target","Meeting Target",2.1,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,72,1,0,0,1,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,89,3,0,0,2,0,0,0,0,0,98,2,0,0,2,0,0,0,0,0
,,,"P.S. 154 JONATHAN D. HYATT","320700010154","07X154",7,40.808255,-73.925748,"333 E 135TH ST BRONX, NY 10454","BRONX","10454","PK,0K,01,02,03,04,05","PK","05","Yes",0.912,"$18,984.33 ",10%,0%,40%,57%,97%,1%,93%,25%,93%,"Meeting Target",95%,"Meeting Target",92%,"Exceeding Target",91%,"Exceeding Target",84%,"Meeting Target",96%,"Exceeding Target","Meeting Target",2.29,2.33,62,2,0,0,1,0,0,0,0,0,62,7,0,0,4,0,0,0,0,0,60,1,0,0,1,0,0,0,0,0,60,4,0,0,1,0,0,0,0,0,55,1,0,0,1,0,0,0,0,0,55,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
