location;indicator;subject;measure;frequency;time;value
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2014;18.838.945.389
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2015;18.904.661.179
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2016;11.194.040.298
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2017;96.026.563.644
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2018;10.709.539.413
HUN;WAGEGAP;SELFEMPLOYED;PC;A;2019;16.168.548.584
HUN;WAGEGAP;EMPLOYEE;PC;A;1989;25.979.979.418
HUN;WAGEGAP;EMPLOYEE;PC;A;1992;17.391.092.723
HUN;WAGEGAP;EMPLOYEE;PC;A;1993;79.486.289.483
HUN;WAGEGAP;EMPLOYEE;PC;A;1994;15.181.054.045
HUN;WAGEGAP;EMPLOYEE;PC;A;1995;15.754.001.685
HUN;WAGEGAP;EMPLOYEE;PC;A;1996;17.775.349.235
HUN;WAGEGAP;EMPLOYEE;PC;A;1998;15.671.892.874
HUN;WAGEGAP;EMPLOYEE;PC;A;1999;1.530.123.115
HUN;WAGEGAP;EMPLOYEE;PC;A;2000;14.098.768.043
HUN;WAGEGAP;EMPLOYEE;PC;A;2001;13.689.781.486
HUN;WAGEGAP;EMPLOYEE;PC;A;2002;91.297.122.935
HUN;WAGEGAP;EMPLOYEE;PC;A;2003;14.760.044.902
HUN;WAGEGAP;EMPLOYEE;PC;A;2004;30.343.737.653
HUN;WAGEGAP;EMPLOYEE;PC;A;2005;40.215.265.743
HUN;WAGEGAP;EMPLOYEE;PC;A;2006;0.3843870359
HUN;WAGEGAP;EMPLOYEE;PC;A;2007;36.481.061.267
HUN;WAGEGAP;EMPLOYEE;PC;A;2008;22.206.544.601
HUN;WAGEGAP;EMPLOYEE;PC;A;2009;38.760.880.696
HUN;WAGEGAP;EMPLOYEE;PC;A;2010;63.817.122.518
HUN;WAGEGAP;EMPLOYEE;PC;A;2011;68.639.053.254
HUN;WAGEGAP;EMPLOYEE;PC;A;2012;11.332.462.443
HUN;WAGEGAP;EMPLOYEE;PC;A;2013;87.236.506.348
HUN;WAGEGAP;EMPLOYEE;PC;A;2014;37.726.055.271
HUN;WAGEGAP;EMPLOYEE;PC;A;2015;95.238.095.238
HUN;WAGEGAP;EMPLOYEE;PC;A;2016;93.643.171.806
HUN;WAGEGAP;EMPLOYEE;PC;A;2017;53.202.686.547
HUN;WAGEGAP;EMPLOYEE;PC;A;2018;50.632.142.857
HUN;WAGEGAP;EMPLOYEE;PC;A;2019;12.753.673.197
HUN;WAGEGAP;EMPLOYEE;PC;A;2020;99.269.913.488
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2003;44.341.545.105
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2004;40.796.829.224
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2005;34.343.261.719
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2006;28.281.749.725
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2007;2.490.111.351
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2008;20.500.671.387
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2009;15.902.356.148
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2010;11.351.818.085
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2011;17.470.737.457
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2012;2.454.683.876
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2013;25.993.291.855
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2014;16.889.810.562
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2015;11.491.612.434
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2016;15.071.327.209
ISL;WAGEGAP;SELFEMPLOYED;PC;A;2017;21.649.953.842
ISL;WAGEGAP;EMPLOYEE;PC;A;2002;28.722.134.916
ISL;WAGEGAP;EMPLOYEE;PC;A;2006;23.269.628.099
ISL;WAGEGAP;EMPLOYEE;PC;A;2010;1.646.039.604
ISL;WAGEGAP;EMPLOYEE;PC;A;2014;1.384.083.045
ISL;WAGEGAP;EMPLOYEE;PC;A;2018;12.901.247.189
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2003;25.482.103.348
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2004;28.411.808.014
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2005;28.568.733.215
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2006;33.646.671.295
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2007;29.999.492.645
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2008;26.541.099.548
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2009;19.366.401.672
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2010;21.431.070.328
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2011;2.374.650.383
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2012;29.433.429.718
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2013;33.007.911.682
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2014;36.741.920.471
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2015;38.541.481.018
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2016;35.535.198.212
IRL;WAGEGAP;SELFEMPLOYED;PC;A;2017;35.407.264.709
IRL;WAGEGAP;EMPLOYEE;PC;A;2002;17.769.038.255
IRL;WAGEGAP;EMPLOYEE;PC;A;2006;19.602.019.602
IRL;WAGEGAP;EMPLOYEE;PC;A;2010;14.345.864.662
IRL;WAGEGAP;EMPLOYEE;PC;A;2014;10.606.060.606
IRL;WAGEGAP;EMPLOYEE;PC;A;2018;82.840.236.686
IRL;WAGEGAP;EMPLOYEE;PC;A;2019;51.720.074.558
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2006;48.015.357.971
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2007;48.111.118.317
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2008;46.708.091.736
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2009;4.946.836.853
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2010;52.619.636.536
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2011;55.426.116.943
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2012;55.890.869.141
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2013;53.432.155.609
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2014;52.685.317.993
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2015;4.854.083.252
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2016;46.399.925.232
ITA;WAGEGAP;SELFEMPLOYED;PC;A;2017;4.492.647.934
ITA;WAGEGAP;EMPLOYEE;PC;A;2002;15.725.101.922
ITA;WAGEGAP;EMPLOYEE;PC;A;2006;10.512.820.513
ITA;WAGEGAP;EMPLOYEE;PC;A;2010;56.405.353.728
ITA;WAGEGAP;EMPLOYEE;PC;A;2014;65.847.234.416
ITA;WAGEGAP;EMPLOYEE;PC;A;2018;57.080.610.022
ITA;WAGEGAP;EMPLOYEE;PC;A;2019;76.401.524.596
JPN;WAGEGAP;EMPLOYEE;PC;A;1975;42.389.758.179
JPN;WAGEGAP;EMPLOYEE;PC;A;1976;39.741.750.359
JPN;WAGEGAP;EMPLOYEE;PC;A;1977;40.326.797.386
JPN;WAGEGAP;EMPLOYEE;PC;A;1978;40.565.457.898
JPN;WAGEGAP;EMPLOYEE;PC;A;1979;41.313.190.006
JPN;WAGEGAP;EMPLOYEE;PC;A;1980;4.168.030.551
JPN;WAGEGAP;EMPLOYEE;PC;A;1981;41.956.967.213
JPN;WAGEGAP;EMPLOYEE;PC;A;1982;4.215.925.745
JPN;WAGEGAP;EMPLOYEE;PC;A;1983;41.903.409.091
JPN;WAGEGAP;EMPLOYEE;PC;A;1984;419.340.055
JPN;WAGEGAP;EMPLOYEE;PC;A;1985;41.659.272.405
JPN;WAGEGAP;EMPLOYEE;PC;A;1986;41.605.524.385
JPN;WAGEGAP;EMPLOYEE;PC;A;1987;41.226.215.645
JPN;WAGEGAP;EMPLOYEE;PC;A;1988;41.018.211.921
JPN;WAGEGAP;EMPLOYEE;PC;A;1989;40.963.375.796
JPN;WAGEGAP;EMPLOYEE;PC;A;1990;4.059.893.859
JPN;WAGEGAP;EMPLOYEE;PC;A;1991;39.898.989.899
JPN;WAGEGAP;EMPLOYEE;PC;A;1992;38.884.992.987
JPN;WAGEGAP;EMPLOYEE;PC;A;1993;38.450.946.644
JPN;WAGEGAP;EMPLOYEE;PC;A;1994;37.815.975.733
JPN;WAGEGAP;EMPLOYEE;PC;A;1995;37.090.301.003
JPN;WAGEGAP;EMPLOYEE;PC;A;1996;36.847.323.199
JPN;WAGEGAP;EMPLOYEE;PC;A;1997;36.521.454.307
JPN;WAGEGAP;EMPLOYEE;PC;A;1998;35.307.666.996
JPN;WAGEGAP;EMPLOYEE;PC;A;1999;34.550.839.092
JPN;WAGEGAP;EMPLOYEE;PC;A;2000;3.385.930.309
JPN;WAGEGAP;EMPLOYEE;PC;A;2001;33.864.671.438
JPN;WAGEGAP;EMPLOYEE;PC;A;2002;32.529.722.589
JPN;WAGEGAP;EMPLOYEE;PC;A;2003;31.997.350.116
JPN;WAGEGAP;EMPLOYEE;PC;A;2004;31.087.391.594
JPN;WAGEGAP;EMPLOYEE;PC;A;2005;32.825.438.887
JPN;WAGEGAP;EMPLOYEE;PC;A;2006;32.980.832.783
JPN;WAGEGAP;EMPLOYEE;PC;A;2007;31.742.323.097
JPN;WAGEGAP;EMPLOYEE;PC;A;2008;30.694.397.853
JPN;WAGEGAP;EMPLOYEE;PC;A;2009;28.284.923.928
JPN;WAGEGAP;EMPLOYEE;PC;A;2010;28.684.300.928
JPN;WAGEGAP;EMPLOYEE;PC;A;2011;27.395.364.926
JPN;WAGEGAP;EMPLOYEE;PC;A;2012;26.523.545.706
JPN;WAGEGAP;EMPLOYEE;PC;A;2013;26.587.578.507
JPN;WAGEGAP;EMPLOYEE;PC;A;2014;25.870.989.997
JPN;WAGEGAP;EMPLOYEE;PC;A;2015;25.731.790.334
JPN;WAGEGAP;EMPLOYEE;PC;A;2016;24.601.289.447
JPN;WAGEGAP;EMPLOYEE;PC;A;2017;24.518.092.661
JPN;WAGEGAP;EMPLOYEE;PC;A;2018;23.537.368.955
JPN;WAGEGAP;EMPLOYEE;PC;A;2019;23.480.013.436
JPN;WAGEGAP;EMPLOYEE;PC;A;2020;22.518.568.535
KOR;WAGEGAP;EMPLOYEE;PC;A;1985;52.776.235.511
KOR;WAGEGAP;EMPLOYEE;PC;A;1992;46.965.487.183
KOR;WAGEGAP;EMPLOYEE;PC;A;1993;47.260.317.787
KOR;WAGEGAP;EMPLOYEE;PC;A;1994;45.506.376.315
KOR;WAGEGAP;EMPLOYEE;PC;A;1995;44.182.205.884
KOR;WAGEGAP;EMPLOYEE;PC;A;1996;43.282.779.571
KOR;WAGEGAP;EMPLOYEE;PC;A;1997;42.215.485.792
KOR;WAGEGAP;EMPLOYEE;PC;A;1998;42.021.841.969
KOR;WAGEGAP;EMPLOYEE;PC;A;1999;4.180.339.811
KOR;WAGEGAP;EMPLOYEE;PC;A;2000;41.654.352.443
KOR;WAGEGAP;EMPLOYEE;PC;A;2001;40.416.140.488
KOR;WAGEGAP;EMPLOYEE;PC;A;2002;41.028.512.789
KOR;WAGEGAP;EMPLOYEE;PC;A;2003;40.083.154.629
KOR;WAGEGAP;EMPLOYEE;PC;A;2004;39.623.548.252
KOR;WAGEGAP;EMPLOYEE;PC;A;2005;39.616.632.359
KOR;WAGEGAP;EMPLOYEE;PC;A;2006;39.774.144.311
KOR;WAGEGAP;EMPLOYEE;PC;A;2007;38.162.064.282
KOR;WAGEGAP;EMPLOYEE;PC;A;2008;39.037.441.734
KOR;WAGEGAP;EMPLOYEE;PC;A;2009;38.614.682.704
KOR;WAGEGAP;EMPLOYEE;PC;A;2010;39.605.857.342
KOR;WAGEGAP;EMPLOYEE;PC;A;2011;365.642.295
KOR;WAGEGAP;EMPLOYEE;PC;A;2012;36.298.529.966
KOR;WAGEGAP;EMPLOYEE;PC;A;2013;36.599.634.369
KOR;WAGEGAP;EMPLOYEE;PC;A;2014;36.653.176.139
KOR;WAGEGAP;EMPLOYEE;PC;A;2015;37.176.281.754
KOR;WAGEGAP;EMPLOYEE;PC;A;2016;36.666.666.667
KOR;WAGEGAP;EMPLOYEE;PC;A;2017;34.617.382.557
KOR;WAGEGAP;EMPLOYEE;PC;A;2018;34.107.310.951
KOR;WAGEGAP;EMPLOYEE;PC;A;2019;32.480.444.715
KOR;WAGEGAP;EMPLOYEE;PC;A;2020;3.148.475.223
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2003;46.461.734.772
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2004;45.352.706.909
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2005;37.065.757.751
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2006;42.774.459.839
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2007;4.574.540.329
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2008;44.475.582.123
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2009;36.782.512.665
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2010;25.906.326.294
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2011;22.909.597.397
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2012;16.378.583.908
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2013;11.021.029.472
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2014;4.596.394.062
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2015;79.891.958.237
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2016;11.552.581.787
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2017;15.517.879.486
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2018;19.163.221.359
LUX;WAGEGAP;SELFEMPLOYED;PC;A;2019;20.980.772.018
LUX;WAGEGAP;EMPLOYEE;PC;A;2002;15.088.529.638
LUX;WAGEGAP;EMPLOYEE;PC;A;2006;76.680.672.269
LUX;WAGEGAP;EMPLOYEE;PC;A;2010;45.921.644.188
LUX;WAGEGAP;EMPLOYEE;PC;A;2014;34.029.167.858
MEX;WAGEGAP;EMPLOYEE;PC;A;2005;16.666.666.667
MEX;WAGEGAP;EMPLOYEE;PC;A;2006;18.604.651.163
MEX;WAGEGAP;EMPLOYEE;PC;A;2007;12.5
MEX;WAGEGAP;EMPLOYEE;PC;A;2008;22.222.222.222
MEX;WAGEGAP;EMPLOYEE;PC;A;2009;16.666.666.667
MEX;WAGEGAP;EMPLOYEE;PC;A;2010;11.627.906.977
MEX;WAGEGAP;EMPLOYEE;PC;A;2011;10
MEX;WAGEGAP;EMPLOYEE;PC;A;2012;13.555.555.556
MEX;WAGEGAP;EMPLOYEE;PC;A;2013;15.433.403.805
MEX;WAGEGAP;EMPLOYEE;PC;A;2014;18.3
MEX;WAGEGAP;EMPLOYEE;PC;A;2015;16.666.666.667
MEX;WAGEGAP;EMPLOYEE;PC;A;2016;16.492.248.062
MEX;WAGEGAP;EMPLOYEE;PC;A;2017;11.111.111.111
MEX;WAGEGAP;EMPLOYEE;PC;A;2018;14
MEX;WAGEGAP;EMPLOYEE;PC;A;2019;18.75
MEX;WAGEGAP;EMPLOYEE;PC;A;2020;96.124.031.008
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2004;37.014.419.556
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2005;38.559.661.865
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2006;42.269.676.208
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2007;44.168.682.098
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2008;41.469.894.409
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2009;35.052.986.145
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2010;30.314.096.451
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2011;27.785.741.806
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2012;2.604.763.031
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2013;22.184.499.741
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2014;24.550.510.406
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2015;28.814.785.004
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2016;32.024.646.759
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2017;30.726.119.995
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2018;28.285.686.493
NLD;WAGEGAP;SELFEMPLOYED;PC;A;2019;27.438.344.955
NLD;WAGEGAP;EMPLOYEE;PC;A;2002;15.64
NLD;WAGEGAP;EMPLOYEE;PC;A;2006;15.982.463.133
NLD;WAGEGAP;EMPLOYEE;PC;A;2010;1.788.914.703
NLD;WAGEGAP;EMPLOYEE;PC;A;2014;15.304.839.723
NLD;WAGEGAP;EMPLOYEE;PC;A;2018;12.657.091.562
NZL;WAGEGAP;SELFEMPLOYED;PC;A;1998;41.258.739.471
NZL;WAGEGAP;SELFEMPLOYED;PC;A;1999;39.803.554.535
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2000;35.603.378.296
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2001;30.163.528.442
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2002;27.877.613.068
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2003;29.468.605.042
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2004;33.173.099.518
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2005;35.447.933.197
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2006;33.998.794.556
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2007;36.161.453.247
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2008;34.686.225.891
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2009;35.247.184.753
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2010;34.148.822.784
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2011;31.663.795.471
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2012;32.361.244.202
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2013;32.612.228.394
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2014;36.855.133.057
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2015;3.674.911.499
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2016;36.415.210.724
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2017;35.577.384.949
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2018;33.073.905.945
NZL;WAGEGAP;SELFEMPLOYED;PC;A;2019;30.814.849.854
NZL;WAGEGAP;EMPLOYEE;PC;A;1984;21.474.652.004
NZL;WAGEGAP;EMPLOYEE;PC;A;1986;23.014.998.739
NZL;WAGEGAP;EMPLOYEE;PC;A;1988;20.289.233.742
NZL;WAGEGAP;EMPLOYEE;PC;A;1990;17.111.123.524
NZL;WAGEGAP;EMPLOYEE;PC;A;1992;1.557.156.471
NZL;WAGEGAP;EMPLOYEE;PC;A;1994;13.302.432.435
NZL;WAGEGAP;EMPLOYEE;PC;A;1995;1.368.282.986
NZL;WAGEGAP;EMPLOYEE;PC;A;1996;20.394.885.993
NZL;WAGEGAP;EMPLOYEE;PC;A;1997;12.709.497.164
NZL;WAGEGAP;EMPLOYEE;PC;A;1998;11.4
NZL;WAGEGAP;EMPLOYEE;PC;A;1999;83.333.333.333
NZL;WAGEGAP;EMPLOYEE;PC;A;2000;71.665.560.717
NZL;WAGEGAP;EMPLOYEE;PC;A;2001;80.562.659.847
NZL;WAGEGAP;EMPLOYEE;PC;A;2002;73.125
NZL;WAGEGAP;EMPLOYEE;PC;A;2003;76.923.076.923
NZL;WAGEGAP;EMPLOYEE;PC;A;2004;80.766.995.933
NZL;WAGEGAP;EMPLOYEE;PC;A;2005;96.111.111.111
NZL;WAGEGAP;EMPLOYEE;PC;A;2006;93.333.333.333
NZL;WAGEGAP;EMPLOYEE;PC;A;2007;71.428.571.429
NZL;WAGEGAP;EMPLOYEE;PC;A;2008;80.536.912.752
NZL;WAGEGAP;EMPLOYEE;PC;A;2009;87.591.240.876
NZL;WAGEGAP;EMPLOYEE;PC;A;2010;70.112.359.551
NZL;WAGEGAP;EMPLOYEE;PC;A;2011;45.333.333.333
NZL;WAGEGAP;EMPLOYEE;PC;A;2012;59.079.061.685
NZL;WAGEGAP;EMPLOYEE;PC;A;2013;65.943.238.731
NZL;WAGEGAP;EMPLOYEE;PC;A;2014;60.833.333.333
NZL;WAGEGAP;EMPLOYEE;PC;A;2015;7.92
NZL;WAGEGAP;EMPLOYEE;PC;A;2016;77.692.307.692
NZL;WAGEGAP;EMPLOYEE;PC;A;2017;71.508.379.888
NZL;WAGEGAP;EMPLOYEE;PC;A;2018;78.696.925.329
NZL;WAGEGAP;EMPLOYEE;PC;A;2019;65.084.501.978
NZL;WAGEGAP;EMPLOYEE;PC;A;2020;45.814.674.475
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2003;32.322.593.689
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2004;32.485.565.186
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2005;30.878.515.244
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2006;27.919.670.105
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2007;26.360.080.719
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2008;28.096.136.093
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2009;281.039.505
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2010;26.656.616.211
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2011;25.351.114.273
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2012;18.676.582.336
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2013;18.541.194.916
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2014;14.857.247.353
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2015;24.016.942.978
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2016;90.818.557.739
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2017;12.188.750.267
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2018;14.961.437.225
NOR;WAGEGAP;SELFEMPLOYED;PC;A;2019;18.989.927.292
NOR;WAGEGAP;EMPLOYEE;PC;A;1997;93.189.964.158
NOR;WAGEGAP;EMPLOYEE;PC;A;1998;88.878.326.996
NOR;WAGEGAP;EMPLOYEE;PC;A;1999;92.159.559.835
NOR;WAGEGAP;EMPLOYEE;PC;A;2000;9.225.413.403
NOR;WAGEGAP;EMPLOYEE;PC;A;2001;97.875.885.048
NOR;WAGEGAP;EMPLOYEE;PC;A;2002;9.690.074.539
NOR;WAGEGAP;EMPLOYEE;PC;A;2003;93.297.791.318
NOR;WAGEGAP;EMPLOYEE;PC;A;2004;84.496.693.608
NOR;WAGEGAP;EMPLOYEE;PC;A;2005;86.243.763.364
NOR;WAGEGAP;EMPLOYEE;PC;A;2006;8.210.742.388
NOR;WAGEGAP;EMPLOYEE;PC;A;2007;87.894.397.939
NOR;WAGEGAP;EMPLOYEE;PC;A;2008;87.575.757.576
NOR;WAGEGAP;EMPLOYEE;PC;A;2009;82.843.713.278
NOR;WAGEGAP;EMPLOYEE;PC;A;2010;72.360.953.462
NOR;WAGEGAP;EMPLOYEE;PC;A;2011;71.448.124.829
NOR;WAGEGAP;EMPLOYEE;PC;A;2012;57.921.184.872
NOR;WAGEGAP;EMPLOYEE;PC;A;2013;65.970.453.388
NOR;WAGEGAP;EMPLOYEE;PC;A;2014;58.006.941.001
NOR;WAGEGAP;EMPLOYEE;PC;A;2015;69.577.735.125
NOR;WAGEGAP;EMPLOYEE;PC;A;2016;63.063.063.063
NOR;WAGEGAP;EMPLOYEE;PC;A;2017;54.947.613.504
NOR;WAGEGAP;EMPLOYEE;PC;A;2018;51.293.690.422
NOR;WAGEGAP;EMPLOYEE;PC;A;2019;43.678.665.496
NOR;WAGEGAP;EMPLOYEE;PC;A;2020;48.138.639.281
POL;WAGEGAP;SELFEMPLOYED;PC;A;2004;5.369.146.347
POL;WAGEGAP;SELFEMPLOYED;PC;A;2005;54.655.357.361
POL;WAGEGAP;SELFEMPLOYED;PC;A;2006;53.150.177.002
POL;WAGEGAP;SELFEMPLOYED;PC;A;2007;5.682.787.323
POL;WAGEGAP;SELFEMPLOYED;PC;A;2008;58.066.364.288
POL;WAGEGAP;SELFEMPLOYED;PC;A;2009;61.635.009.766
POL;WAGEGAP;SELFEMPLOYED;PC;A;2010;61.631.919.861
POL;WAGEGAP;SELFEMPLOYED;PC;A;2011;61.928.142.548
POL;WAGEGAP;SELFEMPLOYED;PC;A;2012;61.234.382.629
POL;WAGEGAP;SELFEMPLOYED;PC;A;2013;60.211.868.286
POL;WAGEGAP;SELFEMPLOYED;PC;A;2014;58.688.415.527
POL;WAGEGAP;SELFEMPLOYED;PC;A;2015;57.084.980.011
POL;WAGEGAP;SELFEMPLOYED;PC;A;2016;53.318.809.509
POL;WAGEGAP;SELFEMPLOYED;PC;A;2017;50.217.689.514
POL;WAGEGAP;SELFEMPLOYED;PC;A;2018;48.220.840.454
POL;WAGEGAP;EMPLOYEE;PC;A;1991;20.148.817.179
POL;WAGEGAP;EMPLOYEE;PC;A;1992;17.247.705.062
POL;WAGEGAP;EMPLOYEE;PC;A;1993;20.028.668.251
POL;WAGEGAP;EMPLOYEE;PC;A;1994;18.853.943.975
POL;WAGEGAP;EMPLOYEE;PC;A;1995;20.104.613.517
POL;WAGEGAP;EMPLOYEE;PC;A;1996;20.465.695.126
POL;WAGEGAP;EMPLOYEE;PC;A;1997;18.568.771.518
POL;WAGEGAP;EMPLOYEE;PC;A;1998;19.107.622.599
POL;WAGEGAP;EMPLOYEE;PC;A;1999;17.559.320.693
POL;WAGEGAP;EMPLOYEE;PC;A;2001;14.299.742.455
POL;WAGEGAP;EMPLOYEE;PC;A;2002;11.315.955.411
POL;WAGEGAP;EMPLOYEE;PC;A;2004;10.638.848.907
POL;WAGEGAP;EMPLOYEE;PC;A;2006;11.440.420.483
POL;WAGEGAP;EMPLOYEE;PC;A;2008;12.993.822.243
POL;WAGEGAP;EMPLOYEE;PC;A;2010;71.902.070.437
POL;WAGEGAP;EMPLOYEE;PC;A;2012;10.620.155.274
POL;WAGEGAP;EMPLOYEE;PC;A;2014;1.107.286.288
POL;WAGEGAP;EMPLOYEE;PC;A;2016;94.178.809.362
POL;WAGEGAP;EMPLOYEE;PC;A;2018;11.497.909.952
POL;WAGEGAP;EMPLOYEE;PC;A;2020;86.906.141.367
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2006;6.225.012.207
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2007;60.922.393.799
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2008;60.391.902.924
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2009;58.390.205.383
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2010;5.924.471.283
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2011;58.695.732.117
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2012;54.437.099.457
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2013;47.009.235.382
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2014;40.368.095.398
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2015;41.198.135.376
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2016;42.367.412.567
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2017;45.655.525.208
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2018;4.170.879.364
PRT;WAGEGAP;SELFEMPLOYED;PC;A;2019;40.913.368.225
