brand,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,old_price,ratings_5max
Dell,XPS 15,15.6, Intel Core i7-8750H, NVIDIA GeForce GTX 1050 Ti (4 GB), 512 GB PCIe NVMe M.2 SSD,8999.0,8999.0,0 / 5
Acer,Aspire A315-51,15.6, Intel Core i3-6006U, Intel HD Graphics 520, 500 GB HDD,1649.0,1649.0,3.9 / 5
HP,Pavilion 13-an0000nx,13.3, Intel Core i5-8265U, Intel UHD Graphics 620, 128 GB PCIe NVMe M.2 SSD,3149.0,3149.0,0 / 5
Dell,XPS 13 9360,13.3, Intel Core i5-8250U, Intel UHD Graphics 620, 256 GB PCIe NVMe M.2 SSD,4399.0,4399.0,0 / 5
Acer,Aspire 5 A515-51G,15.6, Intel Core i7-8550U, NVIDIA GeForce MX130 (2 GB), 2 TB HDD,2999.0,2999.0,3.8 / 5
HP,ENVY 13-ad101nx,13.3, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 1 TB PCIe NVMe M.2 SSD,6719.0,6719.0,4.0 / 5
Dell,Inspiron 15 5570,15.6, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 1 TB HDD,2939.0,2939.0,4.0 / 5
Dell,Inspiron 15 3567,15.6, Intel Core i5-8250U, AMD Radeon 520 (2 GB), 1 TB HDD,2549.0,2549.0,0 / 5
Lenovo,IdeaPad 320-15IKBRA,15.6, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 1 TB HDD,2519.0,2519.0,4.2 / 5
Lenovo,IdeaPad 320-14ISK,14.0, Intel Core i3-6006U, Intel GMA HD, 1 TB HDD,1779.0,1779.0,0 / 5
Asus,ZenBook UX430UN Ultrabook,14.0, Intel Core i5-8250U, NVIDIA GeForce MX150 (2 GB), 256 GB SSD,3779.0,3779.0,0 / 5
HP,Pavilion 15-cc006nx,15.6, Intel Core i7-7500U, NVIDIA GeForce 940MX (2 GB), 8 GB (Cache Flash)/1 TB HDD,3459.0,3459.0,0 / 5
Dell,Inspiron 15 3567,15.6, Intel Core i3-6006U, Intel GMA HD, 1 TB HDD,1889.0,1889.0,0 / 5
Dell,Inspiron 15 3567,15.6, Intel Core i5-7200U, AMD Radeon R5-M340 (2 GB), 1 TB HDD,2469.0,2469.0,0 / 5
HP,ENVY 13-ab000nx,13.3, Intel Core i5-7200U, Intel GMA HD, 256 GB PCIe NVMe M.2 SSD,3779.0,3779.0,0 / 5
Apple,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Dual Core, Intel Iris Graphics 550, 256 GB SSD,7768.95,7768.95,0 / 5
HP,,15.6, Intel Core i5-7200U, AMD Radeon 520 (2 GB), 1 TB HDD,2419.0,2419.0,0 / 5
HP,Pavilion 15-cc002nx,15.6, Intel Core i7-7500U, NVIDIA GeForce 940MX (2 GB), 8 GB (Cache Flash)/1 TB HDD,3459.0,3459.0,0 / 5
Apple,MacBook Pro (Retina),13.3, Intel Core i5 Dual Core, Intel Iris Plus Graphics 640, 256 GB SSD,6499.0,6499.0,4.6 / 5
HP,ENVY 13-ad100nx,13.3, Intel Core i7-8550U, Intel HD Graphics 620, 512 GB NVMe M.2 SSD,4829.0,4829.0,4.0 / 5
Dell,Inspiron 15 3567,15.6, Intel Core i5-7200U, AMD Radeon R5-M430 (2 GB), 1 TB HDD,2249.0,2249.0,3.3 / 5
Lenovo,IdeaPad 320-15IKBRN,15.6, Intel Core i5-8250U, Intel GMA HD, 1 TB HDD,2099.0,2099.0,3.8 / 5
Huawei,MateBook D,15.6, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 128 GB SSD/1 TB HDD,3299.0,3299.0,4.0 / 5
Apple,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 6 Core, Radeon Pro 555X GDDR5 (4 GB), 256 GB SSD,10199.0,10199.0,0 / 5
Apple,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 6 Core, Radeon Pro 560X GDDR5 (4 GB), 512 GB SSD,11899.0,11899.0,4.4 / 5
Dell,Inspiron 15 3576,15.6, Intel Core i5-8250U, AMD Radeon 520 (2 GB), 1 TB HDD,2299.0,2299.0,0 / 5
