As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2021-02-09,3,-,-,iCarly,TV Show,,"Feb 8, 2021",1,8
2021-02-09,4,4,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",46,405
2021-02-09,5,6,9,Cocomelon,TV Show,,"Jun 1, 2020",114,330
2021-02-09,6,7,8,Jenni Rivera: Mariposa de B…,TV Show,,"Jan 1, 2021",18,64
2021-02-09,7,-,-,War Dogs,Movie,,"Feb 8, 2021",1,4
2021-02-09,8,3,-,Malcolm & Marie,Movie,Yes,"Feb 5, 2021",4,28
2021-02-09,9,5,-,All About the Benjamins,Movie,,"Feb 1, 2021",5,29
2021-02-09,10,9,7,"Go, Dog, Go",TV Show,Yes,"Jan 26, 2021",13,47
2021-02-10,1,1,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",7,70
2021-02-10,2,3,-,iCarly,TV Show,,"Feb 8, 2021",2,17
2021-02-10,3,2,-,The Sinner,TV Show,,"Jul 2, 2018",4,33
2021-02-10,4,7,-,War Dogs,Movie,,"Feb 8, 2021",2,11
2021-02-10,5,4,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",47,411
2021-02-10,6,5,8,Cocomelon,TV Show,,"Jun 1, 2020",115,335
2021-02-10,7,6,6,Jenni Rivera: Mariposa de B…,TV Show,,"Jan 1, 2021",19,68
2021-02-10,8,10,7,"Go, Dog, Go",TV Show,Yes,"Jan 26, 2021",14,50
2021-02-10,9,-,10,Henry Danger,TV Show,,"Jan 15, 2021",21,74
2021-02-10,10,9,-,All About the Benjamins,Movie,,"Feb 1, 2021",6,30
2021-02-11,1,-,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",1,10
2021-02-11,2,1,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",8,79
2021-02-11,3,2,-,iCarly,TV Show,,"Feb 8, 2021",3,25
2021-02-11,4,3,-,The Sinner,TV Show,,"Jul 2, 2018",5,40
2021-02-11,5,4,-,War Dogs,Movie,,"Feb 8, 2021",3,17
2021-02-11,6,5,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",48,416
2021-02-11,7,6,9,Cocomelon,TV Show,,"Jun 1, 2020",116,339
2021-02-11,8,7,5,Jenni Rivera: Mariposa de B…,TV Show,,"Jan 1, 2021",20,71
2021-02-11,9,8,7,"Go, Dog, Go",TV Show,Yes,"Jan 26, 2021",15,52
2021-02-11,10,9,10,Henry Danger,TV Show,,"Jan 15, 2021",22,75
2021-02-12,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",2,20
2021-02-12,2,2,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",9,88
2021-02-12,3,3,-,iCarly,TV Show,,"Feb 8, 2021",4,33
2021-02-12,4,4,-,The Sinner,TV Show,,"Jul 2, 2018",6,47
2021-02-12,5,5,-,War Dogs,Movie,,"Feb 8, 2021",4,23
2021-02-12,6,-,-,Squared Love,Movie,Yes,"Feb 11, 2021",1,5
2021-02-12,7,6,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",49,420
2021-02-12,8,7,5,Cocomelon,TV Show,,"Jun 1, 2020",117,342
2021-02-12,9,8,4,Jenni Rivera: Mariposa de B…,TV Show,,"Jan 1, 2021",21,73
2021-02-12,10,-,-,Red Dot,Movie,Yes,"Feb 11, 2021",1,1
2021-02-13,1,-,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",1,10
2021-02-13,2,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",3,29
2021-02-13,3,3,-,iCarly,TV Show,,"Feb 8, 2021",5,41
2021-02-13,4,2,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",10,95
2021-02-13,5,4,-,The Sinner,TV Show,,"Jul 2, 2018",7,53
2021-02-13,6,5,-,War Dogs,Movie,,"Feb 8, 2021",5,28
2021-02-13,7,10,-,Red Dot,Movie,Yes,"Feb 11, 2021",2,5
2021-02-13,8,8,5,Cocomelon,TV Show,,"Jun 1, 2020",118,345
2021-02-13,9,6,-,Squared Love,Movie,Yes,"Feb 11, 2021",2,7
2021-02-13,10,7,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",50,421
2021-02-14,1,2,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",4,39
2021-02-14,2,1,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",2,19
2021-02-14,3,4,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",11,103
2021-02-14,4,3,-,iCarly,TV Show,,"Feb 8, 2021",6,48
2021-02-14,5,6,-,War Dogs,Movie,,"Feb 8, 2021",6,34
2021-02-14,6,5,4,The Sinner,TV Show,,"Jul 2, 2018",8,58
2021-02-14,7,7,-,Red Dot,Movie,Yes,"Feb 11, 2021",3,9
2021-02-14,8,10,3,Bridgerton,TV Show,Yes,"Dec 25, 2020",51,424
2021-02-14,9,9,-,Squared Love,Movie,Yes,"Feb 11, 2021",3,9
2021-02-14,10,8,8,Cocomelon,TV Show,,"Jun 1, 2020",119,346
2021-02-15,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",5,49
2021-02-15,2,2,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",3,28
2021-02-15,3,3,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",12,111
2021-02-15,4,4,-,iCarly,TV Show,,"Feb 8, 2021",7,55
2021-02-15,5,5,-,War Dogs,Movie,,"Feb 8, 2021",7,40
2021-02-15,6,6,2,The Sinner,TV Show,,"Jul 2, 2018",9,63
2021-02-15,7,7,-,Red Dot,Movie,Yes,"Feb 11, 2021",4,13
2021-02-15,8,9,-,Squared Love,Movie,Yes,"Feb 11, 2021",4,12
2021-02-15,9,8,4,Bridgerton,TV Show,Yes,"Dec 25, 2020",52,426
2021-02-15,10,10,6,Cocomelon,TV Show,,"Jun 1, 2020",120,347
2021-02-16,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",6,59
2021-02-16,2,4,3,iCarly,TV Show,,"Feb 8, 2021",8,64
2021-02-16,3,3,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",13,119
2021-02-16,4,2,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",4,35
2021-02-16,5,-,-,The Crew,TV Show,Yes,"Feb 15, 2021",1,6
2021-02-16,6,6,2,The Sinner,TV Show,,"Jul 2, 2018",10,68
2021-02-16,7,5,7,War Dogs,Movie,,"Feb 8, 2021",8,44
2021-02-16,8,7,-,Red Dot,Movie,Yes,"Feb 11, 2021",5,16
2021-02-16,9,10,5,Cocomelon,TV Show,,"Jun 1, 2020",121,349
2021-02-16,10,9,4,Bridgerton,TV Show,Yes,"Dec 25, 2020",53,427
2021-02-17,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",7,69
2021-02-17,2,2,2,iCarly,TV Show,,"Feb 8, 2021",9,73
2021-02-17,3,-,-,Good Girls,TV Show,,"Jan 1, 2019",1,8
2021-02-17,4,3,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",14,126
2021-02-17,5,5,-,The Crew,TV Show,Yes,"Feb 15, 2021",2,12
2021-02-17,6,4,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",5,40
2021-02-17,7,6,3,The Sinner,TV Show,,"Jul 2, 2018",11,72
2021-02-17,8,9,6,Cocomelon,TV Show,,"Jun 1, 2020",122,352
2021-02-17,9,-,-,Animals on the Loose: A You…,Movie,Yes,"Feb 16, 2021",1,2
2021-02-17,10,10,5,Bridgerton,TV Show,Yes,"Dec 25, 2020",54,428
2021-02-18,1,3,-,Good Girls,TV Show,,"Jan 1, 2019",2,18
2021-02-18,2,1,1,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",8,78
2021-02-18,3,2,3,iCarly,TV Show,,"Feb 8, 2021",10,81
2021-02-18,4,5,-,The Crew,TV Show,Yes,"Feb 15, 2021",3,19
2021-02-18,5,4,2,Firefly Lane,TV Show,Yes,"Feb 3, 2021",15,132
2021-02-18,6,-,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",1,5
2021-02-18,7,6,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",6,44
2021-02-18,8,7,4,The Sinner,TV Show,,"Jul 2, 2018",12,75
2021-02-18,9,8,7,Cocomelon,TV Show,,"Jun 1, 2020",123,354
2021-02-18,10,10,6,Bridgerton,TV Show,Yes,"Dec 25, 2020",55,429
2021-02-19,1,6,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",2,15
2021-02-19,2,1,-,Good Girls,TV Show,,"Jan 1, 2019",3,27
2021-02-19,3,3,3,iCarly,TV Show,,"Feb 8, 2021",11,89
2021-02-19,4,2,1,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",9,85
2021-02-19,5,5,2,Firefly Lane,TV Show,Yes,"Feb 3, 2021",16,138
2021-02-19,6,4,-,The Crew,TV Show,Yes,"Feb 15, 2021",4,24
2021-02-19,7,9,8,Cocomelon,TV Show,,"Jun 1, 2020",124,358
2021-02-19,8,7,-,To All the Boys Always and …,Movie,Yes,"Feb 12, 2021",7,47
2021-02-19,9,8,4,The Sinner,TV Show,,"Jul 2, 2018",13,77
2021-02-19,10,10,7,Bridgerton,TV Show,Yes,"Dec 25, 2020",56,430
2021-02-20,1,-,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",1,10
2021-02-20,2,1,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",3,24
2021-02-20,3,2,-,Good Girls,TV Show,,"Jan 1, 2019",4,35
2021-02-20,4,3,3,iCarly,TV Show,,"Feb 8, 2021",12,96
2021-02-20,5,4,2,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",10,91
2021-02-20,6,5,4,Firefly Lane,TV Show,Yes,"Feb 3, 2021",17,143
2021-02-20,7,6,-,The Crew,TV Show,Yes,"Feb 15, 2021",5,28
2021-02-20,8,7,8,Cocomelon,TV Show,,"Jun 1, 2020",125,361
2021-02-20,9,-,-,Tribes of Europa,TV Show,Yes,"Feb 19, 2021",1,2
2021-02-20,10,10,10,Bridgerton,TV Show,Yes,"Dec 25, 2020",57,431
2021-02-21,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",2,20
2021-02-21,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",4,33
2021-02-21,3,3,-,Good Girls,TV Show,,"Jan 1, 2019",5,43
2021-02-21,4,4,4,iCarly,TV Show,,"Feb 8, 2021",13,103
2021-02-21,5,5,1,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",11,97
2021-02-21,6,6,3,Firefly Lane,TV Show,Yes,"Feb 3, 2021",18,148
2021-02-21,7,9,-,Tribes of Europa,TV Show,Yes,"Feb 19, 2021",2,6
2021-02-21,8,7,-,The Crew,TV Show,Yes,"Feb 15, 2021",6,31
2021-02-21,9,8,10,Cocomelon,TV Show,,"Jun 1, 2020",126,363
2021-02-21,10,10,8,Bridgerton,TV Show,Yes,"Dec 25, 2020",58,432
2021-02-22,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",3,30
2021-02-22,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",5,42
2021-02-22,3,3,-,Good Girls,TV Show,,"Jan 1, 2019",6,51
2021-02-22,4,4,4,iCarly,TV Show,,"Feb 8, 2021",14,110
2021-02-22,5,5,1,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",12,103
2021-02-22,6,6,3,Firefly Lane,TV Show,Yes,"Feb 3, 2021",19,153
2021-02-22,7,-,-,The Conjuring 2,Movie,,"Feb 21, 2021",1,4
2021-02-22,8,7,-,Tribes of Europa,TV Show,Yes,"Feb 19, 2021",3,9
2021-02-22,9,8,-,The Crew,TV Show,Yes,"Feb 15, 2021",7,33
2021-02-22,10,9,10,Cocomelon,TV Show,,"Jun 1, 2020",127,364
2021-02-23,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",4,40
2021-02-23,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",6,51
2021-02-23,3,3,-,Good Girls,TV Show,,"Jan 1, 2019",7,59
2021-02-23,4,4,2,iCarly,TV Show,,"Feb 8, 2021",15,117
2021-02-23,5,6,3,Firefly Lane,TV Show,Yes,"Feb 3, 2021",20,159
2021-02-23,6,7,-,The Conjuring 2,Movie,,"Feb 21, 2021",2,9
2021-02-23,7,5,1,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",13,107
2021-02-23,8,8,-,Tribes of Europa,TV Show,Yes,"Feb 19, 2021",4,12
2021-02-23,9,10,9,Cocomelon,TV Show,,"Jun 1, 2020",128,366
2021-02-23,10,9,5,The Crew,TV Show,Yes,"Feb 15, 2021",8,34
2021-02-24,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",5,50
2021-02-24,2,2,-,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",7,60
2021-02-24,3,3,3,Good Girls,TV Show,,"Jan 1, 2019",8,67
2021-02-24,4,4,2,iCarly,TV Show,,"Feb 8, 2021",16,124
2021-02-24,5,5,4,Firefly Lane,TV Show,Yes,"Feb 3, 2021",21,165
2021-02-24,6,9,8,Cocomelon,TV Show,,"Jun 1, 2020",129,371
2021-02-24,7,7,1,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",14,111
2021-02-24,8,6,-,The Conjuring 2,Movie,,"Feb 21, 2021",3,12
2021-02-24,9,8,-,Tribes of Europa,TV Show,Yes,"Feb 19, 2021",5,14
2021-02-24,10,10,5,The Crew,TV Show,Yes,"Feb 15, 2021",9,35
2021-02-25,1,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",6,60
2021-02-25,2,2,6,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",8,69
2021-02-25,3,3,1,Good Girls,TV Show,,"Jan 1, 2019",9,75
2021-02-25,4,4,3,iCarly,TV Show,,"Feb 8, 2021",17,131
2021-02-25,5,-,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",1,6
2021-02-25,6,5,5,Firefly Lane,TV Show,Yes,"Feb 3, 2021",22,170
2021-02-25,7,6,9,Cocomelon,TV Show,,"Jun 1, 2020",130,375
2021-02-25,8,7,2,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",15,114
2021-02-25,9,-,-,Age of Samurai: Battle for …,TV Show,Yes,"Feb 24, 2021",1,2
2021-02-25,10,8,-,The Conjuring 2,Movie,,"Feb 21, 2021",4,13
2021-02-26,1,5,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",2,16
2021-02-26,2,1,-,I Care a Lot.,Movie,Yes,"Feb 19, 2021",7,69
2021-02-26,3,2,1,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",9,77
2021-02-26,4,4,3,iCarly,TV Show,,"Feb 8, 2021",18,138
2021-02-26,5,3,2,Good Girls,TV Show,,"Jan 1, 2019",10,81
2021-02-26,6,9,-,Age of Samurai: Battle for …,TV Show,Yes,"Feb 24, 2021",2,7
2021-02-26,7,6,5,Firefly Lane,TV Show,Yes,"Feb 3, 2021",23,174
2021-02-26,8,7,7,Cocomelon,TV Show,,"Jun 1, 2020",131,378
2021-02-26,9,-,-,Canine Intervention,TV Show,Yes,"Feb 24, 2021",1,2
2021-02-26,10,8,4,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",16,115
2021-02-27,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",3,26
2021-02-27,2,-,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",1,9
2021-02-27,3,2,1,I Care a Lot.,Movie,Yes,"Feb 19, 2021",8,77
2021-02-27,4,3,2,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",10,84
2021-02-27,5,6,-,Age of Samurai: Battle for …,TV Show,Yes,"Feb 24, 2021",3,13
2021-02-27,6,4,4,iCarly,TV Show,,"Feb 8, 2021",19,143
2021-02-27,7,5,3,Good Girls,TV Show,,"Jan 1, 2019",11,85
2021-02-27,8,7,6,Firefly Lane,TV Show,Yes,"Feb 3, 2021",24,177
2021-02-27,9,8,8,Cocomelon,TV Show,,"Jun 1, 2020",132,380
2021-02-27,10,9,-,Canine Intervention,TV Show,Yes,"Feb 24, 2021",2,3
2021-02-28,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",4,36
2021-02-28,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",2,18
2021-02-28,3,3,1,I Care a Lot.,Movie,Yes,"Feb 19, 2021",9,85
2021-02-28,4,5,-,Age of Samurai: Battle for …,TV Show,Yes,"Feb 24, 2021",4,20
2021-02-28,5,4,2,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",11,90
2021-02-28,6,6,4,iCarly,TV Show,,"Feb 8, 2021",20,148
2021-02-28,7,10,-,Canine Intervention,TV Show,Yes,"Feb 24, 2021",3,7
2021-02-28,8,7,3,Good Girls,TV Show,,"Jan 1, 2019",12,88
2021-02-28,9,8,6,Firefly Lane,TV Show,Yes,"Feb 3, 2021",25,179
2021-02-28,10,9,9,Cocomelon,TV Show,,"Jun 1, 2020",133,381
2021-03-01,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",5,46
2021-03-01,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",3,27
2021-03-01,3,3,1,I Care a Lot.,Movie,Yes,"Feb 19, 2021",10,93
2021-03-01,4,4,-,Age of Samurai: Battle for …,TV Show,Yes,"Feb 24, 2021",5,27
2021-03-01,5,5,2,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",12,96
2021-03-01,6,6,4,iCarly,TV Show,,"Feb 8, 2021",21,153
2021-03-01,7,8,3,Good Girls,TV Show,,"Jan 1, 2019",13,92
2021-03-01,8,7,-,Canine Intervention,TV Show,Yes,"Feb 24, 2021",4,10
2021-03-01,9,9,6,Firefly Lane,TV Show,Yes,"Feb 3, 2021",26,181
2021-03-01,10,10,10,Cocomelon,TV Show,,"Jun 1, 2020",134,382
2021-03-02,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",6,56
2021-03-02,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",4,36
2021-03-02,3,-,-,Biggie: I Got A Story to Tell,Movie,Yes,"Mar 1, 2021",1,8
2021-03-02,4,5,2,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",13,103
2021-03-02,5,6,4,iCarly,TV Show,,"Feb 8, 2021",22,159
2021-03-02,6,4,-,Age of Samurai: Battle for …,TV Show,Yes,"Feb 24, 2021",6,32
2021-03-02,7,3,1,I Care a Lot.,Movie,Yes,"Feb 19, 2021",11,97
2021-03-02,8,7,3,Good Girls,TV Show,,"Jan 1, 2019",14,95
2021-03-02,9,10,9,Cocomelon,TV Show,,"Jun 1, 2020",135,384
2021-03-02,10,9,5,Firefly Lane,TV Show,Yes,"Feb 3, 2021",27,182
2021-03-03,1,1,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",7,66
2021-03-03,2,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",5,45
2021-03-03,3,3,-,Biggie: I Got A Story to Tell,Movie,Yes,"Mar 1, 2021",2,16
2021-03-03,4,4,2,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",14,110
2021-03-03,5,5,4,iCarly,TV Show,,"Feb 8, 2021",23,165
2021-03-03,6,8,3,Good Girls,TV Show,,"Jan 1, 2019",15,100
2021-03-03,7,6,-,Age of Samurai: Battle for …,TV Show,Yes,"Feb 24, 2021",7,36
2021-03-03,8,7,1,I Care a Lot.,Movie,Yes,"Feb 19, 2021",12,100
2021-03-03,9,9,6,Cocomelon,TV Show,,"Jun 1, 2020",136,386
2021-03-03,10,-,-,Step Up Revolution,Movie,,"Mar 1, 2021",1,1
2021-03-04,1,1,5,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",8,76
2021-03-04,2,-,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",1,9
2021-03-04,3,2,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",6,53
2021-03-04,4,3,-,Biggie: I Got A Story to Tell,Movie,Yes,"Mar 1, 2021",3,23
2021-03-04,5,5,4,iCarly,TV Show,,"Feb 8, 2021",24,171
2021-03-04,6,4,2,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",15,115
2021-03-04,7,-,-,Moxie,Movie,Yes,"Mar 3, 2021",1,4
2021-03-04,8,6,3,Good Girls,TV Show,,"Jan 1, 2019",16,103
2021-03-04,9,9,7,Cocomelon,TV Show,,"Jun 1, 2020",137,388
2021-03-04,10,8,1,I Care a Lot.,Movie,Yes,"Feb 19, 2021",13,101
2021-03-05,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",9,86
2021-03-05,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",2,18
2021-03-05,3,7,-,Moxie,Movie,Yes,"Mar 3, 2021",2,12
2021-03-05,4,3,-,Bigfoot Family,Movie,Yes,"Feb 26, 2021",7,60
2021-03-05,5,5,4,iCarly,TV Show,,"Feb 8, 2021",25,177
2021-03-05,6,6,3,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",16,120
2021-03-05,7,4,-,Biggie: I Got A Story to Tell,Movie,Yes,"Mar 1, 2021",4,27
2021-03-05,8,9,8,Cocomelon,TV Show,,"Jun 1, 2020",138,391
2021-03-05,9,8,5,Good Girls,TV Show,,"Jan 1, 2019",17,105
2021-03-05,10,-,-,Training Day,Movie,,"Mar 1, 2021",1,1
2021-03-06,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",10,96
2021-03-06,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",3,27
2021-03-06,3,-,-,Sentinelle,Movie,Yes,"Mar 5, 2021",1,8
2021-03-06,4,3,-,Moxie,Movie,Yes,"Mar 3, 2021",3,19
2021-03-06,5,4,2,Bigfoot Family,Movie,Yes,"Feb 26, 2021",8,66
2021-03-06,6,5,6,iCarly,TV Show,,"Feb 8, 2021",26,182
2021-03-06,7,6,4,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",17,124
2021-03-06,8,10,-,Training Day,Movie,,"Mar 1, 2021",2,4
2021-03-06,9,8,9,Cocomelon,TV Show,,"Jun 1, 2020",139,393
2021-03-06,10,-,-,The Dark Knight,Movie,,"Mar 1, 2021",1,1
2021-03-07,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",11,106
2021-03-07,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",4,36
2021-03-07,3,3,-,Sentinelle,Movie,Yes,"Mar 5, 2021",2,16
2021-03-07,4,4,-,Moxie,Movie,Yes,"Mar 3, 2021",4,26
2021-03-07,5,5,2,Bigfoot Family,Movie,Yes,"Feb 26, 2021",9,72
2021-03-07,6,8,-,Training Day,Movie,,"Mar 1, 2021",3,9
2021-03-07,7,10,-,The Dark Knight,Movie,,"Mar 1, 2021",2,5
2021-03-07,8,7,5,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",18,127
2021-03-07,9,6,6,iCarly,TV Show,,"Feb 8, 2021",27,184
2021-03-07,10,-,3,I Care a Lot.,Movie,Yes,"Feb 19, 2021",14,102
2021-03-08,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",12,116
2021-03-08,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",5,45
2021-03-08,3,3,-,Sentinelle,Movie,Yes,"Mar 5, 2021",3,24
2021-03-08,4,6,-,Training Day,Movie,,"Mar 1, 2021",4,16
2021-03-08,5,7,-,The Dark Knight,Movie,,"Mar 1, 2021",3,11
2021-03-08,6,4,-,Moxie,Movie,Yes,"Mar 3, 2021",5,31
2021-03-08,7,8,5,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",19,131
2021-03-08,8,5,2,Bigfoot Family,Movie,Yes,"Feb 26, 2021",10,75
2021-03-08,9,9,6,iCarly,TV Show,,"Feb 8, 2021",28,186
2021-03-08,10,10,3,I Care a Lot.,Movie,Yes,"Feb 19, 2021",15,103
2021-03-09,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",13,126
2021-03-09,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",6,54
2021-03-09,3,9,5,iCarly,TV Show,,"Feb 8, 2021",29,194
2021-03-09,4,4,-,Training Day,Movie,,"Mar 1, 2021",5,23
2021-03-09,5,3,-,Sentinelle,Movie,Yes,"Mar 5, 2021",4,30
2021-03-09,6,-,9,Cocomelon,TV Show,,"Jun 1, 2020",140,398
2021-03-09,7,7,4,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",20,135
2021-03-09,8,5,-,The Dark Knight,Movie,,"Mar 1, 2021",4,14
2021-03-09,9,-,8,Good Girls,TV Show,,"Jan 1, 2019",18,107
2021-03-09,10,6,-,Moxie,Movie,Yes,"Mar 3, 2021",6,32
2021-03-10,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",14,136
2021-03-10,2,2,-,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",7,63
2021-03-10,3,3,5,iCarly,TV Show,,"Feb 8, 2021",30,202
2021-03-10,4,6,9,Cocomelon,TV Show,,"Jun 1, 2020",141,405
2021-03-10,5,4,-,Training Day,Movie,,"Mar 1, 2021",6,29
2021-03-10,6,-,-,Parker,Movie,,"Mar 4, 2021",1,5
2021-03-10,7,7,4,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",21,139
2021-03-10,8,8,-,The Dark Knight,Movie,,"Mar 1, 2021",5,17
2021-03-10,9,9,6,Good Girls,TV Show,,"Jan 1, 2019",19,109
2021-03-10,10,10,-,Moxie,Movie,Yes,"Mar 3, 2021",7,33
2021-03-11,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",15,146
2021-03-11,2,-,-,Last Chance U: Basketball,TV Show,Yes,"Mar 10, 2021",1,9
2021-03-11,3,3,5,iCarly,TV Show,,"Feb 8, 2021",31,210
2021-03-11,4,4,9,Cocomelon,TV Show,,"Jun 1, 2020",142,412
2021-03-11,5,6,-,Parker,Movie,,"Mar 4, 2021",2,11
2021-03-11,6,2,2,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",8,68
2021-03-11,7,7,6,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",22,143
2021-03-11,8,9,8,Good Girls,TV Show,,"Jan 1, 2019",20,112
2021-03-11,9,8,-,The Dark Knight,Movie,,"Mar 1, 2021",6,19
2021-03-11,10,5,-,Training Day,Movie,,"Mar 1, 2021",7,30
2021-03-12,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",16,156
2021-03-12,2,2,-,Last Chance U: Basketball,TV Show,Yes,"Mar 10, 2021",2,18
2021-03-12,3,3,5,iCarly,TV Show,,"Feb 8, 2021",32,218
2021-03-12,4,4,8,Cocomelon,TV Show,,"Jun 1, 2020",143,419
2021-03-12,5,5,-,Parker,Movie,,"Mar 4, 2021",3,17
2021-03-12,6,-,-,Marriage or Mortgage,TV Show,Yes,"Mar 10, 2021",1,5
2021-03-12,7,7,6,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",23,147
2021-03-12,8,8,9,Good Girls,TV Show,,"Jan 1, 2019",21,115
2021-03-12,9,6,2,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",9,70
2021-03-12,10,9,-,The Dark Knight,Movie,,"Mar 1, 2021",7,20
