Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,.524,2.6,5.9,.434,7.3,12.9,.565,.592,6.6,7.6,.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0
Anthony Edwards,SG,19,MIN,29,12,28.2,5.4,14.2,.383,1.8,5.7,.319,3.6,8.5,.427,.448,1.9,2.3,.806,0.6,3.1,3.7,2.4,0.7,0.3,1.6,1.5,14.6
Carsen Edwards,SG,22,BOS,13,1,10.3,1.8,4.2,.436,0.8,2.3,.333,1.1,1.9,.560,.527,0.5,0.7,.778,0.2,0.8,1.0,0.4,0.3,0.1,0.2,1.2,5.0
CJ Elleby,SF,20,POR,12,0,8.0,1.2,2.4,.483,0.4,1.5,.278,0.8,0.9,.818,.569,0.5,0.8,.667,0.3,0.7,1.0,0.3,0.3,0.3,0.3,1.3,3.3
Wayne Ellington,SG,33,DET,21,18,22.9,3.7,8.0,.456,2.7,6.2,.438,1.0,1.9,.513,.624,0.6,0.8,.750,0.3,1.6,2.0,1.1,0.4,0.2,0.7,1.5,10.6
Joel Embiid,C,26,PHI,23,23,32.5,9.4,17.5,.540,1.2,3.0,.397,8.3,14.5,.569,.573,9.7,11.3,.851,1.9,8.9,10.8,3.1,1.3,1.2,3.4,2.5,29.7
James Ennis,SF,30,ORL,20,19,21.9,2.6,5.2,.495,0.9,1.9,.447,1.7,3.3,.523,.578,1.3,1.6,.839,1.2,2.6,3.8,1.4,1.0,0.3,1.0,2.2,7.3
Drew Eubanks,C,23,SAS,11,0,12.6,1.5,3.4,.432,0.0,0.0,0,1.5,3.4,.432,.432,1.1,1.5,.750,0.6,2.7,3.4,0.4,0.1,1.4,0.5,1.3,4.0
Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
Tacko Fall,C,25,BOS,6,0,8.2,1.3,2.0,.667,0.0,0.0,0,1.3,2.0,.667,.667,0.5,1.3,.375,1.3,2.2,3.5,0.0,0.0,1.3,0.2,1.5,3.2
Derrick Favors,C,29,UTA,27,0,16.4,2.4,3.9,.629,0.0,0.0,.000,2.4,3.9,.635,.629,1.4,1.7,.804,2.1,3.5,5.6,0.9,0.6,1.1,0.6,2.5,6.3
Cristiano Felício,C,28,CHI,6,0,6.3,0.5,0.7,.750,0.0,0.0,0,0.5,0.7,.750,.750,0.8,1.3,.625,1.0,1.0,2.0,0.8,0.3,0.0,0.5,0.5,1.8
Terrance Ferguson,SG,22,PHI,7,0,3.4,0.0,0.4,.000,0.0,0.4,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.4,0.0
Bruno Fernando,C,22,ATL,15,0,8.8,0.6,1.5,.409,0.0,0.1,.000,0.6,1.3,.450,.409,0.6,1.0,.600,0.8,2.7,3.5,0.6,0.1,0.1,0.8,1.0,1.8
Yogi Ferrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
Dorian Finney-Smith,PF,27,DAL,19,19,30.7,3.3,7.4,.450,1.9,5.1,.381,1.4,2.3,.605,.582,0.5,0.6,.833,1.5,3.3,4.8,1.2,1.0,0.4,0.6,2.7,9.1
Malachi Flynn,PG,22,TOR,13,0,8.2,0.8,3.0,.282,0.4,1.8,.217,0.5,1.2,.375,.346,0.2,0.3,.500,0.1,0.6,0.7,1.2,0.3,0.0,0.3,0.8,2.2
Bryn Forbes,SG,27,MIL,28,5,18.4,3.5,7.2,.480,2.0,4.3,.471,1.4,2.9,.494,.621,0.5,0.7,.700,0.2,1.0,1.1,0.5,0.3,0.0,0.7,1.2,9.5
Trent Forrest,PG,22,UTA,4,0,3.3,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0,.000,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.5,0.0,0.0,0.5,0.5
Evan Fournier,SF,28,ORL,15,15,28.7,5.8,12.9,.451,2.3,6.2,.366,3.5,6.7,.530,.539,4.0,5.0,.800,0.3,2.3,2.5,3.6,1.0,0.4,2.1,2.3,17.9
De'Aaron Fox,PG,23,SAC,26,26,33.1,8.4,17.7,.476,1.8,5.4,.343,6.6,12.3,.534,.528,4.5,6.6,.690,0.7,2.6,3.3,6.8,1.2,0.5,3.1,2.7,23.2
Tim Frazier,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,0,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
Wenyen Gabriel,PF,23,NOP,3,0,3.3,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.0,0.0
Daniel Gafford,PF,22,CHI,23,11,14.3,2.1,3.2,.671,0.0,0.0,0,2.1,3.2,.671,.671,1.1,1.6,.676,1.4,1.9,3.3,0.7,0.5,1.3,0.8,2.0,5.3
Danilo Gallinari,PF,32,ATL,16,1,19.7,3.0,7.6,.397,1.6,4.3,.377,1.4,3.3,.423,.504,3.1,3.3,.942,0.2,2.7,2.9,1.1,0.2,0.1,1.2,1.9,10.7
Langston Galloway,SG,29,PHO,22,0,11.1,1.5,3.3,.466,0.9,1.9,.476,0.6,1.4,.452,.603,0.7,0.7,1.000,0.2,0.9,1.1,0.7,0.2,0.0,0.3,0.6,4.7
Darius Garland,PG,21,CLE,21,18,32.3,6.4,14.2,.452,1.7,4.1,.407,4.8,10.1,.469,.510,1.3,1.5,.903,0.5,1.8,2.2,5.3,1.0,0.1,2.5,2.4,15.9
Marc Gasol,C,36,LAL,29,29,20.0,1.4,3.4,.400,0.7,2.0,.351,0.7,1.5,.465,.500,0.8,0.9,.880,0.8,3.4,4.2,1.8,0.4,1.2,0.8,2.4,4.2
Rudy Gay,PF,34,SAS,26,0,22.0,4.2,9.9,.419,1.6,4.3,.366,2.6,5.6,.459,.498,1.3,1.7,.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2
Paul George,SF,30,LAC,20,20,34.0,8.4,16.6,.508,3.8,7.9,.478,4.7,8.7,.534,.621,3.8,4.2,.905,0.7,5.6,6.2,5.5,1.2,0.5,3.6,2.3,24.4
Taj Gibson,PF,35,NYK,8,0,13.6,1.3,2.5,.500,0.1,0.6,.200,1.1,1.9,.600,.525,0.4,0.8,.500,1.4,1.8,3.1,0.5,0.3,0.4,0.3,1.9,3.0
Harry Giles,C,22,POR,22,0,11.8,1.2,2.8,.419,0.1,0.4,.375,1.0,2.5,.426,.444,0.6,0.8,.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1
Shai Gilgeous-Alexander,SG,22,OKC,22,22,33.7,7.9,15.6,.503,1.9,4.9,.383,6.0,10.8,.557,.563,5.0,6.3,.784,0.7,4.7,5.4,6.5,0.8,0.6,2.9,2.0,22.5
Anthony Gill,PF,28,WAS,10,1,6.5,0.3,1.0,.300,0.1,0.7,.143,0.2,0.3,.667,.350,0.3,0.4,.750,0.3,1.6,1.9,0.3,0.3,0.2,0.3,0.3,1.0
Rudy Gobert,C,28,UTA,29,29,30.3,5.4,8.5,.640,0.0,0.0,.000,5.4,8.5,.642,.640,3.3,5.8,.581,3.5,9.9,13.4,1.3,0.4,2.7,1.6,2.2,14.2
Brandon Goodwin,PG,25,ATL,22,0,12.7,1.5,4.6,.324,0.6,2.4,.269,0.9,2.3,.380,.392,0.8,1.1,.708,0.1,1.1,1.2,2.0,0.5,0.0,0.5,1.0,4.4
Aaron Gordon,PF,25,ORL,19,19,29.1,4.8,11.2,.427,1.6,4.4,.369,3.2,6.8,.465,.500,2.6,4.2,.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2.0,13.8
Eric Gordon,SG,32,HOU,22,10,29.4,6.2,13.5,.463,2.7,7.8,.351,3.5,5.7,.616,.564,3.5,4.2,.848,0.3,1.9,2.2,2.7,0.5,0.5,1.9,1.5,18.7
Devonte' Graham,PG,25,CHO,25,25,32.8,4.4,12.4,.352,2.8,8.1,.347,1.6,4.3,.361,.465,2.2,2.8,.775,0.6,2.4,3.0,5.7,1.0,0.0,1.4,1.5,13.7
Jerami Grant,SF,26,DET,28,28,36.3,7.9,17.8,.443,2.6,6.6,.387,5.3,11.2,.476,.515,5.4,6.1,.883,0.8,4.4,5.3,2.9,0.8,1.2,1.7,2.8,23.8
Danny Green,SF,33,PHI,29,29,28.4,3.1,7.7,.401,2.2,5.8,.375,0.9,1.9,.481,.543,0.3,0.5,.714,1.0,2.7,3.7,1.7,1.1,0.7,1.4,1.7,8.7
Draymond Green,PF,30,GSW,24,24,29.0,2.0,5.4,.362,0.3,1.8,.186,1.6,3.6,.448,.392,1.0,1.4,.676,0.6,5.0,5.6,8.3,1.4,0.6,2.6,3.1,5.2
JaMychal Green,PF,30,DEN,24,3,21.3,3.3,7.5,.441,1.7,4.0,.427,1.6,3.5,.458,.556,1.1,1.3,.844,1.7,4.5,6.3,1.0,0.6,0.3,1.1,2.8,9.4
Javonte Green,SG,27,BOS,18,1,15.3,1.7,3.4,.500,0.4,1.2,.333,1.3,2.3,.585,.556,1.1,1.6,.690,0.9,1.6,2.5,0.4,0.9,0.1,0.6,1.2,4.9
Jeff Green,PF,34,BRK,30,13,26.0,3.5,6.9,.505,1.6,3.7,.427,1.9,3.2,.594,.619,1.2,1.5,.822,0.5,3.3,3.7,1.4,0.7,0.3,0.8,2.0,9.7
Josh Green,SG,20,DAL,17,5,12.5,1.0,2.1,.472,0.1,0.7,.167,0.9,1.4,.625,.500,0.4,0.6,.545,0.7,1.6,2.3,0.6,0.2,0.1,0.6,0.9,2.5
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
Kyle Guy,PG,23,SAC,10,0,7.9,0.9,3.2,.281,0.4,1.6,.250,0.5,1.6,.313,.344,0.7,0.8,.875,0.3,0.9,1.2,1.3,0.4,0.0,0.1,0.5,2.9
Rui Hachimura,PF,22,WAS,19,19,29.2,4.7,10.3,.454,0.8,2.6,.300,3.9,7.7,.507,.492,3.1,3.9,.784,1.2,4.3,5.4,2.0,0.6,0.1,1.0,2.1,13.2
Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Tyrese Haliburton,PG,20,SAC,25,2,29.4,4.8,9.6,.498,2.3,5.2,.443,2.4,4.3,.565,.619,0.6,0.7,.824,1.0,2.6,3.6,5.2,1.2,0.6,1.6,1.2,12.4
Josh Hall,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
R.J. Hampton,PG,19,DEN,21,0,8.6,0.9,2.2,.404,0.2,0.8,.313,0.7,1.5,.452,.457,0.2,0.3,.667,0.4,1.5,1.9,0.5,0.2,0.1,0.5,0.8,2.2
Tim Hardaway Jr.,SG,28,DAL,27,17,30.6,5.9,13.3,.439,3.1,7.8,.393,2.8,5.5,.503,.554,1.9,2.4,.785,0.2,3.0,3.2,1.6,0.7,0.1,0.9,1.6,16.7
James Harden,SG,31,TOT,24,24,37.6,7.6,15.8,.482,3.0,7.9,.384,4.6,7.9,.579,.578,6.2,6.9,.897,0.8,6.5,7.3,11.3,1.0,0.8,4.3,2.3,24.5
James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
James Harden,SG,31,BRK,16,16,38.3,7.7,15.3,.502,3.0,7.4,.407,4.7,7.9,.591,.600,5.9,6.6,.905,0.8,7.6,8.4,11.8,1.1,0.8,4.3,2.6,24.3
Maurice Harkless,SF,27,MIA,10,3,10.9,0.4,1.0,.400,0.4,0.8,.500,0.0,0.2,.000,.600,0.0,0.2,.000,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2
Jared Harper,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,0,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Montrezl Harrell,C,27,LAL,29,0,24.6,5.3,8.3,.646,0.0,0.1,.000,5.3,8.1,.657,.646,2.6,3.6,.738,2.3,4.0,6.3,1.1,0.7,0.7,1.3,2.2,13.3
Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
Jalen Harris,SG,22,TOR,2,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0
Joe Harris,SF,29,BRK,30,26,30.9,5.5,10.5,.529,3.3,6.6,.495,2.3,3.9,.586,.685,0.5,0.8,.696,0.6,2.9,3.5,1.9,0.5,0.2,0.8,2.4,14.9
Tobias Harris,PF,28,PHI,26,26,34.5,8.0,15.4,.518,1.8,4.2,.426,6.2,11.2,.551,.575,3.1,3.5,.900,1.3,6.5,7.7,3.1,0.8,0.8,2.0,2.1,20.8
Shaquille Harrison,SG,27,UTA,16,0,3.4,0.4,1.2,.316,0.0,0.1,.000,0.4,1.1,.333,.316,0.3,0.4,.833,0.2,0.4,0.6,0.5,0.1,0.0,0.3,0.2,1.1
Josh Hart,SF,25,NOP,28,2,28.0,3.1,7.0,.451,1.4,4.1,.348,1.7,2.9,.600,.554,1.1,1.6,.711,1.0,6.4,7.5,2.1,0.8,0.2,0.8,2.2,8.9
Isaiah Hartenstein,C,22,DEN,18,0,8.7,1.7,3.1,.545,0.0,0.0,0,1.7,3.1,.545,.545,0.9,1.5,.593,1.4,1.4,2.8,0.6,0.4,0.7,0.8,2.2,4.2
Jaxson Hayes,C,20,NOP,21,1,11.7,1.7,2.6,.636,0.0,0.0,0,1.7,2.6,.636,.636,0.9,1.2,.692,1.2,2.4,3.6,0.4,0.3,0.3,0.6,1.8,4.2
Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
Gordon Hayward,SF,30,CHO,26,26,35.5,8.1,16.6,.486,2.2,5.2,.422,5.9,11.4,.515,.552,3.9,4.5,.864,0.9,4.5,5.5,3.8,1.1,0.4,2.1,1.9,22.3
Juan Hernangómez,PF,25,MIN,13,6,18.6,2.3,5.8,.400,1.1,3.4,.318,1.2,2.4,.516,.493,0.7,1.1,.643,1.0,4.0,5.0,0.5,0.4,0.2,0.5,0.9,6.4
Willy Hernangómez,C,26,NOP,13,0,17.1,2.8,5.1,.545,0.1,0.4,.200,2.7,4.7,.574,.553,1.2,1.8,.652,2.6,3.8,6.5,1.2,0.5,0.4,0.4,1.1,6.8
Tyler Herro,SG,21,MIA,20,14,34.4,6.5,14.8,.437,2.1,6.2,.339,4.4,8.6,.509,.508,2.0,2.5,.780,0.5,5.9,6.3,3.9,0.5,0.5,2.6,1.7,17.0
Buddy Hield,SG,28,SAC,27,27,34.8,5.3,14.1,.377,3.9,10.4,.377,1.4,3.7,.376,.516,1.5,1.7,.872,0.4,4.4,4.8,3.0,0.9,0.3,2.0,2.7,16.1
George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
Solomon Hill,PF,29,ATL,28,1,19.0,1.5,4.3,.358,1.0,3.2,.322,0.5,1.1,.467,.479,0.3,0.4,.800,0.4,1.9,2.3,0.9,0.6,0.2,0.5,1.6,4.4
Nate Hinton,SG,21,DAL,6,0,3.2,0.5,2.2,.231,0.2,0.8,.200,0.3,1.3,.250,.269,0.2,0.3,.500,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3
Aaron Holiday,PG,24,IND,29,6,19.9,2.8,7.6,.370,1.1,3.2,.333,1.7,4.3,.397,.441,0.8,1.0,.759,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.7,7.4
Jrue Holiday,PG,30,MIL,23,23,32.5,6.5,13.0,.502,1.9,4.8,.387,4.7,8.2,.569,.574,1.5,1.9,.791,1.3,3.5,4.8,5.4,1.9,0.6,1.6,1.7,16.4
Justin Holiday,SG,31,IND,29,20,32.2,4.0,8.5,.466,2.4,5.8,.419,1.6,2.8,.563,.607,1.2,1.5,.791,0.7,3.5,4.2,1.7,1.2,0.3,0.7,2.3,11.5
Richaun Holmes,C,27,SAC,25,25,29.6,5.4,8.4,.648,0.0,0.2,.200,5.4,8.2,.659,.650,1.8,2.3,.793,2.5,5.2,7.7,1.8,0.7,1.6,1.5,4.1,12.8
Rodney Hood,SF,28,POR,23,5,19.0,2.1,5.7,.366,0.6,2.0,.298,1.5,3.7,.405,.420,0.2,0.3,.667,0.2,1.5,1.7,1.2,0.7,0.1,0.8,1.4,5.0
Al Horford,C,34,OKC,19,19,28.2,5.9,13.0,.453,2.2,5.5,.390,3.7,7.5,.500,.536,0.7,0.9,.778,0.8,6.1,6.9,3.6,0.9,0.8,1.3,1.7,14.7
Talen Horton-Tucker,SG,20,LAL,25,0,16.5,2.7,6.0,.447,0.5,1.7,.279,2.2,4.3,.514,.487,0.9,1.1,.821,0.4,2.0,2.4,1.8,0.8,0.5,1.2,1.9,6.8
Danuel House,SF,27,HOU,17,7,27.9,3.1,8.2,.374,1.4,4.9,.286,1.6,3.2,.509,.460,1.4,1.8,.767,0.6,3.1,3.6,2.1,0.8,0.5,0.9,1.8,8.9
Dwight Howard,C,35,PHI,29,4,16.7,2.1,3.8,.555,0.1,0.3,.375,2.0,3.5,.569,.568,1.6,3.0,.523,2.7,5.0,7.7,0.7,0.4,0.9,1.9,3.1,5.9
Markus Howard,SG,21,DEN,14,0,3.4,0.4,2.1,.207,0.2,1.5,.143,0.2,0.6,.375,.259,0.0,0.0,0,0.0,0.4,0.4,0.4,0.1,0.0,0.3,0.4,1.1
Kevin Huerter,SG,22,ATL,28,17,31.8,4.5,10.7,.423,2.2,5.8,.385,2.3,5.0,.468,.527,0.7,0.9,.792,0.7,2.9,3.6,3.8,1.2,0.2,1.3,2.3,12.0
Elijah Hughes,SF,22,UTA,6,0,4.5,0.8,2.5,.333,0.5,1.7,.300,0.3,0.8,.400,.433,0.5,0.7,.750,0.0,0.7,0.7,0.5,0.2,0.2,0.7,0.0,2.7
De'Andre Hunter,SF,23,ATL,18,18,32.2,6.0,11.7,.514,1.7,4.6,.366,4.3,7.1,.609,.586,3.6,4.1,.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2
Chandler Hutchison,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
Serge Ibaka,C,31,LAC,29,29,24.2,4.8,9.2,.515,1.0,2.7,.377,3.8,6.6,.571,.569,1.2,1.5,.818,1.9,4.8,6.7,1.7,0.2,1.2,1.3,1.9,11.8
Andre Iguodala,SF,37,MIA,26,2,21.2,1.6,4.3,.369,1.0,3.3,.318,0.5,1.0,.538,.491,0.2,0.4,.455,0.5,3.1,3.6,2.3,1.0,0.5,1.0,1.5,4.4
Joe Ingles,SF,33,UTA,25,8,26.6,4.1,7.9,.518,2.4,5.3,.451,1.7,2.6,.656,.670,1.2,1.4,.882,0.4,3.0,3.5,4.7,0.4,0.2,1.6,1.7,11.8
Brandon Ingram,SF,23,NOP,28,28,34.8,8.2,17.5,.466,2.5,6.3,.400,5.7,11.3,.503,.538,4.7,5.4,.874,0.6,4.8,5.4,4.8,0.6,0.9,2.5,1.8,23.6
Kyrie Irving,PG,28,BRK,20,20,35.4,10.7,20.0,.534,3.1,6.9,.442,7.6,13.1,.582,.610,3.9,4.3,.918,0.9,3.7,4.6,5.7,1.1,0.8,2.4,3.0,28.3
Wesley Iwundu,SF,26,DAL,17,3,13.6,0.8,2.7,.283,0.2,1.4,.130,0.6,1.4,.435,.315,0.5,0.6,.800,0.3,1.6,1.9,0.5,0.4,0.1,0.2,1.2,2.2
Frank Jackson,PG,22,DET,7,0,5.6,0.6,2.3,.250,0.4,1.4,.300,0.1,0.9,.167,.344,0.0,0.0,0,0.0,0.7,0.7,1.1,0.1,0.0,0.6,0.6,1.6
Josh Jackson,SG,23,DET,26,6,24.1,4.5,10.5,.427,1.4,4.4,.322,3.1,6.1,.503,.495,2.3,3.4,.685,0.7,3.3,4.0,1.9,1.0,0.9,2.4,3.0,12.8
Justin Jackson,SF,25,OKC,18,2,18.0,2.9,6.4,.457,1.2,3.3,.356,1.8,3.2,.561,.547,0.8,1.0,.778,0.4,1.9,2.4,1.8,0.4,0.1,1.0,1.2,7.8
Reggie Jackson,SG,30,LAC,27,14,20.8,3.1,7.4,.427,1.2,3.4,.348,2.0,4.0,.495,.508,1.1,1.4,.744,0.3,2.4,2.7,3.3,0.7,0.1,1.0,1.9,8.6
Justin James,SF,24,SAC,8,0,6.3,0.8,1.9,.400,0.0,0.5,.000,0.8,1.4,.545,.400,0.1,0.9,.143,0.3,0.6,0.9,0.4,0.1,0.1,0.0,0.1,1.6
LeBron James,PG,36,LAL,29,29,34.7,9.4,18.8,.504,2.5,6.7,.378,6.9,12.1,.573,.571,4.2,6.0,.711,0.6,7.6,8.2,7.9,1.0,0.5,3.7,1.6,25.7
DaQuan Jeffries,SG,23,SAC,3,1,13.7,1.0,4.0,.250,0.0,2.0,.000,1.0,2.0,.500,.250,0.0,0.0,0,0.7,1.3,2.0,0.7,1.0,0.7,0.7,1.0,2.0
Isaiah Joe,SG,21,PHI,16,1,13.3,1.7,4.4,.380,1.3,3.5,.375,0.4,0.9,.400,.528,0.3,0.3,1.000,0.3,0.9,1.2,0.9,0.4,0.3,0.3,1.3,5.0
Cameron Johnson,PF,24,PHO,27,9,25.4,3.8,8.6,.438,2.2,5.9,.369,1.6,2.7,.589,.564,1.0,1.1,.871,0.6,3.0,3.6,1.5,0.6,0.3,0.8,1.3,10.7
James Johnson,PF,33,DAL,23,0,18.4,2.6,5.3,.488,0.6,2.2,.280,2.0,3.2,.630,.545,0.6,1.0,.542,0.5,2.6,3.1,1.6,0.9,0.8,1.1,2.1,6.4
Keldon Johnson,SF,21,SAS,27,27,30.1,5.3,11.4,.468,1.0,3.0,.325,4.4,8.4,.518,.510,2.9,3.7,.778,1.7,5.2,7.0,2.3,0.8,0.5,1.5,2.3,14.5
Stanley Johnson,PF,24,TOR,25,1,14.7,1.0,2.5,.403,0.6,1.5,.405,0.4,1.0,.400,.524,0.4,0.6,.786,0.6,2.0,2.5,1.4,0.8,0.3,0.7,1.7,3.0
Tyler Johnson,SG,28,BRK,13,1,12.2,1.6,3.6,.447,1.2,2.5,.469,0.5,1.2,.400,.606,0.2,0.2,1.000,0.2,1.0,1.2,0.8,0.3,0.0,0.3,0.6,4.5
Nikola Jokić,C,25,DEN,28,28,35.9,10.5,18.4,.570,1.5,3.8,.402,9.0,14.6,.614,.611,4.8,5.5,.871,3.0,8.2,11.1,8.6,1.6,0.6,3.4,3.1,27.4
Damian Jones,C,25,PHO,11,0,7.1,0.4,0.9,.400,0.0,0.1,.000,0.4,0.8,.444,.400,0.5,0.8,.556,0.6,0.8,1.5,0.0,0.1,0.5,0.5,1.6,1.2
Derrick Jones Jr.,SF,23,POR,24,23,27.1,2.8,6.0,.476,0.7,2.6,.274,2.1,3.4,.630,.535,1.3,2.0,.612,1.8,2.9,4.7,0.7,0.8,0.9,0.7,2.6,7.6
Mason Jones,SG,22,HOU,18,1,11.2,1.8,4.0,.458,0.9,2.3,.415,0.9,1.7,.516,.576,0.9,1.7,.548,0.2,1.8,2.0,1.3,0.3,0.0,1.2,1.0,5.6
Tre Jones,PG,21,SAS,9,0,3.0,0.7,1.3,.500,0.1,0.1,1.000,0.6,1.2,.455,.542,0.6,0.6,1.000,0.4,0.0,0.4,0.1,0.0,0.0,0.2,0.2,2.0
Tyus Jones,PG,24,MEM,24,8,23.5,3.3,8.0,.406,0.7,2.8,.250,2.5,5.2,.492,.451,0.5,0.6,.800,0.6,2.1,2.8,5.3,1.3,0.1,1.0,0.5,7.7
DeAndre Jordan,C,32,BRK,28,22,21.6,3.2,4.0,.788,0.0,0.0,0,3.2,4.0,.788,.788,0.8,1.5,.548,1.8,5.3,7.0,1.9,0.3,1.4,1.7,2.1,7.2
Cory Joseph,PG,29,SAC,27,1,19.8,2.7,5.7,.471,0.7,2.0,.327,2.0,3.7,.550,.529,0.7,1.0,.741,0.4,1.7,2.1,2.4,0.8,0.2,1.1,2.2,6.8
Mfiondu Kabengele,PF,23,LAC,17,0,4.1,0.4,1.4,.261,0.1,0.7,.167,0.2,0.6,.364,.304,0.2,0.2,.750,0.1,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.0
Frank Kaminsky,C,27,PHO,20,6,15.8,2.6,5.8,.452,0.8,2.0,.385,1.9,3.8,.487,.517,0.7,1.2,.609,1.0,3.5,4.5,2.0,0.2,0.5,0.5,1.6,6.7
Enes Kanter,C,28,POR,28,16,25.1,4.9,8.4,.581,0.0,0.0,0,4.9,8.4,.581,.581,1.8,2.3,.754,4.1,7.0,11.1,1.1,0.5,0.8,1.2,2.5,11.5
Luke Kennard,SG,24,LAC,29,7,22.0,3.0,6.5,.463,1.6,3.6,.442,1.4,2.9,.488,.585,0.4,0.5,.867,0.3,2.6,2.9,1.8,0.3,0.2,0.9,1.6,8.0
Maxi Kleber,PF,29,DAL,17,11,25.6,2.2,5.1,.430,1.7,3.8,.453,0.5,1.3,.364,.599,1.0,1.1,.944,0.9,4.4,5.4,1.5,0.4,0.8,0.6,2.4,7.1
Nathan Knight,PF,23,ATL,9,0,6.0,1.0,2.4,.409,0.3,1.0,.333,0.7,1.4,.462,.477,0.8,0.9,.875,0.9,0.7,1.6,0.1,0.2,0.3,0.4,0.8,3.1
Kevin Knox,SF,21,NYK,23,0,16.2,1.9,4.9,.389,1.1,2.9,.379,0.8,2.0,.404,.500,0.4,0.5,.833,0.4,1.7,2.1,0.7,0.3,0.3,0.7,1.4,5.3
John Konchar,SG,24,MEM,16,0,16.5,1.5,3.5,.429,0.4,1.4,.318,1.1,2.1,.500,.491,0.9,1.0,.938,1.0,2.8,3.8,1.1,1.1,0.3,0.5,1.4,4.4
Furkan Korkmaz,SG,23,PHI,18,1,19.5,2.7,7.2,.377,1.3,4.2,.320,1.4,3.1,.455,.469,0.8,0.9,.875,0.2,2.3,2.6,0.8,0.7,0.1,0.9,1.1,7.6
