Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Drew Eubanks,C,23,SAS,11,0,139,4.1,9.6,.432,0.0,0.0,0,4.1,9.6,.432,3.1,4.1,.750,1.8,7.8,9.6,1.0,0.3,3.9,1.3,3.6,11.4
Dante Exum,SG,25,CLE,6,3,116,3.1,8.1,.385,0.6,3.4,.182,2.5,4.7,.533,0.3,0.6,.500,0.6,4.7,5.3,4.0,1.2,0.6,2.2,2.8,7.1
Tacko Fall,C,25,BOS,6,0,49,5.9,8.8,.667,0.0,0.0,0,5.9,8.8,.667,2.2,5.9,.375,5.9,9.6,15.4,0.0,0.0,5.9,0.7,6.6,14.0
Derrick Favors,C,29,UTA,27,0,444,5.4,8.5,.629,0.0,0.1,.000,5.4,8.4,.635,3.0,3.7,.804,4.5,7.6,12.2,2.0,1.2,2.4,1.3,5.4,13.7
Cristiano Felício,C,28,CHI,6,0,38,2.8,3.8,.750,0.0,0.0,0,2.8,3.8,.750,4.7,7.6,.625,5.7,5.7,11.4,4.7,1.9,0.0,2.8,2.8,10.4
Terrance Ferguson,SG,22,PHI,7,0,24,0.0,4.5,.000,0.0,4.5,.000,0.0,0.0,0,0.0,0.0,0,0.0,1.5,1.5,3.0,0.0,0.0,1.5,4.5,0.0
Bruno Fernando,C,22,ATL,15,0,132,2.5,6.0,.409,0.0,0.5,.000,2.5,5.5,.450,2.5,4.1,.600,3.3,10.9,14.2,2.5,0.5,0.5,3.3,4.1,7.4
Yogi Ferrell,PG,27,CLE,2,0,40,7.2,18.9,.381,2.7,8.1,.333,4.5,10.8,.417,0.0,1.8,.000,2.7,3.6,6.3,4.5,2.7,0.9,2.7,3.6,17.1
Dorian Finney-Smith,PF,27,DAL,19,19,583,3.9,8.6,.450,2.3,6.0,.381,1.6,2.7,.605,0.6,0.7,.833,1.7,3.9,5.6,1.4,1.2,0.5,0.7,3.2,10.7
Malachi Flynn,PG,22,TOR,13,0,106,3.7,13.2,.282,1.7,7.8,.217,2.0,5.4,.375,0.7,1.4,.500,0.3,2.7,3.1,5.4,1.4,0.0,1.4,3.4,9.8
Bryn Forbes,SG,27,MIL,28,5,514,6.8,14.1,.480,4.0,8.5,.471,2.8,5.7,.494,1.0,1.4,.700,0.4,1.9,2.2,0.9,0.5,0.0,1.3,2.4,18.6
Trent Forrest,PG,22,UTA,4,0,13,0.0,5.5,.000,0.0,5.5,.000,0.0,0.0,0,5.5,5.5,1.000,0.0,2.8,2.8,2.8,5.5,0.0,0.0,5.5,5.5
Evan Fournier,SF,28,ORL,15,15,430,7.3,16.2,.451,2.8,7.8,.366,4.4,8.4,.530,5.0,6.3,.800,0.3,2.8,3.2,4.5,1.3,0.5,2.6,2.8,22.4
De'Aaron Fox,PG,23,SAC,26,26,860,9.2,19.3,.476,2.0,5.9,.343,7.2,13.4,.534,4.9,7.2,.690,0.8,2.8,3.6,7.4,1.3,0.5,3.4,2.9,25.3
Tim Frazier,PG,30,MEM,3,0,33,2.2,8.7,.250,0.0,2.2,.000,2.2,6.5,.333,0.0,0.0,0,0.0,4.4,4.4,7.6,1.1,0.0,3.3,4.4,4.4
Markelle Fultz,PG,22,ORL,8,8,215,6.9,17.4,.394,0.7,2.7,.250,6.2,14.7,.420,2.8,3.2,.895,0.8,3.3,4.2,7.2,1.3,0.3,3.0,3.0,17.2
Wenyen Gabriel,PF,23,NOP,3,0,10,0.0,10.8,.000,0.0,3.6,.000,0.0,7.2,.000,0.0,0.0,0,3.6,10.8,14.4,3.6,0.0,0.0,0.0,0.0,0.0
Daniel Gafford,PF,22,CHI,23,11,330,5.3,8.0,.671,0.0,0.0,0,5.3,8.0,.671,2.7,4.0,.676,3.6,4.7,8.3,1.7,1.2,3.2,2.0,5.1,13.4
Danilo Gallinari,PF,32,ATL,16,1,315,5.5,13.8,.397,3.0,7.9,.377,2.5,5.9,.423,5.6,5.9,.942,0.3,4.9,5.3,2.1,0.3,0.2,2.2,3.5,19.5
Langston Galloway,SG,29,PHO,22,0,245,5.0,10.7,.466,2.9,6.2,.476,2.1,4.6,.452,2.4,2.4,1.000,0.6,2.9,3.5,2.2,0.6,0.0,1.0,1.9,15.3
Darius Garland,PG,21,CLE,21,18,679,7.2,15.9,.452,1.9,4.6,.407,5.3,11.3,.469,1.5,1.6,.903,0.5,2.0,2.5,5.9,1.1,0.2,2.8,2.7,17.7
Marc Gasol,C,36,LAL,29,29,579,2.5,6.2,.400,1.2,3.5,.351,1.2,2.7,.465,1.4,1.6,.880,1.4,6.2,7.6,3.3,0.7,2.2,1.5,4.3,7.6
Rudy Gay,PF,34,SAS,26,0,572,6.8,16.2,.419,2.6,7.0,.366,4.2,9.2,.459,2.1,2.7,.767,1.5,7.0,8.5,2.5,1.1,0.8,1.9,3.0,18.3
Paul George,SF,30,LAC,20,20,680,8.9,17.5,.508,4.0,8.3,.478,4.9,9.2,.534,4.0,4.4,.905,0.7,5.9,6.6,5.8,1.3,0.5,3.8,2.4,25.8
Taj Gibson,PF,35,NYK,8,0,109,3.3,6.6,.500,0.3,1.7,.200,3.0,5.0,.600,1.0,2.0,.500,3.6,4.6,8.3,1.3,0.7,1.0,0.7,5.0,7.9
Harry Giles,C,22,POR,22,0,260,3.6,8.6,.419,0.4,1.1,.375,3.2,7.5,.426,1.8,2.5,.722,3.5,11.5,15.0,2.8,0.7,1.2,2.2,6.1,9.4
Shai Gilgeous-Alexander,SG,22,OKC,22,22,741,8.4,16.7,.503,2.0,5.2,.383,6.4,11.5,.557,5.3,6.8,.784,0.7,5.1,5.8,6.9,0.9,0.7,3.1,2.2,24.1
Anthony Gill,PF,28,WAS,10,1,65,1.7,5.5,.300,0.6,3.9,.143,1.1,1.7,.667,1.7,2.2,.750,1.7,8.9,10.5,1.7,1.7,1.1,1.7,1.7,5.5
Rudy Gobert,C,28,UTA,29,29,878,6.5,10.1,.640,0.0,0.0,.000,6.5,10.1,.642,4.0,6.8,.581,4.2,11.8,16.0,1.5,0.5,3.2,1.9,2.7,16.9
Brandon Goodwin,PG,25,ATL,22,0,280,4.2,13.1,.324,1.8,6.7,.269,2.4,6.4,.380,2.2,3.1,.708,0.4,3.1,3.5,5.5,1.3,0.0,1.5,3.0,12.5
Aaron Gordon,PF,25,ORL,19,19,552,5.9,13.9,.427,2.0,5.5,.369,3.9,8.4,.465,3.2,5.2,.613,2.2,6.8,8.9,5.2,0.9,1.0,3.5,2.5,17.1
Eric Gordon,SG,32,HOU,22,10,646,7.6,16.5,.463,3.3,9.5,.351,4.3,7.0,.616,4.3,5.1,.848,0.4,2.3,2.7,3.3,0.7,0.6,2.3,1.8,23.0
Devonte' Graham,PG,25,CHO,25,25,821,4.8,13.6,.352,3.1,8.9,.347,1.7,4.7,.361,2.4,3.1,.775,0.6,2.7,3.3,6.2,1.1,0.0,1.5,1.7,15.0
Jerami Grant,SF,26,DET,28,28,1017,7.8,17.7,.443,2.5,6.6,.387,5.3,11.1,.476,5.3,6.1,.883,0.8,4.4,5.2,2.9,0.8,1.2,1.7,2.8,23.5
Danny Green,SF,33,PHI,29,29,824,3.9,9.7,.401,2.8,7.3,.375,1.1,2.4,.481,0.4,0.6,.714,1.2,3.4,4.6,2.2,1.4,0.9,1.7,2.1,11.0
Draymond Green,PF,30,GSW,24,24,695,2.4,6.7,.362,0.4,2.2,.186,2.0,4.5,.448,1.2,1.8,.676,0.7,6.3,7.0,10.3,1.7,0.8,3.3,3.8,6.5
JaMychal Green,PF,30,DEN,24,3,511,5.6,12.6,.441,2.9,6.8,.427,2.7,5.8,.458,1.9,2.3,.844,2.9,7.7,10.6,1.7,1.1,0.5,1.8,4.7,15.9
Javonte Green,SG,27,BOS,18,1,276,4.0,8.1,.500,0.9,2.7,.333,3.1,5.3,.585,2.6,3.8,.690,2.2,3.7,5.9,1.0,2.2,0.3,1.4,2.9,11.6
Jeff Green,PF,34,BRK,30,13,780,4.8,9.5,.505,2.2,5.1,.427,2.6,4.4,.594,1.7,2.1,.822,0.6,4.5,5.2,2.0,0.9,0.4,1.1,2.7,13.5
Josh Green,SG,20,DAL,17,5,212,2.9,6.1,.472,0.3,2.0,.167,2.5,4.1,.625,1.0,1.9,.545,2.0,4.6,6.6,1.7,0.7,0.2,1.9,2.7,7.1
Blake Griffin,PF,31,DET,20,20,626,4.7,12.8,.365,2.2,7.1,.315,2.4,5.6,.429,2.5,3.6,.710,0.4,5.6,6.0,4.4,0.8,0.1,1.8,2.4,14.1
Kyle Guy,PG,23,SAC,10,0,79,4.1,14.6,.281,1.8,7.3,.250,2.3,7.3,.313,3.2,3.6,.875,1.4,4.1,5.5,5.9,1.8,0.0,0.5,2.3,13.2
Rui Hachimura,PF,22,WAS,19,19,555,5.8,12.7,.454,1.0,3.2,.300,4.8,9.5,.507,3.8,4.8,.784,1.4,5.3,6.7,2.5,0.8,0.1,1.2,2.6,16.3
Ashton Hagans,PG,21,MIN,2,0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Tyrese Haliburton,PG,20,SAC,25,2,734,5.8,11.7,.498,2.8,6.4,.443,3.0,5.3,.565,0.7,0.8,.824,1.2,3.1,4.4,6.4,1.5,0.7,2.0,1.5,15.2
Josh Hall,SF,20,OKC,7,0,51,2.8,12.7,.222,0.7,5.6,.125,2.1,7.1,.300,2.1,4.9,.429,0.7,5.6,6.4,4.9,0.0,0.0,2.8,4.9,8.5
R.J. Hampton,PG,19,DEN,21,0,180,3.8,9.4,.404,1.0,3.2,.313,2.8,6.2,.452,0.8,1.2,.667,1.8,6.2,8.0,2.0,1.0,0.4,2.0,3.2,9.4
Tim Hardaway Jr.,SG,28,DAL,27,17,825,6.9,15.7,.439,3.6,9.2,.393,3.3,6.5,.503,2.2,2.8,.785,0.3,3.5,3.8,1.9,0.8,0.2,1.1,1.9,19.6
James Harden,SG,31,TOT,24,24,903,7.3,15.1,.482,2.9,7.6,.384,4.4,7.6,.579,5.9,6.6,.897,0.7,6.3,7.0,10.8,1.0,0.7,4.1,2.2,23.4
James Harden,SG,31,HOU,8,8,290,7.4,16.8,.444,3.1,8.9,.347,4.3,7.8,.556,6.6,7.4,.883,0.6,4.5,5.1,10.3,0.9,0.7,4.2,1.7,24.6
James Harden,SG,31,BRK,16,16,613,7.2,14.4,.502,2.8,6.9,.407,4.4,7.5,.591,5.6,6.2,.905,0.8,7.1,7.9,11.0,1.1,0.7,4.1,2.4,22.8
Maurice Harkless,SF,27,MIA,10,3,109,1.3,3.3,.400,1.3,2.6,.500,0.0,0.7,.000,0.0,0.7,.000,0.3,2.6,3.0,2.3,0.7,1.0,0.7,4.0,4.0
Jared Harper,PG,23,NYK,2,0,5,0.0,7.2,.000,0.0,0.0,0,0.0,7.2,.000,14.4,14.4,1.000,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,14.4
Montrezl Harrell,C,27,LAL,29,0,714,7.8,12.1,.646,0.0,0.2,.000,7.8,11.9,.657,3.8,5.2,.738,3.3,5.9,9.2,1.6,1.0,1.1,1.9,3.2,19.5
Gary Harris,SG,26,DEN,19,19,581,4.3,9.7,.442,1.5,4.6,.320,2.8,5.0,.556,1.4,1.9,.733,0.8,2.1,2.9,2.0,1.1,0.2,0.9,2.3,11.4
Jalen Harris,SG,22,TOR,2,0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,18.0,0.0
Joe Harris,SF,29,BRK,30,26,928,6.4,12.2,.529,3.8,7.7,.495,2.6,4.5,.586,0.6,0.9,.696,0.7,3.4,4.1,2.2,0.6,0.3,1.0,2.8,17.3
Tobias Harris,PF,28,PHI,26,26,896,8.3,16.1,.518,1.8,4.3,.426,6.5,11.7,.551,3.3,3.6,.900,1.3,6.8,8.1,3.3,0.8,0.9,2.1,2.2,21.7
Shaquille Harrison,SG,27,UTA,16,0,54,4.0,12.7,.316,0.0,0.7,.000,4.0,12.0,.333,3.3,4.0,.833,2.0,4.0,6.0,5.3,1.3,0.0,3.3,2.0,11.3
Josh Hart,SF,25,NOP,28,2,785,4.0,8.9,.451,1.8,5.3,.348,2.2,3.7,.600,1.5,2.1,.711,1.3,8.3,9.6,2.8,1.0,0.2,1.1,2.8,11.4
Isaiah Hartenstein,C,22,DEN,18,0,157,6.9,12.6,.545,0.0,0.0,0,6.9,12.6,.545,3.7,6.2,.593,6.0,5.7,11.7,2.3,1.6,3.0,3.2,8.9,17.4
Jaxson Hayes,C,20,NOP,21,1,246,5.1,8.0,.636,0.0,0.0,0,5.1,8.0,.636,2.6,3.8,.692,3.8,7.3,11.1,1.3,1.0,1.0,1.9,5.6,12.9
Killian Hayes,PG,19,DET,7,7,148,3.2,11.4,.277,1.2,4.9,.250,1.9,6.6,.296,0.2,0.5,.500,0.2,1.7,1.9,6.1,0.5,0.0,4.1,3.6,7.8
Gordon Hayward,SF,30,CHO,26,26,922,8.2,16.9,.486,2.2,5.3,.422,6.0,11.6,.515,4.0,4.6,.864,0.9,4.6,5.5,3.9,1.1,0.4,2.1,1.9,22.6
Juan Hernangómez,PF,25,MIN,13,6,242,4.5,11.2,.400,2.1,6.5,.318,2.4,4.6,.516,1.3,2.1,.643,1.9,7.7,9.7,1.0,0.7,0.3,0.9,1.8,12.3
Willy Hernangómez,C,26,NOP,13,0,222,5.8,10.7,.545,0.2,0.8,.200,5.7,9.9,.574,2.4,3.7,.652,5.5,8.1,13.6,2.4,1.0,0.8,0.8,2.3,14.3
Tyler Herro,SG,21,MIA,20,14,687,6.8,15.5,.437,2.2,6.5,.339,4.6,9.0,.509,2.0,2.6,.780,0.5,6.1,6.6,4.1,0.5,0.5,2.7,1.7,17.8
Buddy Hield,SG,28,SAC,27,27,940,5.5,14.6,.377,4.1,10.8,.377,1.5,3.9,.376,1.6,1.8,.872,0.4,4.6,5.0,3.1,0.9,0.3,2.0,2.8,16.7
George Hill,PG,34,OKC,14,14,369,6.0,11.7,.508,2.1,5.6,.386,3.8,6.1,.619,2.0,2.4,.840,0.8,2.0,2.8,4.2,1.2,0.2,1.2,1.2,16.1
Solomon Hill,PF,29,ATL,28,1,532,2.9,8.1,.358,2.0,6.1,.322,0.9,2.0,.467,0.5,0.7,.800,0.7,3.7,4.4,1.6,1.2,0.4,1.0,3.0,8.3
Nate Hinton,SG,21,DAL,6,0,19,5.7,24.6,.231,1.9,9.5,.200,3.8,15.2,.250,1.9,3.8,.500,0.0,0.0,0.0,0.0,1.9,1.9,3.8,1.9,15.2
Aaron Holiday,PG,24,IND,29,6,576,5.1,13.7,.370,1.9,5.8,.333,3.1,7.9,.397,1.4,1.8,.759,0.4,2.1,2.4,3.3,0.9,0.2,1.4,3.1,13.4
Jrue Holiday,PG,30,MIL,23,23,747,7.2,14.4,.502,2.1,5.3,.387,5.2,9.1,.569,1.6,2.1,.791,1.4,3.9,5.3,6.0,2.1,0.7,1.7,1.9,18.2
Justin Holiday,SG,31,IND,29,20,935,4.4,9.5,.466,2.7,6.4,.419,1.7,3.1,.563,1.3,1.7,.791,0.8,3.9,4.7,1.9,1.3,0.4,0.8,2.6,12.9
Richaun Holmes,C,27,SAC,25,25,739,6.6,10.2,.648,0.0,0.2,.200,6.6,10.0,.659,2.2,2.8,.793,3.0,6.4,9.4,2.2,0.8,2.0,1.9,5.0,15.5
Rodney Hood,SF,28,POR,23,5,436,4.0,10.8,.366,1.2,3.9,.298,2.8,6.9,.405,0.3,0.5,.667,0.3,2.9,3.2,2.3,1.2,0.2,1.5,2.7,9.4
Al Horford,C,34,OKC,19,19,536,7.5,16.6,.453,2.8,7.1,.390,4.8,9.5,.500,0.9,1.2,.778,1.1,7.7,8.8,4.6,1.2,1.1,1.6,2.2,18.7
Talen Horton-Tucker,SG,20,LAL,25,0,413,5.8,13.1,.447,1.0,3.7,.279,4.8,9.3,.514,2.0,2.4,.821,0.8,4.4,5.2,3.8,1.8,1.0,2.7,4.2,14.7
Danuel House,SF,27,HOU,17,7,474,3.9,10.6,.374,1.8,6.4,.286,2.1,4.2,.509,1.7,2.3,.767,0.8,3.9,4.7,2.7,1.0,0.7,1.2,2.4,11.5
Dwight Howard,C,35,PHI,29,4,483,4.5,8.2,.555,0.2,0.6,.375,4.3,7.6,.569,3.4,6.4,.523,5.8,10.8,16.6,1.4,0.9,1.9,4.0,6.8,12.7
Markus Howard,SG,21,DEN,14,0,48,4.5,21.7,.207,2.3,15.8,.143,2.3,6.0,.375,0.0,0.0,0,0.0,3.7,3.7,3.7,1.5,0.0,3.0,4.5,11.3
Kevin Huerter,SG,22,ATL,28,17,890,5.1,12.1,.423,2.5,6.5,.385,2.6,5.6,.468,0.8,1.0,.792,0.8,3.3,4.1,4.3,1.4,0.2,1.5,2.6,13.6
Elijah Hughes,SF,22,UTA,6,0,27,6.7,20.0,.333,4.0,13.3,.300,2.7,6.7,.400,4.0,5.3,.750,0.0,5.3,5.3,4.0,1.3,1.3,5.3,0.0,21.3
De'Andre Hunter,SF,23,ATL,18,18,579,6.7,13.1,.514,1.9,5.1,.366,4.8,8.0,.609,4.0,4.5,.877,1.0,5.0,6.0,2.5,1.1,0.6,1.6,2.9,19.3
Chandler Hutchison,SF,24,CHI,7,0,64,2.8,10.1,.278,0.6,1.7,.333,2.3,8.4,.267,1.1,1.1,1.000,0.6,10.7,11.3,2.3,0.6,0.0,2.8,5.1,7.3
Serge Ibaka,C,31,LAC,29,29,701,7.1,13.8,.515,1.5,4.0,.377,5.6,9.8,.571,1.8,2.3,.818,2.8,7.1,9.9,2.6,0.4,1.8,2.0,2.8,17.5
Andre Iguodala,SF,37,MIA,26,2,552,2.7,7.2,.369,1.8,5.5,.318,0.9,1.7,.538,0.3,0.7,.455,0.8,5.3,6.1,4.0,1.8,0.8,1.8,2.5,7.4
Joe Ingles,SF,33,UTA,25,8,665,5.5,10.7,.518,3.2,7.2,.451,2.3,3.5,.656,1.6,1.8,.882,0.6,4.1,4.7,6.3,0.5,0.3,2.2,2.3,15.9
Brandon Ingram,SF,23,NOP,28,28,974,8.5,18.1,.466,2.6,6.5,.400,5.9,11.7,.503,4.9,5.6,.874,0.6,4.9,5.5,5.0,0.7,1.0,2.6,1.8,24.4
Kyrie Irving,PG,28,BRK,20,20,707,10.8,20.3,.534,3.1,7.0,.442,7.7,13.3,.582,4.0,4.3,.918,0.9,3.8,4.7,5.8,1.1,0.8,2.4,3.0,28.8
Wesley Iwundu,SF,26,DAL,17,3,232,2.0,7.1,.283,0.5,3.6,.130,1.6,3.6,.435,1.2,1.6,.800,0.8,4.3,5.1,1.2,1.1,0.3,0.6,3.1,5.7
Frank Jackson,PG,22,DET,7,0,39,3.7,14.8,.250,2.8,9.2,.300,0.9,5.5,.167,0.0,0.0,0,0.0,4.6,4.6,7.4,0.9,0.0,3.7,3.7,10.2
Josh Jackson,SG,23,DET,26,6,627,6.7,15.7,.427,2.1,6.6,.322,4.6,9.1,.503,3.5,5.1,.685,1.1,4.9,6.0,2.9,1.4,1.4,3.6,4.5,19.1
Justin Jackson,SF,25,OKC,18,2,324,5.9,12.9,.457,2.3,6.6,.356,3.6,6.3,.561,1.6,2.0,.778,0.9,3.9,4.8,3.7,0.8,0.1,2.0,2.3,15.7
Reggie Jackson,SG,30,LAC,27,14,562,5.4,12.7,.427,2.0,5.9,.348,3.4,6.9,.495,1.9,2.5,.744,0.6,4.1,4.7,5.6,1.2,0.2,1.7,3.3,14.8
Justin James,SF,24,SAC,8,0,50,4.3,10.8,.400,0.0,2.9,.000,4.3,7.9,.545,0.7,5.0,.143,1.4,3.6,5.0,2.2,0.7,0.7,0.0,0.7,9.4
LeBron James,PG,36,LAL,29,29,1006,9.8,19.5,.504,2.6,6.9,.378,7.2,12.6,.573,4.4,6.2,.711,0.6,7.9,8.5,8.2,1.1,0.5,3.9,1.6,26.6
DaQuan Jeffries,SG,23,SAC,3,1,41,2.6,10.5,.250,0.0,5.3,.000,2.6,5.3,.500,0.0,0.0,0,1.8,3.5,5.3,1.8,2.6,1.8,1.8,2.6,5.3
Isaiah Joe,SG,21,PHI,16,1,212,4.6,12.1,.380,3.6,9.5,.375,1.0,2.5,.400,0.8,0.8,1.000,0.7,2.5,3.2,2.5,1.0,0.7,0.8,3.6,13.6
Cameron Johnson,PF,24,PHO,27,9,686,5.4,12.2,.438,3.1,8.4,.369,2.3,3.8,.589,1.4,1.6,.871,0.9,4.3,5.1,2.1,0.9,0.4,1.1,1.9,15.2
James Johnson,PF,33,DAL,23,0,424,5.1,10.4,.488,1.2,4.2,.280,3.9,6.2,.630,1.1,2.0,.542,0.9,5.1,6.0,3.1,1.7,1.6,2.1,4.1,12.5
Keldon Johnson,SF,21,SAS,27,27,812,6.4,13.7,.468,1.2,3.5,.325,5.2,10.1,.518,3.4,4.4,.778,2.1,6.3,8.3,2.7,0.9,0.6,1.8,2.7,17.3
Stanley Johnson,PF,24,TOR,25,1,368,2.4,6.1,.403,1.5,3.6,.405,1.0,2.4,.400,1.1,1.4,.786,1.4,4.8,6.2,3.5,2.1,0.8,1.8,4.2,7.4
Tyler Johnson,SG,28,BRK,13,1,159,4.8,10.6,.447,3.4,7.2,.469,1.4,3.4,.400,0.5,0.5,1.000,0.5,2.9,3.4,2.5,0.9,0.0,0.9,1.8,13.4
Nikola Jokić,C,25,DEN,28,28,1006,10.5,18.5,.570,1.5,3.8,.402,9.0,14.6,.614,4.8,5.5,.871,3.0,8.2,11.2,8.6,1.6,0.6,3.4,3.1,27.4
Damian Jones,C,25,PHO,11,0,78,1.8,4.6,.400,0.0,0.5,.000,1.8,4.2,.444,2.3,4.2,.556,3.2,4.2,7.4,0.0,0.5,2.3,2.3,8.3,6.0
Derrick Jones Jr.,SF,23,POR,24,23,650,3.8,7.9,.476,0.9,3.4,.274,2.8,4.5,.630,1.7,2.7,.612,2.4,3.8,6.3,0.9,1.1,1.2,0.9,3.4,10.1
Mason Jones,SG,22,HOU,18,1,201,5.9,12.9,.458,3.0,7.3,.415,2.9,5.6,.516,3.0,5.6,.548,0.5,5.9,6.4,4.3,1.1,0.0,3.8,3.2,17.9
Tre Jones,PG,21,SAS,9,0,27,8.0,16.0,.500,1.3,1.3,1.000,6.7,14.7,.455,6.7,6.7,1.000,5.3,0.0,5.3,1.3,0.0,0.0,2.7,2.7,24.0
Tyus Jones,PG,24,MEM,24,8,565,5.0,12.2,.406,1.1,4.3,.250,3.9,7.9,.492,0.8,1.0,.800,1.0,3.2,4.2,8.2,2.0,0.2,1.5,0.8,11.8
DeAndre Jordan,C,32,BRK,28,22,606,5.3,6.7,.788,0.0,0.0,0,5.3,6.7,.788,1.4,2.5,.548,2.9,8.7,11.6,3.1,0.5,2.3,2.9,3.5,11.9
Cory Joseph,PG,29,SAC,27,1,534,4.9,10.4,.471,1.2,3.7,.327,3.7,6.7,.550,1.3,1.8,.741,0.7,3.0,3.8,4.4,1.5,0.4,2.0,4.0,12.4
Mfiondu Kabengele,PF,23,LAC,17,0,69,3.1,12.0,.261,1.0,6.3,.167,2.1,5.7,.364,1.6,2.1,.750,0.5,5.2,5.7,1.6,1.0,1.0,2.6,7.3,8.9
Frank Kaminsky,C,27,PHO,20,6,316,5.9,13.1,.452,1.7,4.4,.385,4.2,8.7,.487,1.6,2.6,.609,2.2,8.0,10.1,4.6,0.5,1.1,1.1,3.6,15.2
Enes Kanter,C,28,POR,28,16,702,7.0,12.0,.581,0.0,0.0,0,7.0,12.0,.581,2.5,3.3,.754,5.9,10.0,15.9,1.6,0.8,1.1,1.7,3.6,16.5
Luke Kennard,SG,24,LAC,29,7,639,4.9,10.6,.463,2.6,5.9,.442,2.3,4.7,.488,0.7,0.8,.867,0.5,4.2,4.7,2.9,0.6,0.3,1.5,2.6,13.1
Maxi Kleber,PF,29,DAL,17,11,435,3.1,7.1,.430,2.4,5.3,.453,0.7,1.8,.364,1.4,1.5,.944,1.3,6.2,7.5,2.1,0.5,1.1,0.8,3.3,9.9
Nathan Knight,PF,23,ATL,9,0,54,6.0,14.7,.409,2.0,6.0,.333,4.0,8.7,.462,4.7,5.3,.875,5.3,4.0,9.3,0.7,1.3,2.0,2.7,4.7,18.7
Kevin Knox,SF,21,NYK,23,0,373,4.2,10.9,.389,2.4,6.4,.379,1.8,4.5,.404,1.0,1.2,.833,0.9,3.8,4.6,1.6,0.8,0.6,1.5,3.2,11.9
John Konchar,SG,24,MEM,16,0,264,3.3,7.6,.429,1.0,3.0,.318,2.3,4.6,.500,2.0,2.2,.938,2.2,6.1,8.3,2.5,2.5,0.7,1.1,3.1,9.5
Furkan Korkmaz,SG,23,PHI,18,1,351,5.0,13.3,.377,2.5,7.7,.320,2.6,5.6,.455,1.4,1.6,.875,0.4,4.3,4.7,1.4,1.3,0.2,1.7,2.1,13.9
Luke Kornet,PF,25,CHI,6,0,43,2.5,11.7,.214,0.8,9.2,.091,1.7,2.5,.667,1.7,1.7,1.000,0.0,7.5,7.5,1.7,1.7,0.8,0.8,0.8,7.5
Rodions Kurucs,SF-PF,22,TOT,14,0,73,3.0,9.9,.300,1.5,6.9,.214,1.5,3.0,.500,0.5,1.0,.500,1.0,4.9,5.9,2.0,2.5,1.0,3.5,3.9,7.9
Rodions Kurucs,PF,22,BRK,5,0,16,2.3,6.8,.333,2.3,4.5,.500,0.0,2.3,.000,0.0,0.0,0,0.0,6.8,6.8,4.5,0.0,0.0,0.0,2.3,6.8
Rodions Kurucs,SF,22,HOU,9,0,57,3.2,10.7,.294,1.3,7.6,.167,1.9,3.2,.600,0.6,1.3,.500,1.3,4.4,5.7,1.3,3.2,1.3,4.4,4.4,8.2
Kyle Kuzma,SF,25,LAL,29,7,724,6.2,13.7,.453,2.4,6.6,.361,3.8,7.1,.538,0.8,1.3,.615,2.5,6.1,8.7,1.6,0.4,0.9,1.8,2.2,15.6
Jeremy Lamb,SG,28,IND,16,8,401,5.9,11.7,.508,2.8,5.6,.500,3.1,6.1,.515,3.2,3.5,.923,1.3,4.9,6.2,2.3,1.3,0.7,1.3,3.0,17.9
Zach LaVine,SG,25,CHI,27,27,962,10.3,19.8,.520,3.6,8.3,.437,6.7,11.5,.580,4.6,5.4,.847,0.8,4.8,5.6,5.2,1.1,0.4,3.9,2.7,28.8
Jake Layman,SF,26,MIN,19,3,292,5.5,11.3,.489,1.4,4.6,.297,4.2,6.8,.618,2.2,2.8,.783,0.6,2.8,3.5,1.2,2.1,1.1,1.2,2.8,14.7
Jalen Lecque,PG,20,IND,3,0,9,4.0,16.0,.250,0.0,4.0,.000,4.0,12.0,.333,12.0,12.0,1.000,4.0,12.0,16.0,8.0,0.0,0.0,0.0,0.0,20.0
Damion Lee,SG,28,GSW,29,0,561,3.9,8.9,.432,2.6,7.1,.373,1.2,1.9,.655,1.3,1.4,.909,0.8,5.5,6.2,2.8,1.1,0.2,0.8,3.1,11.6
Saben Lee,PG,21,DET,8,0,70,2.6,7.2,.357,0.0,0.5,.000,2.6,6.7,.385,4.1,5.1,.800,0.5,1.0,1.5,4.1,2.1,0.5,2.6,4.6,9.3
Alex Len,C,27,TOT,20,6,292,5.8,9.2,.627,0.7,2.3,.316,5.1,6.9,.732,2.5,4.2,.588,1.8,6.8,8.6,2.6,1.0,2.7,2.8,4.7,14.8
Alex Len,C,27,TOR,7,2,76,2.4,4.7,.500,1.4,2.8,.500,0.9,1.9,.500,1.4,2.8,.500,0.0,5.2,5.2,1.4,0.5,2.8,3.8,4.7,7.6
