Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Bill Harte,NE ,M,9,5,459,0,1,3,1,0,0/0,0,0,0.0,0.0,1,0,1,0.2,10,3,1,0,0,33.33,1997,reg
Peter Hattrup,DAL,M,7,2,225,0,1,4,2,0,0/1,0,0,0.0,0.0,0,1,0,0.4,3,1,2,0,0,50.0,1997,reg
Jose Botello,LA ,F,7,0,151,0,1,4,1,0,0/0,0,0,0.0,0.0,0,0,1,0.6,10,3,1,0,0,25.0,1997,reg
Tahj Jakins,COL,D,19,12,1132,0,1,5,2,0,0/0,0,0,0.0,0.0,0,0,1,0.08,25,12,1,2,0,40.0,1997,reg
Oscar Draguicevich,SJ ,D,13,10,890,0,1,6,0,0,0/0,0,0,0.0,0.0,0,1,0,0.1,18,12,0,3,0,0.0,1997,reg
Cristian da Silva,MET,D,14,6,592,0,1,7,1,0,0/0,0,0,0.0,0.0,0,0,1,0.15,13,8,0,1,0,14.29,1997,reg
Ezra Hendrickson,LA ,D,14,6,797,0,1,7,2,0,0/0,0,0,0.0,0.0,1,1,0,0.11,9,10,0,1,0,28.57,1997,reg
Richard Gough,KC ,D,17,17,1457,0,1,7,5,0,0/0,0,0,0.0,0.0,0,0,1,0.06,24,8,0,4,0,71.43,1997,reg
Steve Jolley,LA ,D,12,10,882,0,1,7,4,0,0/0,0,0,0.0,0.0,0,1,0,0.1,25,17,1,0,0,57.14,1997,reg
Guido,MET,M,9,9,792,0,1,7,1,0,0/0,0,0,0.0,0.0,0,0,1,0.11,17,10,2,2,0,14.29,1997,reg
Rhett Harty,MET,D,26,26,2279,0,1,10,6,0,0/0,0,0,0.0,0.0,1,1,0,0.04,36,13,0,4,0,60.0,1997,reg
Braeden Cloutier,MET,M,17,10,922,0,1,11,5,0,0/0,0,0,0.0,0.0,0,1,0,0.1,11,26,1,1,0,45.45,1997,reg
Diego Gutierrez,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Rob Johnson,MET,F,2,0,29,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,,1997,reg
Brian Dunseth,NE ,D,5,1,185,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,1997,reg
Brian Haynes,DAL,M,1,1,70,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,1,0,,1997,reg
Tayt Ianni,SJ ,D,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Nino Da Silva,KC ,F,1,0,12,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
John Diffley,KC ,D,6,2,148,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,0,0,0,0,,1997,reg
Jake Dancy,KC ,M,3,0,116,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,,1997,reg
Altimont Butler,CLB,M,1,1,45,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Ubusuku Abukusumo,CLB,D,1,0,19,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Derek Backman,TB ,M,3,2,188,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,,1997,reg
Esmundo Rodriguez,SJ ,M,1,0,5,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Juan Sastoque,DAL,F,2,0,23,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,2,0,0,,1997,reg
Joey Thieman,DC ,M,3,0,58,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,1997,reg
Dionysus Sebwe,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Ike Udeh,KC ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Gabe Jones,DAL,F,1,0,7,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Steve Klein,NE ,M,4,0,73,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,1,0,0,,1997,reg
Peter Lak,LA ,D,2,1,33,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Greg Lalas,NE ,D,2,0,6,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Gerardo Laterza,LA ,M,4,1,128,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,,1997,reg
Jamel Mitchell,KC ,M,1,0,16,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
David Moxom,TB ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,1997,reg
Patrick Olalere,NE ,F,1,0,21,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,0,0,,1997,reg
Curt Onalfo,SJ ,D,6,3,179,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,1,0,,1997,reg
Kevin Wylie,NE ,F,3,0,31,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,1997,reg
Francis Okaroh,NE ,D,29,29,2528,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,38,35,0,2,0,100.0,1997,reg
Todd Miller,CLB,M,3,1,81,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,0,0,0,0,0.0,1997,reg
Matt Knowles,MET,D,4,2,173,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,1,0,100.0,1997,reg
Joao Luiz,MET,D,7,7,585,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,8,0,0,0,100.0,1997,reg
Dan Stebbins,DAL,F,1,1,38,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,100.0,1997,reg
Damian Silvera,KC ,M,3,1,166,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,0,0,0,0.0,1997,reg
Marco Rizi,MET,D,1,0,33,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,1997,reg
Richard Farrer,DAL,D,8,6,503,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,2,0,0,100.0,1997,reg
Carlos Llamosa,DC ,D,25,20,1817,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,23,0,4,0,0.0,1997,reg
Eric Quill,TB ,F,2,1,108,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,1,0,0,100.0,1997,reg
Scott Benedetti,COL,F,3,1,133,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,5,0,0,0,0.0,1997,reg
Joey Martinez,DAL,D,19,19,1503,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,24,5,0,4,0,100.0,1997,reg
Brad Wilson,LA ,D,3,3,222,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,1,0,50.0,1997,reg
Jeff Zaun,MET,D,10,6,623,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,6,1,3,0,33.33,1997,reg
Janusz Michallik,CLB,M,10,6,447,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,6,0,0,0,0.0,1997,reg
Chris Martinez,COL,D,8,3,330,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,4,0,0,0,33.33,1997,reg
Carlos Parra,MET,M,4,3,273,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,4,0,1,0,66.67,1997,reg
Brian Bates,COL,M,11,7,540,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,0,1,0,33.33,1997,reg
Erik Imler,DC ,M,15,9,855,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,6,1,1,0,33.33,1997,reg
Robin Fraser,LA ,D,24,24,2021,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,14,0,5,0,0.0,1997,reg
Ante Razov,LA ,F,3,0,79,0,0,3,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,4,1,0,0,100.0,1997,reg
Eric Dade,DAL,D,15,14,1306,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,31,8,0,1,0,50.0,1997,reg
John DeBrito,KC ,D,10,8,621,0,0,5,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,15,3,1,0,0,60.0,1997,reg
John Jones,LA ,M,5,0,91,0,0,5,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,1,1,1,60.0,1997,reg
Silvio Rudman,CLB,M,6,2,191,0,0,5,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,1,1,0,40.0,1997,reg
Leonardo Squadrone,NE ,D,23,23,1881,0,0,5,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,39,9,2,3,0,20.0,1997,reg
Frank Yallop,TB ,D,27,27,2430,0,0,6,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,24,10,0,2,0,16.67,1997,reg
Kerry Zavagnin,MET,M,21,12,1089,0,0,8,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,11,1,2,0,37.5,1997,reg
Dan Calichman,LA ,D,32,32,2848,0,0,8,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,41,41,0,7,0,25.0,1997,reg
Mike Duhaney,TB ,D,27,25,2205,0,0,8,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,21,14,1,3,0,37.5,1997,reg
Rob Jachym,CLB,F,9,1,247,0,0,10,5,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,2,1,0,50.0,1997,reg
Ramiro Corrales,SJ ,M,14,11,1033,0,0,10,4,0,0/0,0,0,0.0,0.0,0,0,0,0.0,21,13,0,2,0,40.0,1997,reg
Rob Smith,CLB,M,25,8,1106,0,0,11,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,12,12,7,1,0,18.18,1997,reg
Steve Pittman,KC ,D,26,23,2068,0,0,13,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,26,11,1,5,0,23.08,1997,reg
Stern John,CLB,F,27,25,2170,26,5,116,47,6,1/1,20,6,1.08,22.4,1,4,1,0.21,55,68,39,2,0,40.52,1998,reg
Cobi Jones,LA ,M,24,24,2136,19,13,63,41,3,0/1,10,9,0.8,30.2,4,6,7,0.55,19,51,21,1,0,65.08,1998,reg
Raul Diaz Arce,NE ,F,32,32,2878,18,8,90,51,1,3/4,10,8,0.56,20.0,2,4,4,0.25,57,40,44,2,0,56.67,1998,reg
Roy Lassiter,DC ,F,31,29,2691,18,8,101,52,5,3/4,11,7,0.6,17.8,1,4,4,0.27,33,42,41,5,0,51.49,1998,reg
Welton,LA ,F,31,29,2435,17,11,63,37,3,0/0,8,9,0.63,27.0,2,5,6,0.41,45,36,33,1,1,58.73,1998,reg
Jaime Moreno,DC ,F,31,31,2610,16,11,87,48,2,3/5,8,8,0.55,18.4,2,4,7,0.38,42,60,15,2,1,55.17,1998,reg
Giovanni Savarese,MET,F,30,25,2163,14,7,61,37,2,1/2,10,4,0.58,23.0,2,6,1,0.29,48,44,23,3,0,60.66,1998,reg
Mauricio Cienfuegos,LA ,M,30,30,2640,13,16,36,25,5,4/5,10,3,0.44,36.1,4,5,11,0.55,34,54,9,3,0,69.44,1998,reg
Ronald Cerritos,SJ ,F,31,30,2702,13,12,87,50,5,1/2,5,8,0.43,14.9,2,5,7,0.4,14,38,41,4,0,57.47,1998,reg
Wolde Harris,COL,F,27,10,1133,13,4,42,22,2,1/1,6,7,1.03,31.0,1,2,2,0.32,18,16,19,2,0,52.38,1998,reg
Eduardo Hurtado,LA ,F,29,28,2526,11,15,101,48,2,0/0,10,1,0.39,10.9,5,11,4,0.53,64,67,26,6,0,47.52,1998,reg
Diego Serna,MIA,F,26,23,1988,11,9,77,38,5,0/0,9,2,0.5,14.3,1,7,2,0.41,56,89,14,10,1,49.35,1998,reg
Paul Bravo,COL,M,30,30,2579,11,8,90,39,3,1/2,6,5,0.38,12.2,2,4,4,0.28,34,40,17,5,0,43.33,1998,reg
Maurice Johnston,KC ,M-F,26,23,2080,11,2,60,34,2,0/0,6,5,0.48,18.3,0,1,1,0.09,34,23,9,1,2,56.67,1998,reg
Marco Etcheverry,DC ,M,29,29,2590,10,19,72,37,3,0/0,7,3,0.35,13.9,5,11,8,0.66,33,67,10,9,0,51.39,1998,reg
Preki,KC ,M,25,24,2164,10,13,86,33,2,3/4,7,3,0.42,11.6,3,8,5,0.54,22,38,5,2,0,38.37,1998,reg
Ante Razov,CHI,F,30,24,2091,10,9,88,41,2,0/0,7,3,0.43,11.4,3,5,4,0.39,30,26,32,2,0,46.59,1998,reg
Brian McBride,CLB,F,24,24,2117,10,7,80,30,3,2/3,7,3,0.43,12.5,1,5,2,0.3,26,68,17,2,0,37.5,1998,reg
Ross Paule,COL,M,30,29,2503,10,6,46,26,3,0/0,6,4,0.36,21.7,2,1,5,0.22,27,34,2,4,0,56.52,1998,reg
Roman Kosecki,CHI,F,25,25,1999,9,9,70,35,2,0/0,6,3,0.41,12.9,0,7,2,0.41,39,87,12,3,1,50.0,1998,reg
Mauricio Ramos,TB ,M,22,21,1932,9,9,85,29,2,0/0,3,6,0.42,10.6,2,5,4,0.42,9,22,1,2,0,34.12,1998,reg
Jason Kreis,DAL,M,30,30,2578,9,8,97,39,6,0/1,5,4,0.31,9.3,2,5,3,0.28,33,43,11,6,1,40.21,1998,reg
Jim Rooney,MET,M,28,23,2040,8,5,68,28,2,0/0,7,1,0.35,11.8,0,4,1,0.22,34,21,4,3,2,41.18,1998,reg
Josh Wolff,CHI,F,14,4,651,8,3,23,14,3,0/0,7,1,1.11,34.8,1,2,1,0.41,7,9,6,0,0,60.87,1998,reg
Jeff Cunningham,CLB,F,25,8,1076,8,1,47,20,2,0/0,4,4,0.67,17.0,1,1,0,0.08,15,19,12,1,0,42.55,1998,reg
Joe-Max Moore,NE ,F,21,21,1864,7,15,54,25,4,0/0,4,3,0.34,13.0,3,7,8,0.72,35,50,14,3,0,46.3,1998,reg
Alan Prampin,TB ,F,31,28,2450,7,11,44,24,2,0/0,3,4,0.26,15.9,3,5,6,0.4,18,33,41,2,0,54.55,1998,reg
Lubos Kubik,CHI,D,31,31,2790,7,8,67,24,4,4/4,4,3,0.23,10.4,1,5,3,0.26,28,36,0,4,0,35.82,1998,reg
Edwin Gorter,NE ,M,28,27,2394,7,7,72,25,0,0/0,2,5,0.26,9.7,0,2,5,0.26,27,20,3,5,0,34.72,1998,reg
Dante Washington,DAL,F,28,21,1852,7,5,51,28,1,0/0,7,0,0.34,13.7,1,2,3,0.24,18,27,25,1,0,54.9,1998,reg
Vitalis Takawira,KC ,F,29,21,1769,7,3,29,18,2,0/0,2,5,0.36,24.1,1,2,1,0.15,35,49,32,1,0,62.07,1998,reg
Musa Shannon,TB ,M-F,18,8,823,7,2,21,9,3,0/0,2,5,0.77,33.3,1,1,1,0.22,22,24,9,3,0,42.86,1998,reg
Martin Machon,LA ,M,31,29,2588,6,14,42,18,2,0/0,2,4,0.21,14.3,3,9,5,0.49,33,28,6,1,0,42.86,1998,reg
Jerzy Podbrozny,CHI,F,26,25,1979,6,14,47,22,0,0/0,2,4,0.27,12.8,4,13,1,0.64,20,26,6,4,0,46.81,1998,reg
Peter Nowak,CHI,M,24,24,1921,6,12,38,20,2,0/0,5,1,0.28,15.8,4,7,5,0.56,22,61,3,0,0,52.63,1998,reg
Carlos Hermosillo,LA ,F,18,18,1530,6,12,39,22,2,0/0,3,3,0.35,15.4,3,6,6,0.71,32,24,13,0,1,56.41,1998,reg
Paul Dougherty,MET,F,29,23,2015,6,12,53,24,0,0/1,4,2,0.27,11.3,4,7,5,0.54,22,36,2,1,0,45.28,1998,reg
Waldir,COL,F,23,17,1382,6,6,48,23,0,0/0,3,3,0.39,12.5,2,5,1,0.39,23,9,22,2,0,47.92,1998,reg
Paul Wright,KC ,F,30,25,2060,6,6,49,28,1,0/0,4,2,0.26,12.2,4,3,3,0.26,30,26,12,3,0,57.14,1998,reg
John Harkes,DC ,M,29,29,2600,6,6,50,21,3,0/0,4,2,0.21,12.0,1,5,1,0.21,28,34,10,3,0,42.0,1998,reg
Eric Wynalda,SJ ,F,16,16,1424,6,5,60,31,0,1/1,5,1,0.38,10.0,0,2,3,0.32,17,26,18,2,0,51.67,1998,reg
Frank Klopas,CHI,F,27,17,1497,6,4,28,14,1,0/0,4,2,0.36,21.4,1,1,3,0.24,33,31,23,3,0,50.0,1998,reg
Dan Stebbins,MIA,F,24,11,1263,6,3,25,13,2,0/0,3,3,0.43,24.0,0,2,1,0.21,19,26,15,1,0,52.0,1998,reg
Brian Kelly,MET,M,29,26,2160,6,3,48,18,1,0/0,3,3,0.25,12.5,0,3,0,0.13,18,34,16,2,0,37.5,1998,reg
Jason Farrell,CLB,F,28,24,2003,5,10,31,12,0,0/0,4,1,0.22,16.1,1,9,1,0.45,24,15,3,0,0,38.71,1998,reg
Clint Mathis,LA ,M,30,15,1550,5,10,50,14,3,0/0,3,2,0.29,10.0,0,5,5,0.58,23,19,4,5,1,28.0,1998,reg
Ezra Hendrickson,LA ,D,27,22,1946,5,8,24,14,0,0/0,2,3,0.23,20.8,5,6,2,0.37,38,7,5,4,0,58.33,1998,reg
Steve Ralston,TB ,M,30,29,2521,5,8,44,24,0,0/0,2,3,0.18,11.4,2,2,6,0.29,22,42,4,1,0,54.55,1998,reg
Paulinho McLaren,MIA,F,16,15,1176,5,6,30,13,0,1/1,3,2,0.38,16.7,1,4,2,0.46,15,26,31,1,0,43.33,1998,reg
Tony Sanneh,DC ,D,17,17,1367,5,6,33,17,1,0/0,2,3,0.33,15.2,2,4,2,0.4,28,13,4,2,0,51.52,1998,reg
Marcelo Balboa,COL,D,26,25,2290,5,5,67,21,1,0/0,2,3,0.2,7.5,1,4,1,0.2,10,32,1,2,0,31.34,1998,reg
Marcelo Herrera,MIA,M-F,17,17,1441,5,4,29,14,1,2/2,3,2,0.31,17.2,1,3,1,0.25,27,25,8,4,1,48.28,1998,reg
Imad Baba,NE ,M,30,29,2484,5,4,60,29,2,0/0,3,2,0.18,8.3,1,1,3,0.14,49,39,10,3,1,48.33,1998,reg
Henry Gutierrez,MIA,M,26,20,1784,5,3,34,16,1,0/0,3,2,0.25,14.7,1,1,2,0.15,40,28,0,7,1,47.06,1998,reg
Mickey Trotman,DAL,F,23,15,1278,5,3,43,17,0,0/0,3,2,0.35,11.6,1,0,3,0.21,29,33,18,3,0,39.53,1998,reg
Ben Olsen,DC ,M,31,24,2107,4,8,44,25,0,0/0,1,3,0.17,9.1,1,3,5,0.34,48,39,15,2,1,56.82,1998,reg
Victor Mella,SJ ,M,31,25,2350,4,6,44,16,0,0/0,2,2,0.15,9.1,1,5,1,0.23,36,63,10,4,0,36.36,1998,reg
Jeff Baicher,SJ ,M,20,15,1099,4,3,20,11,0,0/0,1,3,0.33,20.0,2,2,1,0.25,33,36,11,3,0,55.0,1998,reg
Ritchie Kotschau,CHI,D,24,23,1973,4,3,24,7,2,0/0,2,2,0.18,16.7,0,3,0,0.14,25,14,7,1,0,29.17,1998,reg
Paul Rideout,KC ,F,27,23,2114,4,3,58,28,1,0/0,3,1,0.17,6.9,0,3,0,0.13,48,59,9,5,0,48.28,1998,reg
Jorge Rodriguez,DAL,M-D,30,28,2569,4,2,20,9,2,0/0,2,2,0.14,20.0,0,2,0,0.07,29,19,0,4,0,45.0,1998,reg
Damian,DAL,F,15,13,954,4,2,34,21,1,1/1,2,2,0.38,11.8,1,0,2,0.19,9,35,5,3,0,61.76,1998,reg
Oscar Draguicevich,SJ ,D,13,7,774,4,1,9,5,1,0/0,2,2,0.47,44.4,1,0,1,0.12,12,7,0,5,0,55.56,1998,reg
Lawrence Lozzano,LA ,M,13,7,680,4,1,13,8,1,0/0,1,3,0.53,30.8,0,1,0,0.13,23,22,12,1,0,61.54,1998,reg
Marquis White,COL,F,20,3,492,4,1,13,8,1,0/0,2,2,0.73,30.8,0,0,1,0.18,6,11,4,0,0,61.54,1998,reg
Ivan McKinley,NE ,D-M,28,28,2282,4,1,34,14,1,0/0,1,3,0.16,11.8,0,1,0,0.04,36,14,7,5,2,41.18,1998,reg
Harut Karapetyan,LA ,F,20,4,532,4,0,18,10,1,0/0,0,4,0.68,22.2,0,0,0,0.0,11,4,6,0,0,55.56,1998,reg
Brian Maisonneuve,CLB,M,13,12,903,3,7,15,7,1,0/0,1,2,0.3,20.0,0,3,4,0.7,12,14,1,0,0,46.67,1998,reg
Diego Sonora,MET,M-D,30,30,2572,3,7,25,8,1,1/3,0,3,0.1,12.0,1,6,1,0.24,16,15,6,2,0,32.0,1998,reg
Dominic Kinnear,TB ,M,24,8,868,3,5,13,6,0,0/0,2,1,0.31,23.1,3,1,4,0.52,15,13,1,1,0,46.15,1998,reg
Braeden Cloutier,SJ ,M,30,25,2078,3,5,44,21,3,0/0,3,0,0.13,6.8,0,1,4,0.22,53,30,3,1,0,47.73,1998,reg
David Vaudreuil,COL,D,27,25,2177,3,4,24,14,1,0/0,2,1,0.12,12.5,2,3,1,0.17,35,29,7,6,1,58.33,1998,reg
Richie Williams,DC ,M,31,30,2673,3,4,27,10,1,0/0,1,2,0.1,11.1,0,1,3,0.13,66,32,2,5,0,37.04,1998,reg
Eddie Lewis,SJ ,M,32,32,2835,3,4,52,23,0,0/0,0,3,0.1,5.8,0,3,1,0.13,29,63,8,3,0,44.23,1998,reg
Roy Wegerle,DC ,F,17,15,1265,3,3,17,7,1,1/1,3,0,0.21,17.6,0,3,0,0.21,9,10,16,2,0,41.18,1998,reg
Marquinho,COL,M,11,5,596,3,3,17,8,0,0/0,2,1,0.45,17.6,1,3,0,0.45,13,10,1,1,0,47.06,1998,reg
Greg Vanney,LA ,D,31,27,2321,3,3,28,13,2,0/0,1,2,0.12,10.7,2,2,1,0.12,42,10,0,3,0,46.43,1998,reg
Miles Joseph,MET,M,15,3,479,3,2,12,6,1,0/0,2,1,0.56,25.0,1,1,1,0.38,6,10,4,0,0,50.0,1998,reg
Joey DiGiamarino,COL,M,23,16,1554,3,2,15,5,1,0/0,0,3,0.17,20.0,0,1,1,0.12,24,30,1,5,0,33.33,1998,reg
Rob Smith,CLB,M,24,15,1502,3,2,16,8,1,0/0,3,0,0.18,18.8,1,1,1,0.12,26,10,3,2,0,50.0,1998,reg
Gilmar,TB ,M-F,12,11,909,3,2,27,10,0,1/1,3,0,0.3,11.1,2,1,1,0.2,7,33,16,1,0,37.04,1998,reg
Jair,NE ,M,11,8,643,3,1,9,4,0,0/0,2,1,0.42,33.3,0,1,0,0.14,7,13,2,0,0,44.44,1998,reg
Chad Deering,DAL,M,14,13,1114,3,1,16,4,1,0/0,1,2,0.24,18.8,0,1,0,0.08,17,11,0,1,1,25.0,1998,reg
Brian Haynes,DAL,M,31,11,1414,3,1,22,12,0,0/0,0,3,0.19,13.6,0,0,1,0.06,22,10,5,0,0,54.55,1998,reg
Gerell Elliott,DAL,F,17,11,1100,3,1,31,19,0,0/0,3,0,0.25,9.7,0,1,0,0.08,3,16,3,1,0,61.29,1998,reg
Frankie Hejduk,TB ,D,18,18,1618,3,1,34,15,1,0/0,3,0,0.17,8.8,0,0,1,0.06,31,49,21,5,0,44.12,1998,reg
A.J. Wood,DC ,F,19,3,416,3,0,14,6,0,0/0,1,2,0.65,21.4,0,0,0,0.0,8,7,5,0,0,42.86,1998,reg
Jerry Tamashiro,MIA,F,12,5,524,3,0,19,12,0,0/0,2,1,0.52,15.8,0,0,0,0.0,6,15,10,2,0,63.16,1998,reg
Adrian Paz,COL,M,28,28,2313,2,13,50,24,1,0/0,2,0,0.08,4.0,2,7,6,0.51,37,82,24,7,0,48.0,1998,reg
Carlos Valderrama,MIA,M,18,18,1542,2,12,16,8,0,1/2,2,0,0.12,12.5,4,10,2,0.7,7,31,1,2,1,50.0,1998,reg
Robert Warzycha,CLB,M,25,19,1752,2,10,52,17,0,0/0,1,1,0.1,3.8,4,7,3,0.51,27,29,3,4,0,32.69,1998,reg
Chris Henderson,COL,M,28,22,1915,2,9,55,24,1,0/0,2,0,0.09,3.6,1,4,5,0.42,28,28,21,3,1,43.64,1998,reg
Mark Chung,KC ,M,30,29,2551,2,8,60,23,0,0/1,1,1,0.07,3.3,1,7,1,0.28,19,66,6,0,0,38.33,1998,reg
Ryan Tinsley,KC ,D,30,26,2305,2,5,8,3,1,0/0,1,1,0.08,25.0,0,3,2,0.2,36,42,0,2,0,37.5,1998,reg
Peter Vermes,COL,D,31,31,2675,2,5,9,3,1,0/1,0,2,0.07,22.2,1,3,2,0.17,32,32,1,3,1,33.33,1998,reg
Francisco Uribe,SJ ,F,12,8,734,2,5,20,5,0,0/0,1,1,0.25,10.0,2,2,3,0.61,9,12,9,3,0,25.0,1998,reg
Nelson Vargas,MIA,M,18,7,719,2,4,14,4,0,0/0,1,1,0.25,14.3,2,4,0,0.5,12,15,2,2,0,28.57,1998,reg
Ted Chronopoulos,NE ,D,23,23,1960,2,3,16,8,0,0/0,0,2,0.09,12.5,0,2,1,0.14,32,24,2,4,0,50.0,1998,reg
Johnny Torres,NE ,F,20,16,1179,2,3,22,11,0,0/0,1,1,0.15,9.1,0,1,2,0.23,19,17,10,2,0,50.0,1998,reg
Jesse Marsch,CHI,M,29,25,2199,2,3,23,10,0,0/0,0,2,0.08,8.7,1,1,2,0.12,34,23,3,4,0,43.48,1998,reg
Steve Jolley,LA ,D,28,23,2093,2,2,8,5,1,0/0,0,2,0.09,25.0,1,1,1,0.09,29,15,0,4,0,62.5,1998,reg
Todd Yeagley,CLB,M,27,22,1957,2,2,12,5,1,0/0,1,1,0.09,16.7,0,1,1,0.09,31,39,0,5,0,41.67,1998,reg
Wade Barrett,SJ ,D,26,22,1921,2,2,12,6,0,0/0,1,1,0.09,16.7,0,1,1,0.09,31,20,0,2,1,50.0,1998,reg
Ted Eck,DAL,M-F,31,28,2331,2,2,34,10,0,0/0,0,2,0.08,5.9,1,0,2,0.08,33,32,1,5,1,29.41,1998,reg
Richard Gough,SJ ,D,19,19,1609,2,1,12,8,0,0/0,1,1,0.11,16.7,1,1,0,0.06,28,11,0,1,0,66.67,1998,reg
Jan Eriksson,TB ,D,29,28,2342,2,1,19,7,1,0/0,1,1,0.08,10.5,1,1,0,0.04,47,13,0,4,0,36.84,1998,reg
C.J. Brown,CHI,D,28,28,2470,2,0,4,3,2,0/0,2,0,0.07,50.0,0,0,0,0.0,40,29,0,4,1,75.0,1998,reg
Alexi Lalas,MET,D,25,25,2250,2,0,12,5,2,0/0,1,1,0.08,16.7,0,0,0,0.0,37,36,2,7,0,41.67,1998,reg
Andy Williams,CLB,M,13,11,976,1,12,30,12,0,0/0,1,0,0.09,3.3,3,6,6,1.11,16,42,3,0,0,40.0,1998,reg
