age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
52,1957, lung cancer,July,2009, singer (Dolly Dots),Ria Brieffies,Dutch,2
64,1945, colorectal cancer,July,2009, journalist and footballer (BeÅŸiktaÅŸ J.K.),Vedat Okyar,Turkish,3
79,1930,,July,2009, Nuncio to Greece (1996â€“2005),Paul Fouad Tabet,Lebanese,5
78,1931, lung cancer,July,2009, baseball player (Milwaukee Braves New York Mets),Carlton Willey,American,3
64,1945, stomach cancer,July,2009, musician (New Riders of the Purple Sage),John Dawson,American,13
84,1925,,July,2009, Olympic bronze medalist (1952 1956),Nelson Demarco,Uruguayan,
84,1925,,July,2009, actor and broadcaster (You Can't Do That on Television),Les Lye,Canadian,1
88,1921,,July,2009, Chief Justice of the Indiana Supreme Court (1969â€“1994),Richard M. Givan,American,6
61,1948,,July,2009, documentary filmmaker,Peter Krieg,German,2
47,1962, heat stroke,July,2009, boxer Olympic silver medalist (1992),Mark Leduc,Canadian,3
94,1915,,July,2009, Olympic gold medalist (1936),Herbert Morris,American,2
88,1921,,July,2009, cartoonist (Captain Pugwash),John Ryan,British,9
63,1946, natural causes,July,2009, singer-songwriter and guitarist (Sha Na Na),Danny McBride,American,2
67,1942, respiratory failure,July,2009, actress,Duse Nacaratti,Brazilian,1
88,1921, heart failure,July,2009, editor (Congressional Quarterly) founder of The National Journal,Thomas N. Schroth,American,7
47,1962, abdominal cancer,July,2009, goalkeeper reserve at 1990 World Cup,JosÃ© Carlos da Costa AraÃºjo,Brazilian,3
85,1924,,July,2009, Commander of the National Air Force (1962â€“1965),Omar Dani,Indonesian,2
68,1941,,July,2009, composer and conductor,Friedrich Goldmann,German,
92,1917,,July,2009, Chancellor of Vanderbilt University (1963â€“1982),G. Alexander Heard,American,8
47,1962, heart attack,July,2009, football player (Atlanta Falcons),Rick Bryan,American,3
80,1929,,July,2009, actor,Traugott Buhre,German,2
78,1931, complications from pneumonia,July,2009, actor (Dawn of the Dead Hellraiser III: Hell on Earth),Clayton Hill,American,3
65,1944, lung cancer,July,2009, actress,Maria SÃ_lvia,Brazilian,1
82,1927, cardiac arrest,July,2009, actor,SÃ©rgio Viotti,Brazilian,1
87,1922,,July,2009, basketball player (NY Knicks) and coach (FDU),Dick Holub,American,2
57,1952, natural causes,July,2009, Rican baseball player (California Angels),Luis Quintana,Puerto,1
3,2006, after short illness,July,2009, Downing Street cat Chief Mouser to the Cabinet Office (2007â€“2008),Sybil,British,6
54,1955, heart attack,July,2009, journalist and writer,Hermann J. Huber,German,
68,1941, melanoma,July,2009, football coach (Philadelphia Eagles),Jim Johnson,American,8
78,1931,,July,2009, Chairman of Chelsea Football Club (1969â€“1991),Brian Mears,British,4
69,1940, after long illness,July,2009, actress Miss India (1954),Leela Naidu,Indian,20
90,1919, paralytic ileus,July,2009, royal last Maharani of Jaipur (1939â€“1970),Gayatri Devi,Indian,12
37,1972,,July,2009, footballer (Motherwell F,Paul McGrillen,Scottish,5
84,1925, breast cancer,July,2009, politician New York State Senator (1978â€“2004),Olga A. MÃ©ndez,American,8
69,1940, brain cancer,July,2009, British singer (RenÃ©e and Renato),Renato Pagliari,Italian-born,5
55,1954,,July,2009, football player and coach,Yuri Kurnenin,Belarusian,2
66,1943, breast cancer,July,2009, politician MP for Missionâ€”Coquitlam (1988â€“1993),Joy Langan,Canadian,3
39,1970, shot,July,2009, sect leader (Boko Haram),Mohammed Yusuf,Nigerian,12
83,1926, illness,July,2009, stage director film director and screenwriter,Peter Zadek,German,23
55,1954, after long illness,August,2009, basketball player (Boston Celtics) and coach,Jerome Anderson,American,2
76,1933, colon cancer,August,2009, politician first female President (1986â€“1992),Corazon Aquino,Filipino,108
93,1916,,August,2009, Bishop of Juticalpa (1963â€“1977),Nicholas D'Antonio Salza,Honduran,
98,1911,,August,2009, film make-up artist (The Wizard of Oz),Howard Smit,American,4
78,1931,,August,2009, writer,Adolf Endler,German,4
92,1917,,August,2009, Bishop of Aston (1972â€“1982),Mark Green,British,5
92,1917,,August,2009, Cape Verde (1969â€“1974),Antonio Lopes dos Santos,Portuguese,1
71,1938, cancer,August,2009, radio mogul (Infinity Broadcasting) and philanthropist,Michael A. Wiener,American,6
90,1919,,August,2009, Governor of the Panama Canal Zone (1967â€“1971),Walter Philip Leber,American,2
88,1921,,August,2009, Olympic bronze medal-winning (1952) rower,Svend Ove Petersen,Danish,
76,1933,,August,2009, actor,Zinovy Vysokovsky,Russian,
72,1937, Lou Gehrig's disease,August,2009, football player (New York Titans),Dave Ames,American,
72,1937,,August,2009, martial arts grandmaster (Kajukenbo),Charles Gaylord,American,4
85,1924,,August,2009, Vice President (since 1999),Joseph Msika,Zimbabwean,14
63,1946,,August,2009, manager and record producer,Ole A. SÃ¸rli,Norwegian,4
95,1914, playwright and novelist,August,2009, screenwriter (On the Waterfront),Budd Schulberg,American,19
54,1955, heart attack,August,2009, musician,BahadÄ±r Akkuzu,Turkish,1
85,1924,,August,2009, politician,Savka DabÄçeviÄ‡-KuÄçar,Croatian,
58,1951, pancreatic cancer,August,2009, singerâ€“songwriter (Mink DeVille),Willy DeVille,American,70
86,1923,,August,2009, Senator (1978â€“1998),Stanley Haidasz,Canadian,4
59,1950, heart attack,August,2009, director screenwriter and producer (Home Alone The Breakfast Club),John Hughes,American,39
61,1948, lymphoma,August,2009, corrupt politician member of the New Jersey General Assembly (1987â€“2004),Anthony Impreveduto,American,9
75,1934, emphysema,August,2009, actress,Anilza Leoni,Brazilian,1
62,1947,,August,2009, actress (body discovered on this date),Reiko Ohara,Japanese,
69,1940, heart attack,August,2009, distiller (Jack Daniel's),Jimmy Bedford,American,4
91,1918, after long illness,August,2009, educator president of the University of Kentucky (1956â€“1963),Frank G. Dickey,American,3
80,1929,,August,2009, Vice President (1975â€“2003),Taha Muhie-eldin Marouf,Iraqi,2
75,1934, after long illness,August,2009, jurist Chief Justice of Victoria (1991â€“2003),John Harber Phillips,Australian,16
81,1928,,August,2009, writer,Danko PopoviÄ‡,Serbian,3
76,1933, brain cancer,August,2009, politician Mayor of Albuquerque New Mexico (1973; 1989â€“1993),Louis E. Saavedra,American,3
91,1918,,August,2009, party leader (New Liberal Club),Seiichi Tagawa,Japanese,1
95,1914,,August,2009, Supreme Court justice,Yehuda Cohen,Israeli,1
85,1924,,August,2009, baseball coach and manager (Minnesota Twins),Cal Ermer,American,3
77,1932,,August,2009, barrister and businessman,PÃ¥l Kraby,Norwegian,5
80,1929,,August,2009, MP (1980â€“1990),Peter Milton,Australian,2
79,1930, heart condition,August,2009, actor and comedian,Raul Solnado,Portuguese,
65,1944, cancer,August,2009, record producer (Incredible Bongo Band),Michael Viner,American,15
83,1926,,August,2009, footballer (Everton Republic of Ireland),Tommy Clinton,Irish,1
55,1954,,August,2009, writer,Thierry Jonquet,French,3
30,1979,,August,2009, bassist (Versailles),Jasmine You,Japanese,9
82,1927,,August,2009, Olympic silver medal-winning (1948) figure skater,Ede KirÃ¡ly,Hungarian,
86,1923,,August,2009, Olympic gold medal-winning (1952) cross-country skier,Urpo Korhonen,Finnish,
77,1932, heart attack,August,2009, Olympic silver medal-winning (1956) rower,Art McKinlay,American,
67,1942,,August,2009, Olympic gold medal-winning (1968) rower,Renzo Sambo,Italian,2
68,1941, lung cancer,August,2009, politician member of the Rhode Island House of Representatives (since 1994),Thomas C. Slater,American,3
94,1915,,August,2009, member of the Knesset (1965â€“1981),Yosef Tamir,Israeli,1
66,1943, heart failure,August,2009, footballer,Francisco ValdÃ©s,Chilean,1
78,1931,,August,2009, Commander of the Army (1985â€“1988),Nalin Seneviratne,Sri,2
92,1917,,August,2009, actor (Crossroads),John Bentley,British,
29,1980, shot,August,2009, basketball player (Paderborn Baskets),Lavelle Felton,American,1
54,1955,,August,2009, footballer (Celtic Motherwell),Brian McLaughlin,British,2
80,1929,,August,2009, Olympic gold medal-winning ice hockey player (1952),Al Purvis,Canadian,2
84,1925,,August,2009, MP for Coventry North East (1987â€“1992),John Hughes,British,9
83,1926, heart failure,August,2009, hockey player (Toronto Maple Leafs),Ted Kennedy,Canadian,240
80,1929,,August,2009, American television writer and producer (Columbo Barnaby Jones),Philip Saltzman,Mexican-born,2
101,1908,,August,2009, zoologist,Gerolf Steiner,German,6
91,1918,,August,2009, member of the New South Wales Legislative Council (1951â€“1953),Charles Anderson,Australian,1
67,1942, following a long illness,August,2009, singer,Florin Bogardo,Romanian,3
89,1920, heart failure,August,2009, film director,ShÅ«e Matsubayashi,Japanese,1
91,1918, subdural hematoma,August,2009, nuclear physicist (Manhattan Project) inventor of the atom smasher,Louis Rosen,American,3
86,1923, after brief illness,August,2009, politician Governor of Missouri (1965â€“1973),Warren E. Hearnes,American,16
96,1913,,August,2009, character actor (Star Trek The Barefoot Executive),Ed Reimers,American,3
68,1941, heart attack,August,2009, comedy writer (The Two Ronnies Not the Nine O'Clock News),Laurie Rowley,British,4
45,1964, stunt collision,August,2009, Air Force pilot (Russian Knights),Igor Tkachenko,Russian,1
80,1929,,August,2009, film critic,Tullio Kezich,Italian,2
52,1957,,August,2009, poet and translator,GraÅ_yna Miller,Polish,1
69,1940,,August,2009, association football manager,Gildo Rodrigues,Brazilian,1
81,1928,,August,2009, baseball player (New York Giants),Davey Williams,American,
83,1926, heart failure,August,2009, Korean politician President (1998â€“2003) Nobel Peace Prize recipient,Kim Dae-jung,South,25
79,1930, complications following surgery,August,2009, author,Hugo Loetscher,Swiss,1
92,1917, after long illness,August,2009, writer journalist translator and critic,Fernanda Pivano,Italian,1
59,1950,,August,2009, Olympic bronze medal-winning team handball player at 1976 Olympics,MÃ¡ria VadÃ¡sz,Hungarian,2
75,1934,,August,2009, swimmer,Geertje Wielema,Dutch,3
69,1940,,August,2009, archbishop of Mwanza (since 1987),Anthony Petro Mayalla,Tanzanian,1
81,1928, following a long illness,August,2009, footballer (Ipswich Town),Vic Snell,English,4
69,1940, heart attack,August,2009, keyboardist (Bread) bassist and session musician (The Beach Boys The Doors),Larry Knechtel,American,7
57,1952,,August,2009, created first cloned mule (Idaho Gem),Gordon Woods,American,1
75,1934, lung cancer,August,2009, singer (The Flamingos The Dells),Johnny Carter,American,1
37,1972, lung cancer,August,2009, bassist (Magic Dirt),Dean Turner,Australian,6
82,1927,,August,2009, Olympic track and field athlete,Pedro Yoma,Chilean,
58,1951, cancer,August,2009, politician Deputy Prime Minister (1997â€“1999),Alexander Bozhkov,Bulgarian,2
87,1922, arms control and environmental activist,August,2009, mathematician,Pierre Samuel,French,6
91,1918,,August,2009, Minister of the Interior (1959â€“1965),Edzo Toxopeus,Dutch,2
93,1916,,August,2009, businessman and team owner (Cincinnati Bengals Cincinnati Reds),William Williams,American,2
86,1923, respiratory failure,August,2009, Kong orthopaedic surgeon President of Rehabilitation International (1980â€“1984),Sir Harry Fang,Hong,2
86,1923,,August,2009, Olympic cyclist,Leif Flengsrud,Norwegian,5
59,1950, four-time Mayor of San Jose del Monte,August,2009, politician Representative (2004â€“2007),Eduardo V. Roquero,Filipino,1
46,1963, complications from a stroke,August,2009, football player (Miami Dolphins),T.J. Turner,American,
64,1945,,August,2009, football player (Miami Dolphins),Jim Urbanek,American,
92,1917, after long illness,August,2009, music industry executive (MCA),Berle Adams,American,6
72,1937, car accident,August,2009, actor,Nikos Garoufallou,Greek,1
77,1932, brain cancer,August,2009, politician Senator from Massachusetts (1962â€“2009),Ted Kennedy,American,334
92,1917,,August,2009, Minister of Agriculture (1945â€“1947),Eduardo Mendoza Goiticoa,Venezuelan,11
71,1938, after long illness,August,2009, Auxiliary Bishop of Cincinnati (1993â€“2007),Carl K. Moeddel,American,4
88,1921, complications from a fall,August,2009, football player (Chicago Cardinals),Ray Ramsey,American,3
69,1940, after short illness,August,2009, politician and economist Prime Minister (2000â€“2002),MandÃ© SidibÃ©,Malian,3
75,1934,,August,2009, actor (Hotel CÃ_sar Elling),Per Christensen,Norwegian,1
91,1918,,August,2009, actress (The Rocky Horror Picture Show),Sadie Corre,British,3
68,1941, heart attack,August,2009," songwriter (""Be My Baby"" ""Chapel of Love"")",Ellie Greenwich,American,20
58,1951, heart attack,August,2009, businessman chairman of TTS Marine,Birger Skeie,Norwegian,4
96,1913,,August,2009, writer and poet (National Anthem of the Soviet Union and National Anthem of Russia),Sergey Mikhalkov,Russian,6
96,1913,,August,2009, politician,JoaquÃ_n Ruiz-GimÃ©nez,Spanish,
89,1920, Parkinson's disease,August,2009, singer (Quartetto Cetra),Virgilio Savona,Italian,1
81,1928,,August,2009, actor,Emil Glad,Croatian,1
36,1973, suspected drug overdose,August,2009, club disc jockey and musician (Crazy Town),Adam Goldstein,American,54
76,1933, cancer,August,2009, prelate Bishop of Sodor and Man (1989â€“2003),Noel Debroy Jones,British,10
83,1926,,August,2009, general,GÃ_nter KieÃŸling,German,3
76,1933, after long illness,August,2009, character actor (Melrose Place),Wayne Tippit,American,4
82,1927,,August,2009, actor,Henk van Ulsen,Dutch,1
94,1915,,August,2009, actress,Mady Rahl,German,1
83,1926,,August,2009, Michigan (1973â€“1975),James E. Stephenson,American,
79,1930,,August,2009, film actress,Yolanda Varela,Mexican,1
81,1928,,August,2009, politician,Medardas ÄŒobotas,Lithuanian,1
62,1947,,August,2009, actress,IldikÃ_ Kishonti,Hungarian,1
59,1950,,August,2009, [308] (Greek),Christos Palaiologos,Greek,1
70,1939,,August,2009, fashion journalist,Kiki SÃ¸rum,Norwegian,1
89,1920,,August,2009, Zealand rugby union player (Waikato Auckland national team),Percy Tetzlaff,New,1
92,1917,,August,2009, Olympic gold medal-winning (1948) football player,Torsten Lindberg,Swedish,1
84,1925, cardiopulmonary arrest,August,2009, Executive Minister of the Iglesia ni Cristo (1963â€“2009),EraÃ±o Manalo,Filipino,12
86,1923, complications from a fall,August,2009, politician Tennessee state senator (1976â€“1996),Anna Belle Clement O'Brien,American,4
53,1956, motorcycle accident,September,2009, musician (Echo & the Bunnymen) and sound recordist,Jake Drake-Brockman,British,7
74,1935,,September,2009, footballer (Hibernian),Jock Buchanan,Scottish,4
66,1943, pancreatic cancer,September,2009, judge (Supreme Federal Court) (2007â€“2009),Carlos Alberto Menezes Direito,Brazilian,3
74,1935, cancer,September,2009, conductor (Cincinnati Pops Orchestra),Erich Kunzel,American,8
84,1925, Duke of Parma,September,2009, royal (House of Bourbon-Parma) daughter of Elias,Maria Christina of Bourbon-Parma,Spanish,
97,1912,,September,2009, aeronautical inventor (Rogallo wing),Francis Rogallo,American,10
43,1966, car accident,September,2009, football player (New England Patriots) NFL Offensive Rookie of the Year (1988),John Stephens,American,1
52,1957, heart attack,September,2009, musician (Elton John band),Guy Babylon,American,2
41,1968, heart attack,September,2009, band manager (Suede),Jon Eydmann,British,2
79,1930, brain aneurysm,September,2009, politician member of the House of Representatives for North Carolina (1975â€“1999),Bill Hefner,American,2
67,1942, Morgan Freeman and Darth Vader,September,2009, voice actor Hungarian voice of Sean Connery,Tibor KristÃ_f,Hungarian,1
33,1976, natural causes,September,2009, pelican animal actor (Storm Boy),Mr Percival,Australian,2
60,1949, helicopter crash,September,2009, politician Chief Minister of Andhra Pradesh (since 2004),Y. S. Rajasekhara Reddy,Indian,42
75,1934,,September,2009, military commander and putschist (Carapintadas),Mohamed AlÃ_ SeineldÃ_n,Argentine,2
56,1953,,September,2009, animation executive (DIC Animation City) and sports agent,Jeffrey Wernick,American,1
85,1924,,September,2009, poet,Christine D'Haen,Belgian,
92,1917,,September,2009, Bishop of Nuoro (1970â€“1992),Giovanni Melis Fois,Italian,
86,1923, multiple myeloma,September,2009, casting director (Rocky The Karate Kid The Beverly Hillbillies Green Acres),Caro Jones,American,2
30,1979,,September,2009, hostage in Iraq (death confirmed on this date),Alec MacLachlan,British,116
70,1939,,September,2009, association football coach,Yukhym Shkolnykov,Ukrainian,
91,1918, collaborator with Ingmar Bergman,September,2009, film producer,Allan Ekelund,Swedish,1
78,1931,,September,2009, Olympic bronze medal-winning (1956) rower,Guy Guillabert,French,
99,1910,,September,2009, Interior Minister (1963â€“1964),Franz Olah,Austrian,1
80,1929, natural causes,September,2009, author and playwright (Billy Liar),Keith Waterhouse,British,8
61,1948, farm accident,September,2009, politician Nebraska state senator (1998â€“2008),Ron Raikes,American,1
90,1919, at the Wayback Machine,September,2009, politician Chief Minister of Punjab (1995â€“1996) after long illness. Archived February 19 2012,Harcharan Singh Brar,Indian,2
77,1932,,September,2009, actor,Vanja Drach,Croatian,3
79,1930,,September,2009, writer,Nada IveljiÄ‡,Croatian,1
83,1926,,September,2009, comic actor,Sim,French,1
96,1913,,September,2009, geologist,Tatyana Ustinova,Russian,
78,1931, cancer,September,2009, academic Vice-Chancellor of the University of Cambridge (1989â€“1996),Sir David Glyndwr Tudor Williams,British,4
84,1925,,September,2009, football player and manager (Sheffield Wednesday Doncaster Rovers),Norman Curtis,English,3
78,1931,,September,2009, religion editor (Time),John T. Elson,American,5
74,1935, car accident,September,2009, musician (Canadian Brass),Fred Mills,Canadian,2
73,1936,,September,2009, Member of Knesset (1981â€“1984),Ra'anan Naim,Israeli,1
91,1918,,September,2009, Bishop of Hanoi (1994â€“2006),Paul LÃª Dac Trong,Vietnamese,2
98,1911,,September,2009, athlete,Christos Vartzakis,Greek,3
85,1924,,September,2009, Soviet Ambassador to Poland (1983â€“1986),Aleksandr Aksyonov,Belarusian,2
90,1919, malignant mesothelioma,September,2009, entertainment columnist (Variety),Army Archerd,American,2
87,1922,,September,2009, winner of Nobel Prize in Physics (1975),Aage Bohr,Danish,34
42,1967, at the Wayback Machine,September,2009, drummer (Survivor) apparent suicide by hanging. Archived September 14 2009,Kyle Woodring,American,
81,1928, at the Wayback Machine,September,2009, footballer played in 1954 FIFA World Cup. Archived January 13 2010,LÃ©on Glovacki,French,2
32,1977, shot,September,2009, journalist translator and correspondent (The New York Times),Sultan Munadi,Afghan,4
70,1939,,September,2009, Bishop of ElblÄ…g (1992â€“2003),Andrzej Å_liwiÅ„ski,Polish,
90,1919,,September,2009, Chief Justice of the Kansas Supreme Court (1988â€“1990),Robert H. Miller,American,3
79,1930, wife of A,September,2009, economist First Lady (1997â€“2003),Patricia Robinson,Trinidadian,3
91,1918, esophageal cancer,September,2009, actor in Kaiju films,Yoshifumi Tajima,Japanese,1
89,1920, after short illness,September,2009, politician Representative for Iowa (1961â€“1965),James E. Bromwell,American,3
60,1949, heart attack,September,2009, author (The Basketball Diaries) poet and musician,Jim Carroll,American,32
81,1928, cancer,September,2009, comedy writer (M*A*S*H) and blogger (The Huffington Post),Larry Gelbart,American,10
75,1934, complications of a stroke,September,2009, African-born American actor (Gross Anatomy),Zakes Mokae,South,3
82,1927, suicide,September,2009, politician and diplomat Foreign Minister (1989 1990),Georgios Papoulias,Greek,1
39,1970, cancer,September,2009, footballer,Henny van Schoonhoven,Dutch,2
51,1958, mountaineering accident,September,2009, manga artist (Crayon Shin-chan),Yoshito Usui,Japanese,7
95,1914, cancer,September,2009, agronomist and humanitarian Nobel Peace Prize laureate (1970),Norman Borlaug,American,72
81,1928, lung cancer,September,2009, television writer and producer (The Fugitive),George Eckstein,American,2
74,1935,,September,2009, member of the Victorian Legislative Council for Waverley (1982â€“1996),Brian Mier,Australian,1
90,1919, multiple organ failure,September,2009, writer,AntÃ´nio Olinto,Brazilian,
87,1922,,September,2009, actor (Hi-de-Hi!) [147],Felix Bowness,British,4
83,1926, leukemia,September,2009, actor (Naked City),Paul Burke,American,6
87,1922, pneumonia,September,2009, film and television director (The Rifleman The Big Valley),Arnold Laven,American,26
46,1963, cancer,September,2009, footballer (Sheffield Wednesday Northampton Town),Paul Shirtliff,English,5
73,1936, cancer,September,2009, actor (Laugh-In Boston Legal),Henry Gibson,American,8
68,1941, complications of Parkinson's disease,September,2009, travel documentary host (Leyland Brothers),Mike Leyland,Australian,18
85,1924, cancer,September,2009, politician Representative for Louisiana (1967â€“1975),John Rarick,American,79
57,1952, pancreatic cancer,September,2009, actor (Dirty Dancing Ghost The Outsiders),Patrick Swayze,American,49
70,1939,,September,2009, actor,Nicu Constantin,Romanian,3
90,1919, complications from bladder cancer,September,2009, sports commentator (Boston Bruins),Fred Cusick,American,4
77,1932, liver cancer,September,2009, screenwriter (Z-Cars Edge of Darkness The Italian Job),Troy Kennedy Martin,British,7
72,1937, cancer,September,2009, football player and coach (Detroit Lions),Monte Clark,American,6
91,1918,,September,2009, film director (Three Girls from Rome),Luciano Emmer,Italian,
90,1919, after long illness,September,2009, politician Senator (1986â€“1992) President Pro Tempore (1990â€“1991),Sotero Laurel,Filipino,3
89,1920, cardiac arrest,September,2009, Ambassador to Czechoslovakia (1986â€“1989),Julian Niemczyk,American,2
35,1974, drug overdose,September,2009, singer and actor,Filip Nikolic,French,4
85,1924, after long illness,September,2009, football player (Chicago Bears),Steve Romanik,American,3
82,1927, Indiana Pacers owner,September,2009, shopping mall developer (Simon Property Group) producer (Porky's),Melvin Simon,American,13
72,1937, leukemia,September,2009, singer (Peter Paul and Mary),Mary Travers,American,12
67,1942,,September,2009, Tennessee House of Representatives (1970â€“1990),Tommy Burnett,American,9
49,1960, liver cancer,September,2009, Emmy Award-winning screenwriter (Prime Suspect: The Final Act),Frank Deasy,Irish,20
72,1937, pancreatic cancer,September,2009, actor and stuntman (Swamp Thing),Dick Durock,American,4
65,1944,,September,2009, football player (Atlanta Falcons),Randy Johnson,American,3
65,1944,,September,2009, football player and coach (Detroit Lions),Bob Kowalkowski,American,
86,1923,,September,2009, Olympic bronze medal-winning (1952) rower,Geoff Williamson,Australian,
62,1947,,September,2009, actor (Please Sir!),Peter Denyer,British,1
84,1925,,September,2009, Illinois Treasurer (1983â€“1987),James Donnewald,American,3
89,1920,,September,2009, MP for Port Arthur (1957â€“1965),Doug Fisher,Canadian,7
89,1920, lung cancer,September,2009, neoconservative advocate and editor (The Public Interest),Irving Kristol,American,17
92,1917,,September,2009, lexicologist,Natalia Shvedova,Russian,
91,1918,,September,2009, author,Willy Breinholst,Danish,1
88,1921, natural causes,September,2009, pianist (Ferrante & Teicher),Arthur Ferrante,American,11
42,1967,,September,2009, footballer (Aberdeen FC 1983â€“1990),Stevie Gray,British,3
37,1972, spinal cord injury,September,2009, turntablist (The X-Ecutioners),Roc Raida,American,1
80,1929,,September,2009, journalist and television presenter,Eduard Zimmermann,German,
86,1923,,September,2009, music publisher (Carlin America),Freddy Bienstock,American,5
84,1925,,September,2009, Lutheran bishop of Gothenburg (1970â€“1991),Bertil GÃ_rtner,Swedish,2
91,1918,,September,2009, actor (The Lone Ranger),John Hart,American,4
50,1959, heart attack,September,2009, football player (Buffalo Bills),Booker Moore,American,2
45,1964, shot,September,2009, journalist and news editor (The Guardian),Bayo Ohu,Nigerian,3
58,1951, cancer,September,2009, politician MP for Newcastle upon Tyne Central (1983â€“1987) and Beckenham (1992â€“1997),Piers Merchant,British,5
91,1918,,September,2009, Olympic Nordic combined and cross-country skier,Olaf Dufseth,Norwegian,
46,1963, cancer,September,2009, telenovela screenwriter (Beleza Pura),Andrea Maltarolli,Brazilian,3
82,1927,,September,2009, won Hardie Ferodo 500 (1968),Bruce McPhee,Australian,
76,1933, pneumonia,September,2009, actress,Dirce Migliaccio,Brazilian,1
91,1918, Alzheimer's disease,September,2009, politician Acting Secretary of the Navy (1963),Paul B. Fay,American,4
80,1929, at the Wayback Machine,September,2009, footballer (Leyton Orient Millwall) aneurysm. Archived February 24 2012,Dennis Pacey,British,2
87,1922, lung cancer,September,2009, politician Mayor of Anchorage Alaska (1967â€“1981),George M. Sullivan,American,
61,1948, brain cancer,September,2009, murderer ('Manson Family' member),Susan Atkins,American,40
73,1936, heart attack,September,2009, footballer (Norwich City Peterborough United),Terry Bly,British,2
87,1922,,September,2009, Olympic athlete (death announced on this date),Egon Solymossy,Hungarian,
94,1915, after short illness,September,2009, actress (Student Bodies The Thomas Crown Affair),Mimi Weddell,American,5
67,1942, coccidiosis,September,2009, actor and director,IstvÃ¡n Bujtor,Hungarian,1
37,1972, at the Wayback Machine,September,2009, Olympic judoka. Archived September 9 2011,Steeve Nguema Ndong,Gabonese,
89,1920,,September,2009, MP for Brentford and Chiswick (1945â€“1950) and Swindon (1955â€“1969),Francis Noel-Baker,British,4
67,1942, leukemia,September,2009, casino owner (Vegas World Stratosphere Las Vegas),Bob Stupak,American,4
77,1932,,September,2009, footballer (Derby County),Geoff Barrowcliffe,British,4
83,1926, 1952 Olympic gold medalist,September,2009, boxer,Zygmunt ChychÅ‚a,Polish,
42,1967,,September,2009, football player (Miami Dolphins),Alfred Oglesby,American,
85,1924,,September,2009, Governor of Jakarta (1982â€“1987),R. Soeprapto,Indonesian,1
31,1978, scooter accident,September,2009, bass player (3 Inches of Blood Trial),Brian Redman,American,26
79,1930, pancreatic cancer,September,2009, speechwriter and journalist (The New York Times),William Safire,American,22
85,1924,,September,2009, bishop of Kilkis,Apostolos,Greek,2
76,1933,,September,2009, footballer (Stade Reims) (death announced on this date),RenÃ© Bliard,French,1
73,1936,,September,2009, President (1989â€“1994),Guillermo Endara,Panamanian,27
53,1956, stage director and revue artist,September,2009, actor,Ulf Larsson,Swedish,2
85,1924, after long illness,September,2009, baseball player (Brooklyn Dodgers),Don Thompson,American,5
88,1921, Parkinson's disease,September,2009, Governor of Oklahoma (1963â€“1967; 1987â€“1991) U.S. Senator (1969â€“1981),Henry Bellmon,American,8
84,1925,,September,2009, character actor,Gunnar Haugan,Norwegian,4
60,1949, cancer,September,2009, Canadian football player (BC Lions),Ray Nettles,American-born,7
97,1912,,September,2009, football coach (Muskingum College),Ed Sherman,American,1
81,1928, heart attack,September,2009, film actress singer and writer,Sperantza Vrana,Greek,1
86,1923,,September,2009, writer and poet,Rafael Arozarena,Spanish,
93,1916,,September,2009, film and television producer (The Saint The Persuaders!),Robert S. Baker,British,
51,1958, anal cancer,September,2009, murderer killer of Jessica Lunsford (the inspiration for Jessica's Law),John Couey,American,7
43,1966, cancer,September,2009, politician Chief of staff of U.S. Representative John Cooksey talk radio host (KBYO-FM),Lee Fletcher,American,12
69,1940, gastric cancer,September,2009, footballer and manager,RaÃºl MagaÃ±a,Salvadoran,6
88,1921, cardiac arrest,September,2009, politician Chief Minister of Haryana (1967),Rao Birender Singh,Indian,3
76,1933, heart failure,October,2009, writer,Otar Chiladze,Georgian,2
66,1943,,October,2009, Minister of the Economy and Foreign Trade (since 2002),AndrÃ©-Philippe Futa,Congolese,
92,1917,,October,2009, television presenter,Gunnar Haarberg,Norwegian,1
89,1920,,October,2009, radio host (WHDH-AM),Alan Dary,American,
80,1929, cancer,October,2009, politician Senator (1983â€“1984) co-founder of the Australian Democrats,Jack Evans,Australian,13
93,1916,,October,2009, Speaker of the Nova Scotia House of Assembly (1961â€“1968),Harvey Veniot,Canadian,12
80,1929,,October,2009, writer and translator,Vladimir Beekman,Estonian,2
98,1911, widow of King Idris I,October,2009, Queen of Libya (1951â€“1969),Fatima of Libya,Libyan,7
88,1921, founder of Bertelsmann Foundation,October,2009, entrepreneur and publisher,Reinhard Mohn,German,9
56,1953,,October,2009, Olympic silver medal-winning fencer (1980 1992),ErnÅ‘ Kolczonay,Hungarian,3
91,1918, Alzheimer's disease,October,2009, underground first Bishop of Wenzhou (since 1992),James Lin Xili,Chinese,1
56,1953,,October,2009, Minister of Finance (2008â€“2009),ShÅçichi Nakagawa,Japanese,35
78,1931, after long illness,October,2009, bishop of Didymoteicho,Nikiforos,Greek,2
98,1911,,October,2009, aerospace engineer,BronisÅ‚aw Å»urakowski,Polish,
32,1977, pulmonary embolism,October,2009, bassist (Evile),Mike Alexander,British,5
87,1922,,October,2009, footballer (Nottingham Forest),Tommy Capel,English,15
76,1933, pancreatitis,October,2009, football player (Los Angeles Rams),Leon Clarke,American,2
