Year,Laureate_Id,Firstname,Lastname,Category,Gender,Prize_Share,Motivation,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
1950,211,Kurt,Alder,chemistry,male,2,"""for their discovery and development of the diene synthesis""",10-07-1902,Prussia (now Poland),Königshütte (now Chorzów),PL,20-06-1958,West Germany (now Germany),Cologne,DE,Cologne University,Cologne,Germany
1950,55,Cecil,Powell,physics,male,1,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",05-12-1903,United Kingdom,Tonbridge,GB,09-08-1969,Italy,,IT,Bristol University,Bristol,United Kingdom
1950,210,Otto,Diels,chemistry,male,2,"""for their discovery and development of the diene synthesis""",1876-01-23,Germany,Hamburg,DE,07-03-1954,West Germany (now Germany),Kiel,DE,Kiel University,Kiel,Germany
1951,512,Léon,Jouhaux,peace,male,1,"""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",1879-07-01,France,Paris,FR,28-04-1954,France,Paris,FR,,,
1951,622,Pär,Lagerkvist,literature,male,1,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1891-05-23,Sweden,Växjö,SE,11-07-1974,Sweden,Stockholm,SE,,,
1951,57,Ernest T.S.,Walton,physics,male,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",06-10-1903,Ireland,Dungarvan,IE,25-06-1995,Northern Ireland,Belfast,GB,Trinity College,Dublin,Ireland
1951,56,John,Cockcroft,physics,male,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",1897-05-27,United Kingdom,Todmorden,GB,18-09-1967,United Kingdom,Cambridge,GB,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom
1951,212,Edwin M.,McMillan,chemistry,male,2,"""for their discoveries in the chemistry of the transuranium elements""",18-09-1907,USA,Redondo Beach CA,US,07-09-1991,USA,El Cerrito CA,US,University of California,Berkeley CA,USA
1951,352,Max,Theiler,medicine,male,1,"""for his discoveries concerning yellow fever and how to combat it""",1899-01-30,South Africa,Pretoria,ZA,11-08-1972,USA,New Haven CT,US,Laboratories of the Division of Medicine and Public Health Rockefeller Foundation,New York NY,USA
1951,213,Glenn T.,Seaborg,chemistry,male,2,"""for their discoveries in the chemistry of the transuranium elements""",19-04-1912,USA,Ishpeming MI,US,25-02-1999,USA,Lafayette CA,US,University of California,Berkeley CA,USA
1952,58,Felix,Bloch,physics,male,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",23-10-1905,Switzerland,Zurich,CH,10-09-1983,Switzerland,Zurich,CH,Stanford University,Stanford CA,USA
1952,215,Richard L.M.,Synge,chemistry,male,2,"""for their invention of partition chromatography""",28-10-1914,United Kingdom,Liverpool,GB,18-08-1994,United Kingdom,Norwich,GB,Rowett Research Institute,Bucksburn (Scotland),United Kingdom
1952,513,Albert,Schweitzer,peace,male,1,"""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one""",1875-01-14,Germany (now France),Kaysersberg,FR,04-09-1965,Gabon,Lambaréné,GA,,,
1952,353,Selman A.,Waksman,medicine,male,1,"""for his discovery of streptomycin the first antibiotic effective against tuberculosis""",1888-07-22,Russian Empire (now Ukraine),Priluka (now Nova Pryluka),UA,16-08-1973,USA,Hyannis MA,US,Rutgers University,New Brunswick NJ,USA
1952,214,Archer J.P.,Martin,chemistry,male,2,"""for their invention of partition chromatography""",01-03-1910,United Kingdom,London,GB,28-07-2002,United Kingdom,Llangarron,GB,National Institute for Medical Research,London,United Kingdom
1952,59,E. M.,Purcell,physics,male,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",30-08-1912,USA,Taylorville IL,US,07-03-1997,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA
1952,623,François,Mauriac,literature,male,1,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1885-10-11,France,Bordeaux,FR,01-09-1970,France,Paris,FR,,,
1953,514,George C.,Marshall,peace,male,1,"""for proposing and supervising the plan for the economic recovery of Europe""",1880-12-31,USA,Uniontown PA,US,16-10-1959,USA,Washington D.C.,US,,,
1953,354,Hans,Krebs,medicine,male,2,"""for his discovery of the citric acid cycle""",25-08-1900,Germany,Hildesheim,DE,22-11-1981,United Kingdom,Oxford,GB,Sheffield University,Sheffield,United Kingdom
1953,355,Fritz,Lipmann,medicine,male,2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1899-06-12,Germany (now Russia),Koenigsberg (now Kaliningrad),RU,24-07-1986,USA,Poughkeepsie NY,US,Harvard Medical School,Boston MA,USA
1953,60,Frits,Zernike,physics,male,1,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",1888-07-16,the Netherlands,Amsterdam,NL,10-03-1966,the Netherlands,Groningen,NL,Groningen University,Groningen,the Netherlands
1953,216,Hermann,Staudinger,chemistry,male,1,"""for his discoveries in the field of macromolecular chemistry""",1881-03-23,Germany,Worms,DE,08-09-1965,West Germany (now Germany),Freiburg im Breisgau,DE,University of Freiburg,Breisgau,Germany
1953,624,Winston,Churchill,literature,male,1,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1874-11-30,United Kingdom,Woodstock,GB,24-01-1965,United Kingdom,London,GB,,,
1954,356,John F.,Enders,medicine,male,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1897-02-10,USA,West Hartford CT,US,08-09-1985,USA,Waterford CT,US,Harvard Medical School,Boston MA,USA
1954,357,Thomas H.,Weller,medicine,male,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",15-06-1915,USA,Ann Arbor MI,US,23-08-2008,USA,Needham MA,US,Research Division of Infectious Diseases Children's Medical Center,Boston MA,USA
1954,358,Frederick C.,Robbins,medicine,male,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",25-08-1916,USA,Auburn AL,US,04-08-2003,USA,Cleveland OH,US,Western Reserve University,Cleveland OH,USA
1954,217,Linus,Pauling,chemistry,male,1,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",28-02-1901,USA,Portland OR,US,19-08-1994,USA,Big Sur CA,US,California Institute of Technology (Caltech),Pasadena CA,USA
1954,61,Max,Born,physics,male,2,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",1882-12-11,Germany (now Poland),Breslau (now Wroclaw),PL,05-01-1970,West Germany (now Germany),Göttingen,DE,Edinburgh University,Edinburgh,United Kingdom
1954,62,Walther,Bothe,physics,male,2,"""for the coincidence method and his discoveries made therewith""",1891-01-08,Germany,Oranienburg,DE,08-02-1957,West Germany (now Germany),Heidelberg,DE,University of Heidelberg,Heidelberg,Germany
1954,625,Ernest,Hemingway,literature,male,1,"""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style""",1899-07-21,USA,Oak Park IL,US,02-07-1961,USA,Ketchum ID,US,,,
1954,515,Office of the United Nations High Commissioner for Refugees,,peace,org,1,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",14-12-1950,,,,0000-00-00,,,,,,
1955,626,Halldór,Laxness,literature,male,1,"""for his vivid epic power which has renewed the great narrative art of Iceland""",23-04-1902,Iceland,Reykjavik,IS,08-02-1998,Iceland,Reykjavik,IS,,,
1955,64,Polykarp,Kusch,physics,male,2,"""for his precision determination of the magnetic moment of the electron""",26-01-1911,Germany,Blankenburg,DE,20-03-1993,USA,Dallas TX,US,Columbia University,New York NY,USA
1955,63,Willis E.,Lamb,physics,male,2,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",12-07-1913,USA,Los Angeles CA,US,15-05-2008,USA,Tucson AZ,US,Stanford University,Stanford CA,USA
1955,359,Hugo,Theorell,medicine,male,1,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",06-07-1903,Sweden,Linköping,SE,15-08-1982,Sweden,Stockholm,SE,Karolinska Institutet Nobel Medical Institute,Stockholm,Sweden
1955,218,Vincent,du Vigneaud,chemistry,male,1,"""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""",18-05-1901,USA,Chicago IL,US,11-12-1978,USA,White Plains NY,US,Cornell University,Ithaca NY,USA
1956,361,Werner,Forssmann,medicine,male,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",29-08-1904,Germany,Berlin,DE,01-06-1979,West Germany (now Germany),Schopfheim,DE,Mainz University,Mainz,Germany
1956,360,André F.,Cournand,medicine,male,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1895-09-24,France,Paris,FR,19-02-1988,USA,Great Barrington MA,US,Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital,New York NY,USA
1956,67,Walter H.,Brattain,physics,male,3,"""for their researches on semiconductors and their discovery of the transistor effect""",10-02-1902,China,Amoy,CN,13-10-1987,USA,Seattle WA,US,Bell Telephone Laboratories,Murray Hill NJ,USA
1956,220,Nikolay,Semenov,chemistry,male,2,"""for their researches into the mechanism of chemical reactions""",1896-04-03,Russia,Saratov,RU,25-09-1986,USSR (now Russia),Moscow,RU,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia)
1956,219,Sir Cyril,Hinshelwood,chemistry,male,2,"""for their researches into the mechanism of chemical reactions""",1897-05-19,United Kingdom,London,GB,09-10-1967,United Kingdom,London,GB,University of Oxford,Oxford,United Kingdom
1956,66,John,Bardeen,physics,male,3,"""for their researches on semiconductors and their discovery of the transistor effect""",23-05-1908,USA,Madison WI,US,30-01-1991,USA,Boston MA,US,University of Illinois,Urbana IL,USA
1956,65,William B.,Shockley,physics,male,3,"""for their researches on semiconductors and their discovery of the transistor effect""",13-02-1910,United Kingdom,London,GB,12-08-1989,USA,Palo Alto CA,US,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA
1956,362,Dickinson W.,Richards,medicine,male,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1895-10-30,USA,Orange NJ,US,23-02-1973,USA,Lakeville CT,US,Columbia University,New York NY,USA
1956,627,Juan Ramón,Jiménez,literature,male,1,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity""",1881-12-24,Spain,Moguer,ES,29-05-1958,Puerto Rico,San Juan,PR,,,
1957,68,Chen Ning,Yang,physics,male,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",22-09-1922,China,Hofei Anhwei,CN,0000-00-00,,,,Institute for Advanced Study,Princeton NJ,USA
1957,516,Lester Bowles,Pearson,peace,male,1,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",1897-04-23,Canada,Toronto,CA,27-12-1972,Canada,Ottawa,CA,,,
1957,221,Lord,Todd,chemistry,male,1,"""for his work on nucleotides and nucleotide co-enzymes""",02-10-1907,Scotland,Glasgow,GB,10-01-1997,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom
1957,69,Tsung-Dao,Lee,physics,male,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",24-11-1926,China,Shanghai,CN,0000-00-00,,,,Columbia University,New York NY,USA
1957,628,Albert,Camus,literature,male,1,"""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",07-11-1913,French Algeria (now Algeria),Mondovi,DZ,04-01-1960,France,Sens,FR,,,
1957,363,Daniel,Bovet,medicine,male,1,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles""",23-03-1907,Switzerland,Neuchâtel,CH,08-04-1992,Italy,Rome,IT,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy
1958,222,Frederick,Sanger,chemistry,male,1,"""for his work on the structure of proteins especially that of insulin""",13-08-1918,United Kingdom,Rendcombe,GB,19-11-2013,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom
1958,517,Georges,Pire,peace,male,1,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",10-02-1910,Belgium,Dinant,BE,30-01-1969,Belgium,Leuven,BE,,,
1958,365,Edward,Tatum,medicine,male,4,"""for their discovery that genes act by regulating definite chemical events""",14-12-1909,USA,Boulder CO,US,05-11-1975,USA,New York NY,US,Rockefeller Institute for Medical Research,New York NY,USA
1958,366,Joshua,Lederberg,medicine,male,2,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",23-05-1925,USA,Montclair NJ,US,02-02-2008,USA,New York NY,US,University of Wisconsin,Madison WI,USA
1958,629,Boris,Pasternak,literature,male,1,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1890-02-10,Russia,Moscow,RU,30-05-1960,Russia,Peredelkino,RU,,,
1958,721,Il´ja M.,Frank,physics,male,3,"""for the discovery and the interpretation of the Cherenkov effect""",23-10-1908,Russia,Leningrad (now St. Petersburg),RU,22-06-1990,USSR (now Russia),Moscow,RU,Lomonosov Moscow State University,Moscow,USSR (now Russia)
1958,71,Igor Y.,Tamm,physics,male,3,"""for the discovery and the interpretation of the Cherenkov effect""",1895-07-08,Russia,Vladivostok,RU,12-04-1971,USSR (now Russia),Moscow,RU,Lomonosov Moscow State University,Moscow,USSR (now Russia)
1958,70,Pavel A.,Cherenkov,physics,male,3,"""for the discovery and the interpretation of the Cherenkov effect""",28-07-1904,Russia,Novaya Chigla,RU,06-01-1990,USSR (now Russia),,RU,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia)
1958,364,George,Beadle,medicine,male,4,"""for their discovery that genes act by regulating definite chemical events""",22-10-1903,USA,Wahoo NE,US,09-06-1989,USA,Pomona CA,US,California Institute of Technology (Caltech),Pasadena CA,USA
1959,368,Arthur,Kornberg,medicine,male,2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",03-03-1918,USA,Brooklyn NY,US,26-10-2007,USA,Stanford CA,US,Stanford University,Stanford CA,USA
1959,223,Jaroslav,Heyrovsky,chemistry,male,1,"""for his discovery and development of the polarographic methods of analysis""",1890-12-20,Austria-Hungary (now Czech Republic),Prague,CZ,27-03-1967,Czechoslovakia (now Czech Republic),Prague,CZ,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic)
1959,73,Owen,Chamberlain,physics,male,2,"""for their discovery of the antiproton""",10-07-1920,USA,San Francisco CA,US,28-02-2006,USA,Berkeley CA,US,University of California,Berkeley CA,USA
1959,72,Emilio,Segrè,physics,male,2,"""for their discovery of the antiproton""",01-02-1905,Italy,Tivoli,IT,22-04-1989,USA,Lafayette CA,US,University of California,Berkeley CA,USA
1959,367,Severo,Ochoa,medicine,male,2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",24-09-1905,Spain,Luarca,ES,01-11-1993,Spain,Madrid,ES,New York University College of Medicine,New York NY,USA
1959,518,Philip,Noel-Baker,peace,male,1,"""for his longstanding contribution to the cause of disarmament and peace""",1889-11-01,United Kingdom,London,GB,08-10-1982,United Kingdom,London,GB,,,
1959,630,Salvatore,Quasimodo,literature,male,1,"""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",20-08-1901,Italy,Modica,IT,14-06-1968,Italy,Naples,IT,,,
1960,370,Peter,Medawar,medicine,male,2,"""for discovery of acquired immunological tolerance""",28-02-1915,Brazil,Rio de Janeiro,BR,02-10-1987,United Kingdom,London,GB,University College,London,United Kingdom
1960,74,Donald A.,Glaser,physics,male,1,"""for the invention of the bubble chamber""",21-09-1926,USA,Cleveland OH,US,28-02-2013,USA,Berkeley CA,US,University of California,Berkeley CA,USA
1960,369,Sir Frank Macfarlane,Burnet,medicine,male,2,"""for discovery of acquired immunological tolerance""",1899-09-03,Australia,Traralgon,AU,31-08-1985,Australia,Melbourne,AU,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia
1960,631,Saint-John,Perse,literature,male,1,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1887-05-31,Guadeloupe Island,Pointe-à-Pitre,GP,20-09-1975,France,Presqu'île-de-Giens,FR,,,
1960,519,Albert,Lutuli,peace,male,1,"""for his non-violent struggle against apartheid""",1898-00-00,Southern Rhodesia (now Zimbabwe),Bulawayo,ZW,21-07-1967,South Africa,Stanger,ZA,,,
1960,224,Willard F.,Libby,chemistry,male,1,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science""",17-12-1908,USA,Grand Valley CO,US,08-09-1980,USA,Los Angeles CA,US,University of California,Los Angeles CA,USA
1961,76,Rudolf,Mössbauer,physics,male,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",31-01-1929,Germany,Munich,DE,14-09-2011,,,,Technical University,Munich,Germany
1961,520,Dag,Hammarskjöld,peace,male,1,"""for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter""",29-07-1905,Sweden,Jönköping,SE,18-09-1961,Northern Rhodesia (now Zambia),Ndola,ZM,,,
1961,371,Georg,von Békésy,medicine,male,1,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1899-06-03,Hungary,Budapest,HU,13-06-1972,USA,Honolulu HI,US,Harvard University,Cambridge MA,USA
1961,633,Ivo,Andric,literature,male,1,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",1892-10-10,Bosnia (now Bosnia and Herzegovina),Dolac,BA,13-03-1975,Yugoslavia (now Serbia),Belgrade,RS,,,
1961,225,Melvin,Calvin,chemistry,male,1,"""for his research on the carbon dioxide assimilation in plants""",08-04-1911,USA,St. Paul MN,US,08-01-1997,USA,Berkeley CA,US,University of California,Berkeley CA,USA
1961,75,Robert,Hofstadter,physics,male,2,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",05-02-1915,USA,New York NY,US,17-11-1990,USA,Stanford CA,US,Stanford University,Stanford CA,USA
1962,374,Maurice,Wilkins,medicine,male,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",15-12-1916,New Zealand,Pongaroa,NZ,05-10-2004,United Kingdom,London,GB,London University,London,United Kingdom
1962,373,James,Watson,medicine,male,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",06-04-1928,USA,Chicago IL,US,0000-00-00,,,,Harvard University,Cambridge MA,USA
1962,372,Francis,Crick,medicine,male,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",08-06-1916,United Kingdom,Northampton,GB,28-07-2004,USA,San Diego CA,US,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,217,Linus,Pauling,peace,male,1,"""for his fight against the nuclear arms race between East and West""",28-02-1901,USA,Portland OR,US,19-08-1994,USA,Big Sur CA,US,California Institute of Technology (Caltech),Pasadena CA,USA
1962,227,John C.,Kendrew,chemistry,male,2,"""for their studies of the structures of globular proteins""",24-03-1917,United Kingdom,Oxford,GB,23-08-1997,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,226,Max F.,Perutz,chemistry,male,2,"""for their studies of the structures of globular proteins""",19-05-1914,Austria,Vienna,AT,06-02-2002,United Kingdom,Cambridge,GB,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom
1962,77,Lev,Landau,physics,male,1,"""for his pioneering theories for condensed matter especially liquid helium""",22-01-1908,Russian Empire (now Azerbaijan),Baku,AZ,01-04-1968,USSR (now Russia),Moscow,RU,Academy of Sciences,Moscow,USSR (now Russia)
1962,634,John,Steinbeck,literature,male,1,"""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",27-02-1902,USA,Salinas CA,US,20-12-1968,USA,New York NY,US,,,
1963,377,Andrew,Huxley,medicine,male,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",22-11-1917,United Kingdom,Hampstead,GB,30-05-2012,United Kingdom,Grantchester,GB,University College,London,United Kingdom
1963,376,Alan,Hodgkin,medicine,male,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",05-02-1914,United Kingdom,Banbury,GB,20-12-1998,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom
1963,375,Sir John,Eccles,medicine,male,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",27-01-1903,Australia,Melbourne,AU,02-05-1997,Switzerland,Contra,CH,Australian National University,Canberra,Australia
1963,80,J. Hans D.,Jensen,physics,male,4,"""for their discoveries concerning nuclear shell structure""",25-06-1907,Germany,Hamburg,DE,11-02-1973,West Germany (now Germany),Heidelberg,DE,University of Heidelberg,Heidelberg,Germany
1963,78,Eugene,Wigner,physics,male,2,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",17-11-1902,Austria-Hungary (now Hungary),Budapest,HU,01-01-1995,USA,Princeton NJ,US,Princeton University,Princeton NJ,USA
1963,482,International Committee of the Red Cross,,peace,org,2,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",1863-00-00,,,,0000-00-00,,,,,,
1963,523,League of Red Cross Societies,,peace,org,2,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",1919-00-00,,,,0000-00-00,,,,,,
1963,635,Giorgos,Seferis,literature,male,1,"""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",13-03-1900,Ottoman Empire (now Turkey),Smyrna (now Izmir),TR,20-09-1971,Greece,Athens,GR,,,
1963,79,Maria,Goeppert Mayer,physics,female,4,"""for their discoveries concerning nuclear shell structure""",28-06-1906,Germany (now Poland),Kattowitz (now Katowice),PL,20-02-1972,USA,San Diego CA,US,University of California,San Diego CA,USA
1963,228,Karl,Ziegler,chemistry,male,2,"""for their discoveries in the field of the chemistry and technology of high polymers""",1898-11-26,Germany,Helsa,DE,12-08-1973,West Germany (now Germany),Mülheim,DE,Max-Planck-Institut für Kohlenforschung,Mülheim an der Ruhr,Germany
1963,229,Giulio,Natta,chemistry,male,2,"""for their discoveries in the field of the chemistry and technology of high polymers""",26-02-1903,Italy,Imperia,IT,02-05-1979,Italy,Bergamo,IT,Institute of Technology,Milan,Italy
1964,82,Nicolay G.,Basov,physics,male,4,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",14-12-1922,USSR (now Russia),Usman,RU,01-07-2001,Russia,Moscow,RU,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia)
1964,637,Jean-Paul,Sartre,literature,male,1,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",21-06-1905,France,Paris,FR,15-04-1980,France,Paris,FR,,,
1964,524,Martin Luther,King Jr.,peace,male,1,"""for his non-violent struggle for civil rights for the Afro-American population""",15-01-1929,USA,Atlanta GA,US,04-04-1968,USA,Memphis TN,US,,,
1964,83,Aleksandr M.,Prokhorov,physics,male,4,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",11-07-1916,Australia,Atherton,AU,08-01-2002,Russia,Moscow,RU,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia)
1964,379,Feodor,Lynen,medicine,male,2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",06-04-1911,Germany,Munich,DE,06-08-1979,Germany,Munich,DE,Max-Planck-Institut für Zellchemie,Munich,Germany
1964,81,Charles H.,Townes,physics,male,2,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",28-07-1915,USA,Greenville SC,US,27-01-2015,USA,Berkeley CA,US,Massachusetts Institute of Technology (MIT),Cambridge MA,USA
1964,378,Konrad,Bloch,medicine,male,2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",21-01-1912,Germany (now Poland),Neisse (now Nysa),PL,15-10-2000,USA,Burlington MA,US,Harvard University,Cambridge MA,USA
1964,230,Dorothy Crowfoot,Hodgkin,chemistry,female,1,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",12-05-1910,Egypt,Cairo,EG,29-07-1994,United Kingdom,Shipston-on-Stour,GB,University of Oxford Royal Society,Oxford,United Kingdom
1965,231,Robert B.,Woodward,chemistry,male,1,"""for his outstanding achievements in the art of organic synthesis""",10-04-1917,USA,Boston MA,US,08-07-1979,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA
1965,380,François,Jacob,medicine,male,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",17-06-1920,France,Nancy,FR,19-04-2013,France,Paris,FR,Institut Pasteur,Paris,France
1965,381,André,Lwoff,medicine,male,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",08-05-1902,France,Ainay-le-Château,FR,30-09-1994,France,Paris,FR,Institut Pasteur,Paris,France
1965,382,Jacques,Monod,medicine,male,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",09-02-1910,France,Paris,FR,31-05-1976,France,Cannes,FR,Institut Pasteur,Paris,France
1965,525,United Nations Children's Fund,,peace,org,1,"""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",1946-00-00,,,,0000-00-00,,,,,,
1965,84,Sin-Itiro,Tomonaga,physics,male,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",31-03-1906,Japan,Kyoto,JP,08-07-1979,Japan,Tokyo,JP,Tokyo University of Education,Tokyo,Japan
1965,638,Mikhail,Sholokhov,literature,male,1,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",24-05-1905,Russia,Veshenskaya,RU,21-02-1984,USSR (now Russia),Veshenskaya,RU,,,
1965,85,Julian,Schwinger,physics,male,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",12-02-1918,USA,New York NY,US,16-07-1994,USA,Los Angeles CA,US,Harvard University,Cambridge MA,USA
1965,86,Richard P.,Feynman,physics,male,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",11-05-1918,USA,New York NY,US,15-02-1988,USA,Los Angeles CA,US,California Institute of Technology (Caltech),Pasadena CA,USA
1966,384,Charles B.,Huggins,medicine,male,2,"""for his discoveries concerning hormonal treatment of prostatic cancer""",22-09-1901,Canada,Halifax Nova Scotia,CA,12-01-1997,USA,Chicago IL,US,University of Chicago Ben May Laboratory for Cancer Research,Chicago IL,USA
1966,639,Shmuel,Agnon,literature,male,2,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",1888-07-17,Austria-Hungary (now Ukraine),Buczacz (now Buchach),UA,17-02-1970,Israel,Rehovot,IL,,,
1966,232,Robert S.,Mulliken,chemistry,male,1,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",1896-06-07,USA,Newburyport MA,US,31-10-1986,USA,Arlington VA,US,University of Chicago,Chicago IL,USA
1966,383,Peyton,Rous,medicine,male,2,"""for his discovery of tumour-inducing viruses""",1879-10-05,USA,Baltimore MD,US,16-02-1970,USA,New York NY,US,Rockefeller University,New York NY,USA
1966,640,Nelly,Sachs,literature,female,2,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength""",1891-12-10,Germany,Berlin,DE,12-05-1970,Sweden,Stockholm,SE,,,
1966,87,Alfred,Kastler,physics,male,1,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",03-05-1902,Germany (now France),Guebwiller,FR,07-01-1984,France,Bandol,FR,École Normale Supérieure,Paris,France
