,Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders
5847,Gb2OjjZR,2314,2105,B03,9,43,10,1,0,22,2,0,0
5848,ygw0irYl,2336,1713,B01,6,46,2,0,2,86,2,2,4
5849,HtTdh2O0,1890,2332,D12,8,103,2,2,4,62,1,0,3
5850,q6737Fkm,1915,2328,B50,4,39,2,2,1,13,2,0,0
5851,Yz91OvVp,2325,1825,C10,5,30,3,1,0,54,5,1,1
5852,LsXxod3r,1080,2325,C67,8,57,2,0,2,26,0,0,1
5853,YMzUpGpm,2122,2248,C97,22,9,0,0,0,28,0,0,1
5854,e9hebPLs,2111,2204,C67,8,19,4,0,0,36,2,3,1
5855,oGpIUpU0,1961,2122,C45,9,71,9,4,2,81,2,2,4
5856,60wNzw88,2122,1956,C78,9,83,8,2,9,65,7,2,5
5857,zWDhPyte,2023,2116,C77,9,44,1,1,3,21,1,0,1
5858,wnFIsYRm,2109,2032,B07,6,81,2,3,3,55,0,1,2
5859,LTbw3GN9,2075,2102,A49,5,66,5,2,2,41,3,3,1
5860,JZxt3JmU,2074,2095,C84,10,67,4,4,0,21,1,1,0
5861,oyWxsiCd,2080,2088,A20,2,52,4,1,1,24,2,1,0
5862,qc9mnHKm,1434,1439,B01,6,22,1,0,0,67,3,0,1
5863,UsRofyua,1769,1745,C50,6,121,3,2,5,91,4,2,5
5864,OLPkCLbd,1996,1996,C41,5,40,3,2,1,72,5,2,1
5865,lwjEx9BZ,2109,2071,B04,8,10,0,0,0,31,2,1,1
5866,WrAdWGUn,2063,2108,A45,2,11,2,0,0,42,1,3,1
5867,Vi0BH6zH,1578,1787,C44,5,52,3,3,1,46,6,1,1
5868,Jk8c7JMg,1777,1750,A25,4,11,0,0,0,68,5,1,0
5869,42EcKLWC,1653,1792,C46,7,68,9,3,4,86,11,3,8
5870,aroHbKXB,1803,1624,A00,1,94,12,2,4,64,7,1,1
5871,b0x05pPG,1879,1795,A36,5,53,8,2,2,30,2,2,2
5872,XZlVQYts,1804,1881,C11,7,44,1,0,1,14,0,1,0
5873,WNWc7YhO,1797,1654,D20,5,44,3,0,1,74,7,2,2
5874,cQ3eAcg1,1800,1839,B20,3,104,6,1,8,86,4,5,7
5875,hATLYlHR,1853,1980,B88,12,37,1,1,1,9,1,0,0
5876,txXr4HPD,1981,1991,D00,3,30,6,0,1,51,6,2,2
5877,rkjY3U40,2002,1970,D11,5,48,7,3,3,40,5,3,2
5878,1A1eQRck,2002,2011,D35,9,9,2,0,0,9,2,0,0
5879,SRf6Nx1d,1818,1996,B21,3,50,7,0,1,13,0,1,0
5880,qXaxWy9h,1842,2012,B50,4,51,3,1,4,67,7,0,4
5881,sw3WxEG0,2004,1895,D35,9,9,0,0,0,8,0,0,0
5882,y9bDg8FE,1996,1911,A40,2,48,2,1,0,101,4,1,1
5883,j9H3xt2v,1983,2054,E97,17,11,1,0,0,33,0,2,1
5884,yt0QKi5H,1856,1976,B50,4,57,1,1,1,12,0,0,0
5885,C6THpl41,1951,2005,C00,3,56,5,1,1,37,3,0,0
5886,w8NOK7IW,1676,1360,C20,3,39,8,0,0,92,4,1,2
5887,BxS1MYNf,1519,1662,B20,3,89,5,0,6,71,5,1,4
5888,HnC1TIPl,1460,1534,C34,5,63,2,3,1,108,2,2,2
5889,jo8iu4to,1507,2026,A43,3,54,10,1,1,39,6,1,0
5890,MVUKrLbT,1508,2018,D00,4,19,1,0,0,9,1,0,0
5891,uSRxnKm3,1720,1694,A85,5,19,2,1,0,36,1,0,2
5892,xuScR2hd,1500,1564,A40,2,102,5,1,3,126,3,1,6
5893,x0TEu2Xa,2217,2072,D35,7,75,5,1,6,84,8,3,6
5894,4j9VEXt4,2214,2158,A85,5,58,9,4,3,43,9,6,1
5895,J4JpzRfD,2174,2220,D30,4,47,2,1,2,66,5,0,3
5896,udQXGXhN,2259,2221,A00,1,62,3,3,4,91,7,2,5
5897,wYjINYBf,2100,2163,A04,2,23,2,1,0,61,6,0,2
5898,7qavLfj5,2065,2090,C00,3,55,5,3,2,31,7,1,1
5899,rQsMc8KC,2085,2039,A04,2,49,8,3,2,34,4,4,2
5900,IvbLw8hq,2116,2067,A04,2,77,7,3,7,70,12,1,5
5901,mzKe5oWO,1690,1671,C61,6,27,7,1,0,48,8,5,1
5902,mbasTJ8a,1805,1818,C02,7,56,4,2,2,28,4,1,1
5903,Pl9cxuIs,1812,1760,B01,6,18,2,0,0,110,4,0,1
5904,cphO8Hlx,1759,1735,D35,7,109,6,5,4,85,3,4,2
5905,e4DaB7N9,1691,1626,C45,7,65,4,2,2,92,7,3,3
5906,zUpzLfxW,1481,1782,C00,3,18,2,0,0,22,2,1,0
5907,BXjIQxWl,1761,1485,C45,7,16,0,0,0,79,2,0,1
5908,kni0ALuP,1735,1496,B00,2,68,4,2,2,87,5,0,5
5909,bcjkVnxZ,1510,1698,A45,2,65,5,1,1,16,1,0,0
5910,D3mrxGMi,1455,1657,C00,3,48,0,2,2,16,2,1,0
5911,c1E8nmpy,1700,1789,C62,6,65,7,3,3,49,9,1,3
5912,W0Bxsgly,1700,1100,C64,7,37,1,2,1,53,2,1,2
5913,nNuHpx7z,1426,1530,D32,6,59,5,2,1,24,2,0,0
5914,qITve6wt,1963,1988,A15,2,55,1,1,1,13,1,0,0
5915,ONIa0n8G,2036,1967,B21,12,40,2,0,1,7,0,0,0
5916,LViPdGrL,1505,1496,C44,5,22,1,1,0,69,2,2,1
5917,InQ8W9Vv,2020,1969,B27,5,93,3,2,5,66,4,3,3
5918,tMeSDXfZ,1195,1172,C42,5,194,0,0,4,126,2,0,3
5919,vrVkh2It,1164,1191,D00,2,47,6,1,2,74,3,1,4
5920,12quXiVl,1124,1175,C41,4,124,3,1,6,91,4,4,4
5921,wfTBR3iB,1188,1306,B30,4,70,3,1,5,46,2,1,3
5922,d7sKNsf1,1169,1174,C48,8,18,1,1,0,51,7,2,1
5923,y6j1soZc,1194,1188,D00,3,14,9,0,0,44,8,1,2
5924,TLOlJMy5,1166,1185,C42,5,52,6,2,6,65,7,4,6
5925,LaZRRJVV,1141,1145,A00,3,52,5,1,1,10,1,0,0
5926,9VohM2Pj,1389,1154,C55,7,58,3,2,6,76,7,0,5
5927,YkFaDPjx,1234,1174,C55,7,52,8,0,2,81,5,1,3
5928,VaPaVJJE,2250,1939,A04,2,26,2,2,0,70,4,1,1
5929,1y4wIcAx,1963,2273,B00,2,23,1,0,1,7,0,0,0
5930,Ff7TVbAX,2250,2572,A49,5,8,0,0,0,35,4,0,1
5931,ojcYfpJV,2057,2243,A58,9,20,1,1,0,9,1,0,0
5932,FXfbJwXs,2233,2138,E06,9,13,0,0,0,46,3,1,1
5933,jFOCQs00,1788,2231,B27,4,30,3,1,1,4,0,0,0
5934,VrTNSmH9,2206,2219,B27,4,25,4,0,1,5,0,0,0
5935,O2w4qxNR,1872,2215,B27,4,30,5,2,0,7,0,0,0
5936,UCZFrjZK,2215,1492,A04,2,13,1,1,0,50,5,1,2
5937,kXZvY4ZZ,2202,2191,D02,5,15,3,0,1,34,5,0,2
5938,LXrfxDPq,2131,1949,B27,6,37,1,2,1,55,2,0,1
5939,9rWaxTEL,2112,2120,C02,7,47,8,1,2,24,3,2,1
5940,JscgLxi6,2110,2052,B18,8,22,1,0,0,42,5,2,1
5941,KeDMqCcc,1971,2103,A58,9,76,4,0,3,36,4,1,1
5942,JnyMHchE,2096,1978,B18,8,23,1,1,0,67,5,0,1
5943,vaoWTyfz,2115,1927,B32,7,46,6,4,1,42,10,1,0
5944,z8BXhBqY,1989,2088,A57,9,68,0,0,1,20,1,0,0
5945,i34AD708,2079,1997,B50,4,29,3,2,0,53,6,3,0
5946,grj0F6IU,2066,2069,C06,15,49,2,1,1,9,0,0,0
5947,HSpp5ZLp,2056,2081,B07,5,25,2,0,1,63,4,0,2
5948,QhPqgOsb,2521,2519,C02,10,28,3,3,2,41,7,2,4
5949,jivJOfHC,2533,2364,C58,16,80,8,7,6,67,3,3,6
5950,2AwwSZQo,2504,2341,C53,9,41,8,2,5,53,7,5,5
5951,rsULMUPk,1799,1671,D02,4,15,2,0,0,55,0,4,0
5952,HPk6W2Sq,1708,1852,C41,5,64,3,0,3,40,0,1,2
5953,hyBQLX2D,1316,1460,C46,5,134,2,3,10,99,7,2,6
5954,Jf13jVAo,1715,2271,B29,8,10,0,0,0,41,3,0,1
5955,V3mlpKXg,2504,2686,C50,8,77,2,0,2,27,1,0,0
5956,U1CVAY97,2513,2543,B90,11,25,5,3,2,25,10,2,1
5957,WZ2ilMvB,2501,2506,C50,8,54,2,1,1,86,0,3,2
5958,5rT2pavh,2480,2502,E21,7,47,2,0,3,47,4,0,4
5959,e21lEl6V,2661,2497,A15,2,22,2,1,1,23,1,1,1
5960,jaWSfxDL,2479,2677,B42,10,28,4,0,2,57,3,0,3
5961,4MkxMmWN,2670,2485,B90,11,39,9,0,4,32,5,0,1
5962,0a5qzwcL,2495,2518,B12,5,68,1,2,3,40,3,1,1
5963,1zCY5gv3,2482,2500,B01,8,24,3,0,0,36,2,2,1
5964,cz2tGpvG,2178,2478,B22,6,61,5,4,1,37,0,2,2
5965,PcEaAbBX,1996,1913,A43,4,35,6,0,4,54,4,2,5
5966,Bjy1SIOY,1163,1380,C23,3,15,0,0,0,261,1,0,1
5967,KCU7ITzR,1292,1351,A40,2,97,6,2,4,119,10,2,5
5968,ZXE07MTj,1601,1605,B00,5,47,1,2,1,89,3,2,2
5969,mnbbI7XH,1215,1239,C02,5,84,1,1,4,111,8,5,3
5970,Fj69BQzX,2164,1979,C26,7,24,4,1,0,21,1,0,0
5971,gPupL2iq,1706,1831,B40,4,70,3,3,1,30,2,1,1
5972,WCfm7Zmw,1814,1830,A50,3,26,1,1,0,80,0,3,2
5973,ftgEloQ5,1824,1905,D10,5,111,4,6,5,92,6,1,7
5974,ZCA9aajH,1823,1836,E30,7,27,1,1,2,26,2,1,2
5975,NBYxzfqF,1845,1821,C14,13,54,0,0,2,110,3,0,5
5976,y23jmM9u,2004,2045,C34,6,35,5,0,0,66,5,3,1
5977,H5m7QO0q,1781,1734,B20,2,79,6,2,2,50,3,0,2
5978,hsUvo4Z8,2120,1724,B72,13,76,4,0,5,77,6,1,6
5979,SXFADY7l,1703,1684,B76,16,38,8,0,1,21,2,0,0
5980,zcogtzLw,1708,1851,B32,7,11,0,0,0,48,2,0,1
5981,5zAP1SOI,1599,2051,C01,5,8,2,0,0,7,1,0,0
5982,HVOv7erB,1418,1589,B20,3,24,5,1,0,22,3,3,0
5983,jRJu2iO5,1470,1195,A00,1,23,3,1,0,59,5,2,1
5984,GviW37Ir,1254,1068,B00,2,78,1,1,1,159,3,1,3
5985,zXlSTYoC,1863,1921,C66,8,36,2,0,1,64,1,2,1
5986,SS5wyoak,1824,1928,D35,6,76,4,4,3,105,7,3,5
5987,vFjPbU2a,1950,1915,C45,7,61,9,6,6,58,9,4,6
5988,kgvgahF7,2081,2041,B95,12,99,6,4,5,116,4,4,7
5989,gG9XQaGn,2067,2075,C34,6,94,3,2,5,58,1,0,4
5990,Tshxeq7R,2071,1994,B07,6,87,7,1,9,111,3,4,10
5991,QaJ22QgB,2084,2019,B17,8,68,3,1,3,40,3,1,2
5992,XTVaGPxh,2517,2085,C46,5,14,1,0,0,46,4,2,0
5993,9wcuwAQx,1514,1506,C44,5,105,2,0,5,77,3,4,4
5994,YfDurhcf,1954,1898,D11,5,28,2,1,1,65,5,2,2
5995,pUD7myYJ,1977,1977,A85,5,57,5,4,6,56,8,3,5
5996,3NzYyYQs,1987,1991,E53,12,37,10,0,3,24,8,2,1
5997,pTrReyBj,2006,1975,D00,3,57,3,0,2,50,1,0,1
5998,X5hFLfEV,1964,1970,D20,5,55,1,0,1,84,2,0,3
5999,iDa91G2c,1955,1882,B01,4,44,2,0,3,57,5,3,4
6000,QdINKYYB,1876,1733,C00,3,32,3,1,1,52,3,1,1
6001,9PXfGPgM,1890,1864,C00,3,53,10,2,1,30,4,5,0
6002,NVKuG0S8,1859,1660,C50,6,32,0,0,1,75,2,0,3
6003,mxbC3uz8,1454,1367,A04,2,12,0,0,0,124,2,0,1
6004,xNZHGp5L,1352,1352,C42,5,124,1,1,3,186,1,0,5
6005,ZbUI48oG,1347,1327,C44,5,53,1,1,1,140,2,0,2
6006,FNVxjkNJ,1357,1369,C68,7,114,3,4,6,81,2,3,4
6007,Tdsz8ULp,1279,1363,B00,5,217,2,0,5,174,1,2,4
6008,A9NtJC3n,1354,1289,B13,5,27,7,0,1,52,5,2,1
6009,y7mw3Kjq,1319,1343,D00,3,59,4,1,3,33,4,0,2
6010,27toZpfc,1497,1485,A00,1,67,1,0,2,40,0,0,1
6011,1KgfEN4b,1523,1394,C64,6,129,1,0,2,77,0,2,2
6012,iKnDWVR3,1481,1495,C57,8,21,1,2,1,59,4,1,2
6013,2Vh7YYi9,1705,1500,A00,1,100,5,4,2,69,3,4,2
6014,4OCF5yHS,1631,1884,D00,2,74,4,1,2,47,3,1,1
6015,4rHbHmqc,1621,1505,C01,5,51,4,0,1,87,1,1,3
6016,FCSJEX1B,2134,2011,B13,9,37,5,0,1,66,5,3,1
6017,sTGH0d0j,1500,1743,A40,2,18,2,0,1,34,5,0,1
6018,vzTFZ0br,1591,1759,B06,4,43,4,1,2,78,1,2,4
6019,L70zgPMs,1761,1774,A00,1,82,7,1,4,63,6,1,2
6020,SvcTHAhE,2237,2221,C50,6,27,3,1,1,57,2,1,2
6021,EVDdSlBv,2226,1944,C42,8,38,0,0,2,72,2,1,2
6022,uhjEzPRM,2223,2144,C53,7,42,3,1,3,65,4,2,5
6023,RUCG3NQZ,2040,2189,D14,12,80,3,4,3,47,1,2,2
6024,55uQhdgS,2277,2158,C31,6,90,6,2,2,42,4,1,1
6025,5EaWt4SC,1886,1934,D37,9,66,2,0,1,10,0,0,0
6026,730t3zws,1903,1937,D00,3,49,1,0,1,20,0,1,1
6027,RrqBuz9k,1594,1594,D10,5,97,4,1,2,42,1,0,2
6028,eGKiiYpQ,2144,2002,D03,6,17,4,0,0,10,0,0,0
6029,brhCZ6P4,1958,1940,C05,6,6,0,0,0,68,2,0,2
6030,cesaXpnb,2010,1881,C46,7,53,3,1,0,11,0,0,0
6031,jb4g3xnq,1841,1707,B06,4,6,0,0,0,49,3,0,1
6032,CTi6Qe2x,1717,2014,B40,10,5,0,0,0,38,0,0,1
6033,OSSmf3bp,1822,1588,A20,2,56,2,0,2,9,2,0,0
6034,1j0oQJUO,1521,1410,C41,4,4,0,0,0,65,3,2,0
6035,3gKYyPEJ,1799,1757,C50,6,47,3,2,0,77,2,4,2
6036,uWDA3Z4w,1786,1758,C00,5,60,3,2,3,37,1,3,2
6037,qtDX9fL2,1462,1066,C42,4,163,2,1,4,125,5,1,3
6038,YvOcbsA0,1427,1129,A40,2,39,0,3,1,66,4,0,3
6039,NcAZei7L,1480,1478,C41,5,100,5,2,7,119,1,2,9
6040,s95f8dAY,1711,1751,B20,3,39,4,1,1,27,4,0,1
6041,ce5ksKPq,1503,1500,C00,3,66,3,4,2,40,5,2,1
6042,gjAR0ub8,2300,1603,A01,2,9,1,0,0,33,3,0,0
6043,9QGJ7rZV,1861,1698,C00,3,115,4,3,2,78,4,2,3
6044,HBBCkbs8,1668,1948,C45,7,53,9,2,4,70,4,3,6
6045,baouY2eD,1718,1646,D00,4,72,4,2,3,44,2,3,2
6046,CmeCVV8G,2039,1378,C41,4,42,0,1,1,88,1,3,2
6047,WxvUjGwy,1801,1808,C45,10,156,0,1,1,13,0,0,0
6048,doOHpJGU,1760,1762,C41,5,54,3,2,4,30,1,1,3
6049,S6bX6cj5,2258,1922,A00,5,18,1,1,0,60,4,2,0
6050,uPQ8H5Pi,1926,2237,B44,8,74,6,1,1,26,0,1,0
6051,Pf8z6tU9,1647,1946,B01,4,24,2,0,1,39,1,0,1
6052,AARaQ20H,1873,1936,D04,5,60,9,2,2,28,5,0,1
6053,gpBNouke,1957,1587,C65,7,122,1,3,7,94,1,1,8
6054,KA2bnrQG,1966,1982,B13,5,58,3,1,1,21,1,0,0
6055,sfWg1fw7,2130,2138,C02,7,39,4,1,1,25,2,0,0
6056,h0jLGdCh,1631,1593,D00,4,161,3,3,8,135,5,1,9
6057,DdM8byg2,1104,1102,B32,6,202,1,1,7,250,4,0,8
6058,nvyDL3yj,1035,1105,C71,9,8,4,0,0,46,5,0,1
6059,RpifVEsW,1893,1659,A01,4,47,3,1,0,13,0,0,0
6060,LUvB5Lbf,1886,1723,C41,4,16,1,0,0,48,7,0,0
6061,59Pcm4o3,1729,1879,D02,4,52,1,0,1,5,1,0,0
6062,44kO7Yf6,1904,2010,B01,4,74,6,3,1,41,2,0,0
6063,UVcNnM6p,1525,1884,C70,6,58,2,0,1,34,1,1,0
6064,CSRa9FIV,1878,1300,B01,6,17,1,1,0,61,2,3,1
6065,tvsuZ5WP,1407,1864,A00,1,63,2,0,2,17,0,0,1
6066,Df8Yoe62,1825,1719,B00,3,43,2,1,1,68,9,1,1
6067,E3y3fIPI,1769,1719,E01,10,40,4,1,0,74,7,1,1
6068,9FMEmwLZ,1957,1819,B86,11,46,5,2,4,58,4,0,5
6069,wDLXbVn2,1702,1776,D13,8,49,3,1,1,79,5,3,1
6070,3Nqb95m2,1634,1449,D07,4,46,6,2,3,59,11,0,2
6071,YuqQyrlb,1407,1500,D45,9,54,6,1,2,20,2,0,0
6072,xfyA6LJx,1462,1313,B01,2,84,3,1,6,106,4,2,6
6073,tY5bux9n,1570,1469,D06,4,83,4,4,8,103,8,3,10
6074,Eo7h2TWe,2225,2189,B40,7,39,1,5,0,14,1,1,0
6075,UVE3Ajna,2404,2238,A45,2,28,6,0,0,50,9,3,0
6076,3LCM4z9o,1585,1572,C20,3,40,1,0,2,93,3,1,3
6077,SwOt3OFa,1642,1554,A40,1,166,2,0,3,163,5,1,2
6078,jMShMhIn,2100,2050,A30,2,26,5,1,3,26,8,2,2
6079,XldM7bnV,1818,1828,C46,7,74,8,1,3,46,5,0,2
6080,VJmffyC2,1729,1813,D00,3,158,0,0,1,173,0,0,2
6081,orAAnIxi,1130,1123,D20,5,110,5,2,5,146,4,4,5
6082,vogkRaU8,1704,2084,B95,12,67,2,1,1,27,1,0,1
6083,U0sjInhr,2072,1825,C00,4,24,2,0,2,57,6,0,1
6084,Q3R0gA2Y,1880,1984,B87,14,55,4,1,3,25,1,3,0
6085,80hHgxwE,1419,1981,B20,3,58,5,1,1,20,3,0,0
6086,Jus2gewb,1538,1527,C44,5,44,4,2,1,21,4,0,1
6087,5dixqVbm,1548,1547,C25,3,95,10,3,2,68,7,2,2
6088,NOnZTjDn,1517,1559,C00,2,30,2,0,2,61,5,2,2
6089,y52paRpI,1490,1487,C44,5,99,3,1,4,75,4,4,2
6090,6j5QQBQE,1500,1688,C40,4,45,1,2,2,70,8,4,1
6091,lFavqBu4,2103,2062,E92,13,55,5,5,3,32,4,2,2
6092,B747iQd7,2111,2108,B13,12,26,2,0,2,50,3,0,2
6093,Cim8UvE8,2115,2051,A21,3,29,2,0,1,7,0,0,1
6094,1RFYi3vS,2012,2111,B12,7,98,2,0,2,52,3,0,1
6095,xX4iwLVO,2112,2102,A17,4,73,9,3,1,52,7,0,2
6096,bVYar9KG,1966,1982,C55,7,45,2,3,2,79,3,1,4
6097,KvJzB7FY,1863,1859,C58,10,108,2,5,3,125,4,4,6
6098,Ilmok77t,1759,1979,B50,5,44,1,1,2,87,2,2,2
6099,Up0Yb397,1737,1785,C21,5,177,0,0,1,11,1,0,0
6100,1iOle9Hr,1729,1820,E24,9,42,0,0,1,89,1,1,2
6101,PaQSwVrY,1815,1727,A00,2,85,5,1,3,53,3,2,2
6102,XsRmYxn2,1688,1721,A00,1,85,4,2,3,47,3,2,1
6103,dTdfYWWa,1715,1750,C44,6,60,0,1,3,115,3,0,4
6104,r0HaIZo8,1624,1450,C50,7,82,2,1,4,100,3,1,4
6105,PZihCPhk,1487,1603,A00,1,126,7,3,5,105,5,3,5
6106,7P7R2GJh,1486,1585,C42,5,84,2,0,2,25,2,0,0
6107,2vlKT6QL,1526,1512,B10,3,46,4,1,2,63,4,0,4
6108,GaAyKggV,1509,1434,B01,2,58,9,2,3,83,9,2,4
6109,SP4WiRc3,1390,1464,C41,5,112,4,1,4,81,3,1,3
6110,ebjW2i32,1674,1750,B20,3,59,3,1,3,40,5,2,0
6111,lt1H1l3T,1258,1561,C23,3,44,6,0,4,66,9,2,4
6112,kD2nZWfW,1936,1924,B01,6,70,1,0,3,105,4,0,4
6113,4F8b4qs7,1910,1816,B06,2,27,4,0,0,43,5,1,1
6114,MBpeHuud,1986,1989,B13,5,27,2,1,1,55,7,1,2
6115,cN62moQ9,2073,1968,A82,4,71,3,3,2,47,5,2,0
6116,PUD5Z4r9,1202,1173,C20,3,92,5,0,2,129,6,1,4
6117,ZRNOMB2S,2047,1961,E97,17,29,4,4,0,46,9,0,4
6118,ZrUmdMfk,2189,1975,B03,9,10,1,0,0,40,5,2,1
6119,HYxK4cYZ,1995,1972,D00,3,37,6,5,2,51,7,2,7
6120,tmXG7HAS,2168,2016,C43,6,25,2,1,0,53,4,1,2
6121,S5wdTluk,1948,2168,C41,6,35,4,0,3,60,2,2,4
6122,8gabi4qC,1898,2115,C60,5,77,5,6,4,81,6,5,6
6123,XLIX9nv7,2019,1839,E92,13,45,4,0,2,15,2,0,0
6124,rSxbsQJv,1614,1601,C24,4,137,1,2,5,188,0,0,8
6125,7VlMQUGY,1375,1375,C00,3,82,3,0,4,39,3,1,1
6126,pMk2m7MZ,1860,1508,A00,2,13,0,0,0,61,1,0,1
6127,4Yr6zSWu,1625,1669,A43,3,110,2,2,2,44,3,0,0
6128,jlPBTyGU,1733,1882,C65,6,92,3,4,2,54,1,1,4
6129,b3rCk4En,1083,1091,C20,3,121,1,0,3,73,1,2,0
6130,i1YBfkSJ,1429,1546,A43,3,41,5,5,2,65,7,1,4
6131,JUKpTU8s,1538,1437,A21,3,16,2,0,0,45,3,2,1
6132,jSCJ4kyT,1652,1582,B90,10,87,2,0,2,58,4,1,2
6133,F13umQMp,2020,1654,B00,2,48,4,0,1,75,2,2,2
6134,ClTG6X5F,1642,1686,C42,5,144,3,2,3,183,4,1,4
6135,LjBpgtyY,1648,1807,C50,6,117,3,1,6,94,3,0,5
6136,mLVJpxG9,1620,1467,C54,11,81,2,0,3,127,1,1,4
6137,SJ2zSdqR,1767,1664,C40,4,145,0,0,4,155,1,0,5
6138,GdNAyyp5,1661,1684,B20,3,54,0,1,1,114,2,1,2
6139,q5qdxsd1,1337,1678,C26,7,20,0,0,0,75,0,0,1
6140,2c8Roa70,1847,1811,A04,2,27,3,0,1,40,5,1,1
6141,DMzKcevj,1749,1897,C77,9,37,3,0,0,64,3,0,1
6142,vJXraW37,2128,2072,C58,11,10,0,0,0,44,2,1,1
6143,fd8FzGl6,1904,2123,D15,7,34,5,1,2,21,3,1,1
6144,D2RIQ4kL,2097,2357,C65,6,128,3,2,6,96,4,2,4
6145,FvBo2w01,1637,1618,C50,6,142,1,0,2,84,2,1,0
6146,r57xszPU,1628,1652,C60,5,94,4,3,6,113,6,1,7
6147,oAYUsXaO,1668,1700,C55,11,57,1,0,0,90,0,1,1
6148,bQqduss5,2226,2136,B92,16,49,5,0,2,77,3,3,4
6149,VBBgcqfh,1560,1750,B18,8,47,10,2,3,27,8,0,1
6150,ioMSFGRi,1542,1555,C44,5,93,4,0,2,139,7,0,3
6151,6Pah3m2p,1057,1536,A04,2,94,1,0,4,84,0,0,4
6152,wOUEIY7p,1070,1265,A00,1,115,0,0,2,137,1,1,2
6153,TSyHUDyA,1942,1881,B13,5,35,3,2,2,35,4,0,3
6154,GAB279Dl,1104,1143,C40,4,27,5,0,1,56,4,2,2
6155,c8aNZGrS,1882,1737,A40,2,78,11,1,2,58,4,2,1
6156,egcxqAxT,1442,1444,C41,6,25,1,0,1,65,1,0,2
6157,njPtpGAk,1441,1412,B01,6,42,4,0,1,22,4,0,0
6158,xudg25rV,1447,1626,C22,7,91,10,4,2,63,8,1,2
6159,URn7Z0Ld,1429,1549,B90,11,135,4,2,6,108,2,0,4
6160,7GjqMenV,1714,1527,C41,4,58,8,2,5,84,7,5,4
6161,AixG34Ec,1533,1699,A40,2,69,3,1,1,20,0,1,0
6162,jjcBMBaB,1522,1529,D02,5,8,0,0,0,36,0,1,0
6163,mtOQ6RCK,1619,1508,E00,6,53,5,1,0,12,0,0,0
6164,uFOiZ2Pf,1543,1495,C20,3,90,2,1,1,6,0,0,0
6165,a5z6SyRd,1482,1557,A40,2,8,0,0,0,58,4,1,0
6166,8hrSavsd,1564,1474,C20,3,54,1,0,1,13,0,0,0
6167,V7Xn59On,1459,1580,D02,3,17,1,0,0,100,1,1,1
6168,n3mQ1SrM,1597,1442,C24,4,45,3,0,1,9,1,0,0
6169,mkMELAjd,1514,1428,D00,3,53,4,1,1,10,0,0,0
6170,19hgG2ct,2116,2037,B14,10,23,2,0,1,42,3,1,1
6171,4c3Whfzf,2030,2134,D02,4,43,1,0,1,77,3,1,2
6172,tGHMDf1i,1487,2029,B00,2,36,7,2,2,18,7,1,0
6173,IsC2kAoE,2032,2240,D02,3,38,4,3,4,25,6,3,1
6174,LYqBRhzX,1198,2032,B00,2,42,3,0,2,5,1,0,0
6175,e6BLVlWy,2034,1890,A01,2,64,7,5,3,63,4,5,3
6176,WKvrvcqp,1844,2043,B12,7,52,4,1,4,61,6,0,4
6177,vRlSnIu5,2042,2314,A05,3,77,2,2,4,55,1,0,5
6178,E7rU01Jb,2190,2229,B01,6,60,2,3,2,79,2,1,4
6179,UQsDH1yB,2181,2157,B23,4,67,11,1,2,46,7,2,1
6180,BS84o5S4,2304,2173,B90,11,20,1,0,0,40,3,1,1
6181,vgFR82vk,2136,2238,B19,14,21,3,0,0,45,6,3,1
6182,x2tYvPBJ,2261,2213,D38,8,24,0,0,1,16,1,1,0
6183,c6zbJfRj,1291,1325,D00,3,92,4,0,3,44,1,0,2
6184,hAbh4Anb,1593,1638,C41,4,144,3,2,5,115,5,2,4
6185,L5gGirbR,1959,2011,B00,2,125,7,1,7,100,3,3,4
6186,hPNaVbKR,1818,1934,A21,3,84,6,3,2,49,1,1,2
6187,9f9oq2Gp,1569,1381,B00,4,56,2,3,3,35,2,2,2
6188,ZO2XeZp5,1698,1381,A40,2,51,4,1,2,88,6,1,4
6189,aE7pnYhw,1381,1698,A00,1,117,1,0,2,64,0,0,3
6190,4hF1PsRc,1381,1866,B23,4,70,8,1,1,34,3,0,1
6191,Z7ElmVdS,1866,1381,D06,4,19,0,1,0,37,6,0,0
6192,th1k2xC5,1755,1500,C00,3,36,4,0,1,13,1,0,0
6193,5XFVmWYu,1296,1756,D02,4,47,4,1,1,11,0,0,0
6194,OS0qUcyX,2303,2210,C77,9,37,5,1,0,24,3,1,0
6195,8aiG1bR9,2356,2206,C34,6,49,5,2,1,55,3,1,4
6196,BQV93mgI,2206,2430,C90,17,36,2,1,1,12,1,0,0
6197,F93tAr96,2428,2211,A80,3,31,7,4,2,37,7,4,3
6198,jfdHi6qG,2216,2425,C77,9,60,0,0,1,28,0,0,0
6199,hCSwzg4S,2434,2197,E94,14,79,1,0,1,27,2,0,0
6200,22wzQeM5,1862,1869,A43,5,38,4,5,1,61,10,2,3
6201,S01uOPdo,1754,1179,C44,9,44,4,0,1,8,0,0,0
6202,sIJrhqOk,1691,1690,B40,4,83,2,0,3,56,3,4,0
6203,MOgAAn2i,1704,1679,A45,3,86,7,2,2,49,3,3,2
