BeerID,Name,URL,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId
337,Beòir nan Brìde Dandelion Gruit,/homebrew/recipe/view/200470/,Spice  Herb  or Vegetable Beer,155,3.79,1.059,1.017,5.71,0,3.36,3.79,60,1.059,85,1.5,Specific Gravity,All Grain,0.35,20,N/A,N/A,40535
338,Zombie Dust Clone,/homebrew/recipe/view/238937/zombie-dust-clone,American IPA,7,40,1.055,1.011,5.84,67.22,6.06,50,60,1.044,72,3,Specific Gravity,All Grain,N/A,18,N/A,N/A,33656
339,Kölsch with a kick !!!,/homebrew/recipe/view/7749/Kölsch-with-a-kick-,Kölsch,94,18.93,1.051,1.012,5.11,36.67,4.28,22.71,90,1.043,80,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,314
340,Dark Lord clone,/homebrew/recipe/view/231334/dark-lord-clone,Russian Imperial Stout,132,41.64,1.136,1.031,13.69,79.54,50,58.67,120,1.096,70,1.5,Specific Gravity,All Grain,0.5,20,N/A,N/A,
341,Mexican vienna (Victoria Clone),/homebrew/recipe/view/11580/mexican-vienna-victoria-clone-,Vienna Lager,167,170.34,1.044,1.011,4.32,22.25,7.19,179.81,90,1.041,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1164
342,Butterbeer,/homebrew/recipe/view/21360/butterbeer,Specialty Beer,145,8.06,1.07,1.018,6.85,14.14,16.65,11.36,60,N/A,50,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
343,Old Rasputin Clone,/homebrew/recipe/view/86237/old-rasputin-clone,Russian Imperial Stout,132,20.82,1.09,1.021,8.99,93.05,32.93,28.39,60,1.066,80,1.5,Specific Gravity,All Grain,1,20,N/A,N/A,
344,Burdel Abstemia Blonde 7.5gal  5 Ago,/homebrew/recipe/view/236007/burdel-abstemia-blonde-7-5gal-5-ago,Blonde Ale,30,28.39,1.041,1.009,4.2,8.77,4.58,34.07,60,1.034,75,N/A,Specific Gravity,BIAB,N/A,23.89,N/A,N/A,
345,JAM! (10G),/homebrew/recipe/view/72500/jam-10g-,American IPA,7,41.64,1.063,1.01,7.08,49.78,9.01,47.32,60,1.056,72,N/A,Specific Gravity,All Grain,0.75,20,N/A,N/A,
346,Double Black Rye IPA,/homebrew/recipe/view/4843/double-black-rye-ipa,Imperial IPA,86,20.82,1.096,1.025,9.3,130.65,37.45,24.61,60,N/A,50,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
347,Leffe Clone - 20L,/homebrew/recipe/view/249305/leffe-clone-20l,Belgian Blond Ale,20,20,1.069,1.022,6.14,25.48,10.28,28.5,60,1.043,70,2.6,Specific Gravity,All Grain,N/A,25,N/A,N/A,42028
348,Mosaic IPL,/homebrew/recipe/view/56751/mosaic-ipl,N/A,111,20.82,1.063,1.016,6.16,68.35,7.67,28.39,60,N/A,78,N/A,Specific Gravity,All Grain,2,10,N/A,N/A,15452
349,Forest Wheataker,/homebrew/recipe/view/21500/forest-wheataker,Holiday/Winter Special Spiced Beer,85,20.82,1.107,1.024,10.92,64.61,19.23,26.5,60,1.084,70,N/A,Specific Gravity,All Grain,1.25,20,DME,4.5 oz,
350,Belgian Golden Strong Ale,/homebrew/recipe/view/228005/belgian-golden-strong-ale,Belgian Golden Strong Ale,23,23.5,1.072,1.009,8.73,31.71,3.23,28.6,90,1.04,75,2.5,Specific Gravity,All Grain,1,N/A,N/A,N/A,
351,Lucky's Red & Snarly,/homebrew/recipe/view/21269/lucky-s-red-snarly,American IPA,7,20.82,1.061,1.019,5.56,86,10.98,11.36,60,N/A,65,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,2684
352,Cascade Pale Ale,/homebrew/recipe/view/250719/cascade-pale-ale,American Pale Ale,10,21,1.055,1.01,5.86,35.56,5.22,19,90,1.06,79,3.4,Specific Gravity,All Grain,0.5,19,N/A,N/A,47957
353,HopDevil IPA Clone,/homebrew/recipe/view/3208/hopdevil-ipa-clone,American IPA,7,18.93,1.063,1.016,6.2,78.19,10.59,18.93,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
354,Tiktai (Belgian Single),/homebrew/recipe/view/45432/tiktai-belgian-single-,Belgian Specialty Ale,25,12.5,1.046,1.008,5.06,25.97,3.66,16,55,1.036,85,2.2,Specific Gravity,All Grain,0.5,26,Sucrose,N/A,
355,Hop Hammer,/homebrew/recipe/view/3999/hop-hammer,Imperial IPA,86,20.82,1.088,1.016,9.46,340.6,8.23,18.93,90,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
356,Golden NW Extra Special Bitter,/homebrew/recipe/view/3950/golden-nw-extra-special-bitter,Extra Special/Strong Bitter (ESB),68,19.87,1.052,1.014,5.08,50.48,4.4,26.5,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,Dextrose,3.5oz,
357,Bavarian White Edelweiss,/homebrew/recipe/view/25611/bavarian-white-edelweiss,Weizen/Weissbier,170,10.6,1.047,1.013,4.43,20.6,6.13,14.2,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
358,Hopped and Loaded,/homebrew/recipe/view/290559/hopped-and-loaded,American IPA,7,643.52,1.067,1.012,7.23,98.21,6.46,711.66,75,1.061,88,1.25,Specific Gravity,All Grain,0.75,20,N/A,N/A,52796
359,Cascadian Rhythm,/homebrew/recipe/view/201070/cascadian-rhythm,Specialty IPA: Black IPA,148,22.71,1.06,1.01,6.82,60.68,27.58,26.5,30,1.052,79,1.61,Specific Gravity,All Grain,1,20,N/A,N/A,34123
360,Holy Grail Pale Ale Saaz,/homebrew/recipe/view/2739/holy-grail-pale-ale-saaz,American Pale Ale,10,7.57,1.07,1.018,6.91,38.14,16.01,13.25,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
361,French Pale Saison,/homebrew/recipe/view/3848/french-pale-saison,Saison,134,22.71,1.051,1.005,6.09,26.05,5.98,32.18,90,1.036,73,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,455
362,Wildflower Wheat - Honey Chamomile Wheat,/homebrew/recipe/view/10990/wildflower-wheat-honey-chamomile-wheat,Spice  Herb  or Vegetable Beer,155,19.87,1.052,1.013,5.16,18.47,3.61,24.61,60,N/A,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,993
363,Orange American Wheat,/homebrew/recipe/view/5154/orange-american-wheat,American Wheat or Rye Beer,15,20.82,1.056,1.011,5.95,33.98,10.08,26.5,60,N/A,72,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,
364,Hard Cider,/homebrew/recipe/view/74272/hard-cider,Common Cider,44,22.71,1.041,1.004,4.89,0,8.67,22.71,0,1.041,75,N/A,Specific Gravity,All Grain,1,20,N/A,N/A,1100
365,SNPA CLONE-ish,/homebrew/recipe/view/1012/snpa-clone-ish,American Pale Ale,10,11.36,1.053,1.013,5.31,55.16,6.13,13.25,40,1.046,80,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,314
366,New Belgium's Citradelic Clone,/homebrew/recipe/view/315394/new-belgium-s-citradelic-clone,American IPA,7,18.93,1.058,1.017,5.42,58.91,10.13,20.82,60,1.053,63,N/A,Specific Gravity,All Grain,0.5,15.56,N/A,N/A,24202
367,White Wedding (Allagash White Clone),/homebrew/recipe/view/253693/white-wedding-allagash-white-clone-,Witbier,175,20.82,1.053,1.012,5.37,26.47,3.43,30.28,60,1.036,70,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
368,Orange Blossom Cream Ale,/homebrew/recipe/view/29714/orange-blossom-cream-ale,Cream Ale,45,18.93,1.056,1.017,5.06,14.74,4.98,11.36,60,N/A,72,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
369,Bakke Brygg Ginger Ale 25 l,/homebrew/recipe/view/182224/bakke-brygg-ginger-ale-25-l,Spice  Herb  or Vegetable Beer,155,25,1.044,1.009,4.61,13.41,3.36,30,90,1.037,72,N/A,Specific Gravity,BIAB,N/A,18,N/A,N/A,18325
370,Westbrook IPA clone,/homebrew/recipe/view/14317/westbrook-ipa-clone,American IPA,7,18.93,1.07,1.018,6.79,82.14,6.28,13.25,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,Dextrose,3.5 oz,
371,Chocolate Cherry Bock,/homebrew/recipe/view/64543/chocolate-cherry-bock,Traditional Bock,163,17.03,1.068,1.018,6.52,41.68,15.97,24.61,90,1.047,70,1.25,Specific Gravity,All Grain,1.5,10,CO2,12lbs,396
372,Summertime Hefe,/homebrew/recipe/view/3681/summertime-hefe,Weizen/Weissbier,170,18.93,1.057,1.013,5.72,14.83,6.07,24.61,60,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
373,Double chocolate stout,/homebrew/recipe/view/6544/double-chocolate-stout,American Stout,12,20.82,1.053,1.017,4.75,22.82,35.67,13.25,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,820
374,AHS Belgian White Beer,/homebrew/recipe/view/1021/ahs-belgian-white-beer,Witbier,175,20.82,1.052,1.013,5.01,8.9,4.12,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,316
375,Great Lakes Brewing Co. - Edmund Fitzgerald ...,/homebrew/recipe/view/116096/great-lakes-brewing-co-edmund-fitzgerald-porter-clone,Brown Porter,37,20.82,1.057,1.018,5.13,79.13,34.11,13.25,90,1.089,70,N/A,Specific Gravity,Partial Mash,0.5,16.67,Corn Sugar,N/A,20681
376,Nutella Stout,/homebrew/recipe/view/4145/nutella-stout,Sweet Stout,162,10.41,1.089,1.025,8.46,16.28,40,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,corn sugar,2 oz,
377,Smithwicks Clone,/homebrew/recipe/view/215983/smithwicks-clone,Irish Red Ale,92,18.93,1.061,1.016,5.8,36.2,17.43,11.36,60,1.101,45,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,30956
378,Sour Blueberry Wit,/homebrew/recipe/view/204462/sour-blueberry-wit,Witbier,175,22.71,1.047,1.011,4.8,14.95,3.34,26.5,30,1.04,74,1.64,Specific Gravity,All Grain,0.75,18.89,N/A,N/A,34123
379,American Orange wheat,/homebrew/recipe/view/48340/american-orange-wheat,American Wheat or Rye Beer,15,15.14,1.055,1.013,5.44,17.12,4.97,19.49,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,18.33,table sugar - 3.5 vol,5 oz. assuming 3.75 gal,
380,Hefe-Weisse Paulaner Clone,/homebrew/recipe/view/207249/hefe-weisse-paulaner-clone,Weizen/Weissbier,170,48,1.052,1.012,5.31,12.17,4.8,60,90,1.042,75,2.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,40623
381,Stone Sublimely Self-Righteous Ale (Black IP...,/homebrew/recipe/view/80129/stone-sublimely-self-righteous-ale-black-ipa-,Imperial IPA,86,41.64,1.081,1.015,8.73,84,32.38,49.21,90,1.069,68,1.36,Specific Gravity,All Grain,1,22.22,N/A,N/A,15241
382,Bavarian Hefeweizen,/homebrew/recipe/view/1283/bavarian-hefeweizen,Weizen/Weissbier,170,18.93,1.048,1.012,4.76,16.84,3.17,9.46,60,N/A,90,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
383,112 Klona öl  stigbergets west coast IPA si...,/homebrew/recipe/view/406673/,American IPA,7,25,1.058,1.014,5.79,38.55,5.93,28,60,1.052,77,3,Specific Gravity,All Grain,N/A,18,N/A,N/A,
384,Speidel # Kölsch,/homebrew/recipe/view/43469/,Kölsch,94,25,1.05,1.013,4.97,25.43,3.29,28.5,70,N/A,80,N/A,Specific Gravity,All Grain,0.75,20,N/A,N/A,10010
385,Soopa Star (Stella Artois Clone),/homebrew/recipe/view/159391/soopa-star-stella-artois-clone-,Bohemian Pilsener,31,41.64,1.051,1.013,5,20.26,3.16,49.21,80,1.043,73,1.5,Specific Gravity,All Grain,1.5,8.89,Force Carb,12 PSI,15241
386,Vanilla Cream Ale - 009,/homebrew/recipe/view/7051/vanilla-cream-ale-009,Cream Ale,45,18.93,1.088,1.02,8.95,38.58,33.19,18.93,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,Priming Sugar,N/A,
387,Big Imperial IPA #1,/homebrew/recipe/view/2158/big-imperial-ipa-1,Imperial IPA,86,18.93,1.091,1.023,8.96,113.94,9.53,11.36,60,N/A,75,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,582
388,Cali' Creamin' Clone,/homebrew/recipe/view/259237/cali-creamin-clone,Cream Ale,45,18.93,1.052,1.011,5.38,27.92,6.1,23.66,75,1.042,63,1.25,Specific Gravity,All Grain,0.75,16.67,N/A,N/A,
389,This Is Spinal Tap Ale,/homebrew/recipe/view/1011/this-is-spinal-tap-ale,Imperial IPA,86,15.14,1.072,1.014,7.57,100,8.69,17.98,60,N/A,78,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,314
390,Dogfish Head 60 Minute IPA,/homebrew/recipe/view/18404/dogfish-head-60-minute-ipa,American IPA,7,18.93,1.069,1.021,6.34,47.78,5.5,28.39,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,3209
391,Skittlebrau,/homebrew/recipe/view/30790/skittlebrau,Specialty Beer,145,20.82,1.053,1.015,4.99,14.69,8.07,26.5,60,N/A,80,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
392,Pauwel Kwak Clone,/homebrew/recipe/view/233943/pauwel-kwak-clone,Belgian Golden Strong Ale,23,20.82,1.09,1.023,9.65,24.89,9.04,26.5,60,1.071,75,1.4,Specific Gravity,All Grain,0.75,21.11,N/A,N/A,
393,Hopstand IPA (v3): Citra Amarillo,/homebrew/recipe/view/59350/hopstand-ipa-v3-citra-amarillo,American IPA,7,19.68,1.059,1.014,5.88,58.23,5.2,28.39,60,1.041,70,N/A,Specific Gravity,All Grain,0.35,20,N/A,N/A,345
394,Imperial Biscotti Break Clone,/homebrew/recipe/view/235777/imperial-biscotti-break-clone,Russian Imperial Stout,132,18.93,1.108,1.024,11.14,88.99,50,24.61,60,1.083,60,N/A,Specific Gravity,BIAB,0.75,18.89,N/A,N/A,
395,Dragonmead Final Absolution,/homebrew/recipe/view/188701/dragonmead-final-absolution,Belgian Tripel,26,20.82,1.084,1.019,8.47,0,6.1,24.87,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
396,Cider,/homebrew/recipe/view/9322/cider,English Cider,64,8.06,1.045,1.001,5.81,0,3.7,7.57,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
397,Kilkenny Irish Cream Ale Clone,/homebrew/recipe/view/398761/kilkenny-irish-cream-ale-clone,Irish Red Ale,92,20.82,1.054,1.013,5.34,29.37,27.63,24.61,60,1.046,70,1.5,Specific Gravity,All Grain,0.5,20,N/A,N/A,72040
398,Cubby Claus Spiced Maple Christmas Porter...,/homebrew/recipe/view/32960/cubby-claus-spiced-maple-christmas-porter,Robust Porter,129,18.93,1.062,1.014,6.29,41.36,23.06,18.93,60,1.062,35,N/A,Specific Gravity,extract,0.75,21.11,Kreamyx,1 package,9218
399,Steroid Stout,/homebrew/recipe/view/31992/steroid-stout,Imperial Stout,87,20.82,1.142,1.03,14.61,84.06,50,26.5,90,1.111,72,1.25,Specific Gravity,All Grain,1.25,20,Keg,N/A,
400,Punk IPA clone test 1,/homebrew/recipe/view/39759/punk-ipa-clone-test-1,American IPA,7,23,1.063,1.016,6.18,68.93,6.65,32.5,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,20,N/A,N/A,1046
401,Russian Imperial Stout,/homebrew/recipe/view/255745/russian-imperial-stout,Russian Imperial Stout,132,20.82,1.097,1.024,9.58,98.84,50,28.39,60,1.071,70,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
402,HellaNutella Imperial Milk Stout,/homebrew/recipe/view/21032/hellanutella-imperial-milk-stout,Russian Imperial Stout,132,37.85,1.089,1.021,8.98,61.1,40,53,60,N/A,25,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,6.6oz to 1 cup water,3785
403,Dead Ringer IPA - Northern Brewer,/homebrew/recipe/view/33333/dead-ringer-ipa-northern-brewer,American IPA,7,18.93,1.066,1.018,6.34,65.01,8.19,24.61,60,1.051,75,N/A,Specific Gravity,All Grain,N/A,20,N/A,N/A,8348
404,Saison,/homebrew/recipe/view/205850/saison,Strong Bitter,159,22.71,1.05,1.013,4.85,28.92,7.49,26.5,60,1.043,72,2.18,Specific Gravity,All Grain,0.75,10,N/A,N/A,
405,"Spiced Porter V3.1 ""Fatty St. Nick's Porter""...",/homebrew/recipe/view/7257/spiced-porter-v3-1-fatty-st-nick-s-porter-,Robust Porter,129,18.93,1.064,1.019,5.93,33.81,25.9,22.71,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
406,Milk Stout - Espresso Coffee,/homebrew/recipe/view/14480/milk-stout-espresso-coffee,Sweet Stout,162,43.53,1.06,1.015,5.86,32.75,40,53,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
407,Left Hand Milk Stout Clone,/homebrew/recipe/view/31035/left-hand-milk-stout-clone,Sweet Stout,162,20.82,1.054,1.013,5.31,22.34,38.61,28.39,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8661
408,BOURBON VANILLA IMPERIAL PORTER,/homebrew/recipe/view/28422/bourbon-vanilla-imperial-porter,Russian Imperial Stout,132,20.82,1.093,1.023,9.11,43.36,40,27.44,70,1.07,73,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
409,Captain Hooked on Bitters: Redhook ESB Clone...,/homebrew/recipe/view/53402/captain-hooked-on-bitters-redhook-esb-clone,Extra Special/Strong Bitter (ESB),68,41.64,1.05,1.013,4.86,19.43,14.37,49.66,75,N/A,67,N/A,Specific Gravity,All Grain,0.75,19.44,N/A,N/A,
410,American IPA,/homebrew/recipe/view/212857/american-ipa,American IPA,7,11,1.056,1.012,5.69,45.04,6.79,16,60,1.038,60,3,Specific Gravity,All Grain,N/A,18,N/A,N/A,
411,Red Ale V2,/homebrew/recipe/view/243805/red-ale-v2,American Amber Ale,4,27,1.052,1.007,5.98,35.4,12.53,40,60,1.035,64,3,Specific Gravity,All Grain,N/A,22,N/A,N/A,33656
412,Dark Days Porter,/homebrew/recipe/view/81690/dark-days-porter,Robust Porter,129,29,1.061,1.014,6.17,29.71,40,35,75,1.051,75,2.5,Specific Gravity,All Grain,0.5,20,N/A,N/A,16724
413,NE IPA: Citra/Mosaic/Galaxy,/homebrew/recipe/view/379265/ne-ipa-citra-mosaic-galaxy,American IPA,7,16.09,1.07,1.018,6.79,111.94,4.45,23.66,90,1.047,75,N/A,Specific Gravity,BIAB,0.75,16.67,N/A,N/A,
414,2014 - 7/28 - Heady Topper Clone,/homebrew/recipe/view/140722/2014-7-28-heady-topper-clone,Imperial IPA,86,20.82,1.065,1.013,6.87,132.56,7.06,24.61,90,1.055,70,1.5,Specific Gravity,All Grain,0.75,18.89,N/A,N/A,
415,Belgian Quadruple,/homebrew/recipe/view/58087/belgian-quadruple,Belgian Dark Strong Ale,21,20.82,1.093,1.021,9.51,48.33,26.84,13.25,60,1.147,35,N/A,Specific Gravity,extract,2,23.33,N/A,N/A,
416,Black Sand Cascadian Ale,/homebrew/recipe/view/5242/black-sand-cascadian-ale,American IPA,7,20.82,1.072,1.019,6.95,116.08,40.69,26.5,60,1.056,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1186
417,Bakke Brygg Pale Ale GAMMEL 25 L,/homebrew/recipe/view/84694/bakke-brygg-pale-ale-gammel-25-l,American Pale Ale,10,25,1.052,1.01,5.42,37.02,5.78,29,60,1.045,72,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,6 g sukker/l,18325
418,Brewing Classic Styles - American Wheat (Yea...,/homebrew/recipe/view/181851/brewing-classic-styles-american-wheat-yeast-substitute-,American Wheat or Rye Beer,15,18.93,1.04,1.01,3.94,22.16,4.25,24.61,60,1.031,52,N/A,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,
419,Arrogant Bastard Clone,/homebrew/recipe/view/43960/arrogant-bastard-clone,Old Ale,116,22.71,16.6131,4.33412,6.7,90.07,17.08,28.39,90,N/A,70,N/A,Plato,All Grain,1,20,N/A,N/A,2938
420,Maris Otter Centennial SMaSH,/homebrew/recipe/view/27073/maris-otter-centennial-smash,American IPA,7,20.82,15.4102,4.48111,5.94,69.27,6.66,28.39,60,N/A,70,N/A,Plato,All Grain,N/A,N/A,N/A,N/A,2938
421,Farmhouse Basil,/homebrew/recipe/view/2873/farmhouse-basil,Belgian Specialty Ale,25,41.64,1.042,1.008,4.45,28.28,3.07,60.57,90,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
422,Pineapple IPA,/homebrew/recipe/view/25136/pineapple-ipa,American IPA,7,20.82,1.062,1.017,5.88,66.87,7.04,28.39,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
423,Black Butte Porter Clone,/homebrew/recipe/view/17011/black-butte-porter-clone,Robust Porter,129,18.93,1.053,1.016,4.92,30.72,27.77,26.5,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
424,The Innkeeper,/homebrew/recipe/view/1282/the-innkeeper,Special/Best/Premium Bitter,144,18.93,1.043,1.01,4.31,38.78,7.62,9.46,60,N/A,100,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
425,New belgium slow ride,/homebrew/recipe/view/210854/new-belgium-slow-ride,American IPA,7,20.82,1.046,1.01,4.61,50.2,7.79,28.39,60,1.033,70,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
426,Sip of Sunshine Clone,/homebrew/recipe/view/279303/sip-of-sunshine-clone,American IPA,7,22.71,1.079,1.015,8.46,111.52,8.26,26.5,60,1.068,72,N/A,Specific Gravity,All Grain,N/A,17.78,N/A,N/A,49876
427,Julebryg - Xmas Brew,/homebrew/recipe/view/23959/julebryg-xmas-brew,Holiday/Winter Special Spiced Beer,85,21,1.059,1.016,5.56,5.9,10.82,11,30,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,Drops,2/750ml Bottles,
428,Session Hopped Mead,/homebrew/recipe/view/4868/session-hopped-mead,Braggot,32,3.79,1.055,1.012,5.61,69.25,5.1,4.73,1,N/A,100,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
429,La Fin du Monde Clone,/homebrew/recipe/view/205261/la-fin-du-monde-clone,Belgian Tripel,26,19.87,1.088,1.02,8.91,25.52,5.22,11.36,60,1.153,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,26977
430,18/06/2017 Red Ale,/homebrew/recipe/view/245804/18-06-2017-red-ale,Irish Red Ale,92,40,1.059,1.01,6.4,31.19,14.04,46,60,1.051,75,3,Specific Gravity,All Grain,N/A,18,N/A,N/A,45658
431,3 Floyds- Robert the Bruce Clone,/homebrew/recipe/view/42310/3-floyds-robert-the-bruce-clone,Strong Scotch Ale,160,18.9,1.077,1.019,7.56,33.76,25.95,22.7,60,N/A,72,N/A,Specific Gravity,All Grain,0.35,19,Forced Carbonation,2.3 volumes,
432,Bombshell Blonde,/homebrew/recipe/view/5803/bombshell-blonde,Blonde Ale,30,20.82,1.05,1.011,5.03,21.6,7.09,26.5,60,N/A,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,
433,Jacobsen Golden Naked Christmas Ale - 23L...,/homebrew/recipe/view/278379/jacobsen-golden-naked-christmas-ale-23l,Belgian Blond Ale,20,23,1.074,1.018,7.34,23.25,8.79,28,60,1.059,70,N/A,Specific Gravity,All Grain,N/A,18,CO2,N/A,
434,Beowulf,/homebrew/recipe/view/94668/beowulf,Imperial IPA,86,16.09,1.105,1.021,11.01,312.64,12.27,18.93,60,1.089,27,N/A,Specific Gravity,extract,1,17.78,Dme,.5 cup - 4 oz,21242
435,Mudpuppy Porter,/homebrew/recipe/view/509/mudpuppy-porter,Brown Porter,37,20.82,1.064,1.018,6.08,23.44,36.13,26.5,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,152
436,El Paseo Mexican Lager,/homebrew/recipe/view/73062/el-paseo-mexican-lager,International Pale Lager,90,20.82,1.056,1.019,4.89,22.25,6.8,28.39,60,1.041,70,N/A,Specific Gravity,All Grain,0.5,17.22,Bottle Condition,4 oz corn sugar,2068
437,Chocolate Maple Porter - #5,/homebrew/recipe/view/23423/chocolate-maple-porter-5,Robust Porter,129,5,1.08,1.018,8.05,28.16,40,5.8,60,1.069,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,5390
438,Winter ipa,/homebrew/recipe/view/10242/winter-ipa,American IPA,7,9.46,1.062,1.016,6.12,65.39,10.12,12.3,60,1.048,85,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,314
439,From The Farm Strawberry Wheat,/homebrew/recipe/view/29967/from-the-farm-strawberry-wheat,American Wheat or Rye Beer,15,18.93,1.05,1.012,4.97,22.46,6.27,24.61,60,N/A,65,N/A,Specific Gravity,All Grain,N/A,20,N/A,N/A,8363
440,Passionfruit-Mango Wheat,/homebrew/recipe/view/32895/passionfruit-mango-wheat,Fruit Beer,75,20.82,1.045,1.011,4.48,26.67,3.54,24.61,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,20,N/A,N/A,
441,Jamil's Blonde Ale,/homebrew/recipe/view/29969/jamil-s-blonde-ale,Blonde Ale,30,18.93,1.05,1.014,4.71,20.78,4.09,24.61,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8363
442,Fuller's London Pride,/homebrew/recipe/view/124539/fuller-s-london-pride,Special/Best/Premium Bitter,144,45.42,1.044,1.014,4.01,34.24,8.46,53,60,1.038,95,1.25,Specific Gravity,All Grain,1,19.44,N/A,N/A,5889
443,Alaskan Amber Clone,/homebrew/recipe/view/106819/alaskan-amber-clone,Dusseldorf Altbier,51,41.64,1.053,1.013,5.25,22.58,14.22,49.21,60,1.045,70,1.25,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,10194
444,Kupe's hop AG,/homebrew/recipe/view/28855/kupe-s-hop-ag,American IPA,7,20,1.06,1.017,5.64,70.69,14.09,30,60,1.04,65,N/A,Specific Gravity,BIAB,0.5,18,N/A,N/A,6646
445,"Spotted Cow  ""Clone""",/homebrew/recipe/view/190809/spotted-cow-clone-,Cream Ale,45,18.93,1.049,1.013,4.7,0,4.2,21.65,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
446,E Champions Farmhouse ale,/homebrew/recipe/view/2237/e-champions-farmhouse-ale,Saison,134,20.82,1.059,1.012,6.18,24.97,5.01,24.61,70,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
447,English Strong Bitter,/homebrew/recipe/view/14832/english-strong-bitter,Extra Special/Strong Bitter (ESB),68,21.77,1.055,1.017,4.96,48.31,13.48,26.5,60,N/A,82,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,1569
448,Denali saison,/homebrew/recipe/view/141043/denali-saison,Bière de Garde,29,9.46,1.057,1.007,6.51,64.09,3.91,9.46,20,1.046,50,N/A,Specific Gravity,extract,1,17.22,N/A,N/A,
