Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
Red,SYM,FIDDLE,2011,Moped,28/10/2021,Canterbury
Red,Suzuki,AN125,2015,Roadbike,4/01/2022,Auckland City
Brown,Suzuki,UZ50,2016,Moped,23/11/2021,Waikato
Black,Moped,DD50,2005,Moped,15/12/2021,Bay of Plenty
Black,Factory Built,SHENKE,2016,Moped,10/12/2021,Waikato
Black,Kawasaki,ZX,2009,Roadbike,7/02/2022,Wellington
White,Factory Built,NIU,2017,Moped,6/03/2022,Auckland City
Black,Suzuki,GN125H,2016,Roadbike,25/02/2022,Auckland City
Black,Suzuki,SV650UA,2016,Roadbike,23/10/2021,Wellington
Black,Aprilia,ETX 150,2017,,13/12/2021,Bay of Plenty
White,KTM,RC,2017,Roadbike,20/10/2021,Canterbury
White,TNT Motor,ROMA,2017,Moped,7/03/2022,Waitemata
White,Yamaha,MAJESTY,2005,Roadbike,13/02/2022,Auckland City
Red,Harley Davidson,STREET,2017,Roadbike,29/01/2022,Counties/Manukau
Black,Suzuki,DR-Z400SM,2017,Roadbike,6/03/2022,Wellington
Black,Yamaha,YZF,2017,Roadbike,1/03/2022,Auckland City
Black,Suzuki,LETS,2007,Moped,25/02/2022,Wellington
Blue,Suzuki,GSX150,2018,Roadbike,1/04/2022,Auckland City
Grey,Can-Am,COMMANDER,2018,All Terrain Vehicle,14/03/2022,Central
Black,Honda,GLC,2018,Roadbike,30/01/2022,Auckland City
Red,Hyosung,GT250,2013,Roadbike,8/03/2022,Waitemata
Black,Suzuki,GSX150,2018,Roadbike,13/02/2022,Wellington
White,KTM,200,2016,Roadbike,11/03/2022,Central
Black,Yamaha,YZF,2019,Roadbike,2/03/2022,Canterbury
Black,Honda,CB,2019,Roadbike,4/02/2022,Counties/Manukau
Silver,Triumph,SPEED TWIN,2019,Roadbike,7/02/2022,Waitemata
Black,Suzuki,GN250,2005,Roadbike,22/12/2021,Wellington
Black,Forza,CICLONE,2017,Moped,19/12/2021,Bay of Plenty
Black,Moped,MOTO NZ50,2009,Moped,28/12/2021,Counties/Manukau
Black,TNT Motor,ROMA,2018,Moped,16/02/2022,Wellington
Black,Kawasaki,EX,2018,Roadbike,22/03/2022,Auckland City
Blue,Harley Davidson,SPORTSTER,2006,Roadbike,30/03/2022,Auckland City
Red,Kymco,LIKE,2016,Moped,5/01/2022,Auckland City
Black,Factory Built,ARIIC,2018,Moped,30/10/2021,Canterbury
Black,TNT Motor,OTTO,2018,Moped,6/12/2021,Southern
Blue,Yamaha,YZF,2018,Roadbike,2/01/2022,Waitemata
Black,Forza,CICLONE,2019,Moped,22/10/2021,Auckland City
Black,Kawasaki,EX,2019,Roadbike,24/02/2022,Wellington
Blue,Suzuki,UZ50,2019,Moped,21/11/2021,Waikato
Black,TNT Motor,ROMA,2019,Moped,8/10/2021,Wellington
Yellow,Trailer,TAMDEM,2003,Trailer,14/11/2021,Waitemata
Blue,Yamaha,YZF,2015,Roadbike,25/10/2021,Central
Red,Yamaha,YW50,2015,Moped,12/10/2021,Auckland City
Red,Honda,NBC,2015,Roadbike,2/02/2022,Auckland City
Black,Suzuki,GW250,2015,Roadbike,11/03/2022,Waitemata
White,Suzuki,UZ50,2015,Moped,29/03/2022,Auckland City
Black,Suzuki,GN250,2006,Roadbike,5/11/2021,Wellington
Blue,Vespa,150,1974,Roadbike,27/03/2022,Auckland City
Red,TNT Motor,ROMA,2016,Moped,1/01/2022,Counties/Manukau
Black,KTM,RC,2016,Roadbike,30/11/2021,Auckland City
White,Hyosung,GT250,2010,Roadbike,18/02/2022,Central
Black,BMW,G310,2018,Roadbike,13/01/2022,Auckland City
Blue,Yamaha,WR250,2017,Roadbike,21/03/2022,Tasman
Red,Forza,CICLONE,2018,Moped,23/10/2021,Auckland City
Red,Suzuki,GSX150,2019,Roadbike,26/03/2022,Central
Blue,Honda,TODAY,2015,Moped,12/02/2022,Auckland City
Black,Suzuki,AZ50,2007,Moped,16/12/2021,Counties/Manukau
Black,Ducati,620 DARK,2004,Roadbike,28/11/2021,Auckland City
Black,Kawasaki,EX,2019,Roadbike,5/12/2021,Bay of Plenty
Green,Kawasaki,EX,2019,Roadbike,9/12/2021,Auckland City
Silver,Harley Davidson,V-ROD,2003,Roadbike,16/10/2021,Waitemata
Black,Aprilia,SR,2015,Roadbike,28/02/2022,Auckland City
Green,Kawasaki,EX,2019,Roadbike,22/11/2021,Auckland City
Black,Forza,CICLONE,2019,Moped,26/02/2022,Canterbury
Red,Moped,PANTERA,2016,Moped,8/10/2021,Auckland City
Blue,Factory Built,LINTEX,2017,Moped,11/03/2022,Canterbury
Black,Yamaha,JOG,2009,Moped,12/01/2022,Central
Red,ADLY,SF50,2009,Moped,22/11/2021,Bay of Plenty
White,Honda,APE,2002,Moped,17/01/2022,Auckland City
Black,Suzuki,DR200,2017,Roadbike,28/02/2022,Bay of Plenty
Blue,BMW,G310,2017,Roadbike,30/03/2022,Auckland City
Grey,Suzuki,LETS,2007,Moped,6/02/2022,Wellington
White,TGB,TAPO,2017,Moped,4/04/2022,Auckland City
Black,Suzuki,GN125H,2018,Roadbike,29/01/2022,Canterbury
Black,Honda,GLC,2018,Roadbike,4/03/2022,Counties/Manukau
Orange,KTM,SUPERDUKE,2006,Roadbike,24/03/2022,Auckland City
Black,TNT Motor,OTTO,2019,Moped,28/03/2022,Auckland City
Green,Kawasaki,EX,2019,Roadbike,30/03/2022,Counties/Manukau
Silver,Husqvarna,401,2019,Roadbike,10/02/2022,Wellington
Black,Triumph,SPEEDMASTER,2010,Roadbike,17/11/2021,Auckland City
White,Kawasaki,ER,2014,Roadbike,20/03/2022,Waitemata
Black,Harley Davidson,STREET,2019,Roadbike,17/03/2022,Auckland City
Black,Forza,CICLONE,2019,Moped,8/02/2022,Auckland City
Red,Factory Built,ARIIC,2020,Moped,16/11/2021,Canterbury
Black,Suzuki,GW250,2013,Roadbike,29/10/2021,Waitemata
Black,Aprilia,TUONO,2015,Roadbike,5/02/2022,Wellington
Black,Factory Built,MOTUS,2015,Moped,27/01/2022,Canterbury
Black,TNT Motor,ROMA,2016,Moped,23/02/2022,Auckland City
Red,Yamaha,YZF,2016,Roadbike,22/10/2021,Waitemata
White,KTM,200,2016,Roadbike,2/11/2021,Canterbury
Black,Harley Davidson,FXD,2007,Roadbike,16/11/2021,Counties/Manukau
Black,Hyosung,GT,2008,Roadbike,24/02/2022,Central
Black,Honda,DJ-1,1989,Moped,4/01/2022,Bay of Plenty
Blue,Yamaha,MT-07,2017,Roadbike,13/03/2022,Auckland City
Blue,Suzuki,GSX150,2018,Roadbike,24/12/2021,Canterbury
Black,TNT Motor,ROMA,2018,Moped,23/11/2021,Auckland City
Black,Suzuki,GSX150,2018,Roadbike,27/02/2022,Auckland City
Red,Moped,YIBEN,2018,Moped,3/12/2021,Auckland City
Red,Piaggio,ZIP,2013,Moped,7/12/2021,Waitemata
Black,TNT Motor,ROMA,2019,Moped,13/03/2022,Waitemata
Black,Suzuki,GSX150,2019,Roadbike,18/11/2021,Auckland City
Black,TNT Motor,OTTO,2019,Moped,24/03/2022,Auckland City
Black,Suzuki,GSX150,2019,Roadbike,9/03/2022,Auckland City
Silver,Briford,8X4 TANDEM,2003,Trailer,31/03/2022,Canterbury
Red,Forza,CICLONE,2015,Moped,29/10/2021,Auckland City
White,TNT Motor,ROMA,2015,Moped,19/02/2022,Auckland City
Black,Honda,FC50 BEAT,1983,Moped,4/01/2022,Canterbury
Red,Piaggio,ZIP,2016,Moped,3/04/2022,Auckland City
Black,TNT Motor,ROMA,2016,Moped,29/10/2021,Auckland City
Black,Suzuki,UZ50,2016,Moped,17/12/2021,Bay of Plenty
Black,Moped,ZNEN,2017,Moped,17/01/2022,Waitemata
Black,Znen,ZN50QT-50C,2017,Moped,2/01/2022,Bay of Plenty
Black,Yamaha,YZF,2017,Roadbike,18/01/2022,Auckland City
Orange,Triumph,ROCKET III,2005,Roadbike,13/10/2021,Waikato
Black,Suzuki,GSX250,2018,Roadbike,24/11/2021,Waikato
Green,Kawasaki,ZX,2011,Roadbike,22/02/2022,Auckland City
Red,TNT Motor,ROMA,2018,Moped,17/02/2022,Bay of Plenty
Black,TNT Motor,ROMA,2018,Moped,11/10/2021,Eastern
Red,Benelli,BN251,2018,Roadbike,14/01/2022,Auckland City
Black,Suzuki,GN250,2004,Roadbike,10/11/2021,Auckland City
Red,Honda,HORNET,1996,Roadbike,8/02/2022,Counties/Manukau
Red,Kymco,AGILITY,2019,Moped,12/01/2022,Bay of Plenty
Silver,Honda,GIORNO CREA,2007,Moped,15/11/2021,Auckland City
White,Aprilia,SR MOTARD,2016,Moped,1/04/2022,Wellington
Black,Harley Davidson,00 SOFTAIL,2000,Roadbike,31/10/2021,Auckland City
Blue,Suzuki,GSX150,2019,Roadbike,12/12/2021,Wellington
Black,Forza,CICLONE,2019,Moped,9/11/2021,Canterbury
Black,Honda,CB1000,2019,Roadbike,17/03/2022,Counties/Manukau
Black,Suzuki,GSX150,2019,Roadbike,29/03/2022,Northland
Grey,Nissan,SAFARI,1992,Stationwagon,19/10/2021,Canterbury
Brown,Toyota,HILUX,2002,Utility,8/10/2021,Bay of Plenty
White,Toyota,HIACE,1998,Light Van,7/12/2021,Canterbury
Silver,Ford,COURIER,2000,Utility,9/01/2022,Bay of Plenty
Silver,Mitsubishi,PAJERO,1999,Stationwagon,10/02/2022,Waitemata
Silver,Nissan,PULSAR,1995,Hatchback,3/12/2021,Waikato
Silver,Nissan,PULSAR,1996,Saloon,5/02/2022,Waikato
Grey,Mitsubishi,LEGNUM,1997,Stationwagon,11/11/2021,Waitemata
Blue,Ford,FALCON,2003,Saloon,15/03/2022,Bay of Plenty
Silver,Nissan,TERRANO,1998,Stationwagon,5/03/2022,Tasman
Silver,Honda,ACCORD,2003,Saloon,6/02/2022,Auckland City
Silver,Nissan,NAVARA,2003,Utility,13/11/2021,Eastern
Silver,Ford,COURIER,2003,Utility,11/12/2021,Canterbury
Silver,Mazda,FAMILIA,1994,Saloon,30/03/2022,Counties/Manukau
Silver,Nissan,PULSAR,1996,Hatchback,10/01/2022,Central
White,Isuzu,RODEO,1991,Utility,9/03/2022,Central
Green,Toyota,COROLLA,1995,Stationwagon,24/12/2021,Waitemata
Silver,Subaru,IMPREZA,1995,Hatchback,18/10/2021,Central
White,Nissan,CARAVAN,1989,Light Bus,17/03/2022,Canterbury
Green,Toyota,RAV4,1994,Stationwagon,19/02/2022,Eastern
Red,Toyota,HILUX,1994,Stationwagon,4/11/2021,Canterbury
Blue,Toyota,TRUENO,1996,Saloon,19/01/2022,Southern
Silver,Mercedes-Benz,E280,1999,Saloon,21/02/2022,Waikato
Green,Mitsubishi,TRITON,2003,Utility,29/01/2022,Northland
White,Mazda,DEMIO,1997,Stationwagon,5/04/2022,Auckland City
White,Ford,COURIER,2003,Utility,27/03/2022,Canterbury
White,Hyundai,H100,2003,Light Van,13/12/2021,Canterbury
Green,Isuzu,BIGHORN,1997,Stationwagon,5/11/2021,Canterbury
Green,Toyota,HILUX,1993,Stationwagon,11/11/2021,Canterbury
Gold,Toyota,HILUX,2003,Utility,14/01/2022,Bay of Plenty
Blue,Nissan,TERRANO,1996,Stationwagon,13/10/2021,Bay of Plenty
Silver,Mitsubishi,PAJERO,2003,Stationwagon,8/11/2021,Bay of Plenty
White,Honda,PRELUDE,1997,Saloon,4/03/2022,Counties/Manukau
White,Mitsubishi,GALANT,1997,Saloon,15/10/2021,Wellington
Silver,Volkswagen,GOLF,1998,Hatchback,13/03/2022,Wellington
Silver,Toyota,CERES,1998,Saloon,3/04/2022,Auckland City
Green,Nissan,MAXIMA,2003,Saloon,4/04/2022,Central
Red,Mitsubishi,GALANT,2003,Saloon,14/12/2021,Waikato
White,BMW,325CI,2007,Saloon,6/03/2022,Waitemata
Blue,Honda,ODYSSEY,1996,Stationwagon,22/02/2022,Central
Gold,Suzuki,ALTO,2003,Hatchback,23/02/2022,Canterbury
White,Ford,COURIER,2003,Utility,13/12/2021,Auckland City
White,Subaru,IMPREZA,2001,Stationwagon,13/10/2021,Counties/Manukau
Blue,Toyota,CORONA,1996,Saloon,6/03/2022,Northland
White,Ford,COURIER,1997,Utility,24/10/2021,Central
White,Nissan,TERRANO,1999,Stationwagon,15/01/2022,Northland
Black,Nissan,SAFARI,1992,Stationwagon,23/11/2021,Auckland City
Blue,Mazda,B2500,1998,Utility,5/04/2022,Eastern
Blue,Nissan,NAVARA,2003,Utility,11/02/2022,Central
Blue,Toyota,HILUX,1994,Stationwagon,26/12/2021,Auckland City
Red,Toyota,HILUX,1993,Stationwagon,24/10/2021,Waitemata
Silver,Subaru,IMPREZA,2003,Stationwagon,7/03/2022,Auckland City
White,Toyota,CAVALIER,2000,Saloon,26/11/2021,Central
Blue,Toyota,HILUX,1995,Stationwagon,6/12/2021,Canterbury
Blue,Nissan,SUNNY,1996,Saloon,18/01/2022,Canterbury
White,Ford,COURIER,2003,Utility,10/01/2022,Central
Silver,Mazda,BOUNTY,2003,Utility,26/02/2022,Canterbury
Red,Nissan,WINGROAD,1999,Stationwagon,10/10/2021,Eastern
White,Toyota,CURREN,1996,Saloon,28/11/2021,Auckland City
White,Nissan,BLUEBIRD,1997,Saloon,12/12/2021,Eastern
Silver,Peugeot,406,2003,Saloon,28/02/2022,Eastern
Red,Toyota,HILUX,2003,Utility,4/04/2022,Bay of Plenty
White,Toyota,DYNA,1997,Other Truck,25/11/2021,Auckland City
Red,Mitsubishi,DIAMANTE,2003,Saloon,11/10/2021,Counties/Manukau
White,Ford,COURIER,2003,Utility,31/10/2021,Eastern
White,Subaru,LEGACY,1996,Saloon,12/02/2022,Bay of Plenty
Gold,Ford,COURIER,2003,Utility,23/03/2022,Bay of Plenty
Green,Toyota,CHASER,1994,Saloon,29/03/2022,Bay of Plenty
Grey,Honda,LOGO,1997,Hatchback,24/01/2022,Canterbury
Green,Holden,COMMODORE,2003,Saloon,8/10/2021,Northland
Black,Nissan,SAFARI,1993,Stationwagon,17/10/2021,Counties/Manukau
Green,Toyota,HILUX,1996,Stationwagon,10/02/2022,Bay of Plenty
Red,Toyota,HILUX,1993,Stationwagon,20/11/2021,Canterbury
Silver,Toyota,CALDINA,1996,Stationwagon,9/12/2021,Central
White,Mitsubishi,DIAMANTE,2003,Saloon,24/11/2021,Central
Red,Honda,ODYSSEY,1996,Stationwagon,26/10/2021,Bay of Plenty
Blue,Toyota,HILUX,2003,Utility,8/11/2021,Bay of Plenty
Grey,Honda,ACCORD,2003,Saloon,27/03/2022,Auckland City
Silver,Ford,COURIER,2003,Utility,15/03/2022,Waitemata
Blue,Ford,EXPLORER,2003,Stationwagon,21/10/2021,Wellington
Blue,Nissan,PULSAR,1996,Stationwagon,11/11/2021,Eastern
Green,Toyota,HIACE,2003,Light Van,6/01/2022,Waitemata
White,Holden,COMMODORE,2003,Stationwagon,31/03/2022,Counties/Manukau
Blue,Mazda,FAMILIA,1996,Saloon,11/03/2022,Waikato
Silver,Ford,FALCON,2003,Saloon,12/01/2022,Northland
Silver,Subaru,LEGACY,2000,Stationwagon,17/11/2021,Bay of Plenty
Silver,Ford,COURIER,2003,Utility,29/03/2022,Central
Silver,Nissan,PULSAR,1995,Saloon,30/10/2021,Waikato
Silver,Mitsubishi,LANCER,2003,Saloon,20/03/2022,Central
White,Nissan,CARAVAN,1997,Light Van,27/03/2022,Waikato
Silver,Chrysler,PT CRUISER,2002,Saloon,27/10/2021,Tasman
Red,Mazda,MPV,1996,Stationwagon,17/10/2021,Waikato
Red,Holden,VX COMMODORE,2001,Saloon,16/01/2022,Central
White,Nissan,CONDOR,1996,Other Truck,15/11/2021,Auckland City
Blue,Mitsubishi,RVR,1996,Stationwagon,7/01/2022,Eastern
Blue,Nissan,TERRANO,1992,Stationwagon,4/03/2022,Eastern
Blue,Honda,ODYSSEY,1996,Stationwagon,11/11/2021,Bay of Plenty
Black,Volkswagen,GOLF,2003,Hatchback,30/03/2022,Counties/Manukau
Grey,Mitsubishi,LANCER,2000,Saloon,24/03/2022,Wellington
Silver,Mazda,FAMILIA,1999,Hatchback,10/03/2022,Wellington
Red,Ford,FALCON,2003,Saloon,2/12/2021,Central
White,Isuzu,BIGHORN,1998,Stationwagon,23/02/2022,Tasman
White,Toyota,HIACE,1995,Light Van,31/01/2022,Waitemata
Silver,Nissan,PRIMERA,1998,Stationwagon,4/04/2022,Auckland City
Green,Daihatsu,CHARADE,2003,Hatchback,21/03/2022,Central
White,BMW,323I,2005,Saloon,22/02/2022,Counties/Manukau
Grey,Toyota,ESTIMA,1994,Light Van,17/03/2022,Bay of Plenty
Black,Subaru,LEGACY,1997,Stationwagon,11/02/2022,Bay of Plenty
Red,Subaru,IMPREZA,1996,Stationwagon,25/02/2022,Tasman
Blue,Mazda,MAZDA6,2003,Saloon,1/04/2022,Counties/Manukau
Black,Honda,JAZZ,2003,Hatchback,17/10/2021,Northland
Black,Honda,JAZZ,2003,Hatchback,21/10/2021,Northland
White,Mitsubishi,LANCER,2003,Saloon,9/01/2022,Counties/Manukau
White,Nissan,CEDRIC,1999,Saloon,29/01/2022,Canterbury
White,Ford,COURIER,2003,Utility,23/11/2021,Canterbury
White,Mazda,E2000,2003,Light Van,29/03/2022,Tasman
Red,Toyota,HIGHLANDER,2003,Stationwagon,29/11/2021,Counties/Manukau
Green,Toyota,HILUX,2003,Utility,15/12/2021,Bay of Plenty
Green,Holden,COMMODORE,2003,Saloon,21/10/2021,Waitemata
Silver,Holden,ASTRA,2003,Hatchback,24/10/2021,Bay of Plenty
Yellow,Peugeot,307,2003,Hatchback,30/01/2022,Central
Red,Ford,MONDEO,2003,Stationwagon,11/10/2021,Waikato
White,Isuzu,BIGHORN,1990,Stationwagon,13/01/2022,Tasman
Silver,Subaru,IMPREZA,1998,Stationwagon,11/02/2022,Counties/Manukau
Black,Nissan,TERRANO,1997,Stationwagon,26/11/2021,Waitemata
Black,Honda,ACCORD,2003,Saloon,26/02/2022,Bay of Plenty
Silver,Toyota,TOWNACE,1993,Light Van,1/12/2021,Waikato
Silver,BMW,318I,2003,Stationwagon,21/01/2022,Canterbury
White,Toyota,DYNA,1995,Other Truck,8/10/2021,Bay of Plenty
Green,Isuzu,BIGHORN,1992,Stationwagon,27/11/2021,Bay of Plenty
Silver,Toyota,HIACE,2003,Light Van,24/02/2022,Auckland City
Blue,Nissan,PULSAR,2003,Hatchback,15/10/2021,Wellington
Silver,Toyota,HILUX,2003,Utility,21/12/2021,Waitemata
Silver,Mazda,DEMIO,1998,Hatchback,22/03/2022,Auckland City
Silver,Mitsubishi,COLT,2003,Hatchback,12/02/2022,Auckland City
Blue,Toyota,HILUX,1996,Stationwagon,19/03/2022,Canterbury
Blue,Honda,JAZZ,2003,Hatchback,27/02/2022,Auckland City
Blue,Toyota,COROLLA,2003,Saloon,27/11/2021,Canterbury
White,Mitsubishi,LANCER,2000,Saloon,7/03/2022,Central
Black,Volkswagen,GOLF,2003,Hatchback,20/03/2022,Bay of Plenty
White,Toyota,TOYOACE,1997,Other Truck,30/01/2022,Bay of Plenty
Red,Ford,COURIER,2003,Utility,22/12/2021,Canterbury
Silver,Mazda,BOUNTY,2003,Utility,13/02/2022,Waitemata
Blue,Toyota,RAV4,1994,Stationwagon,21/01/2022,Counties/Manukau
Blue,Honda,ODYSSEY,1995,Stationwagon,30/01/2022,Canterbury
Gold,Nissan,TERRANO,1997,Stationwagon,25/02/2022,Southern
White,Nissan,SUNNY,1996,Saloon,20/10/2021,Auckland City
Red,Audi,S4,2004,Stationwagon,7/02/2022,Wellington
Green,Toyota,CALDINA,1996,Stationwagon,19/01/2022,Central
Red,Holden,COMMODORE,2004,Saloon,28/01/2022,Wellington
Gold,Toyota,HILUX,1995,Stationwagon,2/03/2022,Canterbury
Grey,Nissan,SAFARI,1993,Stationwagon,10/02/2022,Waitemata
Blue,Holden,ASTRA,2004,Stationwagon,27/02/2022,Canterbury
White,Kia,PREGIO,2004,Light Van,17/02/2022,Auckland City
Red,Ford,MONDEO,2004,Stationwagon,10/10/2021,Counties/Manukau
Black,Holden,UTE,2004,Utility,13/03/2022,Northland
Silver,Toyota,LANDCRUISER,1993,Stationwagon,1/11/2021,Canterbury
Silver,Mazda,BOUNTY,2004,Utility,20/03/2022,Southern
Silver,Toyota,AVENSIS,2003,Stationwagon,2/02/2022,Counties/Manukau
Silver,Toyota,CARINA,1996,Saloon,25/11/2021,Bay of Plenty
Silver,Mitsubishi,LANCER,2003,Saloon,28/03/2022,Auckland City
White,Toyota,HIACE,2000,Light Van,20/11/2021,Counties/Manukau
White,Mitsubishi,FUSO,1983,Mobile Home - Light,3/01/2022,Counties/Manukau
Blue,Ford,COURIER,1999,Utility,6/04/2022,Bay of Plenty
White,Ford,COURIER,2004,Utility,4/12/2021,Wellington
Red,Subaru,IMPREZA,1996,Stationwagon,17/02/2022,Northland
White,Ford,ECONOVAN,2004,Light Van,5/01/2022,Wellington
Silver,Ford,FALCON,2004,Saloon,24/03/2022,Counties/Manukau
Silver,Mitsubishi,FTO,1996,Sports Car,14/03/2022,Waitemata
White,Ford,COURIER,2004,Utility,22/02/2022,Counties/Manukau
Green,Mazda,BOUNTY,2004,Utility,1/04/2022,Canterbury
Green,Nissan,TERRANO,1997,Stationwagon,24/03/2022,Bay of Plenty
Silver,Ford,MONDEO,2004,Saloon,21/02/2022,Northland
White,Nissan,BLUEBIRD,1998,Saloon,30/12/2021,Counties/Manukau
,,,0,,22/02/2022,Bay of Plenty
White,Mazda,BOUNTY,2004,Utility,8/11/2021,Wellington
Black,Toyota,CALDINA,1996,Stationwagon,13/03/2022,Auckland City
Green,Nissan,PULSAR,1996,Saloon,4/11/2021,Eastern
Purple,Nissan,CEFIRO,1995,Saloon,18/10/2021,Central
Blue,Ford,COURIER,2004,Utility,31/01/2022,Wellington
White,Mazda,BOUNTY,2004,Utility,1/02/2022,Waikato
Red,Mazda,AUTOZAM,1992,Hatchback,8/11/2021,Canterbury
Blue,Isuzu,MU,1994,Stationwagon,15/11/2021,Canterbury
White,Isuzu,WIZARD,2000,Stationwagon,4/03/2022,Waitemata
White,Toyota,CORONA,2001,Saloon,8/10/2021,Counties/Manukau
Black,TNT Motor,ROMA,2020,Moped,23/03/2022,Wellington
Red,Triumph,DAYTONA,2008,Roadbike,25/10/2021,Wellington
Green,Suzuki,KING QUAD 4X4,1998,All Terrain Vehicle,16/11/2021,Canterbury
White,KTM,200,2020,Roadbike,27/01/2022,Auckland City
Brown,Vespa,GTS,2021,Roadbike,4/11/2021,Auckland City
Black,ADLY,ROAD TRACER 50,2020,Moped,26/11/2021,Auckland City
Black,Hyosung,GT250,2008,Roadbike,10/03/2022,Wellington
Orange,KTM,200,2018,Roadbike,20/12/2021,Wellington
White,Honda,NSC,2013,Roadbike,5/11/2021,Auckland City
Black,Harley Davidson,FXSB,2014,Roadbike,10/03/2022,Auckland City
Black,TNT Motor,ROMA,2021,Moped,30/01/2022,Auckland City
Black,Forza,CICLONE,2021,Moped,8/03/2022,Auckland City
Red,TNT Motor,ROMA,2021,Moped,2/01/2022,Auckland City
Red,Honda,NVS,2013,Moped,28/01/2022,Canterbury
Silver,Suzuki,GSX150,2022,Roadbike,14/02/2022,Auckland City
Red,Factory Built,VIVA CITYMASTER,2022,Moped,18/03/2022,Canterbury
Black,Piaggio,ZIP,2017,Moped,21/01/2022,Auckland City
Black,Kawasaki,EX,2020,Roadbike,10/03/2022,Auckland City
Black,Suzuki,GSX250FRLL9,2020,Roadbike,2/04/2022,Auckland City
White,Moden,MDAV01,2020,Moped,13/03/2022,Waikato
Brown,Vespa,PRIMAVERA,2019,Roadbike,17/02/2022,Auckland City
Black,Lambretta,V50,2020,Moped,28/01/2022,Wellington
White,KTM,200,2021,Roadbike,2/01/2022,Wellington
Black,Yamaha,YZF-R3A,2021,Roadbike,29/01/2022,Counties/Manukau
White,KTM,200,2021,Roadbike,13/01/2022,Auckland City
Blue,Factory Built,VIVA,2021,Moped,24/12/2021,Auckland City
Grey,Honda,CBR,2021,Roadbike,21/03/2022,Central
Black,Suzuki,GSX250FRLL9,2021,Roadbike,30/03/2022,Counties/Manukau
Green,Trailer,HOMEBUILT,2004,Trailer,14/01/2022,Wellington
White,Vespa,PRIMAVERA,2018,Moped,21/02/2022,Northland
Red,Yamaha,YS125A,2021,Roadbike,14/03/2022,Wellington
Black,ADLY,GTA-50,2020,Moped,14/02/2022,Auckland City
Black,Vespa,PRIMAVERA,2019,Moped,18/01/2022,Auckland City
Cream,Yamaha,XT250L,2020,Roadbike,20/02/2022,Northland
Red,SYM,JET4,2021,Moped,8/01/2022,Canterbury
Black,Suzuki,GSX250FRLL9,2021,Roadbike,14/12/2021,Wellington
Black,Forza,CICLONE,2021,Moped,23/03/2022,Canterbury
White,Factory Built,LINTEX,2017,Moped,11/03/2022,Canterbury
White,Factory Built,YIBEN,2021,Moped,19/03/2022,Auckland City
Blue,Yamaha,WR,2012,Roadbike,3/04/2022,Central
Red,Harley Davidson,SPORTSTER,2013,Roadbike,8/03/2022,Auckland City
Black,TNT Motor,OTTO,2020,Moped,25/03/2022,Auckland City
Black,Forza,CICLONE,2020,Moped,15/10/2021,Auckland City
Black,TNT Motor,OTTO,2020,Moped,13/03/2022,Canterbury
White,KTM,200,2020,Roadbike,15/01/2022,Auckland City
Blue,Yamaha,MT03LA,2020,Roadbike,5/03/2022,Auckland City
Blue,TNT Motor,ROMA,2020,Moped,27/01/2022,Southern
Black,Kawasaki,ZX-4,1988,Roadbike,2/04/2022,Waikato
Brown,Suzuki,UZ50,2020,Moped,6/11/2021,Auckland City
Orange,KTM,EXC,2008,Roadbike,10/02/2022,Canterbury
Yellow,Moped,YB50QT-3,2021,Moped,14/12/2021,Waitemata
Red,Factory Built,VIVA,2021,Moped,27/01/2022,Canterbury
White,Honda,ZOOMER,2007,Moped,16/11/2021,Auckland City
Black,Moped,ZNEN,2016,Moped,10/03/2022,Auckland City
Red,Triumph,SPEED TRIPLE,2011,Roadbike,5/03/2022,Canterbury
Red,Triumph,SPEED TRIPLE,2011,Roadbike,5/03/2022,Canterbury
Black,Suzuki,GSX250FRLL9,2021,Roadbike,23/02/2022,Auckland City
Blue,TNT Motor,ROMA,2021,Moped,3/04/2022,Canterbury
Grey,Yamaha,MT03LA,2021,Roadbike,6/03/2022,Central
White,Moped,YIBEN,2020,Moped,12/11/2021,Auckland City
Grey,Yamaha,MTM850A,2020,Roadbike,8/03/2022,Auckland City
White,Keeway,CAFE RACER,2020,Roadbike,15/11/2021,Wellington
Black,Honda,PAL,2020,Moped,10/11/2021,Auckland City
Blue,Honda,CB,2002,Roadbike,20/02/2022,Bay of Plenty
White,Suzuki,UK,2021,Roadbike,23/11/2021,Wellington
White,BMW,G310,2021,Roadbike,29/12/2021,Waitemata
Grey,Yamaha,YZF-R15,2021,Roadbike,20/12/2021,Waikato
White,Ubco,2X2ADV,2021,Moped,26/03/2022,Wellington
Black,TNT Motor,ROMA,2021,Moped,15/11/2021,Wellington
Orange,Suzuki,LS650,2018,Roadbike,11/03/2022,Waikato
Black,Suzuki,GSX150DF,2022,Roadbike,22/03/2022,Auckland City
Red,Yamaha,XV250G,2016,Roadbike,21/02/2022,Auckland City
Silver,Briford,TRAILER 8 X 4,2004,Trailer,7/03/2022,Counties/Manukau
Black,TNT Motor,MOTORCYCLE,2019,Moped,27/02/2022,Wellington
Blue,Yamaha,YZF-R3A,2020,Roadbike,2/02/2022,Waitemata
Black,Royal Enfield,CONTINENTAL,2020,Roadbike,26/02/2022,Waitemata
White,Over,B-UNO,2020,Moped,4/12/2021,Central
Black,Harley Davidson,STREET,2020,Roadbike,19/11/2021,Wellington
